start	end	duration	text
2100	6490	4390	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7580	9770	2190	"Guten Abend, herzlich willkommen zu ""10vor10""."
9950	11770	1820	Heute machen diese Themen Schlagzeilen.
13860	16530	2670	Die Reaktionen in Brüssel auf die Post aus Athen
16620	18490	1870	gehen weit auseinander.
20610	23930	3320	Das Portrait über Abu Bakr al-Baghdadi
24180	26220	2040	zeigt den Werdegang des Terrorfürsten.
29130	32540	3410	Folgen Manager und Bürgerliche
32750	35340	2590	Ermottis Forderung nach mehr Deregulierung?
38300	41460	3160	"Der Film ""Dora"" begeistert das Publikum,"
41570	45140	3570	dabei wäre er bei der Finanzierung beinahe gescheitert.
47180	49500	2320	Jetzt gehts ans Eingemachte in den Verhandlungen
49660	51460	1800	zwischen Griechenland und der EU -
51640	55220	3580	morgen läuft das Ultimatum im Schuldenstreit ab.
55390	57140	1750	Wochenlang war die Situation festgefahren -
57230	59340	2110	jetzt kommt Bewegung in die Angelegenheit.
59480	62660	3180	In Brüssel ist heute ein Brief aus Griechenland eingetroffen,
62780	64620.00000000001	1840	in dem das Land offiziell
64780	66900	2120	eine Verlängerung des Hilfsprogramms beantragt.
67110	69260	2150	Allerdings hält sich die Euphorie in Grenzen.
69470	71900	2430	Zwar begrüsst EU-Kommissionspräsident Juncker den Antrag,
72110	76620	4510	doch Deutschland moniert, der Brief sei kein wirklicher Lösungsvorschlag.
78520	81660	3140	Einen Satz twitterte Eurogruppe-Chef Dijsselbloem heute Morgen -
81780	84500	2720	und der klang wie ein Triumpf:
84740	89820	5080	Habe Griechenlands Antrag auf 6-monatige Verlängerung erhalten.
90010	94060	4050	Der griechische Finanzminister habe klein beigegeben -
94200	98300	4100	das schwang darin mit.
98410	100259.99999999999	1850	Dieser Antrag sei ein positives Zeichen,
100360	102740.00000000001	2380	verkündete der EU-Kommissionssprecher umgehend
102900	105320	2420	im Namen des Präsidenten Jean-Claude Juncker.
105479.99999999999	108360	2880	Der griechische Finanzminister hatte seinen Antrag in diesem Brief
108500	111000	2500	präzisiert. Da heisst es u.a:
111120	114240.00000000001	3120	Bei den Sparmassnahmen, die von Griechenland verlangt würden,
114420	118050	3630	müsse dessen gegenwärtige ökonomische Lage berücksichtigt werden.
118259.99999999999	122450	4190	Darunter: Die entschiedene Unterschrift von Varoufakis.
122550	126890	4340	Eine harsche Reaktion auf den Antrag kam postwendend aus Deutschland:
127050	130050.00000000001	3000	Finanzminister Wolfgan Schäuble - hier auf einer Aufnahme von gestern -
130280	133210	2930	wies Griechenlands Antrag kurzerhand zurück.
133370	135850	2480	Er widerspreche den Anforderungen, welche die Eurogruppe
136010	140329.99999999997	4320	am vergangenen Montag formuliert habe.
140430	142780	2350	Auf den Strassen Athens
142950	146520	3570	stehen die Menschen heute Abend nach wie vor hinter ihrem Finanzminister.
146870	151840	4970	Es war das Richtige, was er getan hat. Der einzig mögliche Weg.
152050	156280	4230	Das griechische Volk braucht etwas zu essen.
158460	160040	1580	Deutschland soll sein eigenes Land regieren.
160180	162040	1860	Sie sind für unsere Probleme verantwortlich.
