start	end	duration	text
430	3580	3150	"Die ""Rundschau"" mit Sandro Brotz."
3550	6100	2550	Das Polit-Magazin - schön, dass Sie bei uns sind.
7350	12060	4710	1:1-Untertitelung
13920	16260.000000000002	2340	Folterverdacht in Bahrain.
18870	21660	2790	Zerreissprobe für Europa.
25160	28540	3380	Das Geschäft mit digitalen Hochsicherheitszonen.
30020	32580	2560	"Guten Abend zur ""Rundschau"", live aus dem Studio 4."
32549.999999999996	36300	3750	Es war in diesem Studio, in dem Sepp Blatter einen Satz sagte,
36270	39140	2870	der zum Satz des Jahres werden sollte:
39110	43060	3950	Eine WM könne man nicht kaufen.
44120	46580	2460	Man könnte auf die Idee kommen, sie sei gekauft.
46570	49660	3090	Einen WM kann man nicht kaufen.
49630	52140	2510	Korruption bei der FIFA? Natürlich nicht.
52120	55380	3260	Und mit dem Abgang des gesperrten Präsidenten ist der Weg frei -
55360	58260	2900	für einen Neuanfang, für eine saubere FIFA.
58230	61140	2910	Sie haben Ihre Zweifel? Wir auch.
61110	65099.99999999999	3990	So haben wir uns den Kronfavoriten Scheich Salman genauer angeschaut.
65060	67580	2520	Einen Mann, der in seiner Heimat Bahrain
67550	69820	2270	mit Folter in Verbindung gebracht wird.
69800	74020	4220	Was dahintersteckt und wer ihm jetzt noch gefährlich werden könnte
74000	78580	4580	im Rennen um Blatters Erbe, weiss mein Kollege Marc Meschenmoser.
81390	85100	3710	Ist  e r  der Nachfolger des gestürzten Königs?
85090	88740	3650	Vor einem halben Jahr am FIFA-Kongress kürt Sepp Blatter
88710.00000000001	94180	5470	Scheich Salman bin Ibrahim Al Chalifa zum Vizepräsidenten.
94160	98420	4260	Nun soll Scheich Salman die FIFA reformieren.
98390	101420	3030	Er gilt als Favorit im Kampf um den Thron.
101400	106060	4660	Letzten Sonntag gibt sich der mächtige Präsident
106030	108300	2270	der asiatischen Fussballkonföderation siegessicher.
109350	112340	2990	Die Wahl nähert sich.
112320	116220	3900	Nach den Kontakten mit den Landesverbänden, die ich hatte,
116200	119020.00000000001	2820	bin ich zuversichtlich und optimistisch.
119000	123340	4340	Aus meiner Sicht läuft alles besser als gut.
126180	133500	7320	Bahrain, Heimat von Scheich Salman, Königreich im Persischen Golf.
133470	138100	4630	Scheich Salman ist Mitglied der herrschenden Königsfamilie al Chalifa
138070	141260	3190	und Präsident des Fussballverbandes.
141240	145500	4260	2011 demonstriert das Volk für Demokratie.
145470	148140	2670	(Demonstranten) People want democracy.
148110	151579.99999999997	3470	Das Regime knüppelt den Arabischen Frühling nieder.
