start	end	duration	text
360	3730	3370	.
3830	10010	6180	1:1-Untertitelung
13680	15410	1730	Hallo und guten Abend.
15590	17410	1820	Vor dem grossen Abschluss unseres Sommerprojekts
17540	19250	1710	"""Anno 1914 - Die Fabrik"""
19390	21850	2460	hier jetzt ganz kurz das Wichtigste, das in der Schweiz aktuell ist:
22020	23890	1870	In St. Gallen-Winkeln ist es heute Nachmittag
24080	25970	1890	in einer Moschee zu einer Schiesserei gekommen.
26180	28610	2430	Dabei wurde ein Mann tödlich verletzt.
30400	32570	2170	Passiert ist die Tat am frühen Nachmittag
32670	35010	2340	im islamischen Zentrum El Hidaje,
35240	37410	2170	einer albanisch-sprachigen Gemeinschaft in der Stadt St. Gallen
37500	39250	1750	mit 350 Mitgliedern.
39380	41370	1990	Die Polizei findet im Gebetsraum der Moschee einen Toten.
41550	44490	2940	Sie nimmt den mutmasslichen Täter zusammen mit seiner Schusswaffe
44630	47250	2620	im Gotteshaus fest.
47440	50890	3450	Wissen Sie schon mehr zur Identität des Opfers und des Täters?
50980	53850	2870	Wir sind daran, die Identitäten ganz genau zu klären
53970	56770	2800	und auf der Suche nach Angehörigen,
56960	59850	2890	damit diese über die schreckliche Tat verständigt werden können.
59940	62570	2630	Darum kann ich dazu noch nicht mehr sagen.
62740	67290	4550	Es deutet im Moment nichts auf eine religiös motivierte Tat hin.
67520	70130	2610	Laut dem Islamischen Zentralrat Schweiz
70270	73250	2980	sei es eine Familienfehde gewesen, eine sog. Blutrache.
74980	77650	2670	Im Kanton Bern zieht die Affäre um die Strafanstalt Thorberg
77800	80330	2530	und ihren abgesetzten Direktor weitere Kreise.
80560	83130	2570	Jetzt will das Berner Kantonsparlament untersuchen,
83210.00000000001	85650	2440	warum es auf dem Thorberg zu Missständen gekommen ist
85730	88650	2920	und v.a., welche Rolle dabei der Berner Polizeidirektor
88730	90570	1840	Hans-Jürg Käser gespielt hat.
92310	95130	2820	Das ist das externe Gutachten zur Thorberg-Affäre.
95330	97690	2360	Für Peter Siegenthaler ist es unvollständig.
97830	100570	2740	Es steht fast nichts drin zur Rolle des Berner Polizeidirektors,
100710.00000000001	102970	2260	sondern nur der Untergebenen.
103190	105890	2700	Deshalb nimmt die Geschäftsprüfungs- kommission des Parlaments, GPK,
106060	111370	5310	gerade selber das Verhalten der Regierung unter die Lupe.
111539.99999999999	113810	2270	Wenn man mit der Untersuchung beim Direktor
113920	116250	2330	bzw. beim Amtsvorsteher aufhört
116440	121250	4810	und die Spitze der Pyramide, die Verantwortlichen aussen vor lässt,
121390	123890	2500	dann ist das Bild einfach nicht vollständig.
123970	126850	2880	Letztendlich trägt die Politik,
127100	129570	2470	also Herr Käser und der gesamte Regierungsrat,
129780	134130	4350	in dieser ganzen Thorberg-Geschichte eine wesentliche Mitverantwortung.
134290	137530	3240	Anfang Jahr kommt heraus, dass der damalige Thorberg-Direktor,
137690	141329.99999999997	3640	Georges Caccivio mit Prostituierten im Drogenmilieu verkehrte
141460	144090	2630	und mit Häftlingen per Du war.
144180	146530	2350	Daraufhin hat ihn der Kanton freigestellt.
146690	149970	3280	Als das Gutachten präsentiert wurde, blieb eine zentrale Frage offen:
150090	152970	2880	Haben sich der Polizeidirektor Hans-Jürg Käser und die Regierung
153100	156490	3390	als Ganzes richtig verhalten in dieser Affäre?
156690	160970	4280	Der Berner Politiker, der seit heute offiziell im Visier der GPK ist,
161079.99999999997	163770	2690	reagiert gelassen.
163870	166250	2380	Ich nehme das zur Kenntnis.
166340	168730	2390	Ich denke, wir haben alle Fakten auf den Tisch gelegt
168940	171370	2430	gegenüber dem externen Experten Benjamin Brägger.
171540	173850	2310	Ich kann mir nicht vorstellen,
174100	176370	2270	dass weitere Fakten jetzt an die Oberfläche kommen,
176480	178770	2290	denn es gibt keine weiteren.
178960	182250	3290	Spätestens im Herbst 2015 will die GPK
182390	185610	3220	unter der Leitung von Peter Siegenthaler ihren Bericht abliefern.
187500	189650	2150	Nach dem schweren Unfall der Rhätischen Bahn
189760	191730	1970	letzte Woche bei Tiefencastel
191890	194810	2920	starb heute morgen einer der verletzten Passagiere im Spital.
196630	199730	3100	Der Verstorbene ist ein 85-jähriger Mann aus dem Kanton Luzern.
199900	202290	2390	Er war einer der 11 Verletzten,
202400	204970	2570	die während des Unfalls im entgleisten Zug sassen.
205180	208450	3270	Am Mittwoch vor einer Woche sind bei einem Zug der RhB
208620	211210	2590	3 Waggons wegen eines Erdrutsches aus den Schienen gesprungen
211329.99999999997	213570	2240	und das Tobel hinuntergestürzt.
213780	215890	2110	4 der Verletzten sind noch immer im Spital.
217740	219930	2190	So und jetzt ins Zürcher Tösstal zu Michael Weinmann
220150	223810	3660	"mit einem grossen Abschluss unserer Sommerserie ""Anno 1914""."
223900	225690	1790	Viel Vergnügen.
