start	end	duration	text
760	2720	1960	Gibt es in Schaffhausen am nächsten Sonntag
2960	3720	760	einen neuen Stimmbeteiligungsrekord?
3800	11400	7600	Bisher hält dieser die EWR-Abstimmung von 1992, als über 80 % abstimmten.
11580	14720	3140	Die umstrittene Durchsetzungs-Initiative
14900	18440	3540	mobilisiert die Stimmbürger wie schon lange keine Vorlage mehr.
18570	21800	3230	Ausserdem gehen in Schaffhausen
21980	24360	2380	generell überdurchschnittlich viele Leute an die Urne,
24450	25800	1350	weil es eine Stimmpflicht gibt.
25980	28240	2260	Simone Herrmann fühlte in Schaffhausen den Puls.
28910	32960	4050	Die Urne des Schaffhauser Stadthauses ist im Moment schwerer als sonst.
33120	35840	2720	In der Stadt Schaffhausen haben schon über 12'000 BürgerInnen
36010	39360	3350	ihre Stimmunterlagen eingeworfen oder per Post geschickt -
39490	41920	2430	so viele wie noch nie.
42120	44360	2240	In der Stadt Schaffhausen rechnet man darum am nächsten Sonntag
44610	46880	2270	mit einer sehr hohen Stimmbeteiligung.
47090	50720	3630	Wir erwarten in der Stadt Schaffhausen
50850	52560	1710	eine sehr hohe Stimmbeteiligung.
52690	55560	2870	Einerseits gibt es Indikatoren aus der Leserbriefspalten der Zeitungen,
55670	57560	1890	die rege benutzt worden sind
57810	60520	2710	und andererseits auch die briefliche Stimmabgabe,
60630	63080	2450	bei der wir im Moment eine Rücklaufquote von über 50 % haben.
63170	65960	2790	Gibt es einen neuen Rekord? - Das könnte es geben.
66120	70800	4680	Ich persönlich sage zwar, es gibt keinen. Aber fast.
70980	74600	3620	Wir werden sicher eine Stimm- beteiligung von über 75 % haben.
74850	78280	3430	Das ist eine der höchsten, die wir bisher hatten.
78440	80480	2040	Durchschnittlich stimmen in der Stadt Schaffhausen
80720	83560	2840	ca. 47 % der BürgerInnen brieflich ab.
83810	87480	3670	Total stimmten in den letzten Jahren 64 % ab.
87690	92039.99999999999	4350	Bis heute haben aber bereits 56 % brieflich abgestimmt.
92180	95240.00000000001	3060	Die Stimmbeteiligung könnte am Sonntag darum sehr hoch sein.
95479.99999999999	98560	3080	Es sind v.a. die Eidgenössischen Vorlagen,
