start	end	duration	text
20	1840	1820	.
15870	17960	2090	MIT TELETEXT-UNTERTITELUNG
18390	20360	1970	Hier drin sitzt Rambo,
20590	25040	4450	ein grosser internationaler Beauty- Champion mit astreinem Stammbaum.
26080	28120	2040	Und das ist sein Herrchen:
28230	30560	2330	Rene Berger, Buschauffeur aus Winterthur.
30760	33200	2440	Die beiden haben gemeinsam Grosses vor.
33350	35280	1930	So, Rambo, wir sind da!
37800	40240	2440	Du darfst noch nicht raus, kleiner Stinker.
40510	44240	3730	Du musst noch schnell warten. Ich richte noch den Käfig ein.
47120	48360	1240	In dieser Geschichte werden Sie
49320	51600	2280	gestylte Miezen und frisierte Kater sehen.
51720	54720	3000	Es geht hier aber nicht allein um Schönheitswahn.
54940	58280	3340	Vielmehr geht es um die Liebe und Beziehung zum Tier.
58430	61120	2690	Diese Geschichte handelt von 3 Menschen,
61330	63280	1950	die alle auf charmante Art und Weise einen Katzentick haben.
65230.00000000001	67200	1970	Du gehst mir nicht fremd!
67600	71240	3640	Rene Berger. Der Buschauffeur lebt alleine mit 8 Katzen.
71330	72280	950	Bengel!
72390	74360	1970	Katzen sind mein Leben!
75200	77080	1880	Stephanie Otz.
77650	78320	670	Ihr Herz schlägt erst seit der Herz- transplantation so richtig für Katzen
82760	85360	2600	Wegen meiner Krankheit darf ich keine Kinder haben.
85500	87520	2020	Meine Katzen sind meine Kinder.
87690	91920	4230	Silvia Grossenbacher. Die Katze ist die grosse Liebe ihres Lebens.
94420	97720	3300	Eine schöne Katze ist für mich wie eine schöne Rose.
100280	102240.00000000001	1960	MIT TELETEXT-UNTERTITELUNG
107680	108320	640	Will man ihre Liebe zu Katzen verstehen,
110370	113360	2990	muss man Silvia Grossenbacher zu Hause besuchen.
114520.00000000001	118000	3480	Noch bevor man durch die Tür hinein in ihr Leben tritt,
118120	119560	1440	ist vieles schon erzählt.
121880	123400	1520	Silvia Grossenbacher, ehemalige Coiffeuse
124560	128840	4280	und Grossmutter zweier Enkelkinder, züchtet seit 33 Jahren Katzen.
129270.00000000001	131680	2410	Und seit 33 Jahren beginnt jeder Tag gleich:
134680	137360	2680	Ich zerhacke das Fleisch noch ein bisschen.
139870	141920.00000000003	2050	So soll es auftauen.
142010	145000	2990	Ich lasse beim Metzger solche Portionen machen.
145440	147360	1920	Butz, butz, butz! Komm!
148710	151320	2610	Mutzeli, mutzeli, mutz! Butz, butz, butz!
151450	153440	1990	Mini, mini, mini!
154230	157079.99999999997	2850	Jetzt gibt es Frühstück, stimmts, Schätzchen?
157160	159120	1960	Butzeli, butzeli, butz!
159829.99999999997	163160	3330	Katzen züchten und Katzen halten ist eine Krankheit.
163960	164920.00000000003	960	Warum?
164950	167200	2250	Es ist einfach so:
167360	168400	1040	Man kann richtig süchtig danach werden,
170020	173960	3940	dass sich am Schluss fast alles nur noch um Katzen drehen würde.
174140	177960	3820	Und das tut es auch. Ihr Leben dreht sich um ihre 11 Katzen.
178120	181120	3000	Und da sind noch ihr Mann und die beiden Hunde.
185200	188040	2840	Wer ist die Nr. 1 - Ihr Mann oder die Katzen?
190670	192600	1930	Das sind bei mir die Katzen.
192830	195200	2370	Die Katzen sind wichtiger als Ihr Mann?
196770	198360	1590	Das klingt jetzt vielleicht etwas böse, aber das weisst du, stimmts?
203270	205440	2170	Bei mir sind es schon die Katzen.
208590	210880	2290	Es ist einfach so in diesen Jahren.
213000	213440	440	Schmerzt Sie das? Nein, überhaupt nicht.
217840	220520	2680	Ist das bei Ihnen mit den Hunden dasselbe?
222510	224400	1890	Ich mag die Hunde einfach.
224560	228280	3720	Ich würde sagen, bei dir kommen auch zuerst die Hunde.
229180	231079.99999999997	1900	Du darfst es ruhig sagen! Nein.
231250	234880	3630	Wenn ich höre, wie er mit ihnen spricht, ist es schon so.
240370	243360	2990	Bei den Grossenbachers ist das Tier Familienmitglied,
243950	246080	2130	Schmusepartner und treuer Freund.
252550	256360	3810	Tierfreundschaft auch hier an der Katzenshow in Rothenburg.
256579.99999999997	258480.00000000003	1900	Jetzt darfst du raus. Komm!
258620	261000	2380	Gut machst du das! Du bist schon toll!
262930	266040	3110	Rene Berger und sein Rambo sind ein eingespieltes Team.
266130	268280	2150	Da schaust du wieder, was, Rambo?
270520	272640	2120	Was ist das genau? Ein Beautycase?
