start	end	duration	text
920	2630	1710	.
2800	6070	3270	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6690	10070	3380	"Die ""Tagesschau""-Hauptausgabe vom Mittwoch, 22 Juli."
10190	12910	2720	Guten Abend, meine Damen und Herren, ich begrüsse Sie.
14110	18150	4040	Der Kanton Aargau will Flüchtlinge draussen schlafen lassen.
19750	24630	4880	Der griechische Premier will Reformen durchboxen und droht mit Neuwahlen.
26310	29510	3200	Immer mehr junge Maurer, Gipser oder Maler
29650	32430	2780	wechseln nach der Lehre die Branche.
33250	37790	4540	In England taucht die wohl älteste Koran-Handschrift auf.
39010	43830	4820	Im Norden viele Wolken und Regen- schauer, im Süden bleibt es trocken.
45470	47790	2320	Der Zustrom von Flüchtlingen in die Schweiz
47980	50710	2730	sorgt für Diskussionen und auch für grosse Probleme.
50870	53550	2680	Denn die Schweiz hat zu wenig Asylunterkünfte.
53750	56590	2840	Nun werden Asylsuchende in Zelten untergebracht -
56720	58510	1790	wie in andern Ländern auch.
58600	60470	1870	In drei Aargauer Gemeinden
60680	64430.00000000001	3750	sollen ab nächster Woche zunächst mal 140 Flüchtlinge einquartiert werden.
65710	69710.00000000001	4000	In Zelten wie diesem sollen ab Montag Asylsuchende untergebracht werden.
69800	71590	1790	Ausschliesslich Männer.
71730	73870	2140	Insgesamt 13 Zelte mit je bis zu 14 Plätzen
74039.99999999999	76350	2310	stellen Armeeangehörige derzeit auf.
76490	79670	3180	Hier in Buchs sowie in Aarau und Villmergen.
79820	83470	3650	Direkt neben bestehenden, ausgelasteten Asylunterkünften.
83650	86590	2940	Der Bund überweise derzeit sehr viele Asylsuchende,
86780	90150	3370	begründet der Kanton den Aufbau der Zelte.
90289.99999999999	93150	2860	Das bedingt, dass der Kanton Aargau - wie andere Kantone auch -
93310	96870	3560	zahlreiche zusätzliche Unterbringungsplätze schafft.
96960.00000000001	98759.99999999999	1800	Wir haben im Aargau die Strategie,
98960.00000000001	102080	3120	dass wir - wenn immer möglich - oberirdisch unterbringen wollen.
102210.00000000001	104880	2670	In dieser Jahreszeit ist es eine gute Option,
105080	110039.99999999999	4960	temporäre, mobile Infrastrukturen aufzustellen - wie z.B. Armeezelte.
110130	112000	1870	Asylsuchende in Zelten:
112200	114720	2520	Das sei nicht optimal, sagt die Schweizerische Flüchtlingshilfe,
114890	119600	4710	aber unter den gegebenen Bedingungen akzeptabel.
119710.00000000001	122320	2610	Es ist grundsätzlich zumutbar,
122470	127960	5490	Leute über eine kurze Zeit in Zelten unterzubringen.
128120	131960	3840	Von daher ist die Menschenwürde sicher gewahrt.
132130	135440	3310	Es ist sicher besser als in Zivilschutzanlagen,
135570	140000	4430	wo Leute ohne Tageslicht und mit künstlicher Belüftung
140130	142960	2830	ihre Zeit verbringen müssen.
143130	146560	3430	Schweizweit seien Zelte für Flüchtlinge derzeit kein Thema,
146710	149760	3050	heisst es beim Staatssekretariat für Migration.
149960	151720	1760	Die Kantone seien dafür verantwortlich,
151900	154079.99999999997	2180	wie die Flüchtlinge untergebracht würden.
154220	156640	2420	Bis Ende Jahr weist der Bund dem Kanton Aargau
156880	160480	3600	voraussichtlich 2'500 Asylsuchende zu.
160750	165280	4530	Der stellt die Zelte aber höchstens bis Mitte November zur Verfügung.
165530	167520	1990	Die Suche nach Unterkünften geht damit weiter -
167660	169760	2100	nicht nur im Kanton Aargau.
171190	173440	2250	Griechenlands Ministerpräsident Tsipras
173550	175920.00000000003	2370	steht vor seiner nächsten Machtprobe.
176040	178720	2680	Denn heute Abend trifft sich das griechische Parlament,
178950	182120	3170	um über weitere Reform- und Sparmassnahmen abzustimmen.
182290	186000	3710	Konkret geht es um Reformen im Justiz- und im Bankensystem.
186180	188400	2220	Das Parlament muss diese Reformen gutheissen,
188570	192560	3990	denn erst wenn das Parlament Ja gesagt hat zu allen Reformen,
192800	195360	2560	erst dann wollen die internationalen Kreditgeber
195520	197600	2080	mit dem hoch verschuldeten Griechenland
197800	200160	2360	über ein neues, drittes Hilfspaket verhandeln.
201420.00000000003	205280	3860	Ministerpräsident Alexis Tsipras auf Überzeugungstour.
205420.00000000003	208079.99999999997	2660	Heute Morgen trifft er sich mit Vertretern griechischer Banken -
208270	210440	2170	und hofft auf Verständnis für die Reformen,
210570	213680	3110	die auch sie betreffen werden.
213780	218200	4420	Was jetzt zählt, ist die Rückkehr des Systems zur Normalität.
218350	221880	3530	Aber wir müssen auch sicherstellen, dass unsere schwächsten Mitbürger
222079.99999999997	225160	3080	nicht von den Massnahmen betroffen sind.
225320	230360	5040	Private, die über 100'000 Euro auf ihrem Konto haben,
230510	234920.00000000003	4410	sollen sich künftig an den Verlusten der Banken beteiligen müssen.
235120	237440	2320	Vor Parlamentariern weibelt unterdessen
237640	242240	4600	Tsipras' neuer Finanzminister Efklidis Tsakalotos für ein Ja.
242370	246000	3630	Wir brauchen vielleicht zwei Wochen,
246170	249480	3310	um ein neues Hilfspaket auszuhandeln.
249670	253120	3450	Es ist deshalb sehr wichtig, dass wir diesen Reformen heute zustimmen,
253220	258560	5340	damit wir am Freitag die Verhandlungen starten können.
258700	260880	2180	Diskussionslos dürften die Reformen im Parlament
260959.99999999997	262920	1960	trotzdem nicht durchgehen -
263050	267320	4270	Tsipras' Partei steht nämlich nicht geschlossen hinter ihm:
267440	269080	1640	Wir brauchen einen Plan
269260	271080	1820	für Verhandlungen mit unseren Kreditgebern.
271140	272880	1740	Und wir brauchen auch ein neues Verhandlungsteam,
273110	275159.99999999994	2050	das erfahren und glaubwürdig ist.
275260	277159.99999999994	1900	Tsipras hat wohl deshalb kurzfristig
277310	279400	2090	umstrittene Punkte von der Abstimmung ausgenommen,
279520	281240	1720	etwa die Rentenreform
281400	283159.99999999994	1760	oder höhere Steuern für Bauern.
283250	285080	1830	Durchkommen dürften die Reformen so oder so -
285360	287080	1720	dank der Unterstützung der Opposition.
288600	290640	2040	Eigentlich sollten die Parlamentarier seit heute Nachmittag
290800	293640	2840	am Diskutieren sein, aber sie haben noch nicht begonnen.
293840.00000000006	295720	1880	Es sieht also wieder einmal
295900	298320	2420	nach einer langen Nachtsitzung in Athen aus.
298560	302200	3640	Ruth Bossart in Athen, viele heikle Punkte im Abstimmungsmarathon
302340	304560	2220	stehen ja gar nicht mehr zur Debatte,
304730	307120	2390	wie z.B. die Rentenkürzungen bei Bauern.
307160	309520	2360	Warum liegen denn die Nerven trotzdem blank in Athen?
309630	323240	13610	Wir untertiteln live:
323390	328000	4610	Das Paket.
328160	332000	3840	kommt wahrscheinlich mit den Stimmen der Opposition durch.
332110	336200	4090	Aber Tsipras ist unter Druck.
336370	340840.00000000006	4470	Vor dem Parlament wird demonstriert.
341040	345000	3960	Gewerkschaften sind unter den Demonstranten.
345170	351080	5910	Tsipras ist auch in der eigenen Partei unter Druck.
353880	356560	2680	Schon in der gestrigen Woche habe dem ein Viertel seiner
356800	360800	4000	Parteimitglieder die Gefolgschaft versagt.
360960	363640	2680	Es wird sich zeigen, wie das Abstimmungsergebnis heute
363720	369640	5920	herauskommt.
374910	377760	2850	Offensichtlich hat Tsipras seine Fraktion nochmals ins Gebet
377900	381680	3780	genommen.
381760	384920	3160	Er könne nicht mit den Stimmen der Opposition Griechenland aus der
385080	391080	6000	Krise führen.
391160	396920	5760	Das Resultat ist heute spät in der Nacht zu erwarten.
397060	401400	4340	Dann werden wir sehen, ob er weiterregieren wird
401500	404240	2740	oder ob er Neuwahlen anordnen wird.
404480	409600	5120	Was ist denn Ihre Prognose, in welche Richtung gehts heute Abend?
409760	412600	2840	Ich wage die Prognose, dass es ihm gelingt,
412700	417800	5100	die Rebellion einzudämmen.
417960	423920	5960	Das Paket ist weniger umstritten als jedes von letzter Woche.
428310	431760	3450	Es wäre ein Signal, dass sich seine Regierung auf die Verhandlungen mit
431870	436040	4170	der EU und der Kreditgeber konzentrieren könnte.
438800	440840	2040	In der Schweiz wird gebaut, was das Zeug hält.
440920	443480	2560	Gemäss Bundesamt für Statistik wurden 2014 rund 65 Mrd. Fr.
443650	445520	1870	in Hoch- und Tiefbauprojekte investiert.
445710	447600	1890	Das sind noch einmal 3,1 % mehr als im Vorjahr,
447740	449920	2180	das auch schon ein Rekordjahr war.
450960	453360	2400	Baustellen überziehen die Schweiz:
453580	455680	2100	Wohnhäuser und Bürogebäude werden hochgezogen,
455870	458320	2450	Strassen ausgebessert oder neue gebaut.
458470	460600	2130	Aber auch Brücken und Tunnels entstehen.
460680	462840.00000000006	2160	Die Baumaschinen brummen überall.
462920	466600	3680	Ein grosser Unterscheid zeigt sich bei der Art der Bauinvestitionen.
466800	470280	3480	Die Ausgaben für Neubauten nahmen nur um 1,7 % zu,
470480	474600	4120	während jene für Umbauten um 6,5 % stiegen.
474710	478520	3810	Allerdings: In diesem Jahr dürfte der Bauboom ein Ende haben.
478600	480840	2240	Das zumindest zeigt der Bauindex der Credit Suisse,
481020	483360	2340	der einen Rückgang der Bautätigkeit ausweist.
484730	487800	3070	Auch wenn die Bautätigkeit in diesem Jahr zurückgehen sollte,
488000	491240	3240	die meisten Auftragsbücher sind immer noch randvoll.
491400	493920	2520	Was der Branche derzeit viel mehr Sorgen macht,
494030	496000	1970	sind die fehlenden Fachkräfte.
496110	498360	2250	Zwar gibt es genug einfache Arbeiter.
498480	501080	2600	Doch gelerntes Personal, das sich auch noch weiterbildet
501250	504720	3470	und sich für Kaderpositionen empfiehlt, ist eher rar.
504890	507920	3030	Denn solche Mitarbeiter wenden sich oft vom Baugewerbe ab
508040	509960	1920	und wechseln in andere Branchen.
