start	end	duration	text
730	2750	2020	.
2740	5710	2970	1:1-Untertitelung
5700	10550	4850	"Guten Abend, meine Damen und Herren. Willkommen zur ""Tagesschau""."
10520	13190	2670	Das macht an diesem Dienstag Schlagzeilen:
14580	18470	3890	In schweizerisch-italienischer Zusammenarbeit
18460	21830	3370	gelingt ein Schlag gegen die 'Ndrangheta.
24330	29240	4910	Homosexuelle sollen künftig Kinder ihres Partners adoptieren können.
29200	30880	1680	Das will der Ständerat.
32140	36920	4780	Zum Tag der Frau die Reportage aus Indien,
36890	40480	3590	wo Mütter ihre Töchter lieben, aber nicht finanzieren können.
42290	45760	3470	Im Mittelland zunächst Nebel.
47720	51720	4000	Dass die kalabrische Mafia- organisation 'Ndrangheta
51700	55160	3460	auch Ableger in der Schweiz hat, ist schon länger bekannt.
55150	58000	2850	Dass gegen die auch in den letzten Jahren ermittelt worden ist,
57990	59600	1610	überrascht auch nicht.
59590	63280	3690	Trotzdem dürfte die Überraschung bei den 15 mutmasslichen Mafiosi,
63240	66640	3400	die heute am frühen Morgen in verschiedenen Kantonen
66620	68440	1820	auf einen Schlag festgenommen worden sind,
68430	71200	2770	einigermassen gross gewesen sein. Beat Giger berichtet.
72160	75640	3480	Frauenfeld, Hauptort des Kantons Thurgau.
75630	78400	2770	Hier hat die 'Ndrangheta seit Längerem einen Ableger.
78390	79560	1170	Vor zwei Jahren
79539.99999999999	83039.99999999999	3500	wurden bereits zwei Mitglieder der Frauenfelder Zelle verhaftet.
83020	85600	2580	Heute Morgen nun eine breit angelegte Aktion:
85600	88640	3040	zwei Festnahmen im Wallis, eine im Kanton Zürich
88620	91039.99999999999	2420	und gleich zwölf im Kanton Thurgau.
91010	94320	3310	Der Vorwurf seitens der italienischen Behörden:
94289.99999999999	96759.99999999999	2470	Sie haben gemäss Auslieferungsersuchen
96720	101240.00000000001	4520	über Jahre regelmässig an Treffen und Riten teilgenommen
101220	104120	2900	und sich in bedingungslosem Gehorsam
104080	107800	3720	den hierarchischen Strukturen untergeordnet.
107789.99999999999	110840	3050	Eine Szene, die einem Mafiafilm entsprungen sein könnte:
110810	114360	3550	Wängi - ebenfalls im Kanton Thurgau vor eineinhalb Jahren.
114350	115840	1490	Hier haben die Ermittler
115830	119640	3810	ein konspiratives Treffen in einem Bocciaclub gefilmt.
119630	122240	2610	Maria Roselli recherchiert
122200	124840	2640	für das Fernsehen der italienischsprachigen Schweiz
124820	127760	2940	schon länger über die Schweizer 'Ndrangheta-Zellen.
127750	131760	4010	Wir wissen, dass sie im Immobiliensektor tätig sind,
131720	134840	3120	bei den grossen Bauvorhaben
134810	138360	3550	und natürlich in der Geldwäscherei, also im Finanzplatz.
138350	141280	2930	Dieser Schlag heute, war das nur die Spitze des Eisbergs,
141250	143000	1750	die getroffen wurde?
142990	145280	2290	Es war sicher mehr,
145250	148440	3190	was die 'Ndrangheta-Zelle von Frauenfeld betrifft.
148420.00000000003	152040	3620	Dort wurden jetzt insgesamt 14 von 18 Leuten verhaftet.
152020	153920.00000000003	1900	Wir wissen aber nicht,
153880	156240	2360	wie es aussieht mit den anderen 'Ndrangheta-Zellen,
156220	157880	1660	die es in der Schweiz gibt.
157850	161320	3470	Es sind mindestens vier bis fünf, die aktiv sind.
161320	163640	2320	Mafiosi zu überführen
163610	166560	2950	ist nach heutiger Rechtslage in der Schweiz schwierig.
166530	170320	3790	Das Parlament ist deshalb daran, das Gesetz griffiger zu machen.
170310	173840	3530	Die 15 heute Verhafteten wurden sofort vernommen.
173820	178480	4660	Mit einer Ausnahme widersetzen sie sich alle der Auslieferung an Italien
178440	181960	3520	und können diese beim Bundesstrafgericht anfechten.
183910	187720	3810	Wenn ein Kind bei einem gleich- geschlechtlichen Paar aufwächst
187700	191360	3660	und eine oder einer der beiden leibliches Elternteil ist,
191330	195320	3990	dann ist das Kind erstens das Stiefkind des anderen Elternteils
195290	198160	2870	und soll zweitens nach dem Willen des Ständerats
198140	201840	3700	von dieser Stiefmutter oder diesem Stiefvater adoptiert werden können.
201840	203960	2120	Mit allen Rechten und Pflichten.
203940	206680	2740	Damit sollen Kinder gleichgeschlechtlicher Paare
206650	208720	2070	rechtlich abgesichert werden.
210230	213560	3330	Kinder damals, sie lebten anders als Kinder von heute.
213530	216400	2870	Viele wohnen mit gleichgeschlechtlichen Eltern.
216370	219920.00000000003	3550	Rechtlich sind sie aber nur mit dem leiblichen Elternteil verbunden.
219900	223760	3860	Das will der Ständerat mit der Stiefkindadoption ändern.
223750	226840	3090	Das Kind kriegt dank dem zweiten rechtlichen Elternteil mehr Schutz.
226820	229520	2700	Es ist dann erbberechtigt.
229510	231680	2170	Es hat Anspruch auf eine Waisenrente,
231660	233360	1700	wenn diesem Partner etwas passiert.
233350	235800	2450	Es hat auch Anspruch auf elterlichen Unterhalt.
235780	238079.99999999997	2300	Vertraglich könnte man das nie so gut absichern
238050	240240	2190	wie mit der Elternstellung.
240220	243280	3060	Die Gegner - v.a. aus den Reihen von CVP und SVP -
243260	245480	2220	befürchten eine Salamitaktik mit dem Ziel,
