start	end	duration	text
3930	4010	80	.
17990	18450	460	MIT TELETEXT-UNTERTITELUNG
20260	22250	1990	Afrikanische Trommelklänge
22870	27050	4180	"In ""Reporter"" sorgte eine schweizerisch-afrikanische Beziehung"
27240	29610	2370	"für Schlagzeilen: ""Das muss Liebe sein""."
30260	32220	1960	Die Bernerin Katharina Hänni
32470	33500	1030	wanderte nach Kamerun aus, um Königin zu werden.
40260	42910	2650	Heute lebt sie noch immer bei ihrem Prinzen,
43070	45430	2360	obwohl es inzwischen in der Ehe kriselt.
45580	48550	2970	Und jetzt nochmals der Film vom Januar 2006.
52780	55350	2570	Katharina Hänni fliegt in ein neues Leben.
56780	60390	3610	Die Bernerin wandert aus, nach Kamerun - der Liebe wegen.
63910	66830	2920	Eine blinde Liebe im wahrsten Sinne des Wortes.
67810	69710.00000000001	1900	Sie gehen ein grosses Risiko ein,
69870	73070	3200	einen Mann zu heiraten, den Sie noch nie gesehen haben.
73220	76950	3730	Nein. Ich habe ihn noch nicht gesehen, aber ...
77620	78510	890	... wir kennen uns. Wir ...
80670	82550	1880	Das ist schwierig zu sagen.
83580	87470	3890	Wir verstehen uns, und von daher ist er kein fremder Mann.
88900	92870	3970	Der Zukünftige soll ein Prinz sein, mit Anspruch auf den Thron.
93070	93509.99999999999	440	Und dann wäre Katharina Hänni eine Königin.
110300	112310	2010	Die Liebe kam via Internet.
112420	114710.00000000001	2290	Es war im Mai 2005.
114789.99999999999	117110	2320	Zu Hause im bernischen Moosseedorf
117190	121230	4040	entdeckte die damals 41-jährige Frau ein Bild ihres Prinzen.
122460	123510	1050	Das ist er in seinen Prinzenkleidern.
125550	128710.00000000001	3160	Dieser spezielle Hut zeichnet ihn aus.
128820	130949.99999999999	2130	Die Goldkette.
131630	134110	2480	Die Armreife und das Zepter.
135380	138550	3170	Er ist Prinz Marcelin Paholo von Bangangte.
140430	143560	3130	Also ein zukünftiger König, den Sie heiraten werden.
143690	145280	1590	Ja, richtig.
145460	148600	3140	Er ist der Sohn des Chef Superieur von Bangangte.
149329.99999999997	152560	3230	Fühlen Sie sich schon wie ein zukünftige Königin?
152670.00000000003	153560	890	Nein, eigentlich überhaupt nicht.
155900	157880	1980	Ich kenne diese Welt ja nicht.
159070	161600	2530	Ja, ich werde dort ins kalte Wasser geschmissen,
161740	165200	3460	und ich bin ganz sicher, dass ich mit seiner Hilfe schwimmen werde.
165420.00000000003	168600	3180	Ein wenig scheint sie sich doch schon wie eine Königin zu fühlen.
169550	171920.00000000003	2370	Trifft Katharina Hänni auf Bekannte,
172070	175600	3530	zeigt sie mit Stolz ihre frisch gedruckte Visitenkarte.
176230	178200	1970	"""Reine Paholo Katharina""."
180140	182840	2700	Ich bin bereits auf dem Status einer Königin.
182980	183640	660	Wenn ich ankomme, werden die Leute mich mit Reine Paholo ansprechen.
188030	190600	2570	Und ... Jetzt habe ich doch noch eine Frage.
190710	191840	1130	Ja?
192060	194400	2340	Sie wissen, dass er Sie heiraten wird?
194500	195720	1220	Ja.
195950	198610	2660	Ich war noch nie in Kamerun und er noch nie in Europa.
199340	201570	2230	Wir haben uns noch nie live gesehen.
201790	203610	1820	Was? Heimatland!
203780	207650	3870	Sie heiraten jemanden, den Sie ... ... nie live gesehen habe.
207780	210690	2910	Noch nie gehabt, geküsst, nichts? Nein, noch nie.
210910	213570	2660	Aber Sie wissen, wie er aussieht? Und Sie machen das?
213910	217329.99999999997	3420	Ja, Fotos habe ich bekommen. Ah, doch! Das ist wichtig.
217450	219410	1960	Dann würde ich es auch machen.
219670.00000000003	223130	3460	Sie sind ja wahnsinnig waghalsig, würde ich sagen.
223300	224770	1470	Lachend: Ja.
225500	228570	3070	Reine Katharina machte eine Lehre als Verkäuferin und bezieht Sozialhilfe.
234300	236570	2270	Sie sind seit 2 Jahren arbeitslos.
236700	241210	4510	Hat es vielleicht auch mit mangelnder Zukunftsperspektive hier zu tun,
241470	243570	2100	dass Sie auswandern und einen Mann in Afrika heiraten wollen?
246800	248810	2010	Ähm, wie soll ich sagen?
249020	253090	4070	Es ist eine glückliche Fügung, aber das war nicht der Ausschlag.
254190	258570	4380	Aus meiner Sicht ist es jetzt optimal, wie es zusammenpasst,
259220.00000000003	261529.99999999997	2310	aber es ist nicht der Hauptgrund, nein.
264380	266930	2550	An diesem Tag wird das Zuhause aufgelöst.
269130	271170	2040	Die Eltern helfen mit.
274550	279250	4700	Herr Hänni, was sagen Sie dazu, dass Ihre Tochter nach Afrika auswandert?
280760	282730	1970	Ja, was soll man da sagen?
284610	286170	1560	Also ...
286300	288650	2350	Einerseits ist sie alt genug, um zu wissen, was sie macht.
289950	291690	1740	Und andererseits
291780	295409.99999999994	3630	hört man nicht gerade das Beste über das, was in Afrika so passiert.
295630	300730	5100	Irgendwie gibt sie zu viel auf im Moment.
301220	303170	1950	Meiner Ansicht nach ...
305430	307650	2220	... weiss sie, was sie tut, oder?
309940	311890	1950	Bald ist es so weit.
312660	315370	2710	Die Gedanken sind bereits bei der Ankunft.
316340	318610	2270	Sein Vater, der König, wird mich begrüssen,
319220	322770	3550	ein Mann aus der Regierung wird mich auch begrüssen.
323790	327050	3260	Aber ob er mir alles erzählt hat, weiss ich nicht.
327150	329170	2020	Ich muss mich überraschen lassen.
