start	end	duration	text
1310	5560	4250	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6630	8600	1970	Guten Abend, meine Damen und Herren.
8780	11600	2820	"Hier ist die ""Tagesschau"", und das sind die Themen heute Samstag."
13650	16040	2390	Die rechtspopulistische Alternative für Deutschland
16170.000000000002	18800	2630	ringt um ihr politisches Programm.
21030	23680	2650	Gewerkschaften kämpfen am 1. Mai auch um Mitglieder
23810	26520	2710	und politischen Einfluss.
28560	32479.999999999996	3920	Kenia verbrennt 105 t Elfenbein.
34780	39840	5060	Nur im Süden ist es nicht den ganzen Tag lang nass.
42110	43920	1810	So jung und schon so erfolgreich:
44040	46400	2360	Die AfD, die Alternative für Deutschland,
46630	50200	3570	ist erst drei Jahre alt und bereits kometenhaft aufgestiegen.
50310	53560	3250	Bundesweit in verschiedene Landtage eingezogen.
53700	55680	1980	Doch die AfD polarisiert.
55800	58120	2320	Hunderte protestieren heute in Stuttgart
58320	62240	3920	vor dem Gebäude, in dem die AfD ihren Parteitag durchführt.
62420	65920	3500	Der AfD wird Fremdenfeindlichkeit vorgeworfen.
66130	69039.99999999999	2910	Es kommt zu Rangeleien und Scharmützeln mit der Polizei.
69150	71080	1930	Diese nimmt laut eigenen Angaben
71300	74520	3220	rund 400 Demonstranten vorläufig in Gewahrsam.
74630	77039.99999999999	2410	Die AfD wird aber nicht nur von aussen attackiert,
77180	79840	2660	sondern tut sich auch intern schwer.
79970	85080	5110	Mit einem Parteiprogramm, dem ersten richtigen notabene. Adrian Arnold.
86940	90920	3980	Einigkeit herrscht darüber, wohin die Partei will. Langfristig.
91150	94479.99999999999	3330	Raus aus der Opposition, rein in die Regierung,
94590	96880	2290	an die Schalthebel der Macht.
97039.99999999999	99600	2560	Wir wollen doch perspektivisch nicht diejenigen bleiben,
99770.00000000001	103160	3390	die als Juniorpartner, als kleine Oppositionspartei
103350	105680	2330	in den Parlamenten sitzen.
105830	108160	2330	Wir wollen Mehrheiten erringen, meine Damen und Herren.
108280	110320	2040	Und zwar mit einem neuen Programm.
110500	113560	3060	Der Islam gehört nicht zu Deutschland, steht darin.
113700	118039.99999999999	4340	Die AfD will fremdfinanzierte Moscheen und auch Minarette verbieten
118180	121240	3060	und vollverschleierte Frauen.
121390	124640	3250	Aus der Antiflüchtlingspartei wird nun die Anti-Islam-Partei -
124750	127840	3090	im Land, in dem 5 Mio. Muslime leben.
128009.99999999999	130199.99999999999	2190	Muslime gehören zu Deutschland, selbstverständlich.
130370	132480	2110	Aber der Islam gehört einfach nicht zu Deutschland.
132610	136170.00000000003	3560	Das ist eine ganz klare Aussage.
136340	138490	2150	Was gehört Ihrer Meinung nach nicht dazu?
138579.99999999997	139930	1350	Eine Steinzeitreligion.
140120	143050	2930	Im Islam werden die Frauenrechte mit Füssen getreten.
143250	145370	2120	Ich habe einfach Angst um unsere christlichen Werte,
145500	147530	2030	die dadurch verloren gehen.
147660	150530	2870	In Sachen Islam herrscht Einigkeit.
150700	154170.00000000003	3470	Anschliessend aber folgen chaotische Debatten und Richtungskämpfe -
154340	158450	4110	1'400 Änderungsanträge gibt's zur Parteiausrichtung
