start	end	duration	text
10800	12840	2040	.
12920	15080	2160	1:1-Untertitelung. Livepassagen können Fehler enthalten.
15240	17160	1920	"""10vor10"". Guten Abend, meine Damen und Herren."
17290	19280	1990	10 Tage noch,
19420	21640	2220	dann wählt das Schweizer Stimmvolk ein neues Parlament.
21770	23840	2070	Für die Parteien
24020	26680	2660	und die fast 4'000 Kandidierenden für den National- und Ständerat
26800	29040	2240	hat der Schlussspurt begonnen.
29140	31120	1980	Auf der Zielgeraden ins Bundeshaus
31190	33120	1930	versuchen praktisch alle nochmals Boden gutzumachen.
33310	35050	1740	Wir sind mit der Kamera dabei, heute im Fokus.
35170	36930	1760	Dann haben wir noch diese Themen:
38710	41210	2500	Die FIFA-Ethikkommission will den FIFA-Boss offenbar suspendieren.
41930	45090	3160	Die EU verschärft ihren Militäreinsatz im Mittelmeer.
47090	52570	5480	Deutsche Filmemacher konfrontieren Passanten mit Adolf Hitler.
55080	59010	3930	Ist Sepp Blatter als FIFA-Präsident noch offiziell im Amt
59140	61930	2790	oder suspendiert?
62110	65209.99999999999	3100	Heute Abend machten verschiedene Meldungen die Runde,
65319.99999999999	68370	3050	die Ethikkommission der FIFA habe Sepp Blatter für 90 Tage suspendiert.
68550	71370	2820	Allerdings ist dies vom Vorsitzenden der Richterkammer,
71580	74370	2790	Hans-Joachim Eckert noch nicht bestätigt worden.
74550	77810	3260	Und ohne diesen Richterspruch tritt die Suspendierung nicht in Kraft.
77960.00000000001	80690	2730	Trotzdem, für Sepp Blatter wirds eng. Andre Ruch.
82490	86210.00000000001	3720	Keine Stellungnahme von Seiten der FIFA heute Abend zur Meldung,
86300	88410	2110	dass Sepp Blatter für 90 Tage
88680	92090	3410	von seinem Präsidentenamt suspendiert werden soll.
92220	95170	2950	Sepp Blatter selber beteuerte bis zuletzt seine Unschuld,
95320	98770.00000000001	3450	wie etwa in diesem Interview von Ende August:
99000	101930	2930	Ich weiss, was ich getan habe und was nicht.
102090	104930	2840	Ich weiss, dass ich ein ehrlicher Mann bin.
105009.99999999999	107650	2640	Mein Gewissen ist rein.
107800	111690	3890	"Anfang September aber veröffentlicht ""10vor10"" diesen Vertrag."
111789.99999999999	115170	3380	Darin überträgt die FIFA dem Fussballverband der Karibikstaaten
115330	119009.99999999999	3680	die Übertragungsrechte der WM 2010 und 2014
119090	123130	4040	sowie weiterer FIFA-Turniere.
123300	126970	3670	Der Preis von insgesamt 600'000 $ ist dabei viel zu tief angesetzt.
127130	129850	2720	Unterzeichnet hat Sepp Blatter persönlich -
129979.99999999999	134290	4310	Vertragspartner war der Präsident des Karibischen Verbandes, Jack Warner.
134450	137610	3160	Die Vermutung liegt nahe, dass Jack Warner vom Deal profitierte.
137690	140650	2960	Während Sepp Blatter ihm die FIFA-Übertragungsrechte
140730	143329.99999999997	2600	für nur 600'000 $ überliess,
143500	147210	3710	konnte Warner diese an einen TV-Sender weiterverkaufen -
147360	150890	3530	zu einem geschätzten Preis von 15-20 Mio. $,
150970	154650	3680	was für ihn einen satten Gewinn ergibt.
154820	158050	3230	Im Gegenzug soll Jack Warner dem FIFA-Präsidenten Sepp Blatter
158130	162690	4560	Stimmen für dessen Wiederwahl zugesichert haben.
162770	167970	5200	SRF-Journalist Jean-Francois Tanda war es,
168110	172450	4340	der den Vertrag an die Öffentlichkeit brachte.
172620	175290	2670	Gut, der Fernseh-Vertrag ist nur das Eine.
175420.00000000003	178530	3110	Das Andere sind 2 Mio. Fr.,
178750	182250	3500	die Blatter 2011 an Michel Platini überweisen liess.
182380	185090	2710	Angeblich für Dienstleistungen,
185250	188810	3560	die schon von 1999 bis 2002 erbracht worden waren.
188890	191130	2240	Das wirft natürlich viele Fragen auf.
191270	193770	2500	Diese beiden Dinge zusammen
193920	196130	2210	könnten das Fass zum Überlaufen gebracht haben.
196300	198970	2670	Nun soll Blatter für 90 Tage suspendiert werden.
199160	203090	3930	Er selber hätte unbedingt bis Ende Februar im Amt bleiben wollen.
204860	208370	3510	Ein regelmässiger Gast zu diesem Thema ist jetzt bei uns im Studio.
208540	211290	2750	Der ehemalige FIFA-Direktor Guido Tognoni.
211420.00000000003	213650	2230	Guten Abend Herr Tognoni.
213840	215890	2050	Die Verwirrung heute Abend - suspendiert oder nicht -,
216070	217890	1820	wie kann das passieren?
218090	220690	2600	Wir untertiteln live:
225630	231530	5900	Das ist eine unglaubliche Kommunikationspanne.
233500	236210	2710	Der Strafauftrag sollte nicht vor der Strafe herausgehen.
236490	242290	5800	Es ist unverständlich, was passiert ist.
243000	249010	6010	Kann immer noch arbeiten gehen?
