start	end	duration	text
1290	7150	5860	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7300	9750	2450	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
9860	12310	2450	Das macht an diesem Freitag Schlagzeilen:
14350	17710	3360	Opposition und Regierung unterzeichnen Kompromiss.
19250	22910	3660	Energieministerin Leuthard wirbt für das Stromabkommen.
24490	29830	5340	Schneewittchen zu seinem 75. Geburtstag im Theater Basel.
31080	33750	2670	Im Laufe des Tages immer mehr Wolken.
36040	39430	3390	Was gestern Abend in der Ukraine nach Tagen mörderischster Gewalt
39630	42110	2480	und tiefster Zerrissenheit noch unmöglich schien -
42320	45830	3510	das könnte jetzt Wirklichkeit werden: eine politische Lösung:
45930	47590	1660	Präsident Janukowytsch und die Opposition
47740	50830	3090	haben sich zusammen mit Vermittlern aus der EU und Russland
50950	52670	1720	auf einen Kompromiss geeinigt.
52780	56150	3370	Die Eckpunkte:
56310	58190	1880	Vorgezogene Präsidentschaftswahlen schon dieses Jahr.
58280	60150	1870	Bildung einer Regierung der Nationalen Einheit
60220	63390	3170	und die Rückkehr zur Verfassung von 2004 und damit
63510	65910	2400	zur parlamentarischen Demokratie.
65990	67750	1760	Ein entsprechendes Dokument
67990	69590	1600	haben Regierung und Opposition unterzeichnet.
69770	73190	3420	Ob sich damit die Lage beruhigt - das bleibt jetzt abzuwarten.
74600	76830	2230	Eine vielleicht historische Unterschrift.
77090	79830	2740	Präsident Janukowytsch unterzeichnet die Vereinbarung.
79920	81789.99999999999	1870	So wie die Führer der Opposition,
81950	85710.00000000001	3760	hier Arsenij Jazenjuk und Vitali Klitschko.
85880	91390	5510	Als Garant der EU mit am Tisch der deutsche Aussenminister Steinmeier.
91470	93590	2120	Das Parlament doppelt sofort nach:
93740.00000000001	97470	3730	Es stimmt für die Rückkehr zur Verfassung von 2004.
97680	99830	2150	Es entlässt den Innenminister wegen Gewaltanwendung
100030	103350	3320	und amnestiert alle protestierenden Bürger.
103440	104670	1230	Und es bereitet
104830	109870	5040	die Freilassung der Oppositions- führerin Julija Tymoschenko vor.
109970	115710.00000000001	5740	Das Verhandlungsteam ist zufrieden. Euphorisch ist aber keiner:
116410	121710	5300	Nicht alle Probleme sind gelöst, aber der Inhalt der Vereinbarung,
121950	125910	3960	glaube ich, lässt uns zuversichtlich nach vorne schauen.
126130	129030	2900	Auf dem Majdan versammelten sich erneut Tausende,
129130	132430	3300	um den Widerstand gegen die Regierung zu stärken.
132620	135310	2690	Der Repräsentant dieser Menschen, der sog. Majdan-Rat,
135550	138829.99999999997	3280	hat sich mit dem Kompromiss einverstanden erklärt.
138990	143430	4440	Einzelne radikale Gruppierungen sprechen allerdings von einem Betrug
143650	145230	1580	und wollen den Kampf fortsetzten.
145410	148190	2780	Auch viele Demonstranten sind skeptisch:
148750	152190	3440	Janukowytsch und seine Hintermänner
152270	154670.00000000003	2400	werden sich nicht an die Abmachungen halten. Ich traue ihm nicht.
154770	156430	1660	Damit er seine Versprechen einhält,
156600	159390	2790	muss der Majdan den Druck aufrechterhalten.
161329.99999999997	163270	1940	Wir sollten nicht mit Janukowytsch verhandeln.
163450	166230	2780	Jetzt will er seine Immunität bewahren
166250	169190	2940	und mit den Europäern verhandeln,
169370	172590	3220	dabei geht es nur ums eins: Das Volk will, dass er zurücktritt.
172720	175870	3150	Noch stehen die Barrikaden.
176090	177750	1660	Alles kommt jetzt auf diese Leute an, auf die Demonstranten.
177910	182710	4800	Nur wenn sie der Politik vertrauen, kann die Ukraine Ruhe finden.
183990	185910	1920	Der Kompromiss ist unterzeichnet.
186150	188240	2090	Und jetzt stellen sich alle die bange Frage:
188400	191280	2880	Kann die Einigung die Situation nachhaltig entschärfen?
191500	193360	1860	Diese und weitere Fragen gilt es zu erörtern -
193490	197040	3550	und zwar mit unseren Korrespondenten in Kiew und in Brüssel.
197210	200760	3550	Zuerst nach Kiew: Christof Franzen, kann dieser Kompromiss halten?
200980	210680	9700	Kann er die Fronten beruhigen? Wir untertiteln live:
210840	213800	2960	Die Fronten haben sich schon etwas beruhigt.
217130	220200	3070	Die Sondereinheit Truppen haben den Majdan und das Zentrum der Stadt
220380	221600	1220	verlassen.
221790	225079.99999999997	3290	Es liegt an den Oppositionellen dafür zu sorgen,
227950	230480	2530	dass die paramilitärischen Gruppierungen, die immer noch
230660	232520	1860	bewaffnet mit Schlagstöcken
236050	238920.00000000003	2870	und zum Teil angetrunken in der Stadt herumlaufen, dass man diese
239140	241010	1870	unter Kontrolle bringt.
241530	244850	3320	Jetzt zur Rolle der EU - und damit zu Jonas Projer in Brüssel:
244930	247970	3040	Schliesslich war es ja die von Janukowytsch blockierte Annährung an
248160	250090	1930	die EU, die die Proteste erst ausgelöst hat.
250260	252170	1910	Jetzt gibt der in wichtigen Punkten nach.
252360	255610	3250	Was kann die EU ihm, der Ukraine jetzt bieten?
264450	267890	3440	Erstmal wird die EU alles versuchen, dass die Einigung umgesetzt wird.
268120	271330	3210	Das ist der grosse Tenor heute Abend in Brüssel.
272470	275050	2580	Man kann der Ukraine eine wirtschaftliche Zusammenarbeit
275170	276090.00000000006	920	bieten.
276220	277650	1430	Es gibt einen fertigen Vertrag.
277760	279610	1850	Er liegt auf dem Tisch.
279700	282650	2950	Angebot muss nur noch unterzeichnet werden.
290450	293250	2800	Die EU mit der Ukraine aber die Aussicht auf eine Mitgliedschaft
293400	295370	1970	nicht bieten.
295700	297610	1910	Man ist dazu nicht bereit.
