start	end	duration	text
5510	6130	620	.
6280	7570	1290	1:1-Untertitelung
7700	9610	1910	Guten Abend, meine Damen und Herren.
9740	11530	1790	"Hier ist die ""Tagesschau"","
11710	13370	1660	und das sind die Themen heute Sonntag, dem Tag der Arbeit.
13990	18370	4380	Die SP-Bundesrätin besucht zum 1. Mai Menschen bei der Arbeit.
20770	24850	4080	Glarus will seinen Landsgemeindeplatz besser vermarkten -
24960	27210	2250	doch es gibt Widerstand.
28160	31730	3570	Barack Obama und sein letztes Presse-Dinner
31850	34690	2840	mit den Washingtoner Journalisten.
36190	42090	5900	Der FC Basel und seine Fans feiern den Meistertitel im strömenden Regen.
43220	47330	4110	Nur noch an den Alpen ab und zu Regen.
48800	51050	2250	Was für ein verregneter Sonntag.
51200	53770	2570	Keiner, der Lust machte, nach draussen zu gehen. Und doch.
53930	56050	2120	Schweizweit machten das Tausende.
56240	58770	2530	Um am Tag der Arbeit zu demonstrieren.
58920	63330	4410	So etwa in Genf. Ausgerüstet mit Regenschirmen und warm eingepackt,
63400	65450	2050	nehmen rund 1'500 Menschen
65630	69330	3700	an der traditionellen 1.-Mai-Kundgebung teil.
69450	71690	2240	Demonstriert wird für höhere Renten -
71810	75650	3840	und gegen eine Erhöhung des Rentenalters für Frauen.
75830	79090	3260	Auch in Zürich trotzen die Demonstranten Regen und Kälte.
79250	82690	3440	Rund 10'000 Menschen laufen laut Angaben der Organisatoren
82789.99999999999	85410	2620	an der Kundgebung mit.
85570	88570	3000	Der heutige Tag der Arbeit ist zwar ein Sonntag,
88730	91450	2720	für einige Berufsgruppen aber eben doch ein Tag der Arbeit.
91590	96210.00000000001	4620	Und so hat SP-Bundesrätin Simonetta Sommaruga Pflegende besucht.
98840	102610	3770	Die Bundesrätin ist heute im Spital Winterthur der prominente Gast.
102840	107300	4460	Doch der Star, der allen die Show stiehlt, ist das Neugeborene.
107390	110340	2950	Ein Highlight - auch für Sommaruga.
110450	114220	3770	Es ist etwas ganz Besonderes,
114450	118340	3890	ein zwei Tage altes Baby im Arm zu halten.
118440	120260	1820	Gleichzeitig spürte ich,
120410	123460	3050	dass diese kleinen Kinder eine Umgebung brauchen,
123570	127820	4250	in der sich die Mutter und der Vater wohlfühlen.
128090	132460	4370	Es braucht Pflegepersonal und Ärzte, denen es auch wohl ist.
132600	135820	3220	Zu einem guten Arbeitsklima gehört Zeit fürs Plaudern.
135940	138540	2600	Wenn die Bundesrätin kommt, hat man Zeit.
138710	141220	2510	Doch im Alltag bleibt immer weniger davon.
141440	144980	3540	Der Spardruck der Spitäler nimmt zu, folglich entlassen diese
145090	148660	3570	beispielsweise Mütter nach der Geburt früher nach Hause:
148770	150860	2090	Die Herausforderung ist ganz klar,
150970	154579.99999999997	3610	dass die Aufenthaltsdauer der Patienten verkürzt ist,
154810	157700	2890	wir aber dennoch eine Qualität bieten möchten,
157950	160420.00000000003	2470	die für uns und auch für die Patienten stimmt.
160590	165620	5030	Der Spardruck steigt. Der Bedarf an Mitarbeitern aber ebenso.
