start	end	duration	text
3370	3550	180	.
3550	7470	3920	1:1-Untertitelung
7670	12590	4920	10 vor 10, das ist die Zeit für Ihren Blick hinter die Schlagzeilen.
12780	16070	3290	Guten Abend. Heute haben wir das hier für Sie:
18210	21030	2820	Weshalb Regierungsmitglieder in Schweizer Städten
21180	24310	3130	immer öfter tiefere Saläre akzeptieren müssen.
27010	29110	2100	Wie sich die Credit Suisse
29280	33030	3750	neu auch gegen interne Fehler millionenschwer absichert.
36840	38950	2110	In Belgiens Gefängnissen
39120	43030	3910	führt der Streik des Wachpersonals zu Elend und Chaos.
46090	48620	2530	Der Schweizer Mittelfeldspieler Granit Xhaka
48760	51660	2900	"im Taktikcheck von ""10vor10""."
54250	57140	2890	Das Abstimmungswochenende ist vorbei,
57270	59820	2550	die Initiative Pro Service public abgelehnt.
59920	63220	3300	Die Diskussion um hohe Löhne spendiert von der öffentlichen Hand
63350	65500	2150	bleibt aber.
65670	68420	2750	Das bekommen auch Stadtregierungen zu spüren.
68550	70620	2070	Gerade gestern hat das Volk in zwei Städten
70810	73220	2410	der Exekutive einen Lohndeckel verpasst:
73320	75580	2260	in Biel und Chur.
75680	77740	2060	Weitere Gemeinden könnten folgen,
77940	80140	2200	wie der Beitrag von Franziska Ramser zeigt.
81310	83340	2030	Urs Marti.
83510	86940	3430	Der Churer Stadtpräsident wurde gestern glanzvoll wiedergewählt.
87050	90220	3170	Absolut verdient. - Danke vielmals. Freut mich sehr.
90370	92700	2330	Zugleich hat ihm das Stimmvolk aber den Lohn gekürzt.
92800	95060	2260	Marti wird künftig nicht mehr 262'000,
95270.00000000001	99820	4550	sondern 230'000 Fr. verdienen.
99979.99999999999	104300	4320	Dieses Votum habe wohl wenig mit seiner Leistung zu tun, sagt er.
104430	106539.99999999999	2110	Danke. Danke vielmals. - Gern geschehen.
108539.99999999999	110780	2240	Ich denke, dass viele ihren Wahlzettel
110870	112979.99999999999	2110	zu Hause im Wohnzimmer ausfüllen
113200	116020.00000000001	2820	und dann ihren Lohn mit dem des Stadtpräsidenten vergleichen.
116160	118140	1980	In der Relation ist das natürlich hoch.
118280	120140	1860	Von daher gesehen habe ich Verständnis,
120360	123220	2860	aber umgekehrt werden wahrscheinlich viele harten Fakten ausgeblendet.
123440	125260	1820	Ich glaube einfach, dass wir als Politiker
125480	127740	2260	doch stark verschiedenen Stimmungen ausgesetzt sind.
127990	129979.99999999999	1990	Wir haben ein grosses Portfolio zu managen
