start	end	duration	text
2230	6500	4270	.
6690	12140	5450	1:1-Untertitelung
12220	14860	2640	"Der ""Club"" heute mit Karin Frei."
15020	18060	3040	"Guten Abend und herzlich willkommen im ""Club""."
18230	22980	4750	In der Schweiz gibt es etwa 500'000 Kifferinnen und Kiffer.
23070	26260	3190	Laut Gesetz tun sie etwas Kriminelles.
26400	28660	2260	Die Polizei muss sie verfolgen und büssen.
28770	33380	4610	Ein administrativer Leerlauf sei das und fördere den Schwarzmarkt.
33530	36780	3250	Die Städte sind auf der Suche nach Alternativen und haben Ideen,
36880	39140	2260	was man anders machen könnte.
39230	42380	3150	Das Losungswort ist: kiffen im Verein.
42490	44380	1890	Wir schauen uns das an.
44530	46860	2330	Ich begrüsse ganz herzlich meine Gäste:
46940	51020	4080	Die ehemalige SP-Bundesrätin Ruth Dreifuss.
51260	54140	2880	Sie hat die Schweizer Drogenpolitik massgeblich geprägt.
54330	56940	2610	Auch heute noch widmet sie sich diesem Thema.
57100	59820	2720	Sie ist Mitglied der Weltdrogenkommission und sagt:
59970	63340	3370	"""Die Repressionspolitik ist gescheitert,"
63420	65820	2400	"es braucht neue Modelle."""
65920	69420	3500	Mit dabei ist Martin Killias, Professor für Strafrecht
69520	72860	3340	und Kriminologie an der Universität St. Gallen.
72980	74780	1800	Er sieht das anders.
74840	80100	5260	Er befürchtet, solche Vereine würden mehr Leute zum Kiffen verleiten.
80280	84380	4100	Ich begrüsse Sandro Cattacin, Soziologieprofessor an der Uni Genf.
84530	87260	2730	Er ist Präsident des Genfer Modells,
87360	90500	3140	das die Idee vom Kiffen im Verein umsetzt.
90640	92860	2220	Auch bei uns ist Verena Herzog.
93009.99999999999	95660	2650	Sie ist Nationalrätin der SVP Thurgau.
95890	99780	3890	Sie hat null Verständnis für eine Änderung des bestehenden Gesetzes.
99880	104380	4500	Kiffen sei gefährlich, z.B. weil es Psychosen auslösen könne.
104550	107100	2550	Und sehr am Genfer Modell interessiert
107270.00000000001	111460.00000000001	4190	ist die Sozialvorsteherin der Stadt Bern, Franziska Teuscher.
111630	114340	2710	Sie sagt, sie habe natürlich kein Interesse daran,
114380	116420	2040	dass mehr Leute zu kiffen begännen.
116570	118900	2330	So wie es jetzt laufe, gehe es aber nicht weiter.
119050	121020	1970	Ich begrüsse Sie ganz herzlich.
121180	123980	2800	Ich möchte international starten mit Ruth Dreifuss.
124210	127340	3130	"Sie sagen, der ""War on Drugs"" - der Krieg gegen die Drogen -"
127450	129580.00000000001	2130	sei gescheitert.
129810	132500	2690	Können Sie kurz zusammenfassen, warum?
132630	136820	4190	Wenn wir vom allgemeinen Drogenproblem sprechen,
137030	139420.00000000003	2390	nicht nur vom Cannabis,
139540	143660	4120	dann ist klar, dass Konsum und Produktion zugenommen haben.
143840	150180	6340	Die Repression nimmt ein grosses Ausmass an, bis zur Todesstrafe.
150320	153620	3300	Bis hin zur Verletzung grundsätzlicher Menschenrechte.
153810	159860	6050	Das ist aber ergebnislos im Sinne einer gesunden Gesellschaft.
159980	164260	4280	In diesem Sinne ist diese seit 50 Jahren währende Politik gescheitert.
164440	167460	3020	Ich glaube, das Bewusstsein für dieses Scheitern
167560	170540	2980	ist jetzt viel ausgeprägter.
170740	175820	5080	Man sieht in Amerika und Europa schon seit Jahren,
176090	180140	4050	dass dies im Grunde nicht der richtige Weg ist.
180280	183380	3100	Die Repressionspolitik ist gescheitert, Martin Killias.
183480	187060	3580	Das ist schwierig zu sagen.
187330	191460	4130	Natürlich sind die Ergebnisse höchst unbefriedigend.
191570	195420	3850	Es gibt grosse Probleme, denken wir z.B. an Mexiko.
195530	198540	3010	Allerdings treten die Probleme
198700	203700	5000	hauptsächlich im Zusammenhang mit Cannabis und Kokain auf.
203870	211140	7270	Man muss aber auch sagen, dass es schwierig ist,
211290	213460	2170	über die Repressionspolitik zu urteilen,
213630	217620	3990	denn man hat gar nie etwas anderes ausprobiert.
217730	220380	2650	D.h., wir hätten ohne Repression
220470	223420.00000000003	2950	vielleicht kein Polizei- oder Justizproblem,
223590	229140	5550	sondern einfach ein grosses Gesundheitsproblem.
229280	231260	1980	Darüber sprechen wir heute Abend.
231450	233460	2010	Frau Herzog, Sie haben gesagt,
233640	236880	3240	Sie hätten kein Interesse an einer Änderung des Gesetzes.
237050	240760	3710	Aber so wie es jetzt läuft, läuft es offenbar auch nicht richtig.
240850	244920	4070	Dass die jetzige Situation nicht gut ist, darin sind wir uns einig.
245130	250080	4950	Aber die Ursachen orten wir verschieden.
250250	255160	4910	Wenn man sagt, die Repression sei gescheitert ...
255230	259519.99999999997	4290	Wenn ich als Nationalrätin die Schweiz anschaue, muss ich sagen,
259720.00000000003	263160	3440	man hat wahrscheinlich zu wenig durchgegriffen.
263320	266720	3400	Es heisst, wenn man jemanden beim Dealen auf der Strasse erwischt,
266860	268560	1700	wird er von der Polizei verhaftet
268740	271360	2620	und am nächsten Tag muss man ihn schon wieder laufen lassen.
271500	273000	1500	Das kann es nicht sein.
273240	276800	3560	Man hat ganz klar zu wenig durchgegriffen.
276980	280640	3660	Man sieht das auch an verschiedenen Anlässen.
280850	284440	3590	Das Kiffen wird toleriert, Drogenumschlagplätze ebenso.
284640	289400	4760	Andererseits wurde präventiv, prophylaktisch,
289580	295400	5820	in Bezug auf Cannabis fast nichts unternommen.
295510	299280	3770	Da gibt es Verbesserungspotenzial.
299460	304960	5500	Aber sicher nicht in die Richtung, in die die Stadt Genf zielt.
305050	310760	5710	Das ist für mich völlig unglaubwürdige Politik,
310850	315400	4550	wenn man Cannabis-Social-Clubs machen will,
315570	321560	5990	in denen man dann legal Stoff kaufen und konsumieren kann.
321670	323960	2290	Wir schauen uns das Modell gleich an.
324110	327040	2930	Und den Jungen sollte man dann trotzdem vermitteln:
327250	328800	1550	"""Kiffen ist schon gefährlich."""
328940	331480	2540	Denn dass es gefährlich ist, darin sind wir uns alle einig.
331620	333200	1580	Wir diskutieren darüber.
333470	335840.00000000006	2370	Ich möchte ein Zitat von Frau Herzog aufnehmen.
335940	339400	3460	Die Polizei greife zu wenig durch, man mache zu wenig in den Städten,
339480	342120	2640	zu wenig Prävention und Kontrolle.
342360	345520	3160	Frau Teuscher, Sie sind an der Front, Sie sehen, was läuft.
345640	348040	2400	Das wäre ein Vorwurf an Sie.
348230	349840.00000000006	1610	Für mich gilt, was Ruth Dreifuss
350130	352480	2350	für die internationale Ebene gesagt hat.
352650	355520	2870	Mit der repressiven Politik sind wir auch aus meiner Sicht
355640	358280	2640	in der Schweiz auf dem Holzweg.
358390	361040	2650	Wir haben ein Verbot für Cannabis,
361130	365240	4110	die Substanz, auf die wir uns in dieser Diskussion konzentrieren.
365410	369920	4510	Wir haben ein Verbot, das mehr Probleme bringt, als es löst.
370050	372960	2910	Greifen wir zu wenig durch?
373200	375960	2760	Für mich ist das Hauptproblem mit dem bestehenden Verbot,
376190	378800	2610	dass man Cannabis trotzdem auf dem Schwarzmarkt kaufen kann.
