start	end	duration	text
1620	14360	12740	1:1-Untertitelung
14550	20040	5490	In den letzten 10 Jahren hat die Zahl der Kreditkarten in der Schweiz
20150	24160	4010	von 3,5 auf 6,5 Mio. zugenommen.
24330	27720	3390	Im gleichen Zeitraum ist die Zahl der Debitkarten
27860	32680	4820	von 6,3 auf 9,2 Mio. gestiegen.
32790	37680	4890	Vom Baby bis zum Greis hat jeder Einwohner im Schnitt 2 Karten.
37780	40640	2860	Der Markt ist umkämpft.
40870	43360	2490	Jetzt gibt es ganz neue Zahlungsmöglichkeiten.
43480	47480	4000	Morgen tritt mit Twint ein grosser Player an die Öffentlichkeit.
47650	50360	2710	"Guten Abend und herzlich willkommen bei ""ECO""."
51740	56000	4260	Eine Tochter von PostFinance will zusammen mit der SBB
56110	59720	3610	den Markt für mobiles Zahlen erobern.
61220	67240	6020	Beim Machtkampf dreht sich vieles um einen weitgehend unbeachteten Markt -
67470	70240	2770	um das lukrative Geschäft mit Mörtel.
71550	75670	4120	In Tunesien fühlen sich viele Menschen nach dem Arabischen Frühling
75770	77390	1620	alleine und von der Welt vergessen.
81590	85070	3480	Telefonieren, Musik hören, fotografieren, twittern -
85310	88750	3440	das alles und vieles mehr kann man mit dem Handy.
88900	93150	4250	Neu soll jetzt per Telefon auch das Zahlen möglich sein.
93289.99999999999	95190	1900	Ob das ein Erfolg wird,
95340	99390	4050	darüber entscheiden Bedienungs- freundlichkeit, Preis und Sicherheit.
99520.00000000001	103110	3590	Morgen lanciert nicht irgendjemand ein neues Handy-Zahlsystem,
103190	107990.00000000001	4800	sondern mit PostFinance die Nummer 1 im Schweizer Zahlungsverkehr.
108110	109750	1640	Tilman Lingner:
110789.99999999999	116270.00000000001	5480	Das Gipfeli beim Bäcker kaufen - ein alltäglicher Ablauf,
116410	119950	3540	ausser, der Kunde zahlt per Smartphone.
120060	123070	3010	Twint heisst der neuste Versuch,
123250	126600	3350	den mobilen Zahlungsverkehr in der Schweiz zu revolutionieren.
126800	131560	4760	Das Telefon nimmt über eine Bluetooth-Anmeldestation
131720	133840	2120	Kontakt zur Kasse auf
133990	138120	4130	und transferiert dann den gewünschten Betrag.
138290	142690	4400	Thierry Kneissler ist Chef der PostFinance-Tochter Twint.
142800	144010	1210	Er ist überzeugt,
144110	147290	3180	dass dieses Zahlsystem bei den Kunden Anklang finden wird.
147520	150890	3370	Ich glaube schon, optimistisch gedacht,
151079.99999999997	154130	3050	dass wir nach einem halben Jahr eine 6-stellige Kundenzahl haben.
154260	156410	2150	Das ist nicht auszuschliessen.
156579.99999999997	162329.99999999997	5750	Mehr als 100'000 Kunden im ersten halben Jahr: ein ambitioniertes Ziel.
162460	163930	1470	Doch die Zeit drängt.
164120	165930	1810	Oh my god, it's so cool! Wow!
166110	168930	2820	Wow.
169020	173850	4830	Giganten wie Google und Apple erobern den US-Markt für Zahlsysteme
174079.99999999997	177970	3890	und können jederzeit zum Sprung nach Europa ansetzen.
178100	182370	4270	Bereits letzten Sommer hatte Swisscom mit Tapit
182510	187090	4580	das erste Smartphone-Zahlsystem auf den Schweizer Markt gebracht.
187220	190770	3550	Doch nach der grossen Ankündigung wurde es still um Tapit.
190900	195050	4150	Gerade 10'000-mal wurde die App heruntergeladen.
195190	198740	3550	Wie oft das System benutzt wird, will Swisscom nicht verraten.
198840	201540	2700	Am Institut für Finanzdienstleistungen Zug
201700	205740	4040	beschäftigt sich Andreas Dietrich mit mobilen Zahlsystemen.
205870	207980	2110	Dass Tapit zum Misserfolg wurde,
208110	211540	3430	erklärt er mit mangelnder Kundenfreundlichkeit.
211630	214579.99999999997	2950	Aus meiner Sicht ist das System an sich gut.
214730	216340	1610	Aber das Hauptproblem sehe ich darin,
216520	218540	2020	dass der Kunde einen sehr grossen Aufwand hat,
218730	220980	2250	bis Tapit funktioniert und man damit zahlen kann.
221079.99999999997	225980	4900	V.a. muss man eine extra SIM-Karte organisieren und dafür noch zahlen.
226120	229940	3820	Das zu organisieren, damit man dann vielleicht mal damit zahlen kann,
230040	232220	2180	das sehe ich aus Kundensicht eher als Nachteil.
232370	235260	2890	Twint macht den Einstieg für Kunden leichter.
235370	239940	4570	Die kleine Crew im Berner Büro ist überzeugt, gut vorbereitet zu sein:
240100	244900	4800	Die App ist nach einer Anmelde- prozedur von 5 Min. einsetzbar.
245060	248500	3440	Dann kann der Kunde von seinem Bankkonto maximal 3'000 Fr.
248670	252700	4030	auf das Smartphone laden und benutzt es wie ein Portemonnaie.
252830	255580	2750	Potenziell ist der Markt riesig.
255780	260660.00000000003	4880	Die Tochter der PostFinance ist entschlossen, ihn zu erobern.
260810	263900	3090	Im Zahlungsverkehr gibt es 3 Mrd. Transaktionen
264070	268820	4750	in der Schweiz und wir hoffen, dass ein schöner Teil mal über uns läuft.
268920	272060	3140	Das ist ein Markt, in dem man Erträge hat.
272250	276260	4010	Und im anderen Gebiet konkurrieren wir um Werbemittel,
276440	280820	4380	die auch in der Schweiz viel Umsatz machen - ich glaube,
280960	286300	5340	er liegt bei 5 Mrd. im Werbemarkt. Davon wollen wir uns was holen.
286560	291500	4940	Doch Werbung ist heikel und kann Kunden leicht verärgern.
291620	293740	2120	Deswegen setzt Thierry Kneissler
293840.00000000006	296260	2420	Werbung vorerst nur zurückhaltend ein.
296400	300060	3660	Genauso wichtig wie die Kunden sind die Händler,
300140	303460	3320	und die lockt Twint mit tiefen Transaktionskosten.
303640	307700	4060	Die Transaktionspreise sind die halben Preise von Debitkarten,
307920	312740	4820	d.h. 10 Rp., und bei den Kredit- karten sind es 2-3 %, wie man weiss.
312900	315020	2120	Das rechnet sich sehr schnell für einen Händler.
315120	317580	2460	Die anderen sind also zu teuer?
317800	321460	3660	Ja, das denken wir. Und man merkt, wenn man mit dem Handel diskutiert,
321600	325620	4020	dass auch der Handel denkt, dass Kreditkarten zu teuer sind.
325780	330140	4360	Doch das kontaktlose Zahlen geschieht heute meist per Kreditkarte.
330230	335180	4950	Gebraucht wird dafür eine Kommunikationsbox, kurz NFC.
335350	339900	4550	Es geht sehr schnell. Mit Twint ist der Zahlungsvorgang langsamer.
340070	343580	3510	Zudem müssen die Händler technologisch nachrüsten
343720	346140	2420	und Bluetooth anschaffen.
346320	350220	3900	Das könnte Twint laut dem Experten an einer schnellen Verbreitung hindern.
350400	352860	2460	Viele Händler haben auf NFC aufgerüstet,
353010	357980	4970	aber Beacon- und Bluetooth- Technologie haben noch nicht alle.
358130	361860	3730	Das ist für mich eine offene Frage, wie sich das durchsetzen wird.
362000	368060	6060	Twint wird von Anfang an mit einem starken Partner auf den Markt gehen:
368190	373260	5070	der SBB. Bahnhöfe haben sich längst in Einkaufszentren verwandelt.
373410	377980	4570	Über 800 unterschiedliche Mieter hat die SBB mit Tausenden von Läden.
378080	383500	5420	Hier sollen Kunden ab Mitte Jahr mit Twint zahlen können,
383660	389300	5640	falls die Läden mitmachen und die Kosten von mind. 200 Fr. tragen.
389460	394460	5000	Da laufen jeden Tag 1 Mio. Passagiere und Kunden durch,
394630	397500	2870	d.h., 1/7 der Schweiz läuft durch Bahnhöfe.
397600	400620	3020	Wir haben ein Interesse, dort zu sein, wo die Kunden sind.
400840.00000000006	403260	2420	Und der Vorteil für die SBB und ihre Mieter?
403480	406860	3380	Sie würden mehr Umsatz machen, denn mit Twint sollen Bahnkunden
407040	411500	4460	künftig im Zug bestellen, was sie kurz darauf im Bahnhof einkaufen.
