start	end	duration	text
2800	4720	1920	"Die ""Rundschau"" mit Sandro Brotz."
5400	10160	4760	Das Polit-Magazin, schön, dass Sie auch 2017 bei uns sind.
12330	15760	3430	1:1-Untertitelung. Livepassagen können Fehler enthalten.
17430	20840	3410	Das Milliardenprojekt soll den Schweizer Wintertourismus retten.
22420	25960	3540	Schweizer decken sich mit Waffen zur Selbstverteidigung ein.
28900	35960	7060	2017 wählt Frankreich - und halb Europa zittert vor Le Pen.
37210	40800	3590	"Guten Abend zur ""Rundschau"", wir sind live."
41370	43360	1990	Endlich ist er da, der Schnee.
44100	46520	2420	Über Neujahr haben wir ihn ja noch suchen müssen.
47200	48530	1330	Dann waren Sie wohl wie ich
49290	51570	2280	auf mehrheitlich künstlich beschneiten Skipisten unterwegs.
52200	53810	1610	Das hiess mehr braun und grün als weiss,
54440	57050	2610	denn die Schneefallgrenze klettert nach oben.
57710	60330	2620	Und das stellt den Wintertourismus zusätzlich zum starken Franken
60960	64530	3570	noch mehr auf die Probe. Was können da fünf Ringe ausrichten?
65170	67760	2590	Ich spreche von einer Olympia-Kandidatur,
68340	70360	2020	die den dringend nötigen Schub bringen könnte -
70980	72720	1740	glauben jedenfalls die Bergbahnbetreiber.
73360	75960.00000000001	2600	So entscheiden die Bündner in gut einem Monat darüber,
76580	80960.00000000001	4380	ob sie einen Planungskredit von 25 Mio. Fr. für Olympia 2026
81700	83400	1700	gutheissen wollen.
84020	87240	3220	Vor der Debatte mit einem vehementen Olympia-Kritiker
87900	90320	2420	erfahren Sie von meinem Kollegen Gianluca Galgani,
91000	96600	5600	bei wem das Olympiafeuer lodert und wer es nur für ein Strohfeuer hält.
98789.99999999999	101280	2490	Ein Bergbahnkönig schiebt sich kurz vor der Weihnachtszeit
101920	103560	1640	in eine Gondel.
104210.00000000001	109610	5400	Reto Gurtner, Chef der Weissen Arena in Laax, mitten unter Skifahrern.
110350	114130	3780	Rundherum kein Schnee. Keine Seltenheit im Dezember.
114800	116570	1770	Jetzt sind wir dann oben im Schnee.
117240.00000000001	120610	3370	Mehr Optimismus und Mut fordert der Bergbahnpionier.
121270	125730	4460	Mut zu Olympia, gerade in für die Branche schlechten Zeiten.
126400	130330.00000000001	3930	Man muss die wirtschaftlichen Zahlen des Kantons anschauen.
131880	135770	3890	Wir sind beim Durchschnittseinkommen und allem anderen fast am Schluss.
136420.00000000003	141610	5190	Olympia ist eine Art Bewegung,
142280	144850	2570	damit man den ganzen Kanton zum Zusammenarbeiten bringt
145520	147250	1730	und einen Impuls gibt.
147910	151370	3460	Gurtner ist die prominenteste Figur der Bündner Olympia-Kandidatur.
152050	153930	1880	2013 war er noch gegen
154570	157329.99999999997	2760	die vom Volk abgelehnte Kandidatur Davos/St. Moritz.
157970	160690	2720	Heute ist er für Olympia.
161320	164050	2730	In Laax würden die olympischen Freestyle-Wettkämpfe stattfinden.
164690	168250	3560	Viele Anlagen wären bereits da, wie die Superpipe.
168810	171930	3120	Bei der letzten Kandidatur waren Sie noch dagegen,
172570	174130	1560	heute sind Sie dafür.
174790	176170.00000000003	1380	Der Verdacht kommt auf,
176790	178930	2140	Sie seien heute nur dafür, weil auch hier etwas stattfindet?
179570	180970	1400	Nein, überhaupt nicht.
181600	183530	1930	98 Veranstaltungen an zwei Orten,
184210	186410	2200	dafür sind auch St. Moritz und Davos viel zu klein.
187090	193010	5920	Heute ist es viel verteilter, volkswirtschaftlich besser verteilt
193680	195890	2210	und auch von der Organisation her ist es viel einfacher,
196540	198890	2350	weil es dezentral ist. Das ist der Riesengewinn.
199570	203490	3920	So sind auch die neuen Statuten der IOC-Agenda 2020,
204170.00000000003	207170.00000000003	3000	die wir hier zum ersten Mal umsetzen wollen.
210170.00000000003	212490	2320	Neben Laax und Flims sieht die Bündner Kandidatur
213170.00000000003	215690	2520	auch St. Moritz, Davos, Arosa und Lenzerheide
216340	221250	4910	als Austragungsorte für die olympischen Wettbewerbe 2026 vor.
221910	226290	4380	Weitere Olympia-Orte sollen Ein- siedeln, Engelberg und Zürich sein.
226930	230690	3760	Über den Schweizer Alpen treffen wir einen anderen Olympia-Enthusiasten.
231320	233650	2330	Der Walliser Baulöwe Christian Constantin
234320	238010	3690	hat eine Olympia-Kandidatur der Westschweiz für 2026 lanciert
238520	240730	2210	und bis jetzt finanziert.
241380	242970	1590	Die Berge entvölkern sich,
243610	245410	1800	der Tourismus schrumpft, die Tourismusorte leiden.
246020	248730	2710	Wir müssen zeigen, dass wir existieren.
249320	252930	3610	Die Spiele sind die beste Imagewerbung.
253480	258410.00000000003	4930	Mit dabei sind die Kantone Wallis, Waadt, Bern und Freiburg.
258980.00000000003	261529.99999999997	2550	Wie bei den Bündnern geht es v.a. um eins:
262130	265810	3680	den Skitourismus in der Schweiz wiederbeleben.
266450	270010	3560	Ein Kernstück der Kandidatur ist diese Industriebrache.
270570	274490	3920	Auf dem Gelände einer stillgelegten Raffinerie bei Martigny im Wallis
275120	277650	2530	soll das Olympische Dorf entstehen.
278320	281130	2810	In seinem Architekturbüro in Martigny
281770	283810	2040	zeichnet der Walliser Bauunternehmer und Architekt
284400	288690	4290	gleich selbst am Olympischen Dorf mit.
289340.00000000006	293330	3990	In Collombey soll eine futuristische Hightech-Ökostadt entstehen.
293950	297210	3260	Zuerst Olympiadorf für 8'000 Athleten und Journalisten
297840.00000000006	305970	8130	und dann später laut Vision Wohn- und Arbeitsraum für 20'000 Einwohner.
306640	308530	1890	Wir möchten ein Olympisches Dorf bauen,
309170	311530	2360	über das Sportler und Journalisten staunen.
312190	314530	2340	Sie werden sagen, so etwas hätten sie noch nirgends gesehen.
315090	317050	1960	Das wäre für unsere Region ein wichtiger Trumpf,
317640	319850	2210	der weltweit für Aufsehen und Werbung sorgen könnte.
320450	324330	3880	Heilsbringer Olympia.
324890	329170	4280	Kann das Olympische Feuer die Lust auf den Wintersport neu entfachen?
329820	333530	3710	Die Promotoren hoffen es, denn die Lage sei ernst.
334110	335610	1500	Die Klimaerwärmung:
336250	339250	3000	Nach der neuesten Klimastudie der Akademien der Wissenschaften Schweiz
339840.00000000006	343250	3410	wird die Schneedecke auf 2'000 m bis Mitte Jahrhundert
343860	347250	3390	um ca. 40 % abnehmen.
347890	349250	1360	Die Bergbahnen werden immer stärker
349850	353690	3840	mit künstlichem Schnee gegen die Erwärmung kämpfen müssen.
354310	355930	1620	Christoph Marty,
356580	360410	3830	Klimatologe beim Davoser Institut für Schnee- und Lawinenforschung.
361140	364090	2950	Er hat an der neuesten Klimastudie mitgearbeitet.
364730	365930	1200	Wir treffen ihn auf dem Flüelapass
366590	368330	1740	bei der Kontrolle einer Wetterstation.
369050	370810	1760	Der Wissenschaftler hat keinen Zweifel:
371530	374650	3120	Der Klimawandel wird den Skitourismus weiter erschweren.
375320	377850	2530	Es wird in Zukunft mitten im Winter keinen Schnee mehr haben.
378480	379770	1290	Das kann vorkommen.
380430	381730	1300	Unsere Modelle zeigen,
382280	384570	2290	dass jeder zweite Winter mitten in der Wintersaison,
385210	387090	1880	sagen wir einmal während der Sportferien im Februar,
387750	389810	2060	keinen Schnee mehr haben könnte.
390450	392770	2320	Werden Schneekanonen den Skitourismus retten können?
393320	397730	4410	Die Modelle zur Klimaerwärmung bis Ende Jahrhundert zeigen:
398440	402330	3890	Es wird aufwendig und teurer.
403050	404650	1600	Für sehr viele Gebiete ist das Limit
405210	406930	1720	mit grosser Wahrscheinlichkeit das Wasser.
407560	413610	6050	V.a. wenn man immer grössere Flächen in weniger Zeit beschneien muss.
414250	416770	2520	Da hat man irgendwann zu wenig Wasser
417330	419010	1680	oder man muss umso mehr Speicherseen bauen,
419650	422450	2800	was noch mehr finanzielle Ressourcen bedeutet.
423130	424770	1640	Kunstschnee ist teuer.
425480	428010	2530	Besuch im Skigebiet Tambo bei Splügen Ende Dezember.
428600	430370	1770	Seit der Jahrtausendwende wurden hier
431050	435050	4000	7 Mio. Fr. in die künstliche Beschneiung investiert.
435730	439130	3400	Bergbahndirektor Andrea Camastral zeigt uns das Skigebiet.
439800	443370	3570	Um im Markt zu bleiben, wurden alle Anlagen mit Kanonen bestückt.
444020	445290	1270	Jetzt fehlt ein Teil des Wassers.
445960	449770	3810	Eine neue Druckleitung muss ins Skigebiet gezogen werden.
450450	452170	1720	Um das ganze Skigebiet zu beschneien,
452730	454730	2000	braucht es 170 l Wasser pro Sekunde.
455530	460610	5080	Im Moment haben wir aber nur 70 l Wasser pro Sekunde.
461270	463090.00000000006	1820	Es sind schon enorme Dimensionen, die man hier braucht?
463810	465010	1200	Es sind enorme Dimensionen.
465640	467050	1410	Aber wir müssen schon sehen:
467730	469770	2040	Damit rechnen wir, wenn wir von Grund auf beschneien.
470400	473890	3490	Ich hoffe nicht, dass wir in Zukunft nur auf grüner Fläche beschneien.
474520	479810	5290	Sonst werden wir sonst auch Mühe haben, die Gäste hierherzubringen.
480440	482410	1970	Der Gästerückgang:
483090	485010	1920	Laut Statistiken von Seilbahnen Schweiz
485750	489290	3540	haben die Bergbahnen in der Schweiz in den letzten sieben Jahren
490010	493330	3320	25 % ihrer Gäste verloren.
493930	498170	4240	Jede dritte Schweizer Bergbahn hat heute finanzielle Probleme.
498790	502530	3740	An Klimawandel und weniger Gästen wird auch Olympia nichts ändern.
503210	506890	3680	Diese Meinung vertritt der deutsche Alpenforscher Werner Bätzing,
507570	512130	4560	kritischer Beobachter der Tourismusentwicklung im Alpenraum.
512770	515330.00000000006	2560	Olympia sei keine Rettung.
516049.99999999994	518409.99999999994	2360	Für mich ist das Pfeifen im Walde.
519000	521570.00000000006	2570	Olympia hat sein positives Image längst verloren.
522240	525450	3210	Die gesamten Olympischen Winterspiele der letzten Jahrzehnte
526210	529410	3200	haben touristisch nichts mehr gebracht.
529980	531770	1790	Olympia ein Auslaufmodell?
532330	535930	3600	Die Partyzeit im Skitourismus vorbei?
536690	539130	2440	Der Alpenforscher plädiert für einen radikalen Richtungswechsel.
539750	544580	4830	Weg vom Massentourismus hin zu sanften, stillen Angeboten.
545210	547580	2370	Im Winter z.B. Winterwanderungen, Winterexkursionen.
548200	550140	1940	Körperliche Aktivitäten,
550720	553900	3180	bei denen die Natur und die Landschaft im Zentrum stehen -
554600	556940	2340	ergänzt durch regionsspezifische Kulinarik,
557570	560310	2740	durch regionsspezifische, kulturelle Angebote
561050	563030	1980	und durch Gesundheitsprävention.
563690	569630	5940	Dafür besteht heute in Europa eine sehr grosse Nachfrage.
570210	571670	1460	Das sind schöne Worte,
572340	575190	2850	sagen Olympia-Befürworter in Graubünden und in der Westschweiz.
575840	580110	4270	Um im harten Winterbusiness zu überleben, brauche es aber viel mehr.
580730	582670	1940	Das Olympiafeuer soll brennen
583290	586230	2940	und wieder Gäste und Optimismus in den Wintertourismus bringen.
586820	589240	2420	Es stimmt, die Zahlen gehen zurück.
589900	591720	1820	Und genau darum müssen wir Werbung machen
592490	595480	2990	und unsere Infrastruktur erneuern, damit die Gäste wieder zurückkommen.
596190	601040	4850	Wenn der Wintersport überleben kann, dann in Regionen wie der unseren.
601590	603960	2370	Wenn wir in den nächsten Jahren durch Olympia
604640	608120	3480	einen Wirtschaftsschub bekommen und dadurch Geld generieren können,
608770	610500	1730	werden wir auch die finanziellen Möglichkeiten haben,
611130	612420	1290	um uns zu diversifizieren.
613050	614420	1370	Wenn wir diese Möglichkeiten nicht haben,
615090	616820	1730	wird uns dieses Geld auch fehlen.
617370	619100	1730	Bergbahnpionier Reto Gurtner ist überzeugt,
619760	622260	2500	Olympia ist kein Auslaufmodell.
622970	624540	1570	Die Kritik, die Branche reagiere nicht
625170	628860	3690	auf die Herausforderungen der Zukunft, weist er klar zurück.
629430	630780	1350	Wir müssen jeden Tag reagieren,
631420	633940	2520	nicht nur jetzt, weil ein paar Forscher etwas herausgefunden haben.
634640	637660	3020	Andere Forscher kommen nämlich zu anderen Schlüssen:
638310	640660	2350	dass Skifahren noch immer den grössten Sexappeal hat,
641410	642700	1290	z.B. in den asiatischen Ländern.
643370	644900	1530	Dort hat es eine viel grössere Begehrlichkeit,
645480	646860	1380	viel mehr als Golfen oder was auch immer.
647530	649140	1610	Solche Pauschalurteile kann nur jemand machen,
649700	654260	4560	der die Seele und Emotionen dieses Sports nicht kennt.
654870	657420	2550	2019 wird das Internationale Olympische Komitee
657970	661220	3250	die Winterspiele 2026 vergeben.
661900	663220	1320	Reto Gurtner hofft,
663860	669820	5960	dass bis dann die Schweiz von Olympia-Euphorie erfasst wird.
672850	675580	2730	Ich habe da noch ein paar Fragen an einen Mann, der nicht will,
676210	677550	1340	dass das Bündner Olympiafeuer brennt.
678170	683230	5060	Er sitzt für die SP als Grossrat im Bündner Parlament.
683840	686950	3110	"Jon Pult, willkommen live an der ""Rundschau""-Theke."
687580	688750	1170	Danke. Guten Abend, Herr Brotz.
689400	690590	1190	Sie sind erst 32.
691240	692470	1230	Warum wollen ausgerechnet Sie
693200	695470	2270	als Vertreter einer jüngeren Generation
696100	698550	2450	den nachfolgenden Generationen den Weg in die Zukunft verbauen?
699240	700790	1550	Olympia könnte so ein Weg aus der Krise sein.
701430	708470	7040	Wir untertiteln live:
708810	711470	2660	Ich glaube, dass dieser Weg mit viel mehr Risiken als Chancen
712090	717630	5540	verbunden ist.
718320	721070	2750	Ich bin kein fundamentaler Gegner von Olympischen Spielen.
721800	723270	1470	Ich habe mich aber mit der Materie befasst.
723900	726030	2130	Wirtschaftlich und finanziell sind die Risiken enorm.
726690	730980	4290	Der Profit landet bei wenigen.
731680	733860	2180	Am Schluss ist es für die Bevölkerung, die dort lebt,
734510	736820	2310	schädlich.
737430	742860	5430	Deshalb habe ich mich gegen das Projekt entschieden.
749520	751500	1980	Schauen wir es uns genau an.
752170	754140	1970	Der Kanton und die Schweiz könnten davon profitieren.
754840	756220	1380	Sie sagen, keine Studie beweist das.
756930	760860	3930	Aber Sie haben keine Belege, dass es auch schädlich ist.
761510	766980	5470	Bei den letzten Olympischen Winterspielen
767920	770900	2980	in den letzten 60 Jahren wurde ein Defizit verursacht für die
771610	772980	1370	Steuerzahler.
773620	778980	5360	In keinem Fall konnte man nachweisen,
