start	end	duration	text
25330	27250	1920	MIT TELETEXT-UNTERTITELUNG
28350	29650	1300	Noch 3 Std. bis Sonnenaufgang in Abu Dhabi.
31720	33690	1970	Es ist der 9. März 2015.
34170	36650	2480	Dieser Tag könnte als einer der grossen
36760	39130	2370	in die Geschichte der Fliegerei eingehen.
39350	41730	2380	Solar Impulse, das erste Solarflugzeug,
41900	44730	2830	das die Welt umrunden soll, geht heute an den Start.
45080	48050	2970	Im Cockpit sitzen abwechselnd die Schweizer Pioniere
48160	50490	2330	Bertrand Piccard und Andre Borschberg.
58060	59660	1600	Good morning.
61720	64620.00000000001	2900	Herr Borschberg, wie geht es Ihnen?
65640	70700	5060	Sehr gut, sehr gut. Endlich sind wir da für das erste Leg.
71960.00000000001	74700	2740	Ich sage Ihnen, das ist sehr spannend.
78440	80500	2060	* Alle sprechen durcheinander. *
90980	92940	1960	* Triumphierende Musik *
114800	119700	4900	Es ist eine Stafette, ein Teamflug rund um die Welt.
124800	126740	1940	* Sphärische Musik *
156270	159980	3710	Andre, hier ist Albert. Ich habe eine gute Nachricht für Sie.
160090	164780	4690	Ich gebe Ihnen grünes Licht für den Start von Solar Impulse. Guten Flug!
166060	168020	1960	Danke.
168610	170380	1770	Und v.a. viel Sonne!
171400	174980	3580	Allein mit der Kraft der Sonne fliegen, Tag und Nacht -
175620	178340	2720	ein Traum, der nun Wirklichkeit werden soll.
179290	179740	450	Das Flugzeug fliegt Richtung Osten, der aufgehenden Sonne entgegen.
184160	187260	3100	Für Bertrand Piccard geht ein Traum in Erfüllung,
187360	190020	2660	und der Mann mit den stahlblauen Augen zeigt,
190120	193340	3220	dass auch seine Nerven nicht immer aus Stahl sind.
194000	194820	820	Stress bis zum letzten Moment.
199530	203420.00000000003	3890	Es war noch ein elektrisches Problem im Cockpit.
204230	207340	3110	Wir mussten es im letzten Moment noch reparieren.
208270	209780	1510	Aber jetzt ist das Flugzeug in der Luft, unterwegs nach Oman.
215240	218460	3220	Wenn alles gut geht, fliege ich morgen nach Indien.
219240	222780	3540	Und wir fliegen um die Welt. Das Flugzeug fliegt in diese Richtung.
224820	229420.00000000003	4600	Wenn alles gut geht, kommt es in fünf Monaten aus dieser Richtung.
231329.99999999997	233380	2050	* Applaus *
235800	239740	3940	Das ist der Beginn eines grosse Abenteuers,
241440	245700	4260	ein wichtiger Tag für das Team, für Andre, für Bertrand.
245950	251620	5670	Ich glaube, es ist die Realisation eines lang gehegten Traums,
251750	254780	3030	man kann sogar sagen eines Kindertraums.
264720	268300	3580	Solar Impulse, das erste bemannte Solarflugzeug der Welt,
268440	269780	1340	startet zu seiner Weltumrundung.
270660	274180	3520	In weniger als 15 Etappen soll es den Globus umfliegen,
274290	276300	2010	allein mit der Kraft der Sonne.
279380	282060	2680	Angefangen hat alles 1999 in der Schweiz.
283100	284860	1760	Bertrand Piccard startete in Chateaux-d'Oex
285980	288260	2280	zusammen mit dem britischen Piloten Brian Jones
288440	291020	2580	zur Umrundung der Welt im Heissluftballon.
291170	295380	4210	Sechs Jahre Entwicklung und viele Rückschläge lagen hinter ihnen.
296310	298900	2590	Nach 20 Tagen schafften sie die Sensation,
300020	304100	4080	doch für Piccard war es der Beginn eines noch grösseren Projekts.
304860	308140	3280	Nach der Weltumrundung im Heissluftballon
308300	312300	4000	dachte ich an die 20 bangen Tage, an unseren Treibstoffvorrat,
312520	314780	2260	der zur Neige ging, weil wir die Hülle mit Propangas heizen mussten.
316390	320020	3630	Ich dachte daran, wie wir uns während 45'000 km, 20 Tage lang
320240	324060	3820	"jede Sekunde fragten: ""Werden wir es schaffen? Wird das Gas reichen?"""
324160	326860	2700	In einer solchen Situation fühlt man sich total abhängig,
327070	329300	2230	gefangen und versklavt vom Treibstoff.
329390	329780	390	Da habe ich mir gesagt:
331450	335420	3970	"""Jetzt muss ich die Idee des ewigen Flugs ohne Treibstoff umsetzen."""
335520	337500	1980	Hätte ich von Anfang an gewusst,
337659.99999999994	340100	2440	dass dieses Projekt 150 Mio. kosten würde ...
340200	343980	3780	Ich weiss nicht, was passiert wäre. Vielleicht hätten wir uns gesagt:
344200	344820	620	"""Das ist total verrückt. Das machen wir nicht."""
348640	350980	2340	Zunächst habe ich die Unternehmen angefragt,
351200	354260	3060	die einen direkten Bezug zu Solar Impulse hatten -
354520	356940	2420	im Energiebereich, in der Luftfahrt, usw.
357159.99999999994	359740	2580	Die hielten mich für völlig durchgeknallt,
