start	end	duration	text
580	2130	1550	.
2800	5850	3050	1:1-Untertitelung
6450	8050.000000000001	1600	Guten Abend, meine Damen und Herren.
8810	12050	3240	"Hier ist die ""Tagesschau"", und das sind die Themen heute Samstag:"
12850	17810	4960	Nach dem Erdbeben gibt es heftige Kritik an italienischen Baufirmen.
20020	22370	2350	Seit den 90er-Jahren
23110	26930	3820	gab es nicht mehr so viele Flüchtlingskinder wie heute.
28250	34850	6600	Die schrumpfende Textilbranche will dank Hightech-Materialien überleben.
36430	41810	5380	Am Eidgenössischen ist nach dem ersten Tag noch alles möglich.
43250	47930	4680	Und meist sonnig, lokal Gewitter, besonders in den Alpen.
50150	54050	3900	Zuerst kurz der Blick nach Estavayer, wo an diesem Wochenende
54750	57450	2700	der neue König erkoren, respektive erschwungen wird.
58190	60450	2260	Am Eidgenössischen, das noch bis morgen dauert,
61170	63730	2560	werden insgesamt 300'000 Zuschauer erwartet.
64390	66610	2220	Sportlich ist noch alles möglich:
67310	70410	3100	Nach dem ersten Tag sind 13 Schwinger ganz nahe beieinander.
71110	73289.99999999999	2180	Darunter auch Matthias Sempach, dessen Chancen,
74050	77730	3680	seinen Titel verteidigen zu können, noch absolut intakt sind.
78470	82210.00000000001	3740	Mehr zum Eidgenössischen dann später in der Sendung.
83930	86490	2560	In Italien herrscht tiefe Trauer.
87200	89210.00000000001	2010	Drei Tage nach dem schweren Erdbeben in Amatrice
90030	91570	1540	hat das Land mit einem Staatsbegräbnis
92270.00000000001	95370	3100	Abschied von den insgesamt 291 Todesopfern genommen.
96110	98090	1980	Am Trauerakt in der Stadt Ascoli Piceno
98820	100970	2150	haben auch Staatspräsident Sergio Mattarella
101670	104090	2420	und Regierungschef Matteo Renzi teilgenommen.
104710.00000000001	107009.99999999999	2300	Landesweit wehen die Flaggen auf Halbmast.
108310	111729.99999999999	3420	Fassungslosigkeit und Trauer in den Gesichtern:
112470	114850	2380	Überlebende und Angehörige von Erdbebenopfern versuchen,
115440	117130	1690	einander Trost zu spenden.
117860	121090	3230	Mit einer Trauerfeier in der Turnhalle von Ascoli Piceno
121770	124730	2960	hat die Landesspitze um den sichtlich gerührten Regierungschef Matteo Renzi
125470	126370	900	der Opfer gedacht.
127080	130449.99999999999	3370	Der Bischof der Stadt hielt den Gottesdienst ab.
131510	134530	3020	Ich habe viel Leid gesehen und bitte euch um eines:
135310	136970	1660	Verliert nicht euren Mut!
137670.00000000003	140050	2380	Die Zeremonie wurde auf Leinwänden übertragen.
