start	end	duration	text
2400	9140	6740	.
9350	13260	3910	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14750	16580	1830	Guten Abend miteinander, willkommen bei uns.
16790	19120	2330	In der Schweiz ist heute das aktuell:
21300	24920	3620	Fast 9'000 Leute nahmen in der heutigen Hitze
28430	29880	1450	Luterbach/SO erlebte letztens v.a. Firmenkonkurse.
29990	32000	2010	Jetzt, mit den Plänen von 400 neuen Arbeitsplätzen,
32140	33640	1500	verspricht man sich einen Aufschwung.
35050	37440	2390	Fast 9'000 Leute nahmen in der heutigen Hitze
37610	39800	2190	an der traditionellen Stadtzürcher Seeüberquerung teil.
39980	41960	1980	Nur einmal waren es noch mehr Schwimmer.
44480	47680	3200	Auf dem 3'000 m hohen Berg Diavolezza in Graubünden
47840	50480	2640	wurde heute eine neue Aussichtsplattform eingeweiht -
50750	54040	3290	mit Sicht auf den Gletscher, der immer mehr schmilzt.
57080	59680	2600	Zunächst aber das hier: Heute Morgen, kurz vor 10 Uhr,
59840	62920	3080	prallte auf der Autobahn A3 bei Wangen/SZ
63000	65920	2920	ein Lastwagen frontal in ein Unterhaltungsfahrzeug.
66070	69360	3290	Der Lastwagenchauffeur wurde schwer verletzt.
71090	73400	2310	Praktisch ungebremst prallte dieser Lastwagen hier hinein -
73600	75880	2280	ins Fahrzeug des Tiefbauamts.
76030	79480	3450	Das stand auf der Strasse, um vor der Tagesbaustelle dahinter zu warnen
79610	80840	1230	und sie zu schützen.
81000	83320	2320	Am Fahrzeug selber war ein Schutz angebracht,
83520	85760	2240	um einen allfälligen Aufprall zu dämpfen.
85960.00000000001	90360	4400	Weil der Lastwagen aber mit voller Wucht hineinfuhr, nützte das nichts.
90560	93160	2600	Durch den schweren Aufprall war die Führerkabine des Lastwagens
93440	97160	3720	sehr stark deformiert - d.h., der Lenker war eingeklemmt.
97360	101039.99999999999	3680	Die Rettungskräfte betreuten ihn medizinisch
101259.99999999999	104000	2740	und die Feuerwehr musste ihn rausschneiden,
104130	105759.99999999999	1630	was einige Zeit dauerte.
105910	108680	2770	Die Rega brachte den 43-jährigen Lenker
108920	111120	2200	mit schweren Verletzungen ins Spital.
111310	116320	5010	Auch auf den Verkehr hatte der Unfall während mehrerer Stunden Folgen.
116479.99999999999	119360	2880	Durch diesen Unfall musste die Fahr- bahn Zürich voll gesperrt werden.
119509.99999999999	122240	2730	Sie konnte nicht mehr benutzt werden.
122450	124040	1590	Ab Reichenburg war zu.
124200	126120	1920	Dadurch gab es einen längeren Rückstau.
126280	129720	3440	Mittlerweile ist die Autobahn wieder in beide Richtungen geöffnet.
129919.99999999999	133960	4040	Die Kantonspolizeien Glarus, St. Gallen, Schwyz und Zürich
134070	135240	1170	standen im Einsatz.
135410	137360	1950	Wie es zum Unfall kam, ist noch unklar.
137480	139320	1840	Spezialisten haben Untersuchungen aufgenommen.
139440	141079.99999999997	1640	Die Polizei sucht noch nach Zeugen.
142880	145079.99999999997	2200	Man habe einen grossen Fisch an der Angel,
145240	147600	2360	sagte die Solothurner Regierung gestern.
147760	151320	3560	Es sei fast ein bisschen wie ein Sechser im Lotto für den Kanton,
151470	152880	1410	heisst es heute in den Zeitungen.
152960	156960	4000	Das amerikanische Biotechunternehmen Biogen will 1 Mrd. Fr. investieren
157070	159240	2170	und 400 Arbeitsplätze schaffen.
159400	162720	3320	Und zwar auf einer der grössten Industriebrachen der Schweiz,
162890	168240	5350	in Luterbach, auf dem ehemaligen Ge- lände der Zellulosefabrik Borregaard.
168360	171400	3040	Endlich eine Trendwende, hofft jetzt auch Luterbach.
171560	174880	3320	Denn dort gingen in den letzten Jahren v.a. Firmen Konkurs.
176840	178760	1920	Hier will die weltweit tätige Biotechfirma Biogen
178960	182360	3400	mind. 1 Mrd. Fr. investieren.
182500	183840	1340	Aus einer Industriebrache
183920	187040	3120	soll eine hochmoderne Medikamentenfabrik entstehen.
187260	190040	2780	Der Gemeindepräsident von Luterbach erfuhr Ende letztes Jahr
190040	192070	2030	erstmals von diesen Plänen.
192260	195790	3530	Regional betrachtet bringen sie natürlich mind. 400 Arbeitsplätze.
195990	198230	2240	Diese werden logischerweise nicht alle bei uns sein,
198430	202150	3720	aber für die Region und den Kanton wird das eine riesige Chance sein.
202350	207310	4960	Und wir wissen, dass es in der Philosophie der Firma ist,
207510	209910	2400	dass sie ein Teil von Luterbach werden wollen.
210090	213510	3420	Das sieht man z.B. daran, dass es auch ihre Philosophie ist,
213700	216550	2850	keine Zäune aufzustellen, also ein offenes Gelände zu haben.
216640	219470	2830	Die Gemeinde Luterbach hat 3'400 Einwohner.
219620	221510	1890	In den letzten acht Jahren kam es in der Region
221600	223710	2110	immer wieder zu Firmenschliessungen.
223910	226430	2520	Die meisten Stellen gingen 2008 verloren,
226579.99999999997	230270	3690	als die Firma Borregaard ihren Betrieb in Luterbach einstellte.
230410	234030	3620	Jetzt glaubt der Gemeindepräsident an einen Umschwung.
234170.00000000003	237350	3180	Wir hatten auch noch andere Firmen in Luterbach oder Umgebung.
237540	240510	2970	Die Papierfabrik Biberist hat z.B. ebenfalls geschlossen.
240600	243550	2950	Jetzt findet eine Trendwende statt.
243670	245590	1920	Zum ersten Mal können wir
245680	248110	2430	statt von grossen Entlassungen und Schliessungen
248400	253350	4950	von einer grossen Ansiedlung von Arbeitsplätzen berichten.
253460	255670	2210	Wir gehen davon aus, dass das eine Trendwende ist.
255880	257829.99999999997	1950	Wir haben noch mehr Platz auf dem Gelände,
257920.00000000003	260630	2710	es können sich also durchaus noch weitere Projekte hier ansiedeln.
260810	265070	4260	Ursprünglich war auf dem Industrie- areal eine Grosssägerei geplant.
265240	267790	2550	Die Pläne waren im Dorf umstritten:
267980	271350	3370	Viele Lastwagen, viel Lärm und Abgas befürchteten die Einwohner.
271480	274430	2950	Solche Ängste seien jetzt unbegrün- det, sagt der Gemeindepräsident.
274580	276070	1490	Tatsächlich: Die Einwohner von Luterbach
276210	282230	6020	sind gegenüber den neuen Plänen eines Biotechunternehmens positiv gestimmt:
282440	284710	2270	Ganz sicher finde ich das eine gute Sache.
284850	286790	1940	Immerhin gibt es wieder Stellen.
286940	289310	2370	Denn in den letzten Jahren hatten wir in der Umgebung viel Abbau.
289500	293030	3530	Ich finde es eine gute Sache und bin gespannt, was noch herauskommt.
293150	296909.99999999994	3760	Man wird sicher noch mehr informieren, ob das definitiv ist.
297080	302350	5270	Aber etwas mehr Industrie bei uns würde guttun.
302600	305230	2630	Sie haben ja vor, 1 Mrd. zu investieren
305340	307230	1890	und evtl. noch weiter zu wachsen.
307430	309110	1680	Das ist für die Region sicher ganz wichtig,
309260	311310	2050	weil schon mehrere kleinere Firmen
311450	315670	4220	oder KMUs mit etwa 250 Arbeitsplätzen schliessen mussten.
315760	319750	3990	Bereits im Dezember will Biogen hier zu bauen beginnen.
319960	322510	2550	Bis das Unternehmen aber Steuern zahlt, geht es noch Jahre.
322690	326230	3540	Finanziell profitiert die Gemeinde aber lange:
326380	329430	3050	Sie haben 1 Mrd. Investition, die zuerst abgeschrieben werden muss.
329560	332350	2790	Dann werden sie auch ganz viele Investitionen
332560	335230	2670	in Forschung und Entwicklung tä- tigen, was auch steuerrelevant ist.
335440	339590.00000000006	4150	Früher oder später wird es auch Steuern für Luterbach geben.
339670	342510	2840	Wahrscheinlich keine horrenden Sum- men, aber doch ein bisschen etwas.
342620	346150	3530	Am Freitag Abend wird die Gemeinde
346340.00000000006	347990	1650	die Einwohner über das Gesamtprojekt informieren.
348140	349950	1810	Bis im Dezember soll die Baubewilligung vorliegen.
351360	353590.00000000006	2230	Der Beitrag von Christof Schneider.
353760	356750	2990	Zu den Kurzmeldungen aus der Regionen:
356840.00000000006	359110	2270	Das Hotel Robinson Club Schweizerhof in Vulpera/GR
359380	360830	1450	bleibt im kommenden Winter doch offen.
360960	362710	1750	Das sagt heute die Betreiberin des Hotels,
362800	364590	1790	die deutsche Robinson Club GmbH.
364670	366190	1520	Ausschlaggebend dafür
366440	368110	1670	sei die Zusammenarbeit mit den örtlichen Bergbahnen.
368280	370470	2190	Noch letzte Woche meldete das Hotel, man müsse schliessen,
370580	372910	2330	weil der Betrieb nicht mehr wirtschaftlich sei.
