start	end	duration	text
1840	6230	4390	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6380	8710	2330	Guten Abend, meine Damen und Herren.
8850	11710	2860	"Hier ist die ""Tagesschau"" und das sind die Themen heute Mittwoch:"
13140	15310	2170	Der Kommissionspräsident
15490	19230	3740	will Europas Wirtschaft mit 315 Mrd. Euro ankurbeln.
20880	25710	4830	Der Fall Ferguson treibt in den USA Tausende auf die Strassen.
26860	31470	4610	Carna Grischa entschuldigt sich und verspricht Besserung.
32880	36710	3830	Die Popikone Tina Turner wird 75.
38150	41710	3560	Nur in den Alpen teils sonnig.
43200	45520	2320	Die europäische Wirtschaft kommt nicht vom Fleck.
45600	49160	3560	Mehr noch, sie ist geradezu ein Bremsklotz für die Weltwirtschaft.
49270	51880	2610	Mit einer Milliardenspritze
52080	55050	2970	soll dem schwächelnden Patienten auf die Sprünge geholfen werden.
55250	58450	3200	Und da schwebt dem neuen EU-Kommis- sionspräsidenten Jean-Claude Junker
58620	62010	3390	etwas vor, das wie ein Zaubertrick anmutet:
62130	67210	5080	Aus 21 Mrd. Euro mach 315 Mrd. Euro!
67440	70210.00000000001	2770	Ein Unterfangen, das verblüfft, aber auch viele Fragen aufwirft.
71580	74330	2750	Die EU stecke in einer Investitionsfalle,
74490	78090	3600	so Kommissionspräsident Jean-Claude Juncker heute
78200	79770	1570	im Parlament in Strassburg.
79900	81690	1790	Zu oft zögerten private Investoren,
81840	84810	2970	und dies obwohl die Zentralbank viel Geld einschiesse.
85000	88810	3810	Deshalb jetzt die Investitionsoffensive.
89050	92410	3360	Wir müssen eine Botschaft an die Bevölkerung der EU
92530	98490.00000000001	5960	und an die ganze Welt senden: Europa ist zurück im Geschäft.
98650	101210.00000000001	2560	Zurück ins Geschäft will Juncker mit Krediten für konkrete Projekte
101320	102250	930	in den Bereichen Energie, Bildung und Forschung sowie Verkehr.
102479.99999999999	106570	4090	Herzstück seines Plans ist ein Fonds für strategische Investitionen,
106759.99999999999	113130	6370	in den die EU 21 Mrd. Euro einschiesst.
113270.00000000001	115650	2380	Alles verbunden mit der Hoffnung,
115750	118050	2300	dass dann auch private Investoren nachziehen.
118310	123730	5420	Insgesamt sollen Investitionen von 315 Mrd. Euro ausgelöst werden.
123840	127610	3770	Eine zentrale Rolle spielt die Europäische Investitionsbank
127710	129210.00000000001	1500	mit der Zusicherung,
129350	132760	3410	dass sie Verluste von privaten Investoren übernehmen würde.
132930	135760	2830	Junckers Plan findet im Parlament breite Zustimmung,
135840	138560	2720	Kritik gibt es von grüner Seite.
138700	142440	3740	Den Unternehmen die Risiken abnehmen - das funktioniere nicht.
142620	149160	6540	Wenn ein Investor in ein Casino geht und ohne Risiko Geld machen kann,
149260	151760	2500	wird er sich immer für das Casino
151930	154760	2830	statt für die reale Wirtschaft entscheiden.
154960	157400	2440	Es bleibt noch viel zu tun.
157579.99999999997	161400	3820	Juncker selbst bezeichnet sein Paket als ehrgeizigen Fahrplan,
161510	163240	1730	durch den zudem
163350	166980	3630	mehr als 1 Mio. neue Arbeitsplätze geschaffen werden sollen.
167840	170340	2500	Und damit nach Brüssel zu Sebastian Ramspeck.
170440	172860	2420	Bis jetzt hiess es auch aus Brüssel immer
173020	175420.00000000003	2400	sparen, sparen und nochmals sparen. Nun dieses Investitionsprogramm.
175570	179980	4410	Sieht es nur so aus oder ist das ein kompletter Strategiewechsel?
180080	187980	7900	Wir untertiteln live:
188140	190180	2040	Ein kompletter Strategiewechsel ist es nicht.
190300	193380	3080	Aber eine klare Kurskorrektur.
193490	196620	3130	Bisher gab es 2 Rezepte gegen die Krise in Brüssel.
196710	202220	5510	Die Stars Defizite müssen schrumpfen.
202340	206980	4640	Und zweitens, dich Daten müssen Reformen machen.
207240	213060	5820	Nun kommt ein 3. Rezept: Mehr Investitionen.
216040	219300	3260	Den Mangel an Investitionen sind viele als Grund für die schlechte
219380	221220	1840	Wirtschaft.
221390	224579.99999999997	3190	Das ganze Unterfangen birgt auch Risiken. Wo sehen Sie das grösste
224790	226620	1830	Risiko beim Plan von Jean-Claude Juncker?
226740	232700	5960	Im fehlenden Vertrauen.
236829.99999999997	239660	2830	Der Plan geht davon aus, dass die EU mit einem Fonds private
239810	244460	4650	Investitionen auslösen kann.
244610	247740	3130	Dafür ist vor allem das Vertrauen der privaten Investoren nötig.
247850	253780	5930	Aber genau dieses Vertrauen ist nach wie vor sehr schwach.
255430	259180	3750	Daran wird der Plan von Junker alleine nicht ändern können.
260240	261339.99999999997	1100	In die USA, wo der Protest gegen den Geschworenenentscheid,
261970.00000000003	263910	1940	keine Anklage gegen den weissen Polizisten zu erheben,
264140	266310	2170	der im Sommer in Ferguson einer schwarzen Jugendlichen erschoss,
266370	267670	1300	nicht abreisst.
267750	269830	2080	In inzwischen 170 Städten der USA gehen die Menschen auf die Strasse.
271330	273230	1900	In New York haben sich Hunderte
273510	275350	1840	dem Protestmarsch zum Times Square angeschlossen.
275550	278390	2840	Die Polizei geht mit Pfefferspray gegen die Demonstranten vor,
278570	281310	2740	nachdem diese Brücken und Tunnel besetzen wollen.
281450	283870	2420	Mehrere Personen werden festgenommen.
284040	288950	4910	"In Dallas skandieren Demonstranten ""ohne Gerechtigkeit keinen Frieden"""
289110	291830	2720	und blockieren wichtige Verkehrsachsen.
292010	294710	2700	Demonstrationen werden auch aus den Grossstädten Los Angeles,
294790	297030	2240	Boston und Washington gemeldet.
297210	299909.99999999994	2700	In Ferguson selber - dort, wo der weisse Polizist
300080	303110	3030	vor gut 3 Monaten den schwarzen Jugendlichen erschoss -
303260	306750	3490	schützt ein Grossaufgebot von Polizisten
306830	310550	3720	und Truppen der Nationalgarde das Polizeihauptquartier vor Angriffen.
310730	315990	5260	Im Zentrum von Ferguson bleibt es zwar ruhiger als in der Nacht zuvor,
316140	319750	3610	Demonstranten zünden jedoch ein Polizeiauto an.
319830	320270	440	Die Polizisten setzen Tränengas ein. Über 40 Personen werden festgenommen.
320470	327430	6960	Präsident Obama nennt das Misstrauen gegen die Sicherheitskräfte
327630	331430	3800	und die Proteste ein Erbe der Rassendiskriminierungen.
331620	334230	2610	Dieses Problem ist kein Ferguson-Problem,
