start	end	duration	text
940	2360	1420	.
2560	6480	3920	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7100	9480	2380	"Die ""Tagesschau""-Hauptausgabe vom 16. Juli."
9570	11680	2110	Guten Abend meine Damen und Herren, ich begrüsse Sie.
12940	15600	2660	Die griechischen Banken und die Regierung
15760	17960	2200	können die nächsten Tage überstehen.
18900	24400	5500	Die SBB schreibt jedem Halbtaxbesitzer 10 Fr. gut.
25070	31680	6610	Nahaufnahmen vom Zwergplaneten Pluto werten Astrophysiker als Sensation.
32560.000000000004	36760	4200	Im Flachland sonnig, in den Bergen Schauer oder Gewitter.
37860	41960	4100	Nach dem Ja im griechischen Parlament ging es heute plötzlich ganz schnell.
42110	46120	4010	Griechenland erhält notfallmässig bis zu 7 Mrd. Euro.
46280	50200	3920	Ich bin froh, sagen zu können, dass sich die Finanzminister der EU
50480	53960	3480	über eine Brückenfinanzierung für Griechenland geeinigt haben.
54060	57160	3100	Von jetzt bis Mitte August.
58290	60360	2070	Eine Atempause also für Griechenland.
60620	64519.99999999999	3900	Möglich geworden ist die neue Zahlung nach dem Ja zu den Reformvorschlägen
64629.99999999999	67120	2490	im griechischen Parlament gestern Nacht.
67220	71920	4700	Die Finanzminister einigen sich auf eine Zahlung von 7 Mrd. Euro.
72070	75039.99999999999	2970	Dieses Geld kommt dem griechischen Staat zugute,
75210.00000000001	79360	4150	der damit die nächsten anstehenden Schulden zurückzahlen kann.
79530	83039.99999999999	3510	Ebenfalls heute Nachmittag gab die Europäische Zentralbank EZB bekannt,
83180	85880	2700	dass sie den griechischen Banken unter die Arme greift.
86039.99999999999	90039.99999999999	4000	Die Banken erhalten Notkredite in der Höhe von 900 Mio. Euro,
90210.00000000001	94400	4190	sodass weiterhin Geld aus den Bankomaten kommt.
94580	97560	2980	Damit soll ein Zusammenbruch des griechischen Bankensystems
97660	99280	1620	verhindert werden.
100420	102680	2260	Mario Draghi fürchtet einen solchen Kollaps.
102880	105680	2800	Deshalb erhöht er die Notfallkredite noch einmal.
105860	107720	1860	Das sei durch die Entwicklung
107820	110840	3020	nach der griechischen Volksabstimmung möglich geworden.
111060	115800	4740	Es gab einige positive Dinge in den letzten Tagen,
115900	119039.99999999999	3140	sodass wir den griechischen Banken weiter helfen wollen.
119250	121520	2270	Was die Höhe betrifft, haben wir berechnet,
121680	124560	2880	wie viel die griechischen Banken in einer Woche brauchen.
124650	131200	6550	So sind wir auf 900 Mio. Euro gekommen.
131320	133320	2000	Die griechischen Banken
133510	136200	2690	bewahrt das Notgeld aus Frankfurt vor dem Zusammenbruch.
136360	138960	2600	Geschlossen bleiben sie wohl trotzdem bis auf Weiteres.
139130	141280	2150	Denn auch die heutigen Notkredite und Hilfsgelder
141430	145520	4090	überbrücken nur die Zeit zu einem dritten Hilfsprogramm.
145670.00000000003	147440	1770	Um die Probleme Griechenlands zu lösen,
147579.99999999997	149520	1940	braucht es gemäss dem Internationalen Währungsfonds
149630	151720	2090	von Direktorin Christine Lagarde
151850	155360	3510	einen Schuldenschnitt oder zumindest Schuldenerleichterungen.
155530	159960	4430	Für solche Schuldenerleichterungen plädiert auch Mario Draghi.
160110	163840	3730	Es ist unumstritten, dass Schuldenerleichterungen nötig sind.
163990	167440	3450	Es geht um die Frage, welche Art von Schuldenerleichterung
167620	173960	6340	innerhalb der Eurozone die bestmögliche ist.
174150	178240	4090	Die Europäische Zentralbank hat mit den Notkrediten einmal mehr gezeigt,
178350	180360	2010	dass sie Zeit kaufen kann.
180460	183200	2740	Die Grundsatzprobleme müssen aber die Politiker lösen.
184550	187920	3370	Schuldenerleichterung - dies also das grosse Wort heute.
188050	189880	1830	Sebastian Ramspeck in Brüssel,
190030	191840	1810	was genau ist damit gemeint, worum geht es?
192020	202240	10220	Wir untertiteln live:
202410	205480	3070	Der Begriff Schuldenerleichterung ist sehr dehnbar.
205570	211610	6040	Es gibt schwache Formen.
211950	217050	5100	Bestehende schuldet werden etwas später zurückgezahlt.
217230	223130	5900	Es gibt kräftiger Formen, der Schuldenschnitt zum Beispiel.
224340	227410	3070	Unter den Gläubigern gibt es schon lange mein Verschiedenheiten,
227530	232490	4960	die immer klarer werden.
232600	238530	5930	Der IWF will eine grosszügige Schuldenerleichterung.
239460	242250	2790	Die wirtschaftliche Lage von Griechenland habe sich nochmals
242430	243930	1500	dramatisch verschlechtert.
244090	249690	5600	Deshalb sei es unrealistisch geworden, dass Griechenland
249890	252450	2560	seine Schulden wie vereinbart zurückzahlen kann.
252630	255330	2700	Und trotzdem sträuben sich viele Euro-Länder, allen voran
255520	257570	2050	Deutschland, gegen solche allzu grosszügigen
257800	262850	5050	Schuldenerleichterungen.
263040	265250	2210	Wenn jetzt von Schuldenerleichterungen die Rede
265380	271330	5950	ist,
274000	279970	5970	geht es um die Schulden bei den europäischen Ländern,
280120	285050	4930	nicht bei der IWF.
285310	289890	4580	Die Höhe des Schuldenberges ist so bedrohlich wie noch nie.
290040	295970	5930	Bei den Verhandlungen für ein neues Hilfsprogramm wird weiterhin
296930	300970	4040	hitzig um Schuldenerleichterung diskutiert werden.
303360	305410	2050	Das griechische Parlament
305550	307570	2020	hat also den Weg für ein drittes Hilfspaket freigemacht.
307670	309530	1860	229 von 300 Abgeordneten stimmten für das Reformpaket.
309690	312450	2760	Doch trotz des deutlichen Jas: Für Ministerpräsident Alexis Tsipras
312550	314810	2260	ist die Situation nicht einfacher geworden.
314950	318370	3420	Das Reformpaket kam nur dank der Opposition durch.
318540	320690	2150	Regierungsvertreter denken bereits laut
320880	323450	2570	über mögliche Neuwahlen im Herbst nach.
324720	326890	2170	Es war ein Abstimmungsmarathon.
327110	330410	3300	Bis 2 Uhr wurde im griechischen Parlament hitzig debattiert
330510	332450	1940	und gestritten.
332550	334330	1780	Ministerpräsident Alexis Tsipras
334550	336530	1980	musste bis zuletzt Überzeugungsarbeit leisten.
336630	342770	6140	Für ein Reformpaket, das er selbst im Innersten ablehnt.
342870	345930	3060	Wir hatten nur zwei Optionen:
346080	348090.00000000006	2010	Entweder ein Abkommen zu akzeptieren,
348230	350730	2500	mit dem ich in wichtigen Punkten nicht einverstanden bin,
350990	354210	3220	oder einen chaotischen Ausschluss Griechenlands aus der Eurozone.
354360	357570	3210	Und diese Option hätte viel schlimmere Folgen.
357670	360810	3140	Stehende Ovationen für Tsipras.
361030	363730	2700	Doch die Regierungspartei ist tief gespalten.
363900	367370	3470	32 SYRIZA-Mitglieder votieren gegen das Reformpaket.
367520	369930	2410	Das Ja kommt nur dank Stimmen der Opposition zustande.
370060	371930	1870	Und diese weist Tsipras
372100	375890	3790	unmissverständlich auf die neuen Machtverhältnisse hin.
376030	378730	2700	Herr Ministerpräsident: Es ist unvorstellbar,
378900	381050	2150	dass Sie diejenigen in Ihrer Regierung behalten,
381160	383250	2090	die gegen Sie gestimmt haben.
383420	385530	2110	Politische Verschwörer, die Populismus predigen,
385640	389610	3970	Ratten, die nach der Macht streben.
389710	394690	4980	Herr Ministerpräsident, ich bin sicher,
394870	396930	2060	Sie werden eine Einigung erzielen, aber jetzt wissen Sie:
397080	398810	1730	Ohne die Unterstützung unserer Partei
398980	403970	4990	haben Griechenland und Ihre Regierung ein grosses Problem.
404150	407850	3700	Vorgezogene Neuwahlen oder eine Regierung ohne Mehrheit:
407990	410690	2700	Tsipras steht mit dem Rücken zur Wand.
410820	412850	2030	Trotz des deutlichen Jas:
413040	415290	2250	Es hat Griechenland nicht wirklich stabiler gemacht.
416580	419130	2550	Tsipras kämpft da augenscheinlich ums Überleben.
419270	421130	1860	Aber Neuwahlen, so heisst es,
