start	end	duration	text
1360	3800	2440	Grosse Emotionen am Gotthardmassiv.
4070.0000000000005	7080	3010	Wird die Verfassung ausgehöhlt mit einer zweiten Röhre?
7260	9920	2660	Oder braucht es diese, um Menschenleben zu retten?
10100	11800	1700	Ein Tunnel, der die Schweiz verbinden soll,
11960	14160	2200	aber zurzeit v.a. spaltet.
14200	16960	2760	"Das ist die Abstimmungs-""Arena""."
17080	31360	14280	MIT TELETEXT-UNTERTITELUNG
33860	36320	2460	"(Offstimme) Heute in der ""Arena"":"
36430	38960	2530	Bundesrätin Doris Leuthard sagt:
39190	41480	2290	"""Der Gotthardtunnel muss saniert werden"
41680	45160	3480	"und die zweite Röhre ist dafür klar die beste Lösung."""
45340	48850	3510	Jon Pult, Präsident der Alpen-Initiative, findet:
48940	51250	2310	"""Es ist absurd, Milliarden von Franken"
51530	54010	2480	für die zweite Röhre auszugeben, bevor wir wissen,
54250	57610	3360	"was der neue NEAT-Eisenbahntunnel alles bringt."""
57770	61050	3280	Ulrich Giezendanner, SVP-Nationalrat, meint:
61200	64370.00000000001	3170	"""Ohne zweite Röhre isolieren wir das Tessin."""
64540.00000000001	68850	4310	"""Für mich ist klar: Dieser Tunnel ist eine Frage der Solidarität."""
68950	73730	4780	Und Regula Rytz, Kopräsidentin und Nationalrätin der Grünen, sagt:
73820	76810	2990	"""Diese Vorlage ist ein Trick des Bundesrates -"
76960.00000000001	80170	3210	"hier wird die Bundesverfassung ausgehebelt."""
80450	83850	3400	Weiter in der Sendung: die Vertreter vom Nord- und Südportal,
84039.99999999999	87450	3410	Markus Züst, Baudirektor des Kantons Uri,
87720	91930	4210	und Norman Gobbi, Regierungs- präsident des Kantons Tessin.
92539.99999999999	95490.00000000001	2950	"Die ""Arena"", moderiert von Jonas Projer."
95590	98090	2500	Guten Abend. Vielen Dank.
98210.00000000001	100289.99999999999	2080	Herzlich willkommen, sehr verehrte Gäste,
100400	103410	3010	herzlich willkommen, sehr verehrte Bundesrätin, Doris Leuthard.
103590	108650	5060	"Willkommen in der ""Arena"", danke für den freundlichen Empfang."
108750	111729.99999999999	2980	Frau Bundesrätin, wenn Sie nicht für die zweite Röhre kämpfen -
111900	115009.99999999999	3110	backen Sie gerne in Ihrer Freizeit? - Backen?
115190	119530	4340	Einen Kuchen z.B. - Ich bin eine schlechte Bäckerin.
119729.99999999999	122810	3080	Ich esse es lieber, als dass ich es selbst backe.
123050	125290	2240	Wenn man einen Kuchen backt, das Rezept verdoppelt -
125530	127250	1720	doppelt so viel Mehl, doppelt so viel Butter -
127410	129210.00000000001	1800	dann hat man doppelt so viel Kuchen.
129389.99999999999	131290	1900	Wenn man einen Tunnel am Gotthard verdoppelt,
131400	133210	1810	hat man doppelt so viel Verkehr.
133330	137230	3900	Nein, es kommt immer darauf an, wie man den Kuchen ausgestaltet.
137370	141390	4020	Bei uns ist der Kuchen so aus- gestaltet, dass die doppelte Menge
141560	143990	2430	nicht automatisch doppelt so viel Verkehr ergibt,
144180	146270	2090	weil wir nur einen Einspurbetrieb vorsehen.
146360	148070	1710	Das sagen Sie, Frau Bundesrätin.
148280	151829.99999999997	3550	Ich habe ein Problem: Wie sage ich einer Bundesrätin am höflichsten,
151990	153550	1560	dass ich Ihnen das nicht ganz glaube?
153770	155270	1500	Das müssen Sie mir auch nicht glauben.
155480	156870	1390	Sie können der Verfassung glauben.
157050	158550	1500	Dort drin ist vorgeschrieben,
158730	161230	2500	dass wir keine Kapazitätserweiterung vornehmen dürfen.
161370	165030	3660	Und im Gesetz drin können Sie auch schwarz auf weiss nachlesen -
165150	166990	1840	und darüber stimmen wir auch ab -,
167170.00000000003	169630	2460	dass wir keine Kapazitätserweiterung vornehmen.
169800	172630	2830	Der Einspurbetrieb und das Tropfenzählersystem für die Lastwagen
172730	174110	1380	wird auch reingenommen,
174310	177310	3000	dass das Maximum an möglichen Lastwagen pro Tag limitiert.
177500	180190	2690	Und wenn Sie nicht mehr an das Ge- setz und an die Verfassung glauben,
180280	183630	3350	können Sie das Abstimmungsbüchlein gleich abgeben.
183790	186310	2520	Und den Pass auch gleich. - Das wäre etwas hart.
186450	187910	1460	Hoffen wir, dass die Leute zu Hause das nicht machen.
188040	189270	1230	Es ist auch nicht so,
189400	191470	2070	dass ich nicht an das Gesetz glauben oder Ihnen nicht glauben würde,
191610	193910	2300	sondern die Frage, ob Sie hart bleiben können,
194080	199910	5830	ob das Gesetz hart bleibt. Hören und schauen Sie einmal hierhin!
200170.00000000003	203790	3620	Wenn es 200-mal jährlich Stau gibt, die Leute im Stau stehen -
203970	206390	2420	dann geben Sie nach, dann werden Sie weich.
206500	208110	1610	Nein, das ist nicht möglich.
208370	210670.00000000003	2300	Man kann mir schlimme Briefe schreiben,
210880	214350	3470	man kann mit dem Bundesamt für Strassen streiten, das nützt nichts.
214480	218510	4030	Wenn man wirklich beide Tunnels vierspurig betreiben wollen würde,
218610	220670.00000000003	2060	müsste die Verfassung angepasst werden.
220850	222950	2100	Das Schweizer Volk hat das bisher abgelehnt,
223120	227070	3950	Bundesrat, Parlament und Kantone lehnen das auch ab.
227240	230790	3550	Deshalb: Wenn jemand in 30 Jahren eine Initiative ergreifen
230920.00000000003	233030	2110	und die Verfassung abändern möchte,
233170.00000000003	235310	2140	darf man das tun, das gehört zur Demokratie -
235490	238350	2860	aber es braucht in jedem Fall eine Verfassungsänderung.
238520	240510	1990	Es ist eben umstritten, ob es diese Verfassungsänderung braucht,
240650	242550	1900	ob der Druck von der Strasse,
242710	246590	3880	von den Leuten, die im Auto sitzen und Radio hören - das klingt so:
246690	250070	3380	(Radiosprecher) SRF-Verkehrsinfo:
250160	253830	3670	Auf der Nord-Süd-Achse vor dem Gotthardtunnel in Richtung Süden
254050	259630	5580	zwischen Wassen und Göschenen Stau, eine Wartezeit von rund 15 Min.
259730.00000000003	262470	2740	Sie zucken mit den Schultern, Frau Bundesrätin.
262630	268670	6040	Ich höre von viel mehr Staumeldungen am Gubrist oder in Winterthur,
268920	274870	5950	aber wir haben eine Planung und eine Verfassung
275040	278670	3630	und auch dort kann man nicht einfach einen Schalter umlegen.
278780	282070	3290	Auch dort ist eine Beschränkung vorhanden.
282210	285110	2900	Deshalb ist diese Verfassung in Stein gemeisselt -
285270	289230	3960	doppelt und dreifach - auch mit dem Tropfenzählsystem, auch technisch.
289360	292070	2710	Man kann schon glauben und emotional sein,
292230	296430	4200	aber wir sind ein Rechtsstaat und wir setzen diesen durch.
296640	298510	1870	Das Parlament wäre die erste Instanz,
298700	300910	2210	die sagen würde, dass man das nicht will.
301150	303270	2120	Die Emotionen sind das, was die Politik ändert,
303490	305710	2220	wenn der Stau länger wird und der Tunnel gebaut ist.
305930	308070	2140	Nein, das können sie nicht. - Die Spuren wären vorhanden.
308220	310310	2090	Man müsste sie nur öffnen, das wäre so einfach,
310400	312470	2070	vielleicht ein Gesetz im Parlament -
312570	315270	2700	es wäre nicht das erste Mal, dass man die Verfassung nicht einhält.
315400	316870	1470	Nein, das stimmt nicht,
317000	319270	2270	der Bundesrat garantiert, dass die Verfassung eingehalten wird.
319440	322710	3270	Das ist unsere Aufgabe und die des Parlaments - das tun wir.
322880	326070	3190	Ich bin heute durch den Uetlibergtunnel hierhingefahren
326180	328230	2050	und sah Pannenstreifen.
328450	332310	3860	In vielen Tunnels gibt es Spuren ... - ... die nicht geöffnet werden?
332480	335790	3310	... die für die Feuerwehr, die Chemiewehr und die Polizei
336010	340150	4140	als Unfallwege da sind - und im Gotthard tun wir nichts anderes.
340200	342790	2590	Wir machen Sicherheitsgründe geltend
343050	346430	3380	und wollen deshalb einen getrennten Verkehrsspurbetrieb haben -
346580	348510	1930	aber der Einspurbetrieb ist in Stein gemeisselt.
348610	351360	2750	Aber der Stau wächst an, die Schlagzeilen häufen sich,
351530	355159.99999999994	3630	die Kritik wird immer lauter, z.B. in den Sommerferien:
355320	357440	2120	"""Stau am Gotthard bricht alle Rekorde"","
357530	359480	1950	"""45,5 Std. Stau am Gotthard"" -"
359640	361880	2240	so lange soll man angeblich drin stehen.
361970	364760	2790	"""Stau vor dem Gotthard - Zivildienst verteilte Wasser""."
364970	366640	1670	Das ist doch ein nationaler Notstand, Frau Bundesrätin.
366800	369200	2400	Wissen Sie, wie schnell man diese Spuren öffnen wird?
369190	371040	1850	Nein, das stimmt eben nicht.
371210	374200	2990	Wir haben ein seit 15 Jahren stabiles Verkehrsvolumen.
374340	377360	3020	Der Sommerstau muss über das Jahr betrachtet werden.
377610	380920	3310	Im Sommer gibt es Stau, an Auffahrt und Pfingsten auch,
381020	382640	1620	aber über das Jahr gesehen
382810	386080	3270	ist der Gotthard bei Weitem nicht die stauträchtigste Situation.
386240	390200	3960	In den letzten 15 Jahren hatten wir sogar jedes Jahr weniger Lastwagen,
390340	393360	3020	wir hatten weniger Güterverkehr über die Alpen -
393570	397200	3630	das ist statistisch erwiesen. PWs gab es immer mehr.
397320	399120	1800	Wenn Sie erlauben: Sie sagen, es gebe mehr Autos
399280	401520	2240	und die Prognosen sagen, die Zahl werde ansteigen.
401750	403520	1770	Aber nicht im alpenquerenden Verkehr.
403720	406440	2720	Mit der Verlagerungspolitik konnten wir erreichen,
406600	410520	3920	dass wir jedes Jahr weniger Lastwagen haben - eine Tatsache.
410680	413240	2560	Aber durch den Gotthard gibt es mehr Autos, mehr Stau,
413390	414840.00000000006	1450	mehr Druck von der Strasse. - Autos ...
415050	416720	1670	Es kann sein, dass es immer mehr Autos gibt.
416840.00000000006	418960	2120	Das kann ich nicht verheimlichen.
419159.99999999994	421760	2600	Aber im Vergleich zu anderen staugeplagten Regionen
421890	423720	1830	ist das völlig irrelevant.
423890	426640	2750	Deshalb sagen wir auch, dass wir genügend Kapazität haben.
426850	430600	3750	Schon heute könnten mehr Lastwagen und Autos durch den Gotthard fahren,
430760	433760	3000	es wäre logistisch möglich, aber wir brauchen es nicht, es reicht aus.
433920	436440	2520	Der Stau ist immer noch da - geben Sie noch nicht nach? - Nein.
436600	439520	2920	Macht Ihnen das kein Eindruck? - Nein, Sie haben keine Chance.
439680	441520	1840	Sie können noch lange warten. - Wirklich? - Ja.
441730	444120	2390	Die Frage ist: Was passiert, wenn Brüssel, wenn die EU Druck macht?
444290	445920	1630	Sie sagen, Sie hätten Garantien -
446020	447880	1860	aber ob die Schweiz so hart bleibt ...
447970	449480	1510	Hören wir mal,
449640	452680	3040	wie es bei anderen Bundesräten in anderen Dossiers getönt hat!
452909.99999999994	456280	3370	Hier haben wir Finanzminister und Bundesrat Hans-Rudolf Merz:
458370	460560	2190	Das könnten wir direkt ersetzen:
464950	466760	1810	Nein, auch hier:
