start	end	duration	text
1300	6450	5150	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8080	11690	3610	Es geht um das Neuste zur mutmasslichen Terrorserie in Kanada.
11820	14170	2350	Und: Es geht um die Frauen heute -
14320	16490	2170	guten Abend, meine Damen, guten Abend, meine Herren:
16630	19820	3190	Im Fokus berichten wir über die Pläne des Bundesrats,
19920	25020	5100	die Lohngleichheit in der Schweiz endlich durchzusetzen.
25270	27940	2670	Noch immer verdienen Frauen in gleicher Position
28040	29960	1920	oft weniger als ihre Kollegen.
30060	33320	3260	Jetzt setzt die Regierung auf Kontrolle und Zwangsmassnahmen.
33520	37520	4000	Wir sprechen darüber - mit Arbeit- geberdirektor Roland Müller im Studio
37680	40880	3200	und mit Bundesrätin Simonetta Sommaruga.
42840	44600	1760	Wir haben heute immer noch eine Diskriminierung der Frauen.
44770	47560	2790	Das ist ein unhaltbarer Zustand. Das möchte der Bundesrat ändern.
49390	54360	4970	Schüsse vor und im Parlament in Ottawa fordern 2 Tote.
56720	61520	4800	Die Kantone fordern bessere Untersuchungen bei der Einreise.
63480	66240	2760	Und: Roche plant ein weiteres Hochhaus in Basel -
66420	69600	3180	es soll hierzulande eine neue Rekordmarke setzen.
72330	76560	4230	Es war 10 vor 10 am Vormittag in der kanadischen Hauptstadt Ottawa,
76750	80520	3770	als in der Nähe des Parlaments- gebäudes Schüsse fielen.
80700	84440	3740	Ein Bewaffneter soll zuerst beim Kriegerdenkmal im Regierungsviertel
84520	87440	2920	einen Soldaten niedergeschossen haben -
87580	89720	2140	der Mann ist inzwischen im Spital verstorben.
89870	93039.99999999999	3170	Danach sei der Schütze laut Augenzeugen und Medienberichten
93200	96039.99999999999	2840	ins nahegelegene Parlamentsgebäude gestürmt.
96250	100520.00000000001	4270	Die Informationen aus Ottawa ergeben noch kein Gesamtbild -
100630	103280	2650	Nina Blaser fasst zusammen, was bis jetzt bekannt ist:
105160	106640	1480	Die neusten Bilder zeigen,
106840	109000	2160	wie Sicherheitskräfte vor dem Kriegerdenkmal versuchen,
109180	113320	4140	dem angeschossenen Soldaten noch an Ort und Stelle das Leben zu retten.
113430	114880	1450	Vergeblich.
115039.99999999999	116759.99999999999	1720	Wahrscheinlich noch während dieser Rettungsaktion
116920	119039.99999999999	2120	kam es im Parlamentsgebäude nahe des Denkmals
119150	120930	1780	zu heftigen Schusswechseln
121020	124050	3030	zwischen einem oder mehreren Tätern und der Polizei.
131540	135810	4270	Die kanadische Polizei bestätigte am Abend, ein Täter sei getötet worden.
136010	140079.99999999997	4070	Unklar ist noch, ob mehrere Täter an der Attacke beteiligt waren.
140230	144160	3930	Die Polizei fahndet gemäss neusten Angaben nach bis zu 3 Angreifern.
144300	148040	3740	Abgeordnete und auch der kanadische Ministerpräsident Stephen Harper
148230	151640	3410	wurden während des Schusswechsels in Sicherheit gebracht.
151850	154960	3110	Ich wollte gerade meine Jacke ausziehen,
155040	157160	2120	dann hörte ich Schüsse.
157329.99999999997	159320	1990	Möglicherweise waren es 10 - ich weiss es nicht genau.
159470	162360	2890	Dann plötzlich kam eine Sicherheits- kraft die Gänge entlang gerannt
162420.00000000003	167360	4940	und führte uns zum Hintereingang des Gebäudes.
167520	171160	3640	Die Sicherheitskräfte riegelten das Parlamentsgebäude
171370	174240	2870	sowie den Regierungssitz weiträumig ab.
174320	176640	2320	Noch anwesende Personen wurden aufgefordert,
176850	179240	2390	das Gelände zu verlassen.
179260	181790	2530	You need to leave!
181890	187110	5220	Kanada und die USA versetzten das gemeinsame Luftverteidigungskommando
187230	189230	2000	in erhöhte Alarmbereitschaft.
189400	193470	4070	Die Polizei gab noch Stunden nach der Schiesserei keine Entwarnung.
193600	195430	1830	Wir haben alle unsere Kräfte
195630	198590	2960	für den noch immer andauernden Polizeieinsatz gebündelt.
198740	201950	3210	Die öffentliche Sicherheit, das ist unser erstes Ziel.
202070	203750	1680	Dementiert wurde die Meldung,
203940	206030	2090	auch in einem Einkaufszentrum in Ottawa
206230	208150	1920	sei es zu einer Schiesserei gekommen.
208310	211550	3240	Bereits am Montag hatte ein Mann 2 Soldaten überfahren - einer starb.
211660	214790	3130	Hinter all diesen Attacken vermuten die Behörden terroristische Motive.
217440	220230	2790	Wir schalten zu Arthur Honegger nach Washington, guten Abend.
220360	223270	2910	Wie ist die Situation zurzeit? Welche Informationen haben Sie?
223360	226990	3630	Wir untertiteln live:
231240	233310	2070	Die Polizei in Ottawa hat vor etwa einer Std.
234730	237600	2870	an einer Medienkonferenz über die aktuelle Lage informiert.
242380	244370	1990	Interessant war dort, nicht gesagt wurde -
244600	246410	1810	die Polizei hat nicht bestätigt,
246520	248490	1970	dass es mehr als einen Schützen gab.
249610	251690	2080	Sie hat keine Angaben zur Identität des Opfers
251820	253770	1950	und des getöteten Täters gemacht.
255640	258490	2850	Die Ermittlung sei im Fluss und entwickle sich fortlaufend.
258930	260850.00000000003	1920	Weshalb Kanada?
261670.00000000003	263610	1940	Das fragt man sich hier auch.
265570	268090	2520	Das Land im Norden der USA gilt als relativ friedlich.
272890	275970	3080	Es gibt dort deutlich weniger Gewaltverbrechen als Beispiel hier
276070	276650	580	in den USA.
276890	278570	1680	Aber wie die heutigen Ereignisse zeigen,
278810	281970	3160	dass eine friedliche Gesellschaft auch nicht vor Gewalt gefeit ist.
282140	285250	3110	Schüsse beim Kriegerdenkmal, im Parlament, möglicherweise auch in
285440	288490	3050	einem Einkaufszentrum und vor 2 Tagen der tödliche Angriff eines
288659.99999999994	291810	3150	Dschihadisten auf einen Soldaten - hängen die Vorfälle zusammen?
291890	293890	2000	Das ist zumindest die Befürchtung zur Std..
294980	297690	2710	Kanada ist insofern exponiert, als dass das Land Teil der
297840.00000000006	299770	1930	amerikanischen Koalition
300740	302730	1990	gegen den sog. islamischen Staat ist.
304860	306970	2110	Die Terrormiliz hat mehrmals dazu aufgerufen,
307730	309730	2000	Terrorattacken auch im Ausland anzuführen.
310800	312730	1930	Dieser Angriff am Montag mit dem Auto
314440	317250	2810	könnte in der Tag einen terroristischen Hintergrund haben.
317360	319050	1690	Was hinter den Schüssen heute steckt,
319260	320970	1710	ist nach wie vor offen.
321230	322850	1620	Danke vorerst für diese Installationen.
324300	326330	2030	Wir richten den Fokus nun auf eine Forderung,
326490	328250	1760	die seit Jahrzehnten ungelöst im Raum steht.
328510	330330	1820	Frauen und Männer sollen in der Schweiz
330460	332250	1790	bei gleicher Qualifikation und gleicher Arbeit
332320	333970	1650	auch den gleichen Lohn erhalten.
