start	end	duration	text
1130	2540	1410	.
2770	7060	4290	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7140	9780	2640	"Guten Abend, meine Damen und Herren - willkommen zur ""Tagesschau""."
9940	12500	2560	Das macht an diesem Freitag Schlagzeilen:
13630	17380	3750	Bei einer Protestkundgebung gegen Polizeigewalt in Dallas
17560	20700	3140	töten Heckenschützen fünf Beamte.
21640	26420	4780	Die NATO verstärkt ihre Ostgrenze.
28940	32420	3480	Die Gesundheitskommission des Nationalrates
32580	35700	3120	will die Krankenkassenprämien umkrempeln.
37130	42220	5090	Roger Federer kann auch dieses Jahr sein Lieblingsturnier nicht gewinnen.
43850	48500	4650	... mit Temperaturen bis 32 °C.
50140	55140	5000	In den USA ist während einer Protestkundgebung gegen Polizeigewalt
55280	59860	4580	fünfmal tödliche Gewalt gegen Polizisten angewendet worden.
59970	62460	2490	In Dallas im Bundesstaat Texas
62570	65379.99999999999	2810	schiessen einer oder mehrere Heckenschützen auf Polizeibeamte,
65610	67940	2330	fünf von ihnen kommen dabei ums Leben.
68080	69820	1740	Ein mutmasslicher Täter
69970	72660	2690	ist mittlerweile von Einsatzkräften getötet worden.
72810	76420	3610	Offenbar ein schwarzer 25-jähriger Angehöriger der US-Armee.
78240	81500	3260	Es beginnt alles friedlich, mit einem Zeichen gegen Rassismus:
81720	85539.99999999999	3820	Die Menschen in Dallas protestieren gegen rassistische Polizeigewalt,
85620	87460.00000000001	1840	nachdem diese Woche Polizisten
87610	90640	3030	zwei Schwarze wohl ohne Not erschossen haben.
90860	92840	1980	Dann plötzlich fallen Schüsse.
92940	95320	2380	Die Menschen versuchen, sich in Sicherheit zu bringen.
95520.00000000001	98640	3120	Von irgendwoher zielt mindestens ein Schütze auf Polizisten.
98840	100800	1960	Fünf Polizisten sterben,
101020.00000000001	105720	4700	sieben weitere und zwei Zivilisten werden verletzt.
105820	109800	3980	Wir rannten, und die schossen immer weiter.
110000	112600	2600	Wir sahen getroffene Polizisten, die zusammenbrachen.
112700	115880	3180	Niemand sonst, nur Polizisten.
