start	end	duration	text
1290	2160	870	.
2150	4000	1850	"Die ""Rundschau"" mit Sandro Brotz."
3970	6880	2910	Wir sind wieder da. Schön, dass Sie es auch sind.
8880	11920	3040	1:1-Untertitelung. Livepassagen können Fehler enthalten.
13490	16720	3230	Bund weist massiv mehr Eritreer weg.
18800	22320	3520	Ghostwriter schreiben Uni-Arbeiten.
24780	29960	5180	Jahreswechsel im Zeiten der Krise.
31670	33520	1850	"Guten Abend zur ""Rundschau"", live aus dem Studio 4."
33490	36760	3270	Warum können so viele Eritreer in der Schweiz bleiben?
36740	39360	2620	Mehr als 20'000 sind es aktuell.
39330	43080	3750	Weil sie unser Asylsystem schamlos ausnutzen, sagt die Rechte.
43060	46600	3540	Weil sie in ihrer Heimat verfolgt werden, sagt die Linke.
46560	50160	3600	Dazu gehört auch Justizministerin Simonetta Sommaruga,
50130	55160	5030	die sich an vorderster Front für die Eritreer stark gemacht hat:
55130	59520	4390	Was klar ist: Man kann die Menschen nicht nach Eritrea zurückschicken.
59490	63080	3590	Das ist allen europäischen Staaten klar.
63060	66240	3180	Kein einziges Land in Europa schickt Eritreer zurück.
66210	69520	3310	Es gibt neueste internationale Berichte, die sagen:
69500	72080	2580	Eritrea ist eine Diktatur, ein Willkürstaat.
72050	74760	2710	Gut möglich, dass die Bundesrätin nicht weiss,
74740	76440	1700	was ihre Verwaltung macht.
76400	78320	1920	Denn im Staatssekretariat für Migration
78289.99999999999	80880	2590	gilt bei eritreischen Asylbewerbern
80860	83920	3060	neuerdings offenbar eine härtere Gangart.
83910	85680	1770	Das zeigen unsere Recherchen.
85660	88680	3020	Mein Kollege George Humbel über den Fall einer Frau,
88640	93200	4560	deren Gesuch abgelehnt wurde und die aus der Schweiz ausreisen muss.
96090	99360	3270	Enten füttern und hoffen.
99330	101800	2470	Das bleibt ihr noch.
101780	105240.00000000001	3460	Merhauit hat ihren Sohn in Eritrea zurückgelassen und ist geflohen.
105200	109880	4680	Überzeugt, als Eritreerin in Europa Asyl zu erhalten.
109880	114360	4480	Doch jetzt hat der Bund ihr Gesuch abgelehnt:
114320	116880	2560	Ich wollte ein besseres Leben führen.
116840	120360	3520	Jetzt bin ich in einer sehr schlechten Situation.
120350	123960	3610	Wenn ich Menschen treffe, bin ich total abwesend.
123950	126080	2130	Ich kann mich nicht mehr konzentrieren.
126060	130560	4500	Ich bin komplett am Boden. Ich weiss nicht mehr, was tun.
130530	135640	5110	Merhauit gibt an, sie sei vor dem Militärdienst in Eritrea geflüchtet.
137380	140240	2860	Doch der Bund glaubt der über 30-jährigen Mutter nicht,
140220	142880	2660	dass sie noch ins Militär müsste.
142860	145079.99999999997	2220	Das sei erfunden.
145060	149440	4380	Der Bund glaubt auch nicht, dass sie illegal aus Eritrea geflohen sei.
149420.00000000003	153000	3580	Sie sei legal aus dem Land ausgereist.
152980	156840	3860	Ich habe sehr grosse Angst.
156820	160810	3990	Ich bin illegal aus Eritrea ausgereist.
160780	164650	3870	Wenn ich zurück muss, befürchte ich, dass ich im Gefängnis lande
164640	170490	5850	oder sonst irgendwo weggesperrt werde.
170480	175650	5170	Eritrea: Merhauits Heimat am Horn von Afrika.
175610	179770	4160	Das Regime gilt als äussert repressiv.
179750	184210	4460	Kein europäisches Land schickt Asyl- bewerber zu Diktator Afewerki zurück.
184190	186890	2700	Auch die Schweiz hat das bisher ausgeschlossen.
186850	190050	3200	Eritrea sei ein Willkürstaat.
190020	194610	4590	In Merhauits abgelehntem Asylgesuch klingt das ganz anders.
194590	198250	3660	Ihr drohe in Eritrea keine menschenrechtswidrige Behandlung,
198230	200170.00000000003	1940	schreibt der Bund.
200130	203210	3080	Es gebe keinen Krieg und auch keinen Bürgerkrieg.
203180	207650	4470	Deshalb müsse sie in ihre alte Heimat zurückkehren:
220780	222250	1470	Toni Locher.
222250	226930	4680	Er ist der Schweizer Fürsprecher des umstrittenen eritreeischen Regimes.
226910	228850	1940	Der Honorarkonsul fühlt sich
228810	232010	3200	durch den Asylentscheid des Staats- sekretariats für Migration bestätigt:
231970	234050	2080	Es freut mich,
234030	236410	2380	dass die Situation in Eritrea realistischer eingeschätzt wird.
236400	239660	3260	Ich freue mich, dass das SEM auch vor Ort war.
239640	243460	3820	Ich hoffe, sie gehen wieder vor Ort.
243450	246020	2570	Sie stützen sich jetzt neu - und das finde ich gut -
246000	248460	2460	auch auf die Aussagen westlicher Botschafter.
248420	250500	2080	Gemäss Ihnen könnte man diese Frau also zurückschicken?
250460	252020	1560	Ja, eindeutig.
252010	254420	2410	Sie ist in keiner Weise an Leib und Leben gefährdet.
254420	258220.00000000003	3800	Und sie muss schon gar nicht ins Gefängnis oder in ein Erdloch.
258200	259899.99999999997	1700	Merhauit lässt sich
259870	263940	4070	"von der kleinen Berner Hilfsor- ganisation ""Give a Hand"" begleiten."
263930	267020	3090	Für die Berater ist der Wegweisungs- entscheid völlig unverständlich.
267020	270140	3120	Fälle wie der von Merhauit seien ein Anzeichen,
270110	274060	3950	dass der Bund seine Praxis gegenüber Eritreern verschärft habe.
274030	279340.00000000006	5310	Auch Stefan Frey von der Flüchtlingshilfe hat den Eindruck,
279300	284340.00000000006	5040	dass die Behörden seit einiger Zeit deutlich restriktiver entscheiden:
284320	285980	1660	Unser Gefühl ist eindeutig,
285960	288860	2900	dass solche Fälle in den letzten zwei, drei Jahren zugenommen haben.
288860	293520	4660	Hat der Bund oder die Verwaltung die Schraube angezogen?
293520	295760	2240	Ich gehe davon aus, dass der Ermessenspielraum,
295750	297400	1650	der in solchen Fällen vorhanden ist,
297380	299820	2440	eher zu Ungunsten der Eritreer ausgelegt wird.
299820	303740	3920	Eritreer sind die grösste Flüchtlingsgruppe in der Schweiz.
303730	307260	3530	Der politische Druck, Eritreer wegzuweisen, wächst.
307220	309820	2600	"Bereits im Sommer hat die ""Berner Zeitung"""
309790	312140	2350	über eine mögliche Verschärfung berichtet.
312130	314980	2850	"Jetzt hat die ""Rundschau"" neue Zahlen:"
316710	318260	1550	In den letzten zehn Jahren
318230	322860	4630	hat der Bund kaum Wegweisungen nach Eritrea verfügt. Bis 2014.
322820	328740	5920	Plötzlich 149 Fälle. Und 2015 sogar 230.
328710	332140	3430	Das Staatssekretariat für Migration sagt,
332100	334900	2800	angesichts der vielen Gesuche aus Eritrea
334870	339620	4750	müssten nur sehr wenige die Schweiz verlassen.
339600	342860	3260	Dass diese Zahlen so ansteigen, hat schlicht damit zu tun,
342830	345659.99999999994	2830	dass wir mehr Gesuche von Eritreern haben
345650	347700	2050	und auch mehr behandeln können.
347670	350020	2350	Frau Sommaruga sagte im Sommer,
349990	351620	1630	man würde niemanden in dieses Land zurückschicken.
351590.00000000006	353340.00000000006	1750	Gilt das noch?
353300	355620	2320	Das Staatssekretariat für Migration schickt niemanden zurück,
355590.00000000006	358830	3240	der in seinem Heimatland einer Gefährdung ausgesetzt wäre.
358800	360560	1760	Wenn das aber nicht der Fall ist,
360530	362410	1880	wenn jemand sicher ist, wenn er zurückreist,
362410	364700	2290	muss diese Person gehen.
364670	366700	2030	Die Schweizer Flüchtlingshilfe beklagt sich und sagt,
366660	369340	2680	der Bund habe die Schraube angezogen und sei strenger geworden.
369300	371790	2490	Wir haben im Staatssekretariat für Migration
371760	375040	3280	an der Praxis mit Eritreern nichts verändert.
375010	377190	2180	Eine Veränderung wäre z.B. dann angezeigt,
377170	379230	2060	wenn sich in Eritrea etwas verändert hätte.
379220	381270	2050	Das ist nicht der Fall.
381260	383830	2570	Was passiert mit Menschen wie Merhauit?
383790	386510	2720	Hunderte Eritreer müssten zurückkehren.
386470	389430	2960	Gleichzeitig gibt es kein Rückführungsabkommen
389410	392830	3420	und der Bund kann sie nicht zwangsweise ausschaffen.
392790	395470	2680	Sie müssten also freiwillig heimgehen.
395450	400270	4820	Sonst werden sie Illegale - Sans Papiers.
400250	403270	3020	Ich werde niemals nach Eritrea zurückkehren.
403240	408650	5410	Ich muss hier bleiben und Geld für mein Kind verdienen.
408640	412770	4130	Es gibt Staaten, in die wir keine Zwangsrückführungen machen können.
412740	415090.00000000006	2350	Bei Eritrea ist das der Fall.
415080	417530	2450	Nichtsdestotrotz wollen wir,
417510	419570	2060	dass diese Menschen die Schweiz verlassen.
419550	421410	1860	Merhauits letzte Chance auf ein legales Leben in der Schweiz
421380	424210	2830	ist ein Rekurs vor dem Bundesverwaltungsgericht.
424190	426930	2740	600 Fr. kostet sie der Weiterzug.
426900	429860	2960	Sehr viel Geld für eine Asylbewerberin.
429830	431700	1870	Auf die letzte Minute hin
431690	434380	2690	hat sie das Geld von Verwandten und Freunden organisiert.
434340	438820	4480	Kurz vor Schalterschluss zahlt sie ein.
441110	444740	3630	3'800 Fr.
444710	448070	3360	Soviel kostet in der Schweiz ein Uniabschluss.
448070	450520	2450	Nicht an Studiengebühren, nein, sondern dann,
450480	453200	2720	wenn sich Studenten einen akademischen Titel kaufen wollen.
453180	455520	2340	Ghostwriting nennt sich das.
455500	458520	3020	Ein lukratives Geschäftsmodell im juristischen Graubereich.
458500	461560	3060	Was der Präsident der Rektorenkonferenz davon hält,
461530	464280	2750	dass immer mehr Studenten gegen Bezahlung fremdschreiben lassen,
464260	467610	3350	will ich gleich von ihm selber wissen.
467570	469730	2160	"Zuerst aber die ""Rundschau""-Recherche"
469720	472850	3130	meiner Kollegen Marc Meschenmoser und Stefania Telesca.
476740	481330	4590	Die gesammelte Welt des Wissens - Studenten versuchen sie zu ergründen.
481300	484810	3510	Recherchieren, analysieren, verfassen eigene Texte.
484790	488370	3580	Auch er schreibt an einer Doktorarbeit.
488330	490690	2360	Als Ghostwriter - gegen Bezahlung.
490650	495810	5160	Mein Name ist Herbert Jost-Hof.
495790	499410	3620	Ich bin Ghostwriter,
499390	502050	2660	d.h., ich schreibe akademische Arbeiten für Studierende.
502030	505090	3060	Semesterarbeiten, Abschlussarbeiten, was gefragt wird.
505070	507690	2620	Das sieht dann so aus, wie das, was ich hier in der Hand halte.
507650	511370	3720	Das vordere ist z.B. eine Abschlussarbeit.
511330	519289.99999999994	7960	So etwas kostet in etwa - hängt immer vom Auftrag ab - 3'800 Fr.
519260	524330	5070	Einen Uniabschluss für 3'800 Fr.
524300	527250	2950	Das hier ist eine käufliche Arbeit.
527230	530010	2780	Geschrieben von einem Ghostwriter gegen Bezahlung.
530010	532980	2970	"""Nachhaltigkeit im Facility Management""."
532970	537040	4070	Detailliert das Inhaltsverzeichnis, präzise die Recherche.
537010	544160	7150	Es fehlt an nichts. Inklusive Literaturverzeichnis.
544140	546600	2460	Ich arbeite auch für Studierende aus der Schweiz,
546560	550280	3720	auch aus Österreich und natürlich aus Deutschland.
550260	553160	2900	Wie verhalten sich die Schweizer Studenten denn?
553120	557920	4800	Überwiegend sehr freundlich, sehr nett, sehr kooperativ.
557890	562920	5030	Und letzten Endes, was mich per- sönlich natürlich auch sehr freut,
562910	565850	2940	in den meisten Fällen auch sehr dankbar.
565850	568060	2210	Vorlesung an der Uni Zürich.
568020	571830	3810	Nach dem Zuhören das Büffeln.
571800	575470	3670	Und alle paar Monate eine schriftliche Arbeit.
575450	580280	4830	Seminar, Bachelor, Master bis zum Doktortitel.
580260	584490	4230	Wie viele Studenten verfassen diese wirklich ganz alleine?
584450	589730	5280	Fest steht: Sie sind verlockend, solch gekaufte Arbeiten.
589720	592130	2410	Wir fragen nach.
592100	595370	3270	Bachelorarbeit für 4'500 Fr. Interessiert?
595340	597650	2310	Nein, nicht wirklich.
597640	599850	2210	Warum nicht?
599810	602130	2320	Wir wurden gerade über Plagiate aufgeklärt.
602090	604490	2400	Das Thema ist ein bisschen zu heikel.
604460	606610	2150	Und wir sollten ja auch etwas dabei lernen.
606580	609370	2790	Also nicht wirklich. Es ist auch zu viel Geld momentan.
609330	612730	3400	Haben Sie hier an der Uni Zürich auch schon von Studenten gehört,
612700	616210	3510	die sich Arbeiten schreiben lassen?
616180	618330	2150	Master- und Bachelorarbeiten nicht, sonst schon.
618290	620850	2560	Was sind das für Fälle?
620820	623490	2670	Mehr kleinere Sachen, Seminararbeiten oder so.
623460	626450	2990	Sachen, die nicht so ins Gewicht fallen.
626410	628890	2480	Wenn man nicht so Lust hat, aber genug Geld.
628850	631850	3000	Das gab es auch schon.
631810	634690	2880	4'500 Fr. für eine Bachelorarbeit, geschrieben von einem Ghostwriter.
634680	636570	1890	Interessiert?
636540	639290	2750	Ähm... nicht unbedingt, nein.
639270	641730	2460	Sie haben jetzt eine Weile nachgedacht.
641700	643570	1870	Ist es verlockend?
643540	645410	1870	Aber ein bisschen teuer.
645380	647330	1950	Für einen Studenten ist es viel Geld, finde ich.
647290	648970	1680	Jedes Jahr
648960	651290	2330	schreiben sich mehr Studenten an Schweizer Universitäten ein.
651250	654290	3040	Auf 500 Studenten ein Professor.
654250	658420	4170	Und Studierende müssen immer mehr schriftliche Arbeiten abliefern.
658380	661460	3080	Die Verlockung eine zu kaufen, nimmt zu.
