start	end	duration	text
30	4370	4340	1:1-Untertitelung. Livepassagen können Fehler enthalten.
5760	7330	1570	Guten Abend, meine Damen und Herren.
7550	10250	2700	"Hier ist die ""Tagesschau"", und das sind die Themen heute Freitag."
12100	15410	3310	Die Zahl der illegalen Einreisen in die Schweiz steigt massiv.
18050	21730	3680	25 Abtrünnige verlassen die Regierungspartei SYRIZA.
24270	28170	3900	Chinas Konjunktur bereitet Anlegern starke Kopfschmerzen.
30390	33970	3580	Die pompöse Beerdigung eines Paten erzürnt Rom.
35870	38730	2860	Sonnig und warm, nur im Süden einige Wolken.
40660	43170	2510	Mit dem Wunschziel Europa vor Augen
43390	46730	3340	flüchten immer mehr Menschen aus ihrer Heimat. Und auffallend:
46870	51730	4860	In jüngster Zeit wählen mehr Menschen als früher die sog. Balkanroute.
51850	54010	2160	Sie versuchen, sich von Mazedonien -
54170	56730	2560	hier Bilder von der griechisch- madezonischen Grenze -
56910	60210	3300	weiter Richtung Norden irgendwie durchzuschlagen.
60290	63770	3480	Diese Route wirkt sich nun offenbar auch auf die Schweizer Grenze aus.
63910	67210	3300	Im Osten der Schweiz werden deutlich mehr Menschen aufgegriffen,
67330	69900	2570	die illegal einzureisen versuchen,
70060	72180	2120	"wie Recherchen der ""Tagesschau"" zeigen."
74120	77460.00000000001	3340	Einfahrt des Zuges aus Graz im sanktgallischen Grenzbahnhof Buchs,
77560	79500	1940	vor eineinhalb Stunden.
79600	80900	1300	Grenzwächter kontrollieren,
81070	84940	3870	ob die Passagiere gültige Papiere haben oder illegal einreisen.
85090	88180	3090	Trifft das Letztere zu, werden sie der Polizei übergeben.
88410	93020.00000000001	4610	Einige wenige Leute pro Tag waren es noch Anfang Jahr, meist Kosovaren.
93140	95539.99999999999	2400	Gemäss Andreas Brunner,
95759.99999999999	99380	3620	bei der Kantonspolizei St. Gallen für den Ausländerbereich zuständig,
99600	104780	5180	kommen sie nun v.a. aus Afghanistan, Syrien, Iran und Irak.
104930	105900	970	In steigender Zahl.
106070	108580	2510	Zum Jahreswechsel reisten ca. zehn bis 20 Personen pro Woche ein.
108729.99999999999	115780	7050	Jetzt sind es zwischen 100 und 150 Personen, die wöchentlich einreisen.
115950	119259.99999999999	3310	Zahlen des Grenzwachtkorps bestätigen diese Beobachtung.
119420	122300	2880	In der Ostschweiz hat die Zahl illegal Anwesender
122400	124140	1740	sprunghaft zugenommen.
124320	131060	6740	Im Vergleich zum Juni stieg sie von 110 auf 285 an, ein Plus von 160 %.
131200	135940	4740	In der Grenzwachtregion 2 stieg sie um 5 % an.
136130	139700	3570	In den fünf restlichen Regionen ging die Zahl zurück.
139770	142060	2290	Die meisten dieser Leute, die aufgegriffen werden,
142180	144780	2600	verlangen bei uns nach Asyl.
144950	148180	3230	Sie gehen nachher ins Asylzentrum nach Altstätten
148310	150660	2350	und werden dort weiter bearbeitet.
150780	153579.99999999997	2800	Die Grenzwächter kontrollieren in Buchs mehrere Personen -
153750	156620	2870	sie haben alle gültige Papiere und dürfen weiterreisen.
156760	160020	3260	Die meisten Flüchtlinge kommen mit dem Nachtzug frühmorgens an.
160160	163060	2900	Krieg und Elend im Nahen Osten -
163220	166180	2960	die Folgen werden zunehmend auch in der Ostschweiz sichtbar.
167740	170180	2440	Ein Grossteil der Flüchtlinge versucht also - wie erwähnt -
170280	174140	3860	zurzeit, über die sog. Balkanroute, über die Türkei,
174240	177860	3620	Griechenland und Mazedonien in den Westen Europas zu gelangen.
178010	180540	2530	Nachdem Mazedonien wegen des enormen Ansturms
180760	182460	1700	gestern den Ausnahmezustand verhängt hat,
182610	186100	3490	gehen dort nun Grenzpolizisten und Soldaten
186270	189940	3670	knallhart gegen die Flüchtlinge vor - mit Tränengas und Gummischrot.
191710	194260	2550	Die Stimmung im Grenzort Gevgelija
194400	196460	2060	wird im Laufe des Tages immer angespannter,
196620	198820	2200	auf beiden Seiten liegen die Nerven blank.
199079.99999999997	203020	3940	Die Menschen haben Hunger und Durst, viele brechen im Gedränge zusammen.
205610	208740	3130	Laut UNO kommen 80 % dieser Flüchtlinge aus Syrien.
208870	212620	3750	Nur wenige werden heute über die Grenze gelassen.
212810	216100	3290	Als die Menschenmasse Richtung Grenzzaun vordringt,
216220	219940	3720	eskaliert die Situation: Zehn Personen werden verletzt.
220060	221700	1640	Viele sind vor dem Krieg geflohen,
