start	end	duration	text
2250	4000	1750	.
4210	6160	1950	1:1-Untertitelung
8039.999999999999	10400	2360	"Die ""Tagesschau"" - meine Damen und Herren, guten Abend!"
10610	12160	1550	Heute mit diesen Themen:
13610	17160	3550	Ex-Regierungschefin Julija Tymoschenko
17280	19000	1720	will Präsidentin der Ukraine werden.
20410	24760	4350	Die Zahl der Meldungen hat im letzten Jahr deutlich zugenommen.
26400	29000	2600	Der Sammler Cornelius Gurlitt hatte noch viel mehr Bilder versteckt.
31030	35280	4250	Dazu wieder milder mit 16 °C.
37210	40000	2790	Die Ukraine steht wirtschaftlich am Abgrund -
40160	43160	3000	das Land braucht dringend finanzielle Hilfe.
43350	46800	3450	Grosse Hoffnungen ruhen deshalb auf den anstehenden Wahlen.
46930	49360	2430	Und heute machte sie es offiziell:
49530	51640	2110	Julija Tymoschenko will Präsidentin der Ukraine werden.
51850	53880	2030	Sie wolle bei der Wahl am 25. Mai antreten,
54000	55960	1960	gab sie heute persönlich bekannt.
56140	59160	3020	Zuvor war schon mehrfach über eine Kandidatur
59380	61200	1820	der ehemaligen Regierungschefin spekuliert worden.
61350	63160	1810	Die pro-europäische Politikerin
63460	67280	3820	will damit ihrem Gegner, Russlands Präsident Putin, die Stirn bieten:
69420	72560	3140	Nach ihrer Entlassung aus dem Gefängnis war Julija Tymoschenko
72770	76200	3430	wegen eines Rückenleidens in Berlin medizinisch behandelt worden.
76370	79960.00000000001	3590	Bislang hatte sich die 53-jährige Politikerin
80039.99999999999	84640	4600	nicht zu einer Kandidatur geäussert.
84820	89640	4820	Ich plane, als Präsidentin der Ukraine zu kandidieren.
89780	92120	2340	Keiner der anderen Politiker
92380	97960.00000000001	5580	versteht die Schwere der Gesetz- losigkeit hier im Land wie ich,
98150	102080	3930	und niemand will so sehr wie ich, dass dieser Zustand endet.
102180	108520.00000000001	6340	In den letzten Wahlumfragen liegt Tymoschenko gleichauf
108610	111440	2830	mit dem Ex-Boxer Vitali Klitschko auf Rang 2.
111550	116360	4810	Aber abgeschlagen hinter dem Milliardär Petro Poroschenko.
116520.00000000001	122000	5480	Im ukrainischen Parlament verkündete Übergangspräsident Arsenij Jazenjuk,
122160	126360	4200	sein Land stehe am Rande des Bankrotts.
126400	128780	2380	Drastische Sparmassnahmen seien nötig.
128919.99999999999	131100	2180	Im Parlament gibt das viel zu reden.
131280	134340	3060	Im 2. Anlauf sagt es dann Ja zum Reformpaket.
134520	136940	2420	Dieses ist Bedingung für die Milliardenhilfen
137050	139380	2330	des Internationalen Währungsfonds.
142370	144900	2530	Derweil verstärkt die ukrainische Armee
145020	146780	1760	den Schutz der Grenze zu Russland.
146960	149220	2260	Westliche Militärexperten gehen davon aus, dass Russland
149360	151860	2500	weitere 10'000 Soldaten an die Grenze zur Ukraine verlegt hat -
152020	154340	2320	zusätzlich zu den bisherigen 20'000 Mann.
156270	158660	2390	Die ukrainische Übergangsregierung betrachtet mit Sorge,
158800	162340	3540	was an der Grenze zu Russland passiert:
162570	165660	3090	Beunruhigt hat sie v.a. die Äusserung von Russlands Präsident Putin,
165760	168310	2550	wonach er mit seinen Strategen
168570	173310	4740	die Lage in der Ukraine genau beobachten würde.
173450	175510	2060	Es sei wichtig, Russlands Bürger zu schützen,
175730	178270	2540	wenn sie durch Extremisten bedroht würden, so Putin.
178400	180350	1950	Mit ähnlichen Worten hatte Putin
180440	183030	2590	auch das russische Eingreifen auf der Krim gerechtfertigt.
185040	188470	3430	Dieses Hilfsversprechen macht Russ- lands Präsident Wladimir Putin heute
188600	192750	4150	beim Treffen mit wichtigen Abgeord- neten des russischen Föderationsrats.
192930	196950	4020	Die Ereignisse in der Ukraine würden gegenwärtig gründlich analysiert.
197070	200350	3280	Wir müssen die Lage
200480	203950	3470	nach den neuesten Ereignissen in der Ukraine genau durchdenken.
204200	207150	2950	Es ist wichtig, dass wir unsere Bürger vor Radikalen beschützen,
207290	210470	3180	vor der Tyrannei von Terroristen
210650	217270	6620	und vor Individuen mit extremen Ansichten.
217420.00000000003	220430	3010	Unsere Reaktion muss angemessen sein.
220690	224190	3500	Über den Zeitpunkt der Reaktion schweigt sich Putin aus.
226010	228750	2740	Die UNO sieht die Krim-Frage diametral anders:
228850	231470	2620	Die Vollversammlung der Vereinten Nationen
231570	236470	4900	hat die Annexion der Krim durch Russland heute scharf verurteilt.
236630	239550	2920	Einer entsprechenden Resolution stimmten 100 Staaten zu,
