start	end	duration	text
12760	13690	930	MIT TELETEXT-UNTERTITELUNG
16710	19090	2380	Im Spital kämpft man mit allen Mitteln darum,
19190	21250	2060	Leben zu retten und zu verlängern.
21430	23290	1860	Wann man in der Medizin damit aufhört,
23560	25810	2250	sodass man auf einem guten Weg sterben kann -
25990	28410	2420	darum geht es in der heutigen Spezialsendung.
28550	28650	100	Und wir treffen den Experten Gian Domenico Borasio.
33080	34970	1890	Guten Tag, Frau Waldmeier.
35470	38610	3140	Der renommierte Arzt ist Palliativmediziner,
38880	41410	2530	also ein Spezialist für den Sterbeprozess.
43870	46570	2700	Auf seiner Station am Unispital in Lausanne
46750	50330	3580	arbeiten Ärzte, Pfleger, Psychologen und Seelsorger eng zusammen
50470	55010	4540	bei der Betreuung von Patienten, die keine Aussicht auf Heilung haben,
55100	57170	2070	und hier auch häufig versterben.
57900	58770	870	Was ist anders auf dieser Station? Was ist der Unterschied?
61500	63410	1910	Auf einer Palliativstation
63640	66290	2650	geht es nicht um Lebensverlängerung um jeden Preis.
66390	69730	3340	Sondern darum, die Lebensqualität des Patienten und der Familie
69850	72570	2720	bis zum Schluss möglichst aufrechtzuerhalten -
72680	73690	1010	unter dem Einsatz aller Mittel,
74920	77980	3060	die uns die moderne Medizin zur Verfügung stellt.
78180	80860	2680	Aber v.a. unter dem Einsatz eines sehr alten Mittels,
80990	82940	1950	nämlich des Zuhörens.
83140	86900	3760	Damit wir den Patienten und seine Familie mit ihren Nöten, Sorgen,
87120	88660	1540	Wünschen und Ängsten wieder in den Mittelpunkt stellen können.
90710.00000000001	94940	4230	Ich glaube, was wir brauchen, ist insgesamt eine hörende Medizin.
98400	103460.00000000001	5060	Unser Leben dauert immer länger - und das hat auch das Sterben verändert.
103640	103900	260	Nur 10 % der Menschen sterben plötzlich und unerwartet.
108509.99999999999	111020.00000000001	2510	90 % sterben nach einem längeren Prozess,
111200	114860	3660	der sich über Tage, Wochen oder gar Jahre hinziehen kann.
120520	123340	2820	Günter Trenkler ist Palliativpatient.
123510	128419.99999999999	4910	Der 74-Jährige ist seit Längerem schwer lungenkrank, hat COPD.
128539.99999999999	130820	2280	Wegen einer akuten Lungenentzündung
131060	133780	2720	wurde er ins Universitätsspital Basel eingeliefert.
134340	136300	1960	* Klopfen *
137910	140460	2550	Guten Morgen. - So, guten Morgen, Herr Trenkler.
140720	143579.99999999997	2860	Guten Morgen. - Hallo. Wie geht es?
144160	146140	1980	Ja.
147120	148740	1620	Mit der Luft wird es jeden Morgen knapp,
149460	151460	2000	immer direkt nach dem Aufstehen.
151590	154180	2590	Doch daran kann die Oberärztin nichts ändern.
154310	158420.00000000003	4110	Die Lungenentzündung wurde zwar erfolgreich behandelt,
158520	163300	4780	doch gegen Herr Trenklers chronische Lungenkrankheit gibt es keine Mittel.
164120	166460	2340	Letztendlich ist es so, dass Herr Trenkler
166560	169700	3140	aus schulmedizinischer Sicht zurzeit austherapiert ist,
169870	173540	3670	in seinem aktuellen Zustand nicht nach Hause entlassen werden kann.
173710	177140	3430	Deshalb haben wir jetzt die Verlegung in ein Hospiz geplant,
177230	178740	1510	weil er aus unserer Sicht dort optimal versorgt werden kann -
180880	184300	3420	bezüglich der symptomatischen Therapie und den notwendigen
184430	188100	3670	pflegerischen und menschlichen Unterstützungsmassnahmen.
188200	190460	2260	Er hat das auch angenommen.
194040	196900	2860	Heidi John hat Krebs im fortgeschrittenen Stadium.
197590	201640	4050	Einmal am Tag geht sie noch selber hinunter an den Briefkasten.
205070	206520	1450	Nur die Zeitung.
206750	208800	2050	Das ist mein Vorsatz: Jeden Tag einmal zu laufen.
212050	215970	3920	Um eine gewisse Minimalübung für die Beine aufrechtzuerhalten.
228530	230460	1930	Sie ist 73.
231250	234620	3370	Der Krebs hat ihren ganzen Verdauungstrakt befallen.
234740	238780	4040	Die Ärzte haben ihr gesagt, man könne sie nur noch palliativ behandeln.
240050	242590	2540	Ich habe das sogar selber so formuliert,
243070	245150	2080	weil ich es gleich gemerkt habe.
247080	251510	4430	Man hat dann im Claraspital noch weitere Untersuchungen durchgeführt,
251650	253590	1940	die auch bestätigt haben,
253960	256550	2590	dass es weiter unten nicht mehr weitergeht.
257010	260630	3620	Man hat mich auch sofort ins Claraspital aufnehmen wollen,
260850.00000000003	262750	1900	aber ich wollte das nicht.
263280	266750	3470	Ich wollte noch zu Hause meine Dinge in Ordnung bringen.
268490	268870	380	Heidi John will noch zu Hause bleiben,
271210	273590.00000000006	2380	jedenfalls so lange es irgendwie geht.
282840.00000000006	283790	950	Für Günter Trenkler kam der Bescheid der Ärzte,
286000	290150	4150	dass er nur noch palliativ behandelt werden könne, überraschend.
291370	295110	3740	Ich habe den Begriff noch nicht mal gekannt,
295260	297190	1930	bevor ich hierherkam.
298990	300990	2000	Palliativmedizin.
301090	303030	1940	Ich hatte es schon gehört,
303250	305710	2460	aber ich hatte keine Ahnung, was es ist.
307320	311950	4630	Mein grösster Wunsch wäre, wieder so viel Luft zu kriegen,
312170	313830	1660	dass ich nach Hause kann.
315570	317430	1860	Das ist mein grösster Wunsch.
319850	324310	4460	Vor vier Jahren kam Gian Domenico Borrasio aus München nach Lausanne.
324410	326190	1780	Als Professor auf dem bis heute
326430	328830	2400	einzigen Lehrstuhl für Palliativmedizin in der Schweiz.
