start	end	duration	text
4300	6430	2130	Guten Abend, meine Damen und Herren.
6650	8710	2060	"Ich begrüsse Sie zur ""Tagesschau""-Hauptausgabe."
10090	13470	3380	Der starke Franken wirkt sich auf die Zuwanderung aus.
14080	18120	4040	Parlamentarier fordern mehr Unterstützung für das Tessin.
19400	23720	4320	In Brüssel werden die neuen Vorschläge Griechenlands geprüft.
24940	30280	5340	Die Serpentine Gallery in London lädt zum Staunen und Verweilen.
30850	34360	3510	Mit Bise bis zu 22 °C warm.
35730	40640	4910	Die Schweiz als Zuwanderungsland ist nach wie vor sehr attraktiv.
40800	43760	2960	Das zeigen auch die neuesten Zahlen vom Bundesamt für Statistik.
43930	47360	3430	Ende März lebten zum ersten Mal über 2 Mio. Ausländer hier -
47570	49520	1950	so viele wie noch nie.
49650	51520	1870	Zur ständigen Wohnbevölkerung
51700	53720	2020	werden ausländische Staatsangehörige gezählt,
53890	57800	3910	die zu einem Aufenthalt von mind. zwölf Monaten berechtigt sind.
57890	59560	1670	Und auch die Zahlen,
59810	62600	2790	die das Staatssekretariat für Wirt- schaft SECO heute veröffentlicht hat,
62810	65480.00000000001	2670	belegen die Anziehungskraft der Schweiz.
65580	68680	3100	2014 sind 73'000 Menschen zugewandert.
68890	71480	2590	Das ist allerdings deutlich weniger als im Vorjahr.
71690	76200	4510	Die meisten, nämlich 50'600, kommen aus dem EU-/EFTA-Raum.
76300	79840	3540	Aus Drittstaaten stammen 22'400.
79930	83000	3070	Dies habe aber laut SECO kaum negative Auswirkungen
83170	86680	3510	auf Löhne, Beschäftigung und Arbeitslosigkeit in der Schweiz.
86789.99999999999	88640	1850	Die Details hat Urs Wiedmer.
89980	93000	3020	Die Schweiz als Arbeits- und Wohnort ist und bleibt attraktiv -
93190	96000	2810	trotz Frankenstärke und wirtschaftlicher Abkühlung.
96180	99520.00000000001	3340	Und die Wirtschaft ist auf auslän- dische Arbeitskräfte angewiesen.
99759.99999999999	102120	2360	So war die Zuwanderung trotz Masseneinwanderungs-Initiative
102310	104520.00000000001	2210	immer noch relativ hoch, sagt das SECO,
104729.99999999999	108120	3390	auch dank der Personenfreizügigkeit:
108270.00000000001	111560	3290	Der erleichterte Zugang hat den Fachkräftemangel entschärft
111770.00000000001	114280	2510	und damit den Schweizer Unternehmen ermöglicht,
114430	116960.00000000001	2530	Wachstumschancen konsequent zu nutzen.
117070	121240	4170	Gleichzeitig hat die Zuwanderung auch die Konsumnachfrage entfaltet
121380	124600	3220	und so unsere Binnenkonjunktur gestützt.
124810	128479.99999999999	3670	Interessant: Wanderten 2008 aus Italien, Portugal und Spanien
