start	end	duration	text
840	4560	3720	1:1-Untertitelung
6510	8840	2330	"Guten Abend, meine Damen und Herren - hier ist die ""Tagesschau"","
8940	11520	2580	und das sind die Themen heute Dienstag:
12860	16040	3180	Der starke Franken verursacht immer mehr Kurzarbeit.
16210	22680	6470	Der Ständerat lehnt die Initiative der Gewerkschaften ab.
24480	28760	4280	Apple lanciert Frontalangriff auf Spotify und Co.
28870	35000	6130	Ein Biobauer darf seine Rinder zu Hause schlachten.
36230	39880	3650	Erst am Nachmittag wird es etwas freundlicher.
41530	43600	2070	Zuerst zur guten Nachricht:
43720	46080	2360	In der Schweiz ist die Zahl der Arbeitslosen gesunken.
46200	48160	1960	Die weniger gute Nachricht:
48310	51400	3090	Es sind immer noch 136'000 Menschen, die keinen Job haben,
51510	56320	4810	und v.a. ist die Zahl der Kurz- arbeitenden sprunghaft angestiegen.
56470	60800	4330	Im März um über 40 %. Der Frankenschock macht sich bemerkbar.
60900	63080	2180	Christian Kolbe berichtet.
64780	66840	2060	Wie z.B. beim Werkzeug- und Formenbauer Kessler
67050	69000	1950	im schaffhausischen Trasadingen.
69150	71360	2210	Normalerweise arbeiten in der Endmontage mehr Leute.
71490	74560	3070	Doch weil die Aufträge fehlen, sind nur gerade die Lehrlinge hier,
74730	78160	3430	die anderen Angestellten sind bereits zu Hause - sie müssen kurz arbeiten.
78350	82760	4410	Heute kann man abteilungsweise weniger arbeiten,
82920	87240	4320	oder mitarbeiterspezifisch der Auftragslage angepasst
87360	91320	3960	seine Arbeit entsprechend einteilen
91460.00000000001	96080	4620	und die Mitarbeiter auch mal kurzfristig nach Hause schicken
96250	101200	4950	oder wieder aufbieten, wenn mehr Arbeit da ist.
101380	104360	2980	In den anderen Werkhallen wird noch fleissig gearbeitet.
104580	106400	1820	In der Schweiz waren im März
106650	110080	3430	rund 5'000 Beschäftigte von Kurzarbeit betroffen.
110229.99999999999	112880	2650	Doch langsam gehen der Industrie die Aufträge aus.
112979.99999999999	115920	2940	Beim Branchenverband Swissmechanic rechnet man damit,
116080	118560	2480	dass sich die Situation verschärfen wird.
118780	121920	3140	Wir haben 5 % Mitglieder, die bei einer Umfrage im April
122070	124320	2250	bereits sagten, dass sie Kurzarbeit betreiben.
124490	127880	3390	Ich gehe davon aus, dass sich durch die Reduzierung der Aufträge
128030	133560	5530	weitere Unternehmen auf Kurzarbeit einstellen werden.
133650	137640	3990	Im Nachgang zur Finanzkrise hat sich das Instrument Kurzarbeit bewährt
137780	140360	2580	und in der Industrie viele Arbeitsplätze gerettet.
140530	143440	2910	Auch beim grösseren Branchenverband Swissmem
143590	146000	2410	befürchtet man ein weiteres Ansteigen.
146240	149040	2800	Wir glauben, dass die Kurzarbeit zunehmen wird.
149120	152760	3640	Das ist eine Entwicklung, jeden Monat nahm sie stark zu.
152900	157640	4740	Das ist positiv in dem Sinn, dass die Arbeitsplätze erhalten bleiben.
157780	163079.99999999997	5300	Es ist ein gutes Instrument, die Arbeitsplätze zu erhalten.
163160	167480	4320	Auch die Firma Kessler will dank der Kurzarbeit Arbeitsplätze retten.
167610	170880	3270	Eine Verlagerung der Jobs ins günstigere Ausland
171079.99999999997	174560	3480	kommt für den Werkzeugbauer nicht infrage.
174660	176440	1780	Obwohl die deutsche Grenze
176560	178560	2000	nur gerade ein paar Hundert Meter weit entfernt ist.
179800	182480	2680	Weniger Aufträge, mehr Kurzarbeit - das beschäftigt auch den Bundesrat.
182740	185440	2700	Derzeit gehe es der Schweizer Wirtschaft aber noch gut -
185600	188720	3120	auch wenn sich die Aussichten eintrübten,
188940	191160	2220	sagt Wirtschaftsminister Johann Schneider-Ammann.
191330	194680	3350	Grundsätzlich sei man aber auf mehr Kurzarbeit vorbereitet,
194770	196460	1690	und zwar bereits
196640	199060	2420	seit die Nationalbank den Euro-Mindestkurs aufgehoben habe.
207500	210140	2640	Wir sagten nach dem SNB-Entscheid sofort, dass Kurzarbeit
210320	213100	2780	aufgrund von Wechselkursproblemen beansprucht werden kann.
213170.00000000003	216060	2890	Dieses Instrument ist in Kraft.
216220	218340	2120	Und jetzt geht es darum, dass man allenfalls die Kurzarbeitszeit
218500	221140	2640	noch verlängert von zwölf auf 18 Monate.
221340	223100	1760	Und dass man über die Karenztage spricht.
223270	225420.00000000003	2150	Das werden wir tun und das tun können und es auch tun wollen,
225520	227579.99999999997	2060	sobald klar ist,
227660	230180	2520	dass die ersten Firmen wirklich bei den Limiten angekommen sind.
230290	232460	2170	Das ist im Moment nicht der Fall.
232650	234900	2250	Das wird frühestens gegen Ende Jahr der Fall sein.
236320	239860	3540	Wie robust ist die AHV?
239960	242460	2500	Der linke Sozialminister Berset findet, nicht robust genug.
242590	245660	3070	Deshalb will er die Altersvorsorge reformieren.
245830	247860	2030	Linke und Gewerkschafter wollen einen anderen Weg gehen.
247970	252820	4850	Mit ihrer Volksinitiative AHVplus streben sie höhere AHV-Renten an.
253040	255860	2820	Um 10 % sollen diese steigen.
256010	260260	4250	Darüber hat der Ständerat heute diskutiert. Mitten drin auch Berset.
262250	265580	3330	Er will sie nicht, absolut nicht.
265750	267620	1870	SP-Bundesrat und Sozialminister Alain Berset
267800	271620	3820	kämpft gegen die Initiative aus den eigenen Reihen.
271760	276380	4620	Im Dezember 2013 war sie mit über 110'000 Unterschriften
276540	278700	2160	und viel Hallo eingereicht worden:
278920	281740	2820	die AHVplus-Initiative des Gewerkschaftsbundes.
281880	283620	1740	Mehr Rente soll es geben,
283710	286580	2870	der daraus resultierende Mehrbedarf von etwa 4 Mrd. Fr, jährlich
286780	290740	3960	sei durchaus finanzierbar, so die Befürworter im Ständerat.
290860	294540	3680	Gleichzeitig steht fest,
294710	297620	2910	dass die AHV ausserordentlich solid finanziert ist -
297840.00000000006	301060	3220	auch gegenüber den Herausforderungen der Demografie.
301170	305420	4250	Die AHV war wie keine andere Versicherung in der Lage,
305620	308980	3360	die Zunahme der Lebenserwartung und die Zunahme der Anzahl RentnerInnen
309080	312900	3820	zu finanzieren - und sie wird es auch in Zukunft sein.
312980	316060	3080	Falls am nächsten Abstimmungssonntag
316170	318500	2330	die nationale Erbschaftssteuer angenommen würde,
318680	321980	3300	wären 3 Mrd. der entstehenden Lücke bereits finanziert.
322150	325100	2950	Aber auch Tabak-, Alkohol- oder Mehrwertsteuer könnten helfen,
325250	330020	4770	sowie eine leichte Erhöhung der Lohnbeiträge. Alles kein Problem.
330150	332820	2670	Dem widersprechen die Gegner vehement.
333000	339260	6260	Die Initiative stünde quer in der Landschaft, komme zur Unzeit.
339420	342580	3160	Sie steht im Widerspruch zur finanziellen Lage der AHV.
342659.99999999994	348100	5440	Sie steht im Widerspruch zum Projekt Altersvorsorge 2020 des Bundesrates.
348260	353100	4840	Sie steht im Widerspruch zur aktuellen Frankenstärke -
353270	357740	4470	und damit auch zur Situation in vielen Unternehmen in der Schweiz.
357900	360260	2360	Für die Gegner ist primär wichtig,
360420	362700	2280	die Initiative bald vom Tisch zu haben,
362870	368060	5190	um sich dann mit der bundesrätlichen Rentenreform 2020 zu befassen.
368140	371500	3360	Diese sei nicht nur realistisch, sondern auch umfassender.
371680	375020	3340	Der Ständerat empfiehlt die Vorlage mit grossem Mehr zur Ablehnung.
377020	379620	2600	Die Schweiz bekommt den Flüchtlings- strom übers Mittelmeer zu spüren.
379780	383380	3600	Die Zahl der Gesuche hat stark zugenommen.
383460	387700	4240	Im Mai wurden in der Schweiz 2'203 Asylgesuche eingereicht.
387980	391780	3800	Gegenüber April ist das eine Zunahme von 60 %.
391940	395140	3200	Am meisten Anträge gingen erneut von Menschen aus Eritrea ein,
395310	398700	3390	gefolgt von Flüchtlingen aus Somalia und Sri Lanka.
398890	401900	3010	Seit Jahresbeginn sind bereits 100'000 Menschen
402090.00000000006	404500	2410	übers Mittelmeer nach Europa geflohen.
404550	408100	3550	Das sind deutlich mehr als im selben Zeitraum des Vorjahres.
410780	412300	1520	Am Wochenende wurde beim G7-Gipfel
412560	415020	2460	europäische Geschlossenheit demonstriert.
415260	418900	3640	Doch Grossbritanniens Verbleib in der EU ist in der Schwebe.
419050	421020	1970	Heute ist im britischen Parlament
421190	424060	2870	erstmals über die Grundlage für ein Referendum zur EU-Mitgliedschaft
424180	426140	1960	diskutiert worden.
426290	430940	4650	David Cameron hat das Referendum bis Ende 2017 in Aussicht gestellt.
431080	435100	4020	Dem Premier, der im Prinzip für einen Verbleib in der EU ist,
435250	437710	2460	bläst ein starker anti-europäischer Wind entgegen -
437960	440830	2870	v.a. aus den eigenen Reihen. Aus London Urs Gredig.
442410	444670	2260	Vor nicht immer vollen Rängen erlebt am Nachmittag
444900	448670	3770	das britische Unterhaus den Auftakt der EU-Referendumsdebatte.
448730	450790	2060	Von rechts bis links wird dabei
450910	453350	2440	auf dessen Geschichtsträchtigkeit hingewiesen.
453510	457510	4000	Eine ganze Generation hatte bis anhin nie die Gelegenheit,
457620	461390	3770	über die EU-Mitgliedschaft abzustimmen.
461540	465230	3690	Diese Entscheidung wird zeigen, wo unser Platz in der Welt ist,
465350	468190	2840	aber auch, wie die Welt uns sieht.
471000	473150	2150	Noch vor der Debatte wird das Kabinett
473409.99999999994	476230	2820	zu Premier Cameron in die Downing Street beordert
476409.99999999994	478830	2420	und auf eine gemeinsame EU-Linie getrimmt.
478930	481510	2580	Der innenparteiliche Druck steigt.
481630	484190	2560	Mind. 50 konservative Abgeordnete verlangen schnell
484320	486750	2430	weitgehende Reformen in Brüssel,
486930	490070	3140	sonst machen sie sich für einen Austritt stark.
490180	492070	1890	Das Brexit-Szenario:
492240	495510	3270	Auch für illustre Partei-Schwergewichte kein Tabu.
495550	497270	1720	Ich bin sicher,
497430	500270	2840	dass der Premier Erfolg haben wird mit seinen Reformverhandlungen,
500420	501950	1530	aber wenn nicht,
502070	509190	7120	kann man sich doch auch eine Zukunft ohne EU-Mitgliedschaft vorstellen.
509360	512990	3630	Für Aufsehen sorgte am Wochenende eine Aussage Camerons.
513090.00000000006	516070.00000000006	2980	Minister seines Kabinetts, welche mit einem EU-Austritt liebäugeln,
516090.00000000006	518320.00000000006	2230	müssten ihren Hut nehmen.
518490	521600	3110	Kurz darauf aber kam ein halbes Dementi des Premiers.
521720	523960.00000000006	2240	Ich habe nur gesagt,
524120	527160	3040	dass alle Regierungsmitglieder am gleichen Strick ziehen sollen,
527340	530640	3300	wenn es um die EU-Verhandlungen geht, mehr nicht.
530810	534240	3430	Er sei schlicht missverstanden worden, so ein nervöser Cameron.
534430	538000	3570	Man merkt: Jedes Wort wird derzeit auf die Goldwaage gelegt,
538140	540160	2020	wenn es ums Thema Europa geht.
542740	546120	3380	Die grösste Bank Europas HSBC schreibt Schlagzeilen:
546220	548040	1820	jüngst, als bekannt wurde,
548130	551280	3150	dass die Genfer Filiale Flucht- und Schwarzgelder gehortet habe,
551460	555920	4460	jetzt international, weil die Bank sparen will, ja sparen  m u s s .
556080	559080	3000	Weltweit sollen gegen 50'000 Stellen abgebaut werden.
559180	561200	2020	Das bedeutet: jeder 5. Arbeitsplatz.
563880	566840	2960	Bereits 2011 hat die HSBC eine Sparrunde eingeläutet.
566930	570720	3790	Jetzt sollen v.a. Stellen im Investmentbanking gestrichen werden.
570930	573800	2870	Im Gegenzug will die ursprünglich asiatische Bank
574010	577480	3470	mit Hauptsitz in London das Asiengeschäft wieder stärken.
577630	580240	2610	Die HSBC ist nicht die einzige Bank,
580420	582880	2460	die die Weichen für die Zukunft stellt.
583040	585360	2320	Denn das Bankengeschäft ist nicht mehr, wie es einmal war:
585560	590800	5240	Im Bankwesen gibt es im Moment sehr viele Veränderungen.
590980	594040	3060	Zum einen ist es die Entwicklung in Asien,
594100	596560	2460	die viel schneller abläuft als die Entwicklung in Europa.
596670	598880	2210	Die Banken wollen weg aus Europa.
599090	602560	3470	Und zum anderen, glaube ich, ist es die überbordende Bürokratie -
602750	605960	3210	in der Schweiz, in Europa - welche die Banken vertreibt.
606100	608640	2540	Gut möglich, dass die HSBC auch ihren Hauptsitz
608750	611320	2570	von London nach Asien verlegt.
611480	614440	2960	Asien ist bereits jetzt die wichtigste Region der Bank.
614620	617490	2870	Aber nicht nur die Regulierungen machen den Banken zu schaffen.
617600	621090	3490	Auch die neuen Technologien sind eine Herausforderung.
621310	624210	2900	Sie kosten viel Geld und das Geschäft wird wettbewerbsintensiver,
624300	626730	2430	so Finanzökonom Janssen.
626920	630130	3210	Jetzt kommen neue Technologien zum Zug.
630280	632290	2010	Die Kunden sagen sich:
