start	end	duration	text
13610	15570	1960	Seit über 7 Jahren
15780	19330	3550	halten wir Hunderte von Menschen in Guantanamo fest.
19490	22410	2920	Wir räumen nun das auf, was ganz einfach
22620	22890	270	ein grosses Schlammassel ist.
24790	26730	1940	Ich habe entschieden,
26880	31410	4530	das Gefängnislager innerhalb eines Jahres zu schliessen.
35750	37890	2140	Der Präsident hat sein Versprechen nicht gehalten.
39940	43730	3790	2 Jahre später ist Guantanamo immer noch in Betrieb.
43850	45930	2080	Ist das Trauma Guantanamo
46080	49490	3410	mit der Schliessung aus der Welt zu schaffen?
49660	52890	3230	Und können die Menschen, die einst dort gefangen waren,
53760	55930	2170	ihre Freiheit wieder finden?
80630	82970	2340	Ich fühle mich nicht einsam, ich bin einsam, auf jeden Fall.
85340	89170	3830	Welcher Mensch soll denn schon verstehen können,
90760	94890	4130	wenn ich von Guantanamo erzähle, wie was gewesen ist?
94990.00000000001	97890	2900	Das kann kein Mensch nachvollziehen.
109440	112970	3530	Die Flagge wehte vor Camp Delta im kubanischen Guantanamo Bay,
114360	116970	2610	wo die Gefangenen untergebracht sind.
117160	120050	2890	Zu Ehren all der Soldaten und Zivilisten,
120160	124650	4490	die für den globalen Krieg gegen den Terror ihr Leben gaben
124820	127930	3110	und derer, die für Demokratie und Freiheit in der Welt kämpfen.
129759.99999999999	134050	4290	Daran hänge ich sehr, da ich meinem Land sehr gerne diente.
134140	137770	3630	Es ist schmerzhaft und traurig, dass es Leute gibt,
137870	140770	2900	die meinen Dienst für unehrenhaft halten.
140990	143010	2020	Wenn man meinen Namen googelt, erscheint oft der Begriff Folter.
145540	149210	3670	Mein Name taucht in vielen Büchern zu diesem Thema auf.
149440	152690	3250	"""Das Folterteam"", ""Der Weg zu Folter"" usw."
152850	156650	3800	Die Leute halten mich für die Folterfrau schlechthin.
208750	211380	2630	Sie hatten viele Gründe, mich zu hassen.
211500	213980	2480	Es gibt keine einfache Lösung.
214140	217820	3680	Guantanamo hat vielen Leuten grossen Kummer bereitet.
224829.99999999997	228980	4150	MIT TELETEXT-UNTERTITELUNG
233140	235100	1960	Sanfte Musik
250750	254830	4080	Wir sind im Krieg. Es ist ein persönlicher Angriff,
255030	258560	3530	wenn ein Flugzeug ins Pentagon gestürzt wird,
258790.00000000003	263000	4210	um dabei Menschen zu töten. Ich handelte aus Pflichtbewusstsein.
263870	268580	4710	Ich wollte nicht in den Ruhestand, ohne meine Dienste anzubieten.
268920	272260	3340	Wo man mich einsetzen würde, war mir egal.
285890	288820	2930	Es ist beängstigend, dass es Menschen gibt,
289030	290900	1870	die unsere Lebensweise,
291080	293020	1940	unsere Kultur und unsere Werte zerstören wollen.
294590.00000000006	296740	2150	Man begreift ihre Motive nicht
296950	300860	3910	und fragt sich, wie man diese Leute für sich gewinnen kann.
301100	304740	3640	Wie hält man einen Feind auf, den man nicht versteht?
321710	323060	1350	2001 hat sich mein Leben verändert.
326980	329350	2370	Ich bin nach Pakistan gereist,
329530	334990	5460	damit ich in möglichst kurzer Zeit viel über den Islam lernen kann.
338900	342710	3810	Pakistan hatte mich sowieso schon immer interessiert.
342800	347520	4720	Ich war neugierig darauf, auch einmal ein anderes Land zu sehen.
348740	353040	4300	Dann stellte ich fest, dass in Afghanistan Krieg ausgebrochen ist.
360900	364480	3580	Ich hab mir nichts Grosses dabei vorgestellt.
364660	367720	3060	Ich war damals gerade mal 19 Jahre alt.
367980	368160	180	Ich hab die Welt nicht so ganz verstanden.
371370	376000	4630	Ich war auch kein Typ, der sich mit Politik beschäftigt hatte.
379430	383000	3570	Ich war kurz vor der Rückreise nach Deutschland.
383130	386080	2950	Ich habe viele Geschenke eingekauft.
386700	389040	2340	Es war kurz vor Weihnachten.
391980	395280	3300	Die Polizei hielt uns an, kam auf mich zu
395350	397400	2050	und stellte mir einige Fragen.
398659.99999999994	401600	2940	Ich legte ihnen meinen Reisepass vor.
401820	404800	2980	Dann meinten sie, dass ich aussteigen sollte.
404990	408640	3650	Das war mein letzter Moment als freier Mensch.
409140	412080	2940	Von da an hielten sie mich als Geisel fest
412220	413080	860	und verkauften mich irgendwann an die Amis.
423530	426440	2910	Plötzlich waren da viele Blitzlichter.
426630	428080	1450	Das waren Leute, die Fotos geschossen haben.
432540	435840	3300	Ich war halt der 53. von mehreren Tausend.
441020	443120	2100	Die haben mich ganz komische Sachen gefragt.
444740	447680	2940	Ob ich Osama Bin Laden gesehen hätte.
447900	452120	4220	"Ich hab denen gesagt: ""Natürlich hab ich ihn gesehen."""
453190	456159.99999999994	2970	"""Am Fernsehen, wie jeder andere auch."""
456620	458120	1500	Das hat sie aufgeregt.
459180	463440	4260	Da war mir sofort klar, dass die nicht daran interessiert waren,
463630	466400	2770	wer ich bin, oder ob ich unschuldig bin -
466580	469560	2980	sie wollten mich zu einem Terroristen machen.
469790	473110	3320	Ich sollte zustimmen, dass ich ein El-Kaida- und Taliban-Mitglied bin
474980	477230	2250	und mit ihnen gekämpft hätte.
477430	480430	3000	Ich wusste damals nicht, was El Kaida ist.
480660	485030	4370	"""Ich bin kein Terrorist und werde das nicht unterschreiben."""
485280	488110	2830	So haben sie mich an den Handschellen
488260	490280	2020	an der Decke hochgezogen.
490460	494680	4220	Sie machten eine Kette drum und zogen mit daran hoch,
494790	496760	1970	so dass ich komplett ...
497490	501620	4130	Ich hing komplett mit dem ganzen Körper über dem Boden.
501710	503140	1430	Da hing schon jemand vor mir.
504160	509340	5180	Ich konnte sehen, dass er ... dass er total blau angelaufen war.
510060	512100	2040	Er war schon längst tot.
512710.00000000006	514659.99999999994	1950	Er hing da nur noch.
515190.00000000006	517700.00000000006	2510	Der Verhörer fragte mich halt,
517840.00000000006	518140	300	ob ich es jetzt unterschreibe oder nicht.
521320.00000000006	525180	3860	Wenn ich Nein gesagt habe, hat er nur einfach ...
525870	527820	1950	Handzeichen gegeben.
528000	531140	3140	Somit haben die mich wieder hochgezogen.
532540	533140	600	Ich weiss, dass es 5 Tage waren, die ich da an den Ketten hing.
547120	548140	1020	Fast jeden Tag und jede Nacht habe ich gespürt,
550990	553180	2190	wie er dort behandelt wird.
553980	556260	2280	Ich habe ihn sofort gespürt.
556370	559940	3570	Ich habe sofort gemerkt, ob er bestraft wird,
560090	562140	2050	oder ob es ihm gut geht.
562200	563140	940	Man hat solche Muttergefühle, das kann ich so sagen.
569840	573100	3260	3 Tage lang habe ich geweint und geweint.
573320	575820	2500	"Dann sagte ich mir: ""Das geht nicht."""
576020	578180	2160	Immer nur weinen. Weinen bringt nur weinen.
579120	583180	4060	Ich komme nicht vorwärts, also muss ich was unternehmen.
583310	585380	2070	Ich ging zur Kripo.
587080	590420	3340	Die Mutter erklärte, dass Murat Kurnaz ...
590560	593180	2620	in seinem Glauben radikaler geworden sei.
593720	596980	3260	Zunächst einmal ging es um die Klärung der Frage,
597160	600700	3540	ob es tatsächlich ein Ansinnen Murat Kurnaz' war,
600930	604740	3810	gegen die Amerikaner die Waffe in die Hand zu nehmen.
604970	608180	3210	Es war eine grosse Hektik in allen Sicherheitsbereichen.
609240	612060	2820	Es wurde bekannt, dass die Attentäter
612240	616460	4220	"zum grossen Teil in Hamburg - Stichwort ""Hamburger Zelle"" -"
616700	621100	4400	die Vorplanungen für dieses Attentat durchgeführt hatten.
621420	623180	1760	Wir haben dann alle unsere Antennen ausgefahren.
624800	628580	3780	Dann kamen Hinweise, dass er schon immer kämpfen wollte.
628770	632660	3890	Er hätte sich einen Kampfanzug und Kampfstiefel gekauft.
632740	635340	2600	Diese fast explosiven Erkenntnisse
635470	638180	2710	wurden in erster Linie genährt durch Aussagen der Mutter.
639640	644940	5300	Er soll erklärt haben, dass er die Anschläge in den USA gutheisse.
645120	648060	2940	Um wen handelt es sich bei Murat Kurnaz?
648280	651220	2940	Was ist Murat Kurnaz für ein Mensch?
652040	653180	1140	Er war plötzlich der Taliban aus Bremen.
655000	659700	4700	Dieser Begriff ging nicht mehr weg. Der Taliban aus Bremen.
659880	663140	3260	"Alle sagten: ""Oh, das haben wir nun auch hier."""
663360	667460	4100	"""Erst die Hamburger, jetzt haben wir das auch noch."""
676740	681500	4760	So viele Medien standen hier Schlange, vor meiner Haustüre.
682550	683220	670	Manche haben mich so manipuliert.
685480	689140	3660	Sie haben Murat neben eine Handgranate hingestellt.
689320	693780	4460	"Sie haben ihn ""Bremer Taliban"" und einen Terroristen genannt."
697070	698220	1150	Ich konnte niemanden sprechen.
699730	703780	4050	Ich wollte auch nicht meine Kinder dabei verletzen.
703980	708060	4080	Ich konnte meine Gefühle vor niemandem aussprechen.
716120	721020	4900	Ich hatte immer wieder gesehen, dass Gruppen wegtransportiert wurden.
723520	726380	2860	Sie waren dann nie wieder zu sehen.
727590	728220	630	Bevor sie mir die Augen zugebunden haben, sagten sie:
731360	736180	4820	"""Wir bringen dich irgendwo hin, wo wir dich erschiessen werden."""
743870	746420	2550	Es war eine seltsame Situation.
746590	751140	4550	Ganze Flugzeugladungen voller Häftlinge aus aller Welt kamen an.
751400	756580	5180	Einige hatten Gefechtsverletzungen. Es war eine grosse Herausforderung.
761800	765660	3860	Egal, ob diese Leute Leibwächter von Osama bin Laden waren
765860	767780	1920	oder was auch immer -
767860	771540	3680	sie hatten möglicherweise wichtige Informationen für uns.
776310	781420	5110	Ich war bei Hunderten, vielleicht sogar 1'000 Verhören dabei.
781620	784780	3160	Es ist ein Psychospiel, bei dem man versucht,
784950	788260	3310	auf unterschiedlichste Art an Informationen zu kommen.
788910	791700	2790	Es geht darum, sich das Ego des Häftlings
791930	796380	4450	und seine Liebe zu seiner Familie und Heimat zu Nutze zu machen.
796490	799340	2850	Es gibt 2 Dinge, die funktionieren:
799520	803380	3860	Die Trennung von den Freunden und Schlafentzug.
806150	810800	4650	So ist der Gefangene immer mehr auf seinen Verhörer angewiesen
811020	814400	3380	und wird dann hoffentlich irgendwann so gefügig,
814500	818320	3820	dass er die Informationen rausgibt, die man haben will.
827750	831920	4170	Nachdem ich angekommen bin, wusste ich nicht, wo ich war.
832030	833280	1250	Es war nur ziemlich heiss.
836100	838920	2820	Sie machten mir irgendwann die Augen auf.
839030	843280	4250	Mit dem Bus brachten sie mich in einen kleinen Käfig.
843440	846200	2760	Wie so ein Hundekäfig, nur kleiner.
846340	848280	1940	Da waren auch keine Toiletten drin.
849970	853560	3590	Sie haben die Lichter 24 Std. lang angelassen.
853750	855720	1970	Die Generatoren liefen.
855830	857800	1970	Es war extrem laut.
858150	862760	4610	So laut, dass ich eigentlich nie richtig geschlafen habe.
862940	863400	460	Es war, als ...
865930	870080	4150	also ob ich eher in Ohnmacht fallen würde vor Müdigkeit.
872640	877920	5280	In meinen ersten Verhören fragten sie mich auch nach Mohammed Atta.
881240	886280	5040	Das ist der Typ, der eines der Flugzeuge in die Türme gejagt hat.
887300	891280	3980	"Sie meinten: ""Das ist ja dein Freund aus Hamburg."""
891430	893320	1890	"""Du wohnst ja nicht weit weg von Hamburg."""
894910	899480	4570	"""Ihr habt doch wahrscheinlich dasselbe Fitnessstudio besucht"","
899590	901560	1970	meinte er.
907880	908320	440	Wenn denen meine Antwort nicht gefiel,
911030	914880	3850	haben sie mich sofort in Isolationshaft verlegt.
920980	923320	2340	Ich habe insgesamt ein ganzes Jahr alleine verbracht.
932390	936240	3850	Wenn man so lange auf sich alleine gestellt ist,
936430	938320	1890	wird einem auch klar,
938610	943160	4550	wie viele Sachen man im Leben hätte schöner machen können.
943310	946800	3490	Man bereut es, dass man es nicht getan hat.
947020	951320	4300	Man kann sich schon fast an jeden einzelnen Menschen erinnern,
951500	953330	1830	gegenüber dem man sich schlecht benommen hat
954770	957770	3000	oder dem man das Herz gebrochen hat.
960920	964370	3450	Als Kind wollte ich unbedingt reich werden,
964530	967450	2920	damit ich schnelle Autos fahren kann.
970370	973090	2720	Ich habe oft und gerne getrunken.
973240	976490	3250	Dadurch war ich auch schnell gewalttätig.
978930	981850	2920	Ich habe auch Drogen zu mir genommen.
983880	986090	2210	Ja, so habe ich mal gelebt.
989750	994930	5180	Auf der Suche nach Antworten habe ich mich mit dem Koran beschäftigt
995030	998410	3380	und entschieden, ein religiöses Leben zu führen.
1002160	1007410	5250	Ich war bei einem, vielleicht auch mehreren seiner Verhöre dabei.
1007630	1011690	4060	Wir haben ihn mit ein paar üblen Typen in Verbindung gebracht
1011850	1013450	1600	und ihn für sehr gefährlich gehalten.
1014360	1016770	2410	Er war kein unschuldiger Typ.
1016880	1021130	4250	"Diese Geschichte von wegen ""zur falschen Zeit am falschen Ort"","
1021280	1026290	5010	"""Ich war aus religiösen Gründen da"" - tut mir leid, das zieht nicht."
1026450	1028450	2000	Er war nicht kooperativ und hielt sich nicht an die Regeln.
1030890.0000000001	1035050	4160	Für die Militärpolizei war er ein schwieriger Fall.
1037770	1040250	2480	Es war eine sehr schwere Zeit.
1040380.0000000001	1042329.9999999999	1950	Viele waren überzeugt,
1042480	1043410.0000000001	930	dass es einen weiteren Angriff auf Amerika geben würde,
1046410.0000000001	1050610	4200	und jeder tat, was er konnte, um die US-Bürger zu schützen.
1057720	1058410	690	Ich wollte irgendwie meinen Beitrag zum Krieg gegen den Terror leisten.
1063650	1068010	4360	Ich wusste: Entweder ich melde mich freiwillig für Guantanamo,
1068200	1071370	3170	oder sie schicken mich nach Afghanistan.
1071530	1073430	1900	Und das wollte ich nicht.
1073710	1078070	4360	Ich wollte schliesslich lebend zu meiner Familie zurückkehren.
1079420	1082630	3210	Ausserdem war Guantanamo karrierefördernd.
1082810	1085910	3100	Am Krieg gegen den Terror teilzunehmen,
1086110	1088470	2360	das macht sich gut in der Personalakte.
1089290	1093710	4420	Du bekommst Orden, Beförderungen und Gehaltserhöhungen.
1097120	1101150	4030	Am 11. September wurden viele Menschen umgebracht.
1101280	1103430	2150	Ich wollte, dass jemand dafür zur Rechenschaft gezogen wird.
1106280	1111230	4950	Wie konnten sie es wagen, uns in unserem eigenen Land anzugreifen?
1114080	1118430	4350	Wir hatten auf jeden Fall Häftlinge dabei, die was wussten
1118720	1121430	2710	und die Informationen nicht rausgaben.
1121610	1125510	3900	Weil wir die gängigen Methoden alle ausprobiert hatten,
1125710	1128070	2360	brauchten wir jetzt was Neues.
1128240	1131990	3750	In Afghanistan waren viel schlimmere Methoden üblich.
1132100	1133470	1370	Personen wurden z.B. stundenlang an Handschellen aufgehängt.
1136540	1140800	4260	Wenn jemand über lange Zeit an den Armen aufgehängt wird,
1140900	1145200	4300	kann das zu Organversagen und schliesslich zum Tod führen.
1145320	1148360	3040	Sowas kann man einfach nicht machen.
1148620	1152120	3500	Für uns in Guantanamo war das unprofessionell.
1154120	1157120	3000	Aber: Welche Möglichkeiten hatten wir?
1160790	1163440	2650	Wir haben uns zusammengesetzt, um Ideen zu sammeln
1164930	1168240	3310	und zu überlegen, welche Methoden es gibt.
1170050	1173320	3270	Wir brauchten neue, aggressive Techniken.
1174480	1178480	4000	Jedem war klar, dass offensichtliche Methoden wie Finger-Abschneiden,
1179700	1183970	4270	Elektroschocks, Todesdrohungen und so etwas verboten sind.
1190540	1193490	2950	Aber wir fragten uns: Was war also erlaubt?
1198400	1203610	5210	"Wenn man z.B. hingeht und sagt: ""Wir nehmen eine ungeladene Pistole,"
1203820	1206650	2830	"die wir dem Häftling an den Kopf halten."""
1206870	1208530	1660	Nein, das wäre illegal.
1210000	1213610	3610	Wie wäre es mit einem speziell konstruierten Stuhl,
1213790	1216130	2340	in den wir den Häftling setzen?
1216280	1219330	3050	Aber was für ein Stuhl soll das genau sein?
1219490	1222530	3040	Wie sieht es mit Stresspositionen aus?
1222730	1223570	840	Wenn sie in einer unbequemen Haltung gebeugt sitzen müssen
1226970	1230210	3240	und nicht aufstehen dürfen, bis ich es sage?
1230460	1233170	2710	Es gibt schon ein paar Grauzonen.
1233370	1237810	4440	Ich wurde um rechtlichen Rat gebeten und habe mein Bestes getan,
1237920	1238490	570	um herauszufinden, welche Gesetze jeweils gelten.
1241500	1243840	2340	Es war nicht mein Spezialgebiet.
1244040	1246920	2880	Ich habe herumgefragt und um Hilfe gebeten,
1247030	1249520	2490	aber keine Antworten bekommen.
1249670	1253480	3810	Es war klar, dass sich damit keiner die Finger schmutzig machen wollte.
1267890	1268490	600	Nach der ganzen Recherche mussten wir irgendwann für Fakten sorgen.
1272740	1277090	4350	Also haben wir 4 Tage und Nächte lang ein Memorandum verfasst,
1277240	1281490	4250	es überarbeitet und die rechtlichen Grundlagen geprüft,
1281640	1283570	1930	bis wir dann mit den Ergebnis zufrieden waren.
1286240	1290570	4330	Im Oktober 2002 kommt Diane Beaver in ihrem geheimen Gutachten
1290680	1294610	3930	zum Ergebnis, das die verschärften Verhörmethoden
1294830	1298530	3700	weder gegen amerikanisches noch internationales Recht verstossen.
1299390	1303490	4100	10 Tage später genehmigt Verteidigungsminister Rumsfeld
1303640	1307370	3730	18 von 22 Methoden, darunter erzwungenes Entkleiden
1307520	1311770	4250	oder das Ausnutzen individueller Phobien wie Angst vor Hunden.
1311880	1313610	1730	Extreme Methoden wie Todesdrohungen oder das sog. Waterboarding
1316830	1319770	2940	wurden von Rumsfeld nicht genehmigt.
1320790	1324570	3780	Jetzt hatten wir das entscheidende Papier in der Hand.
1324730	1328530	3800	Eine Richtlinie von ganz oben aus dem Verteidigungsministerium.
1329370	1333130	3760	Also konnten wir mit den Verhören weitermachen.
1336520	1339210	2690	Es wurde einfach alles schlimmer.
1339400	1343010	3610	Ich wurde manchmal über 24 Std. lang verhört.
1360240	1365490	5250	Da sagten sie, dass Selcuk Bilgin, ein sehr guter Freund von mir,
1366680	1369170	2490	ein Selbstmordattentäter wäre.
1433360	1433650	290	Irgendwie dachte ich vielleicht, dass es auch stimmen muss.
1437680	1442250	4570	So viele Leute stehen vor mir und erzählen mir, dass es so war.
1442560	1444570	2010	Er hat das getan,
1444680	1448690	4010	und ihn gibt es nicht mehr und er hat Menschen getötet.
1448920	1450890	1970	Alles liegt vor.
1497110	1500060	2950	Einfach unglaublich. Was sollte das?
1500110	1504580	4470	Hier ging es doch nicht darum, Informationen zu erhalten.
1504670	1506980	2310	Das ist natürlich sadistisch
1507110	1508740	1630	und ist nicht im Entferntesten ein professionelles Vorgehen.
