start	end	duration	text
3440	6100	2660	.
6930	13260	6330	1:1-Untertitelung. Livepassagen können Fehler enthalten.
13970	17140	3170	"Guten Abend, herzlich willkommen zu ""Schweiz aktuell""."
17830	18980	1150	Das sind heute unseren Themen:
20180	23940	3760	Das Tessin beschloss gestern wegen der vielen Grenzgänger
24620	26700	2080	einen kantonalen Inländervorrang.
27440	31580	4140	Aber die Forderungen der SVP- Initiative sind wohl kaum umsetzbar.
33510	36900	3390	Das Schwyzer Stimmvolk schickte an der Urne
37680	40660	2980	eine Einheitssteuer deutlich bachab. Auch mithilfe der Reichen,
41390	43900	2510	die bei der Flat Rate Tax gut weggekommen wären.
45550	49310	3760	Die letzte Handmaschinenstickerin vom Appenzellerland
50030	52630	2600	gibt ihr traditionelles Arbeitsgerät ins Museum.
53380	55990	2610	Mit über 90 geht sie in den Ruhestand.
57400	61150	3750	Grenzgänger aus Italien, die in der Schweiz zu Dumpinglöhnen
61940	65349.99999999999	3410	arbeiten und den Inländern Konkurrenz machen, davon hat das Tessiner genug:
66000	68750	2750	Sie hiessen gestern die SVP-Initiative Prima i Nostri
69450	71230	1780	mit 58 % der Stimmen gut.
72030	76310	4280	Sie verlangt konkret, dass bei freien Stellen Inländer bevorzugt werden.
76990	79789.99999999999	2800	Schweizer dürfen als Massnahme gegen Dumpinglöhne
80550	82990	2440	nicht mehr durch Ausländer mit tieferen Löhnen ersetzt werden.
83690	86910	3220	Und Schweizer Firmen sollen genauso leicht in Italien arbeiten können,
87630	88750	1120	wie Italiener in der Schweiz.
89510	92270.00000000001	2760	Forderungen, die eigentlich gar nicht umsetzbar sind.
93440	98190	4750	Andrea Puglia ist Grenzgänger, einer der über 60'000 Frontalieri,
99039.99999999999	101509.99999999999	2470	die jeden Werktag ins Tessin zur Arbeit kommen.
102280	104630	2350	Der Italiener berät seine Amtsleute in Arbeitsfragen.
105340	108070	2730	Heute Morgen erkundigten sich besonders viele bei ihm.
108759.99999999999	111030	2270	Es stimmt, viele Grenzgänger fürchten sich,
111759.99999999999	113880	2120	weil sie das Gefühl haben, es könnte sich sofort etwas ändern.
114620	117080	2460	Viele Arbeiter und Grenzgänger-Kollegen riefen mich an
117780	121200	3420	und erkundigten sich, ob ihnen nun die Arbeitserlaubnis entzogen würde.
121840	123520	1680	Nein, darum geht es natürlich nicht.
124220	127160	2940	Grundsätzlich verstehe ich die Befürchtungen der Tessiner.
127870	130680	2810	Aber Angriffe gegen Grenzgänger sind nicht die Lösung,
131380	133840	2460	man müsste den Arbeitsmarkt besser regulieren.
134550	136560	2010	Es ist auch die Meinung der Gewerkschaften,
137230	139240	2010	dass man nicht einfach gegen Grenzgänger gehen kann.
139950	141520	1570	Sie vertreten nicht nur die Rechte der Einheimischen,
142190	143440	1250	sondern auch die der Frontalieri.
144130	145800	1670	Auch wenn sie gegen die Initiative war,
146590	148680	2090	will die grösste Gewerkschaft im Tessin, die OCST,
149390	151800	2410	in einer Arbeitsgruppe an der Umsetzung mitarbeiten.
152510	156320	3810	Wir sind bereit mitzumachen, wie wir das in der Vergangenheit taten,
157050	159600	2550	als es z.B. um die Mindestlöhne ging.
160329.99999999997	162560	2230	Es ist meiner Meinung nach nicht realistisch,
163350	165000	1650	schnell etwas zu erreichen, aber wir machen mit.
165780	167360	1580	Die Aufgabe des Kantons ist doppelt schwierig.
168090	169480	1390	Vor der Abstimmung sagte die Regierung,
170230	172400	2170	dass man der Bevölkerung Illusionen verkaufe.
173160	175680	2520	Nun muss die Kantonsregierung diese Illusionen umsetzen,
176390	178680	2290	obwohl es v.a. um eidgenössisches Recht geht.
179329.99999999997	181240	1910	Dies ist genau das Problem.
181980	184720	2740	Quasi alles, was mit dem Arbeitsmarkt zusammenhängt,
185290	186280	990	ist national geregelt.
186930	190400	3470	D.h., der Spielraum, in dem wir uns bewegen können, ist extrem eng.
191110	195680	4570	Wir werden sehen, welche Ideen am Tisch zusammenkommen werden.
196440	199400	2960	Die Arbeit an diesem Tisch wird also in jedem Fall schwierig werden.
200079.99999999997	201200	1120	Es ist auch noch nicht klar,
201870	203320	1450	wer ausser der Politik am Tisch sitzen soll.
204020	205400	1380	Wirtschaftsverbände hielten mehrfach fest,
206130	207680	1550	dass die Initiative nicht umsetzbar sei.
208310	210760	2450	Darum brauchte der Direktor der Handelskammer am Morgen
211410	212680	1270	einen starken Espresso.
213290	216240	2950	Er ärgert sich seit gestern über das Resultat und ist nicht bereit,
216920.00000000003	218160	1240	die Suppe mit auszulöffeln.
218870	220680	1810	Dies ist jetzt die Aufgabe der Politiker,
221390	225280	3890	die ausgerechnet etwas Nicht- anwendbares durchsetzen wollten.
225950	228079.99999999997	2130	Jetzt müssen sie auch eine Lösung suchen,
228800	230200	1400	wir stehen nicht zur Verfügung.
230870	232360	1490	Unsere Position war klar,
233079.99999999997	236280	3200	aber natürlich respektieren wir den Volkswillen.
237040	241160	4120	Ich sehe aber für uns keine aktive Rolle.
241820	244360	2540	Die Wirtschaftsverbände machen nicht mit.
245110	247800	2690	Es ist genauso offen, ob alle lokalen Politiker am Schluss
248390	249570	1180	an der Umsetzung mitarbeiten.
250310	253810	3500	Sicher ist lediglich, dass der Tessi- ner Vorschlag in Bern landen wird,
254560	256890	2330	und vom nationalen Parlament abgesegnet werden muss.
257529.99999999997	261250	3720	Die Tessiner Parlamentarier sehen dafür eher schwarz.
261940	266850	4910	Es ist fast eine Frage der Unmöglichkeit.
267550	271210	3660	Dieser Verfassungsartikel braucht die Garantie des Bundes
271900	273810	1910	gemäss Bundesverfassung.
274590.00000000006	277490	2900	Diese Garantie wird das Bundesparlament geben.
278159.99999999994	281730	3570	Dieser Verfassungsartikel enthält Elemente,
282390	286490	4100	die wahrscheinlich mit der Bundes- verfassung nicht kompatibel sind.
287180	288450	1270	Ich bin nicht optimistisch,
289159.99999999994	292650	3490	dass dieser Artikel auch umgesetzt werden darf.
293310	296690	3380	Das Feiern des Jas war einfach,
297420	301530	4110	jetzt wartet viel Arbeit auf die Tessiner Politik.
303040	305890	2850	Vielleicht kann man die Vorschläge der Initiative Prima i Nostri
306570	308090	1520	also gar nicht umsetzen.
308840	311850	3010	Daniel Schäfer im Tessin, warum kam die Initiative trotzdem durch?
312550	315450	2900	Wir untertiteln live:
330730	333970	3240	Jede Person im Tessin kennt eine Geschichte von einer Person Ihrer
334630	337409.99999999994	2780	Familie oder ein Bekannter, wo der Sohn zum Beispiel eine Lehrstelle
338100	339409.99999999994	1310	sucht, aber keine findet.
340159.99999999994	341610	1450	60'000 Grenzgänger kommen täglich ins Tessin.
342310	345330	3020	Man denkt dass jene Schuld seien.
346040	351450	5410	Der Druck ist real, es geht immer um Löhne und Lohnforderungen.
352180	354130	1950	Schon bevor der Personenfreizügigkeit hatte es
354900	358490	3590	viele Grenzgänger im Tessin.
358900	362050	3150	Wie reagierte man in Italien auf den Tessiner Entscheid?
368960	370930	1970	Italien ist wütend.
371650	374330	2680	Es gab schon gestern Reaktionen in Brüssel von Parlamentariern.
374990	376450	1460	Aber auch Präsidenten von Parteien.
377200	382370	5170	Man möchte die Grenzgänger schützen.
383130	389010	5880	Sie machen einen guten Job in der Schweiz, sagten sie.
391520	394690	3170	Es kommen Grabenkämpfe auf, vorher glaubte man, dass man eine gute
395320	396730	1410	Zusammenarbeit hatte.
397470	402730	5260	Das wird jetzt alles wieder infrage gestellt.
407080	409930	2850	Wird der Kanton Tessin diese Massnahmen tatsächlich umsetzen,
410670	412370	1700	würde Italien in Brüssel sofort intervenieren.
413200	418450	5250	Dann würden Gegenmassnahmen erarbeitet.
419200	420850	1650	Es gibt viel böses Blut.
421600	425850	4250	Hoffentlich beruhigt sich diese heisse Phase.
426220	428930	2710	Auch im Kanton Schwyz sorgt eine Abstimmung von gestern
429600	430490	890	für Gesprächsstoff.
431210	432690	1480	Dort schmetterte das Stimmvolk eine Einheitssteuer,
433440	435530	2090	eine sog. Flat Rate Tax mit 78,8 % ab.
436270	438010	1740	Ein so deutliches Resultat hätte niemand erwartet.
438720	441010	2290	Die Vorlage der Regierung hätte alle Einkommen im Kanton Schwyz,
441780	443490	1710	egal wie hoch, mit demselben Steuersatz berappt,
444150	445130	980	nämlich mit 5,1 %.
445880	448450	2570	Das Ziel der Regierung: mehr Steuereinnahmen zur Sanierung
449080	451250	2170	des Haushalts, ohne die Reichen zu verärgern.
451960	455050	3090	Aber gerade diese sagten zur Vorlage klar Nein.
456190	458690	2500	An der sog. Diamantküste in Ausserschwyz
459409.99999999994	461370	1960	liegen die Gemeinden Wollerau oder Freienbach.
462159.99999999994	464490	2330	In diesen Gemeinden verdienen viele Leute gut,
465230	467370	2140	aber auch sie schmetterten die Einheitssteuer ab.
468120	473050	4930	Wollerau mit 77,3 % Nein, Freienbach mit 73,5 %.
473710	476890	3180	Die Reform hätte Gutverdienende eigentlich geschont.
477640	479970	2330	Auch mit höherem Lohn hätten sie denselben Steuersatz
480710	482330	1620	wie tiefere Einkommensschichten bezahlt.
483040	486210	3170	Trotz dem Zückerchen, Steuererhöhung ist Steuererhöhung,
486920	488690	1770	sagt FDP-Präsidentin des Kantons Schwyz,
489370	491330	1960	die sich für die Reform einsetzte.
492100	494290	2190	Es hat tatsächlich damit zu tun, dass die Leute
495080	498370	3290	auch in Ausserschwyzer Gemeinden nicht gerne mehr Steuern bezahlen.
499100	501810	2710	Jeder wäre von dieser Steueranpassung betroffen gewesen.
502490	505250	2760	Insofern ist es erklärbar, dass man ihnen nicht beibringen konnte,
505920	507010	1090	mehr Steuern zu bezahlen.
507680	509690	2010	Besonders störend für Vermögende war,
510430	512409.99999999994	1980	dass die Reform neben der Einkommenssteuer
513140	515770	2630	auch die Vermögenssteuer angepasst hätte, nämlich verdoppelt.
516510	518250	1740	In Freienbach, wo viele Vermögende leben,
518970	520970	2000	kam das laut Gemeindepräsident nicht gut an.
521630	525180	3550	Dies sei aber nur einer der vielen Gründe für das klare Nein.
525960	528340	2380	Ich vermute, bei den einen war es die höhere Vermögenssteuer,
529160	532940	3780	beim Mittelstand ist es die höhere Belastung des Mittelstandes,
533720	536380	2660	und dann gab es noch Leute, die sich daran störten,
537120	539780	2660	dass ein Teil der Steuerzahler gar nichts mehr zahlen müsste.
540470	544020	3550	Wer bis jetzt nichts zahlen musste, müsste nun eine Kopfsteuer zahlen,
544600	545340	740	was ihnen nicht passte.
546040	547940	1900	Jeder hatte die Möglichkeit, etwas Störendes zu finden.
548720	550980	2260	Wahrscheinlich wird der Kanton jedoch früher oder später
551740	553140	1400	nicht um eine Steuererhöhung herumkommen.
553840	556260	2420	Die Schwyzer Regierung wollte mit den zusätzlichen Steuereinnahmen
556940	558500	1560	das Loch in der Staatskasse stopfen.
559290	562220	2930	Die Reform hätte dem Kanton 130 Mio. Fr. bringen sollen.
562830	565300	2470	Geld, das jetzt fehlt.
565960	568100	2140	Nächste Woche wird die Regierung
568800	570820	2020	Zahlen der nächsten Jahre veröffentlichen
571550	574820	3270	und zeigen, wie das nachhaltige, strukturelle Defizit bestehen wird.
575470	577700	2230	Man muss die Diskussion weiterführen.
578410	582940	4530	Kurzfristig könnte das Parlament das mit einer Steuerfusserhöhung machen.
583760	593340	9580	Oder eine Steuergesetzrevision ausarbeiten ist eine Möglichkeit.
594090	596980	2890	Die Einheitssteuer ist aber im Moment vom Tisch,
597680	601900	4220	dies machte die Schwyzer Bevölkerung gestern deutlich.
604400	608540	4140	Die Flat Rate Tax hatte also in allen Gemeinden des Kantons Schwyz
609300	610300	1000	nicht die geringste Chance.
611030	612820	1790	Damit zu unserem Zentralschweiz- korrespondent Raphael Prinz:
613640	615900	2260	Man bezweckte damit, ein gewaltiges Finanzloch zu stopfen.
616650	620900	4250	Wie will man das nun bewerkstelligen? Wir untertiteln live:
622160	628020	5860	Das ist so.
628880	634140	5260	Man sagte nein, ohne eine bessere Lösung auf dem Tisch zu haben.
634780	638100	3320	Niemand kennt die Richtung des Kantons Schwyz.
638840	644220	5380	Keine Parteien haben ein Patentrezept.
647930	650860	2930	Man weiss nicht, wie man die fehlenden Mio. wieder ausgleichen
651640	651900	260	möchte.
652400	654900	2500	Es braucht wahrscheinlich eine Steuererhöhung. Sparen wird Thema
655570	656980	1410	bleiben.
657750	660860	3110	Das ist ein schwieriges Thema in diesem Kanton.
661190	663300	2110	Wie stehen die Chancen,
664020	666980	2960	dass eine generelle Steuererhöhung angenommen wird?
669900	674580	4680	Niemand bezahlt gerne Steuern, und schon gar nicht in diesem Kanton.
675280	678220	2940	Ursprünglich war dieser Kanton ein armer Kanton.
678960	681940	2980	Dann senkte er die Steuern.
682550	685620	3070	Dies zog Reiseleiter an.
686350	690620	4270	Jetzt hat sich die Situation verändert.
691270	696620	5350	Man möchte die Steuern leicht anheben.
699990	701900	1910	Dies ist aber in diesem Kanton schwierig.
702680	706940	4260	Das wird noch viel Arbeit bereiten und das Parlament beschäftigen.
707430	709820	2390	Das Aargauer Obergericht spricht eine deutliche Strafverschärfung
710640	712860	2220	gegen den suspendierten Gemeindeammann von Wohlen aus.
713630	715500	1870	Das Gericht urteilt, der Wohler Gemeindeamman
716230	717700	1470	habe die Gemeinde noch um mehr betrogen,
718440	720180	1740	als das Bezirksgericht Zurzach letzten März entschied.
720880	722740	1860	Er habe neben zu viel bezogenen Pensionskassengeldern
723500	724820	1320	noch in zwei weiteren Fällen der Gemeinde
725490	726980	1490	Sitzungsgelder nicht zurückvergütet.
727720	729900	2180	Es bestätigt darum das Urteil des Bezirksgerichts und verschärft
730720	733340	2620	das Strafmass von insgesamt 50'000 auf 72'000 Fr. bedingt.
734040	735900	1860	Laut Anwalt des verurteilten Gemeindeammans
736590	738620	2030	zieht er den Entscheid weiter vor Bundesgericht.
739590	742540	2950	Zöllner am Zürcher Flughafen fanden Schmuck
743200	744740	1540	mit viel zu hohen Cadmium- und Nickelwerten.
745520	748480	2960	Die 25-kg-Sendung mit Uhren, Halsketten, Ohren- und Fingerringen
749200	752080	2880	aus China überschritten den Cadmium-Grenzwert im Labor
752780	755600	2820	um teilweise bis zu 5'000-mal.
758090	761640	3550	In Winterthur zieht sich der grüne Stadtrat Matthias Gfeller
762350	763160	810	aus dem Schussfeld.
763820	766520	2700	In der letzten Zeit stand er unter Druck, weil er bei einer Abstimmung
767260	769160	1900	wichtige Informationen unterschlagen haben soll.
769880	772840	2960	Heute gab er vor den Medien seinen Rücktritt aus der Regierung bekannt.
773880	776720	2840	Ich bin Jahrgang 1956, wurde dieses Jahr 60.
777440	781160	3720	Seit 1970 habe ich Herzrhythmusstörungen.
781960	785240	3280	Es sind gesundheitliche Probleme, die den grünen Stadtrat Matthias Gfeller
785970	788120	2150	zum Rücktritt aus dem Winterthurer Stadtrat zwingen.
788900	791440	2540	Aber wirklich nahe geht Matthias Gfeller der Vorwurf,
792180	794680	2500	Winterthur in eine marode Energiekooperation
795390	797920	2530	mit der Wärmering Frauenfeld AG geritten zu haben.
798640	801320	2680	Ein Unternehmen, bei dem eine Sanierung in Millionenhöhe ansteht.
802070	803720	1650	Diese Informationen hatte das Volk vor der Abstimmung
804430	805520	1090	von ihm nämlich nicht.
806110	807440	1330	Ich hätte den Stadtrat intern
808200	811560	3360	detaillierter über das, was ich selber wusste, informieren sollen.
812230	814640	2410	Das sind aber keine Informationen zur Wärme Frauenfeld AG,
815350	817040	1690	die telquel an die Öffentlichkeit gehören.
817750	820800	3050	Intransparenz wird Matthias Gfeller nicht zum ersten Mal vorgeworfen.
821520	824640	3120	2009 beteiligte sich die Stadt Winterthur auf seine Empfehlung hin
825300	827720	2420	an der Firma Biorender AG in Wil mit 3 Mio. Fr.
828470	830240	1770	Die Firma ist zwischenzeitlich Konkurs.
830980	834040	3060	Seinen Rücktritt gibt Matthias Gfeller auf Mitte 2017.
834660	836600	1940	Morgen informiert die Stadt Winterthur
837340	839600	2260	ihre Ergebnisse zur Administrativuntersuchung
840230	842920	2690	über die jüngste Stolperaffäre des grünen Politikers.
844290	846320	2030	Stickereien aus der Ostschweiz -
846920	850640	3720	bis vor 100 Jahren waren sie das wichtigste Exportgut der Schweiz.
851430	854400	2970	Sie machten auch das Appenzellerland international bekannt.
855040	858360	3320	Entstanden sind die filigranen Stickereien oft in Heimarbeit.
859080	863000	3920	Auch Lina Bischofberger aus Reute/AR arbeitete viele Jahre
863710	866360	2650	zusammen mit ihrem Mann für eine St. Galler Firma,
867080	868560	1480	stickte auf ihrer Maschine Tücher.
869230	870440	1210	Jetzt hört sie auf,
871160	873360	2200	als letzte Handmaschinenstickerin im Appenzellerland.
874100	878480	4380	Ihre traditionelle Maschine rattert aber weiter - im Museum.
880240	883960	3720	Im Haus von Lina Bischofberger geht eine Ära zu Ende.
884620	887490	2870	Im Frühling schraubten Handwerker ihre Stickmaschine auseinander.
888210	890890	2680	Noch mit über 90 hat sie damit Tücher gestickt.
891640	894730	3090	Jetzt, nach einer Rückenoperation, geht es nicht mehr.
895510	897690	2180	Sie muss von diesem gusseisigen Apparat,
898430	901570	3140	der über 120 Jahre alt ist, Abschied nehmen.
902320	905010	2690	Schmerzt Sie das etwas? - Überhaupt nicht.
905790	909130	3340	Ich habe ja gearbeitet. Jetzt werde ich 92.
909830	912890	3060	Ich habe genug gearbeitet. Jetzt reicht es.
915150	918930	3780	Seit fast 70 Jahren lebt Lina Bischofberger in Reute
919550	921170	1620	im Elternhaus ihres Mannes.
921910	924610	2700	Er brachte das Stickhandwerk in die Ehe.
925420	930930	5510	Zusammen stickten sie jahrzehntelang für ein St. Galler Textilunternehmen.
931640	934330	2690	1948 kam ich hierher.
934990	937690	2700	Mein Mann war der Handsticker.
938390	942170	3780	Er stickte, ich war die Einfädlerin.
942870	944850	1980	Ich musste alle Zuarbeiten erledigen.
