start	end	duration	text
4350	5850	1500	.
6570	15170	8600	1:1-Untertitelung. Livepassagen können Fehler enthalten.
15890	18090	2200	"Einen guten Feierabend, herzlich willkommen bei ""Schweiz aktuell""."
18780	20090	1310	Das sind heute unsere Themen:
21190	25290	4100	Als erster Kanton legalisiert Genf den Fahrdienst Uber.
25960	27010	1050	Ein Blick nach Zürich zeigt:
27750	30570	2820	Dort tut sich die zuständige Kommission im Parlament schwer.
31310	34410	3100	Bellinzona weiht seinen sanierten Bahnhof ein
35150	37730	2580	und erhofft sich dort dank des neuen Gotthard-Basistunnels
38390	39770	1380	doppelt so viele Passagiere.
40640	43210	2570	1'000 Zimmerleute
43930	46050	2120	haben heute in Basel zusammen geklatscht und gesungen.
46770	49450	2680	"Mit diesem Ritual schaffen sie es ins ""Guinness-Buch der Rekorde""."
51190	54010	2820	Seit gestern Abend hat Genf ein neues Taxigesetz -
54810	56690	1880	als Reaktion auf Fahrdienste wie Uber,
57430	60610	3180	die seit Längerem schweizweit im Taxigeschäft mitmischen.
61360	63730	2370	Uber ist ein Konzern aus den USA, eine Internetplattform,
64530	66490	1960	die sich gesetzlich in einer Grauzone bewegt
67240	69770	2530	und eine grosse Konkurrenz für die hiesigen Taxis ist.
70530	72250	1720	Das will der Kanton Genf als erster Kanton in der Schweiz
73050	74250	1200	mit einem neuen Gesetz ändern:
75440	78010	2570	Das Gesetz unterscheidet zwischen zwei Arten:
78770	81450	2680	Taxis und Transportfahrzeuge mit Chauffeur.
82140	83690	1550	Neu müssen auch Fahrer Prüfungen ablegen,
84490	86850	2360	die z.B. via Uber-App Personen transportieren.
87690	88770	1080	Für den Genfer Regierungsrat Pierre Maudet
89490	92009.99999999999	2520	ist dies eine wichtige Entwicklung im Taxiwesen:
92770.00000000001	95450	2680	Es ist ein modernes Gesetz, das neu auch den Zugang
96250	98330	2080	von Dienstleistern via Smartphone berücksichtigt.
99090	100289.99999999999	1200	Und es ist ein ausgeglichenes Gesetz,
100960.00000000001	102370	1410	weil es gleichzeitig auch die Arbeit
103050	105410	2360	der traditionellen Taxichauffeure berücksichtigt.
106140	108729.99999999999	2590	Die Schweizer Uber-Leitung hat nun schriftlich reagiert
109400	110690	1290	und kritisiert am Gesetz,
111310	113450	2140	dass innovative Unternehmen benachteiligt werden.
114140	115250	1110	Vor der Kamera Stellung genommen
115910	117450	1540	hat der Genfer Anwalt verschiedener Uber-Fahrer,
118250	120570	2320	der gleichzeitig auch Abgeordneter im Parlament ist.
121210	123370	2160	Ihm missfällt das neue Taxigesetz.
124070	128250	4180	In Genf müssen jetzt auch
128910	131090	2180	die Chauffeure von Transport- fahrzeugen Prüfungen ablegen.
131770	133130	1360	Vorher waren es nur die Taxifahrer.
133780	138290	4510	Man macht damit die Konkurrenz durch neue Hürden kaputt.
138960	140810	1850	Die Taxis haben bereits viele Privilegien.
141530	142770	1240	Sie können die Busspur benutzen
143470	144850	1380	und am Flughafen oder Bahnhof parkieren.
145579.99999999997	146850	1270	Die anderen haben diese Privilegien nicht.
147579.99999999997	152690	5110	Dafür haben sie bisher einfacher eine Bewilligung bekommen.
153410	156730	3320	Das Gesetz sei weder für Uber noch die Taxifahrer gemacht,
157450	158530	1080	sondern für die Kunden.
159260	160930	1670	Uber müsse sich den Bedingungen des Kantons unterordnen
161640	163250	1610	wie die anderen auch:
163960	167690	3730	Wir möchten in der Schweiz eine lokale Verankerung
168410	170570	2160	dieser Gesellschaften, die Fahrdienste vermitteln.
171250	173410	2160	Wenn eine Firma Dienstleistungen auf unserem Territorium erbringt,
174200	175450	1250	soll sie auch in jenem Land Steuern bezahlen,
176140	177410	1270	in dem sie die Einnahmen macht.
178170.00000000003	182010	3840	Das ist eine Gleichbehandlung, die logisch ist.
182740	185690	2950	Dass Uber in Genf jetzt offiziell reglementiert werden soll
186480	188370	1890	und im neuen Taxigesetz berücksichtigt ist,
189050	190490	1440	sei auf keinen Fall eine valable Lösung -
191240	194410	3170	weder für Genf noch für andere Schweizer Kantone.
195140	198730	3590	Das Gesetz ist ein sehr schlechtes Bespiel.
199390	201130	1740	Wir haben das hier in Genf gesehen.
201860	203530	1670	Die Taxis haben eine enorme Macht und die Möglichkeit,
204250	207210	2960	Probleme zu verursachen.
207940	209810	1870	Man muss nur auf die Strasse gehen, um zu merken,
210570	211930	1360	dass Touristen und Kunden nicht zufrieden sind
212600	213770	1170	mit dem Taxiservice in Genf.
214480	215650	1170	Und zwar deshalb, weil die Taxifahrer
216400	218010	1610	auch mit dem neuen Gesetz zu viel Macht haben.
218740	221329.99999999997	2590	Ob es einen Rekurs gegen das neue Taxigesetz geben wird,
222150	225250	3100	ist noch unklar. Widerstand gibt es aber auch bei Taxifahrern.
226700	228610	1910	Genf hat ein neues Taxigesetz -
229350	231370	2020	und in Zürich steht ein solches zur Diskussion.
232060	233210	1150	Im Moment liegt der Entwurf
233930	236450	2520	bei der zuständigen Kommission des Kantonsparlaments.
237170.00000000003	239730	2560	Der Entscheid aus der Westschweiz sei aber kein gangbarer Weg für Zürich,
240520	243170	2650	sagt Stefan Schmid, Kommissions- mitglied und SVP-Kantonsrat.
243920	245050	1130	Es brauche eine andere Lösung:
246250	251050	4800	Wird der Kanton Zürich Uber stärker regulieren, wie in Genf?
251770	253810	2040	Das denke ich nicht - und das wünsche ich mir auch nicht.
254440	256329.99999999997	1890	Bezüglich Uber wünsche ich mir eine nationale Regelung,
257029.99999999997	258450	1420	die schweizweit gilt.
259279.99999999997	261010	1730	Unabhängig von einer nationalen Regelung:
261740	262970	1230	Der Kanton Zürich ist im Moment dabei,
263680	266170	2490	mit einem kantonalen Gesetz das Taxiwesen neu zu regeln.
266810	268130	1320	Dies, weil es seit Jahren immer wieder
268750	271170	2420	zu Streit zwischen Stadt- und Landtaxis kommt.
271900	273690	1790	Nicht nur den Zugang zum Markt will Zürich neu regeln:
274420	277170	2750	Der Kanton will den Taxifahrern auch Deutschkenntnisse vorschreiben.
277909.99999999994	281650	3740	Von diesen neuen Regeln ausgenommen ist allerdings Uber.
282310	283970	1660	Mit dem Fahrdienst kann man per Handy
284680	287170	2490	einen privaten Autofahrer als Taxi bestellen.
287900	290370	2470	Uber-Fahrer haben kein Taxometer, keine Taxilizenz
291040	293090.00000000006	2050	und sie bezahlen keine Abgaben.
293930	295530	1600	Dementsprechend günstig sind die Fahrten.
296370	298010	1640	Für die Taxifahrer ist Uber ein Frust.
298680	300050	1370	Immer wieder protestieren sie dagegen,
300840	303650	2810	wie im vergangenen Mai mit einem Konvoi durch die Stadt Zürich.
304410	306850	2440	Sie wollen, dass Uber verboten wird, weil der Fahrdienst illegal
307580	310850	3270	und eine Gefahr für Tausende Arbeitsplätze sei.
311530	314490	2960	Uber verbieten, Uber stärker regulieren im kantonalen Taxigesetz -
315240	318170	2930	beides keine Lösungen für Stefan Schmid. Aber:
318850	322330	3480	Ich wünsche mir zum einen eine Auskunftspflicht von der Firma Uber.
323010	326610	3600	Also z.B. wenn eine Sozialbehörde Uber anfragt, um zu erfahren,
327280	329970	2690	ob eine Person für die Firma fährt.
