start	end	duration	text
990	2410	1420	.
2500	5970	3470	1:1-Untertitelung
7060	9050	1990	Guten Abend, meine Damen und Herren.
9230	11610	2380	"Hier ist die ""Tagesschau"", und das sind die Themen heute Samstag:"
12870	16730	3860	Der Charakterdarsteller ist 74-jährig gestorben.
18710	22810	4100	Die al-Shabaab-Miliz droht mit weiteren Anschlägen.
24340	28130	3790	Stiller Has feiert 25 Jahre Bühnenjubiläum.
29800	33610	3810	Am Alpennordhang und im Südtessin weiterhin nass.
35870	39890	4020	Bärbeissig, kantig, oftmals laut und schlecht gelaunt
40040	43170	3130	und mit einem Hang zum Verschrobenen: Matthias Gnädinger
43350	47090	3740	hat in seinem Schauspielerleben immer wieder Figuren verkörpert,
47280	51730	4450	die einem als Zuschauer nahe und nicht aus dem Kopf gingen.
51890	56100	4210	So auch in einer seiner Paraderollen als Kommissär Hunkeler.
56280	60360	4080	Eine Rolle, die Mathias Gnädinger wie auf den Leib geschnitten schien.
60540	65160	4620	Mit vollem Körpereinsatz war er dabei.
65340	68560	3220	Jetzt ist der Schweizer Volksschauspieler tot.
68720	71440	2720	Er starb gestern im Alter von 74 Jahren
71610	73960.00000000001	2350	an Lungen- und Herzkomplikationen.
74070	76030	1960	Familie und Wegbegleiter
76110	79590	3480	haben Mathias Gnädinger heute gemeinsam in Zürich gewürdigt.
81320	83870	2550	Freunde, Regisseure, die mit ihm gearbeitet haben,
83980	88390	4410	und der Bruder versammelten sich, um Mathias Gnädinger zu gedenken.
88580	92630	4050	Ein grossartiger Volksschauspieler im besten Sinne des Wortes.
92830	95830	3000	Wenn man ihm zusah, hatte man keine Sekunde lang das Gefühl,
95990.00000000001	99190	3200	er sei nicht diese Figur. Man glaubte ihm immer alles.
99410	101590	2180	Das können nicht alle. Das ist eine grosse Gabe.
101670	105470	3800	Er war ein sehr wilder Typ.
105640	109870	4230	Er hat ganz wilde Seiten, aber auch sensible, feine Seiten.
109990.00000000001	113190	3200	Ein Urgestein haben wir nicht mehr.
115800	118750	2950	Er war ein schwieriger, allumfassender Charakter.
118860	121270	2410	Aber das Verrückte ist:
121520	125390	3870	In diesem riesigen Körper war eine ganz sensible Seele.
125560	129710.00000000001	4150	Einmal wurde ich während des Drehs krank,
129820	133870	4050	es war allerdings in einer Pause.
133990	136510	2520	Dann ging er zum Bäcker ein Brot holen, in Sizilien.
136590	138750	2160	Er schlich in mein Zimmer
138950	141750	2800	und hielt mir sanft das warme Brot an die Wange.
143210	146829.99999999997	3620	Er füllte das Bild.
147030	149030	2000	Ich fand ihn einfach immer gut.
149110	151670.00000000003	2560	Wenn mir etwas nicht passte,
151829.99999999997	154270	2440	kamen wir sehr schnell zu einer Lösung, die uns beiden passte.
154350	159470	5120	Es ist wirklich ... ein Riesenverlust.
161810	167470	5660	"""Geniesst es und habt es gut miteinander! Freut euch!"""
170110	173030	2920	"""Geniesst es und habt es gut miteinander! Freut euch!"""
173190	177030	3840	"So quasi: ""Seid nicht traurig!"" Das schrieb er."
183110	186590	3480	Der Tod von Mathias Gnädinger kam überraschend.
186760	190350	3590	Der Schauspieler war seit den 70er-Jahren tätig,
190510	194230	3720	wirkte in knapp 200 Theaterstücken oder Filmen mit.
194370	198270	3900	Eine lange, erfolgreiche  - eine ausserordentliche Karriere.
200470	204070	3600	Mathias Gnädinger.
204150	208230	4080	Er war ein Vollblutschauspieler und vielbeschäftigt.
208410	210350	1940	Ob im Kino, im Fernsehen oder im Theater -
210490	212950	2460	jahrzehntelang hat Gnädinger die Menschen unterhalten.
215350	220950	5600	1941 wird er in einem kleinen Dorf im Kanton Schaffhausen geboren.
221070	224670.00000000003	3600	Die Welt der Schauspielerei ist weit entfernt.
224829.99999999997	228030	3200	Ich wollte schon immer auf die Schauspielschule.
228290	230470	2180	"Aber dann hiess es: ""Lern doch zuerst einen anständigen Beruf!"""
230610	232750	2140	So wurde ich Schriftsetzer.
232829.99999999997	234990	2160	Im 2. Anlauf klappts:
235090	240230	5140	Gnädinger besucht in den 60er-Jahren die Schauspielschule in Zürich.
240400	243790	3390	Der Grundstein für eine grosse Karriere.
244020	246630	2610	V.a. sperrige Charaktere sagen Gnädinger zu.
246790	250990	4200	Eine seiner Paraderollen: der griesgrämige Kommissär Hunkeler,
251150	254430	3280	der flucht, trinkt und offen sagt, was er denkt.
254670	256870	2200	Sie wissen viel mehr, als Sie sagen.
256990	260589.99999999997	3600	Es gibt Parallelen zwischen uns,
260760	265790	5030	und auch Dinge, die überhaupt nicht übereinstimmen.
265990	271830	5840	Aber aus einem ganz inneren Gefühl heraus ... stimmt vieles.
274090.00000000006	280070	5980	2012 wird Gnädinger für sein Lebenswerk ausgezeichnet.
280230	283710	3480	Schauspielkollege Andrea Zogg findet berührende Worte.
283950	286950	3000	Wo Gnädinger drauf steht, ist auch immer Gnädinger drin.
287110	291510	4400	Und zwar zu 100 %. Weil du echt bist, weil du immer berührst.
291620	294470	2850	Ein Volksschauspieler eben.
294630	298510	3880	Im letzten Jahr gibt Gnädinger noch einmal Vollgas.
304110	306190	2080	Im letzten Jahr gibt Gnädinger noch einmal Vollgas.
306450	308670	2220	"In ""Usfahrt Oerlike"" spielt er an der Seite von Jörg Schneider"
308750	310910	2160	in einem Film über das Thema Sterben.
311070	314760	3690	Irgendwann macht es peng. Dann tut dir kurz alles weh - und fertig.
314990	318040	3050	Die Schauspielerei war seine Leidenschaft.
318240	321040	2800	Und diese hat Mathias Gnädinger bis zum Schluss ausgelebt.
324510	328480	3970	"Eine der bekanntesten Rollen von Gnädinger war in ""Sternenberg""."
328750	332200	3450	SRF 1 zeigt den Film morgen Ostersonntag um 20.05 Uhr.
332430	335240	2810	"Und bereits zuvor würdigt ""G&G Weekend"""
335430	338680	3250	Matthias Gnädinger in einer Sondersendung ab 18.15 Uhr.
343100	346600	3500	Nach dem grauenhaften Anschlag in Kenia
346830	349159.99999999994	2330	mit gegen 150 toten christlichen Studenten
349300	352200	2900	hat die Terror-Organisation al-Shabaab
352290	354760	2470	mit weiteren Anschlägen gedroht.
354920	357440	2520	Die Terror-Organisation wirft Kenia vor,
357480	359640	2160	in Somalia Militäroperationen gegen die dort ansässige al-Shabaab
359760	362400	2640	zu unterstützen.
362600	364720	2120	Derweil hat die kenianische Polizei in Kenia 5 Verdächtige festgenommen.
364950	367440	2490	4 Kämpfer waren während des Anschlags ums Leben gekommen.
369270	371840	2570	Menschen versammeln sich vor der Leichenhalle in Garissa.
372070	374410	2340	Hier drin liegen die Körper der 4 al-Shabaab-Kämpfer,
374510	377410	2900	die vor 2 Tagen 148 Menschen getötet hatten.
377580	381570	3990	Sie hat das Massaker überlebt.
381780	384530	2750	2 Tage lang hat sich die Studentin im Schrank versteckt -
384700	388930	4230	erst heute morgen haben Sicherheitskräfte sie gefunden.
389090	394170	5080	Im Schrank habe ich mich mit Kleidern bedeckt.
394280	395850	1570	Und kurz danach
396100	398010	1910	kamen die bewaffneten Männer in unseren Raum.
398159.99999999994	400290	2130	Meine Mitbewohner hatten sich unter dem Bett versteckt.
400420	406290	5870	Die haben sie alle gefunden und ihnen befohlen, hervorzukommen.
406480	411650	5170	Inzwischen hat Kenias Präsident eine 3-tägige Staatstrauer angeordnet.
411830	416570	4740	Nehmen wir uns einen Moment Zeit, um uns an die zu erinnern,
416659.99999999994	418490	1830	die gestorben sind.
418710	421050	2340	Und lasst uns für ewige Ruhe ihrer Seelen beten.
422170	424130	1960	Lasst uns beten für die, die verletzt wurden
424280	428290	4010	und um Trost für die betroffenen Familien.
428550	432010	3460	Soldaten untersuchen noch immer den Ort des Attentats.
432110	434690	2580	Das Massaker an der Universität
434830	437850	3020	ist der bislang verheerendste Anschlag der al-Shabaab-Miliz
438040	441050	3010	in Kenia - und die Gefahr weiterer Anschläge bleibt gross.
443260	445650	2390	Wir bleiben beim Thema islamistischer Terror -
445950	447890	1940	wechseln zur Frage, warum solche Gruppen,
448060	451580	3520	die sich derart barbarisch und brutal verhalten, weiterhin Zulauf erhalten.
451690	454659.99999999994	2970	Es gibt verschiedenste Gründe.
454750	457700	2950	Einer ist sicher die Perspektivlosigkeit. Beispiel:
457909.99999999994	461820	3910	Billigarbeiter aus Usbekistan, Kirgistan und Tadschikistan.
461900	464500	2600	Seit dem Rubelabsturz lohnt es sich für sie nicht mehr,
464610	466700	2090	in Russland zu arbeiten.
466810	468620	1810	Statt nach Hause zu gehen,
468720	471659.99999999994	2940	ziehen viele von Moskau nach Syrien und in den Irak,
471820	475780	3960	verdingen sich als Söldner in den Reihen des Islamischen Staates.
475870	478780	2910	Die Reportage aus Moskau von Christoph Wanner.
480180	482260	2080	Billigarbeiter aus Zentralasien.
482500	486500	4000	Sie schuften in Moskau v.a. als Bauarbeiter und Hauswarte
486650	490660	4010	für Dumpinglöhne: rund 15'000 Rubel im Monat.
490870	497980	7110	Vor dem Währungscrash knapp 400 Euro, heute nur noch 250 Euro.
499910	501940	2030	Ich fahre nach Hause.
502100	504220	2120	Hier macht das alles keinen Sinn mehr.
504350	506500	2150	Zu wenig Geld.
506750	509580	2830	Gedränge vor der Tadschikischen Botschaft in Moskau.
509790	513700.00000000006	3910	Diese Tagelöhner beantragen Ausreisepapiere.
513840.00000000006	518380	4540	Zu Hause, in den muslimisch geprägten Ex-Sowjetrepubliken Tadschikistan,
518559.99999999994	520380	1820	Usbekistan und Kirgistan,
520549.99999999994	525900	5350	wartet auf diese Männer aber auch nur wirtschaftliches Chaos.
526080	529380	3300	Der ideale Nährboden für Schergen des Islamischen Staates,
529490	533500	4010	sagt der Chef des Verbandes der Arbeitsimmigranten.
535180	539820	4640	Viele werden sich als Söldner anwerben lassen
539910	541540	1630	und in Syrien kämpfen.
541720	544380	2660	Sie sehen für sich oft keinen anderen Ausweg.
546400	548500	2100	Bilder vom kirgisischen Fernsehen.
548650	550540	1890	Diese festgenommenen Männer
550750	553220	2470	wurden angeblich von den Terrormilizen des IS angeworben.
553430	556660	3230	Unter ihnen offenbar auch ehemalige Tagelöhner.
556790	561620	4830	Sie sollten als Söldner nach Syrien und in den Irak reisen.
561870	563980	2110	Dort sollen für die radikalen Islamisten
