start	end	duration	text
3330	5160	1830	.
18220	20480	2260	MIT TELETEXT-UNTERTITELUNG
24860	27440	2580	Wie habt ihr euch eigentlich kennengelernt?
27650	30160	2510	Im Restaurant Vieux Chalet in Täsch.
32229.999999999996	35000	2770	Ich war Kunde und sie hat serviert. Hm.
36590	39480	2890	Und dann habe ich mein Interesse signalisiert.
40860	43760	2900	Es ging ziemlich lange, bis ich sie überzeugt hatte.
44810	45080	270	Ja ...
46460	51120	4660	... ich wollte keinen Schweizer Freund haben.
51320	56360	5040	Dann fühle ich mich ein bisschen ... Wie sagt man?
56540	60160	3620	Geteilt zwischen der Schweiz und Portugal.
60930	63560	2630	Aber dann habe ich mich verliebt.
65200	67160	1960	Was kann man da machen?
71240	73360	2120	Cristina und Markus leben in Täsch,
73500	75200	1700	einem Dorf im Oberwallis, das einzigartig ist in der Schweiz.
76910	80520	3610	Hier wohnen mehr Ausländer als Schweizer.
80640	82960.00000000001	2320	Wie ist es, in einem Dorf zu leben,
83160	85080	1920	wo die Schweizer in der Minderheit sind?
85320	89160	3840	Verliert es dadurch seine Identität? Und wer sind die Menschen hier?
89270	90160	890	Davon handelt dieser Film.
93680	95600	1920	Fröhliche portugiesische Musik
97229.99999999999	101240.00000000001	4010	Von den rund 1'500 Einwohnern im Dorf sind 60 % Ausländer -
101340	103520.00000000001	2180	hauptsächlich Portugiesen.
103729.99999999999	105120	1390	Sie leben in Täsch, arbeiten aber vorwiegend im nahe gelegenen Zermatt,
107520.00000000001	112120	4600	wo sie für das reibungslose Funktio- nieren der Tourismusbranche sorgen.
112320	114000	1680	Hinter den Kulissen, versteht sich:
114240.00000000001	117800	3560	als Tellerwäscher, Portiers, Zimmermädchen oder Chauffeure.
118080	120120	2040	Ohne sie würde hier am Fusse des Matterhorns gar nichts gehen.
123450	126760	3310	Ich mache mich auf, dieses Dorf im Wallis kennenzulernen.
126870	128400	1530	Ich will herausfinden,
128600	131880	3280	wie die Menschen hier miteinander leben und auskommen.
132070	135120	3050	Wie funktioniert die Integration, wer passt sich hier wem an?
135530	138440	2910	Tatsächlich höre ich in den Gassen fast nur Portugiesisch
138680	141120	2440	und wäre nicht das Matterhorn in der Nähe,
141260	144520	3260	wähnte ich mich fast schon in einem mediterranen Dorf.
144760	147040	2280	Auf den ersten Blick also alles idyllisch
147160	150120	2960	und in Sachen Integration offenbar auch engagiert.
150890	155000	4110	Doch auf den 2. Blick sieht es bereits etwas anders aus.
161420.00000000003	164079.99999999997	2660	Meine erste Station ist die Täscher Dorfbeiz,
164220	165160	940	ein guter Ausgangspunkt für meinen Streifzug durchs Dorf.
167760	170400	2640	Hinter der Theke arbeiten 2 Portugiesinnen.
170590	173120	2530	Die Kundschaft ist vorwiegend schweizerisch.
173320	176560	3240	Eine der Kellnerinnen ist Cristina Marreiros,
176720	179960	3240	die sich in den Schweizer Markus Ruetsch verliebt hat.
180050	180200	150	Sie lebt seit 3 Jahren im Dorf und fühle sich wohl, meint sie,
183540	186600	3060	auch wenn das Leben hier ganz anders sei als in Portugal.
187890	192200	4310	Das Wetter, das Essen, die Luft, das Meer - es ist alles ganz anders.
192330	194480	2150	Ganz anders.
194580	195160	580	Hier ist es auch schön, aber ... Heimat ist Heimat.
200940	205280	4340	Ich treffe auf das Ehepaar Truffer: Sie leben seit vielen Jahren in Täsch
205470	209360	3890	und haben die gesellschaftlichen Veränderungen hautnah miterlebt.
209500	210160	660	Gesundheit! Gesundheit!
211270	213040	1770	Zum Wohl!
214480	217200	2720	Der ganze Charakter des Dorfes geht kaputt.
218090	222360	4270	Sie haben einfach ... die Oberhand im Dorf übernommen.
222560	225160	2600	Und für ein kleines Dorf ist das nicht gut.
228200	232680	4480	Um Gottes willen, es gibt hier viele Rechte,
232840	234880	2040	und ich will nicht als solche gelten.
235090	236840	1750	Aber es ist einfach ...
236980	239960	2980	Das sind richtige Clans.
240050	240200	150	Das sind ganze Dörfer,
242390	245240	2850	die von Portugal hierherkommen in dieses kleine Dorf -
