start	end	duration	text
4300	5090	790	.
5280	8010	2730	"Die ""Rundschau"" ist zurück. Schön, dass Sie es auch sind."
8100	10130	2030	Das sind heute unsere Themen:
15880	18170	2290	1:1-Untertitelung. Livepassagen können Fehler enthalten.
18340	20650	2310	Ein Anschlag auf Freiheit und Toleranz.
22690	25650	2960	Das Gemeinde-Lotto bei der Einbürgerung.
27470	32780	5310	Der verurteilte Auftragsschütze packt aus.
33870	36340	2470	Guten Abend zum Polit-Magazin, live aus dem Studio 4.
36570	40150	3580	Im Zentrum dieser Sendung stehen die erschütternden Ereignisse von Paris.
40310	42470	2160	Wir bieten Ihnen einen aktuellen Überblick,
42690	45270	2580	schalten an den Ort des Geschehens, versuchen einzuordnen -
45420	49990	4570	mit Anti-Terror-Experten und Vertretern der muslimischen Gemeinde.
50210	54240	4030	Bei uns im Studio ist Mustafa Mehmeti, der Imam von Bern.
54410	56120	1710	Guten Abend. Guten Abend.
56130	58600	2470	Wir sprechen später miteinander.
58760	61120	2360	Zunächst aber fasst Jürg Brandenberger zusammen,
61200	63050	1850	was sich heute gegen 11.30 Uhr
63250	67130	3880	"in der Redaktion des Satiremagazins ""Charlie Hebdo"" abgespielt hat."
68770	71930	3160	Schwarz maskiert und mit Kalaschnikows im Anschlag.
72140	75450	3310	Die Bilder zeigen, wie brutal und zielgerichtet
75700	78010	2310	die Attentäter auf einen Polizisten schiessen,
78120	80850	2730	der Redaktionsmitglieder beschützen sollte.
81060	82490	1430	Er liegt verwundet am Boden.
82700	85090	2390	Ohne zu zögern schiessen sie ihm in den Kopf.
85270	88810	3540	Die Brutalität schockiert selbst erfahrene Ermittler.
92250	95210.00000000001	2960	"""Allah ist gross"" und ""Wir haben den Propheten gerächt""."
95420	97890	2470	Das haben die Attentäter nach dem Anschlag u.a. gerufen,
97990.00000000001	103130	5140	während Menschen aufs Dach flüchten.
105780	108930	3150	Kurz vor Mittag töten die Attentäter 12 Menschen.
109090	112370	3280	"Es sind Redaktionsmitglieder des Satiremagazins ""Charlie Hebdo"""
112479.99999999999	116570	4090	sowie Polizisten. Zahlreiche Mitarbeiter werden verletzt.
116780	119970	3190	Unter den Opfern sind 4 prominente Karikaturisten -
120140	125490	5350	allesamt grosse Namen in Frankreich. Trotz Polizeischutz sind sie tot.
125650	127770	2120	Überlebende und Augenzeugen berichten,
127940	130810	2870	die Täter seien mit militärischer Präzision vorgegangen
131020.00000000001	135170	4150	und hätten gezielt einzelne Journalisten ausgesucht.
135670	141770	6100	Es war extrem brutal. Diese Waffen verursachen einen grossen Schaden.
141980	146570	4590	Es sah nach einem Kommando aus, das einen Auftrag zu erfüllen hatte.
146660	151250	4590	2 Männer, schwer bewaffnet.
151710	156010	4300	Das sind Barbaren. Man muss sie bekämpfen, bis aufs Letzte.
156250	158970	2720	Nicht nur die Behörden - alle Franzosen.
159160	161370	2210	Es ist kein Kampf der Linken, es ist kein Kampf der Rechten.
161510	163690	2180	Frankreich gegen den Islamismus.
164000	167370	3370	"Wir alle sind ""Charlie Hebdo"". Wir alle sind betroffen."
168280	171410	3130	"Der Terroranschlag auf ""Charlie Hebdo"" trifft Frankreich hart."
171620	175890	4270	Präsident Francois Hollande fuhr umgehend zum Tatort.
