start	end	duration	text
4600	6930	2330	.
7130	9450	2320	1:1-Untertitelung. Livepassagen können Fehler enthalten.
16370.000000000002	20730	4360	"Guten Abend und herzlich willkommen bei ""PULS"", heute mit diesen Themen:"
24210	27850	3640	Gegen mutierte Viren schützt die Impfung nur schlecht.
30480	34490	4010	Warum Hormone für viele Frauen doch eine gute Lösung sind.
37280	41170	3890	Weshalb viele Schulgemeinden keinen Schularzt mehr finden.
43850	46170	2320	Die Schweiz erlebt zur Zeit
46320	48810	2490	eine der schwersten Grippensaisons seit Langem,
48970	51530	2560	regelrecht überrollt werden wir von diesen Viren.
51730	56090	4360	Wenn man die Kurve der letzten Jahre betrachtet, sieht man,
56210	65370.00000000001	9160	dass dieses Jahr massiv mehr Grippefälle gezählt werden.
72320	76289.99999999999	3970	Kurz gesagt, es ist seit Langem die grösste Welle
76430	79010	2580	und sie ist noch nicht vorbei.
79210.00000000001	81610	2400	Die Zahlen sind immer noch im Steigen begriffen.
81750	84289.99999999999	2540	Wir sind nicht die einzigen, die sich fragen, woran das liegt.
85440	88490	3050	Nur von aussen dürfen wir zusehen, was drinnen vor sich geht,
88570	91410	2840	denn auf der Isolierstation ist derzeit Vollschutz angesagt
91490	93930	2440	und alle Betten sind belegt.
94130	96770.00000000001	2640	Täglich kommen neue Grippekranke dazu.
99180	101770.00000000001	2590	Das Spital und v.a. die Notfallambulanz
101880	106770.00000000001	4890	werden überrannt mit Grippefällen.
107009.99999999999	109170	2160	Wir machen die Diagnostik für das Unispital Basel,
109280	111520.00000000001	2240	weshalb wir sehr viel zu tun haben im Moment.
111759.99999999999	116039.99999999999	4280	Wir haben zur Zeit rund 30 Grippe- proben, die wir täglich untersuchen.
116170	119280	3110	Mit einem Schnelltest lässt sich innerhalb einer Stunde
119370	121800	2430	das Grippevirus nachweisen.
121970	125920	3950	Derzeit werden die Mediziner praktisch in jedem Fall fündig.
126810	129680	2870	Es gibt verschiedene Influenzaviren.
129889.99999999999	133800	3910	Im Moment können wir v.a. das Influenzavirus A nachweisen,
133970	139000	5030	und im Speziellen ein Subtyp, das sog. H3N2-Virus,
139090	143920.00000000003	4830	wogegen die Grippeimpfung dieses Jahr nicht gut wirkt.
144020	147040	3020	Das ist auch das, was wir finden.
147220	150040	2820	Dass die Impfung in der Schweiz in diesem Jahr kaum schützt,
150130	152360	2230	ist längst nichts Neues mehr.
