start	end	duration	text
1160	2580	1420	.
2830	6420	3590	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6580	9420	2840	"Die ""Tagesschau"", meine Damen und Herren, guten Abend!"
9560	11540	1980	Heute mit diesen Themen:
12960	15220	2260	Präsident und Parlament
15320	18740	3420	erfüllen wesentliche Forderungen der ukrainischen Opposition.
20110	25780	5670	Schweizer werfen pro Kopf und Jahr 31 kg Lebensmittel in den Abfall.
27790	30260	2470	Swiss Olympic reist mit grossen Zielen
30450	33900	3450	und einer Rekord-Delegation nach Sotschi.
35130	38940	3810	Im Westen und Süden beginnt es zu schneien.
40610	43140	2530	Seit Wochen ist die politische Situation in der Ukraine
43270	45380	2110	vertrackt und verfahren.
45590	48460	2870	Jetzt aber, so scheint es, kommt Bewegung in die Sache.
48630	50980	2350	Die politische Führung um Präsident Janukowytsch
51180	54060	2880	macht einen Schritt auf die Opposition zu:
54240	57620	3380	Das Parlament nahm die Verschärfunge im Demonstrationsrecht zurück.
57840	62340	4500	Ausserdem ist Ministerpräsident Asarow zurückgetreten.
62510	65459.99999999999	2950	Damit gibt sich die Opposition aber nicht zufrieden.
67580	69940	2360	Unmittelbar nach der Sondersitzung des Parlament
70160	72860	2700	äusserte sich Oppositionsführer Vitali Klitschko
72960.00000000001	75660	2700	vorsichtig optimistisch:
76510	77980	1470	Es ist ein positives Signal,
78140	80700	2560	dass das Parlament die Verschärfung des Demonstrationsrechts
80830	82900	2070	wieder zurückgenommen hat.
83000	85020	2020	Es ist ein erster Schritt, nicht mehr.
85150	86500	1350	Jetzt müssen aber auch
86680	89580	2900	alle festgenommenen Demonstranten freigelassen werden.
92160	94420	2260	Die oberste Rada, das Parlament,
94490.00000000001	96940	2450	hat die umstrittenen Demonstrationsgesetze zuvor
97050	99340	2290	mit grosser Mehrheit zurückgezogen.
99550	101979.99999999999	2430	Diese repressiven Gesetze hatte das Parlament nämlich
102140	106580	4440	erst Mitte Januar im Eilverfahren und ohne Debatte durchgepeitscht.
106740.00000000001	110580	3840	Am Nachmittag nahm der scheidende Ministerpräsident Mykola Asarow
110729.99999999999	114820	4090	seine Entlassungsurkunde von Prä- sident Viktor Janukowytsch entgegen.
