start	end	duration	text
2470	4230	1760	.
16040	18350	2310	MIT TELETEXT-UNTERTITELUNG
20000	23150	3150	Es geschah an einem Dienstag um 12.45 Uhr
23270	24790	1520	in einem Aussenquartier von Zürich.
25630	28070	2440	Ahmet Y. war mit seinem Vater unterwegs.
28270	30670	2400	Plötzlich tauchte ein anderer Jugendlicher auf.
30880	35230	4350	Es kam zu gegenseitigen Pöbeleien, dann eskalierte die Situation.
35340	37270	1930	Da vorne.
38270	39830	1560	Er kam von hinten und stach mir 2-mal in den Rücken.
41200	44750	3550	Dann nahm er sein Trottinett und haute in diese Richtung ab.
45610	49350	3740	Dass er dem Verblutungstod oder einer Querschnittlähmung entging,
49570	53150	3580	war laut dem Rechtsmedizinischen Institut Zürich reiner Zufall.
54440	54830	390	2 Jahre später sieht er denjenigen, der ihn fast umgebracht hätte,
58130	60110	1980	im Fernsehen wieder:
60240	63190	2950	Carlos ist mittlerweile in einem sog. Sondersetting,
63330	67110	3780	bestehend aus Thaiboxunterricht, einer 4-1/2-Zimmer-Wohnung
67280	69789.99999999999	2510	und Privatlehrer für 29'000 Fr. pro Monat.
71240	74230	2990	Was dachten Sie, als Sie von diesem Sondersetting hörten?
74330	75870	1540	Ich war schockiert.
76050	78350	2300	Ich konnte eine Woche nicht richtig schlafen.
78450	80270	1820	Ich konnte es nicht glauben.
82520	84789.99999999999	2270	Der Fall Carlos erhitzt seit Tagen die Gemüter bis zum Siedepunkt.
86640	88590	1950	Bedrohliche Musik
90240	92150	1910	Fassungslosigkeit.
93700	95229.99999999999	1530	V.a. auch über den,
95430	99830	4400	der dieses Sondersetting angeordnet hat: Jugendanwalt Hansueli Gürber.
101900	104950	3050	Denken Sie, wenn Carlos eines Ihrer Kinder erstochen hätte,
105140	107150	2010	hätten Sie es immer noch gut gefunden,
107280	109590	2310	so jemanden in ein Sondersetting zu stecken?
111050	113830	2780	Ja, hätte ich, aber ich bin ein Spezialfall.
113920	114830	910	Ich bin schon zu lange dabei.
121570	125360	3790	In den Knast. Ins Gefängnis. Mindestens für ein paar Jahre.
125520	129840	4320	Er hat mich halb getötet. Ich bin gestorben und zurückgekommen.
130169.99999999999	132080	1910	Das ist ...
132240	135320	3080	Dass er thaiboxen kann, soll seine Strafe sein?
135380	137400	2020	Das ist doch nicht normal.
137840	139800	1960	Düstere Musik
157540	159840	2300	Ein Jahr lang schwieg Hansueli Gürber - unfreiwillig.
163260	166640	3380	Seine Vorgesetzten hatten ihm einen Maulkorb verpasst.
167120	170140	3020	"Gegenüber ""DOK"" nimmt er nun erstmals Stellung."
171000	173180	2180	Herr Gürber, es ist fast ein Jahr vergangen,
173370	174860	1490	seit der Film lief. Wie geht es Ihnen heute?
177130	179660	2530	Mir gehts gut. Ich bin jetzt pensioniert.
179820	181780	1960	Ich habe nach 40 Jahren
