start	end	duration	text
4560	12190	7630	1:1-Untertitelung
12150	15590	3440	"Der ""Club"", heute mit Thomy Scherrer."
15570	18990	3420	Einen schönen guten Abend und herzlich willkommen bei uns.
18950	21910	2960	Das Jahr ist noch jung, aber bei den meisten von uns
21870	24630	2760	dreht es sich schon wieder: das Hamsterrad.
24620	27630	3010	Wer kennt es nicht: Job, Familie, Freizeit - alles muss perfekt sein,
27590	29910	2320	alles muss wie geschmiert laufen.
29870	33270	3400	Und deswegen rennen und hetzen wir und geben Gas -
33260	37270	4010	angetrieben vom eigenen Ehrgeiz, wegen einer Konkurrenzsituation
37230	40350	3120	oder auch, weil wir gar keine andere Wahl haben.
40310	44510	4200	Wir rennen bis zur Leistungsgrenze und darüber hinaus.
44500	46750	2250	Im Gegensatz übrigens zum Hamster,
46710	49270	2560	der dann aufhört, wenn er genug Bewegung hatte.
49260	53070	3810	Raus aus dem Hamsterrad - darüber machen wir uns Gedanken
53030	56270	3240	heute Abend, denn gesund ist es nicht.
56260	58550	2290	Und die Folgen kosten uns Milliarden.
58510	61190	2680	Ich freue mich sehr, Ihnen zu Hause
61160	64590	3430	Christoph Trummer vorstellen zu können.
64569.99999999999	67750	3180	Der Armutsphilosoph und Eremit lebt seit 25 Jahren den Sommer über
67710	70310	2600	in einer Hütte im Flussbett der Engstlige,
70280	73190	2910	in der Nähe von Fruttigen/BE.
73180	76550	3370	Dort hat er sich aus Schwemmholz eine Hütte gebaut.
76520	80110	3590	In Sachen Komfort und Wohlstand sei unsere Gesellschaft zwar
80100	82390	2290	auf dem Mount Everest angekommen,
82350	86270	3920	die Luft dort oben sei aber zu dünn, um zu leben, sagt er.
86240	89910	3670	Ebenfalls herzlich willkommen: Dieter Kissling, Arbeitsmediziner.
89870	93190	3320	V.a. Menschen mit einem hohen Pflichtbewusstsein
93150	97390	4240	und Verantwortungsgefühl geraten häufig in dieses Hamsterrad.
97370	101150	3780	Ist man zu lange drin, leidet die Gesundheit,
101140	103750	2610	ist man noch länger drin, läuft man in ein Burn-out,
103729.99999999999	105870	2140	und dann geht gar nichts mehr.
105840	109150	3310	Ebenfalls herzlich willkommen bei uns: Käthi Kaufmann-Eggler,
109110	113550	4440	Präsidentin der IG Familie 3plus und selber Mutter von fünf Kindern.
113539.99999999999	116789.99999999999	3250	Sie kennt viele Familien mit mehr als drei Kindern,
116759.99999999999	121350	4590	die nicht mehr aus diesem Hamsterrad herauskommen und darunter leiden.
121310	125190	3880	Diesen muss man helfen, und deshalb engagiert sie sich.
125170	127630	2460	Fridolin Schwitter, ebenfalls herzlich willkommen bei uns.
127600	132440	4840	Das Leben im Hamsterrad oder im goldenen Käfig
132410	134520	2110	ist für ihn keine Option.
134510	137920.00000000003	3410	Der ehemalige Wirtschaftsförderer der Stadt Luzern hat sich mit 45
137910	141000	3090	für ein Leben als Kapuzinermönch auf Zeit entschieden.
140970	145400	4430	Ein einfaches, aber reiches Leben.
145390	148360	2970	Auch bei uns mit dabei, und das freut mich sehr:
148350	151720	3370	die alt Nationalrätin der Grünen und aktuelle Präsidentin des VPOD -
151680	154520	2840	des Verbands des Personals öffentlicher Dienste,
154500	156920.00000000003	2420	das ist Katharina Prelicz-Huber.
156910	161040	4130	Viele schlecht bezahlte Menschen stecken in diesem Hamsterrad fest,
161030	165160	4130	sie werden ausgepresst wie Zitronen, und deswegen sieht sie v.a.
165120	167240	2120	die Arbeitgeber in der Pflicht,
167200	170800	3600	ihre Angestellten besser oder nachhaltiger zu behandeln.
