start	end	duration	text
2210	4800	2590	.
4950	10200	5250	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14710	17250	2540	Guten Abend miteinander.
17450	19190	1740	"Das ist ""Schweiz aktuell"". Und das sind heute unsere Themen:"
20660	23070	2410	Heftige Regenfälle haben im Tessin Schäden verursacht.
23260	26030	2770	Und der Wasserpegel steigt noch immer.
26140	30230	4090	Autofahrer erhalten in Biel ab jetzt gratis ein Velo- und ÖV-Abo,
30410	34190	3780	wenn sie dafür ihr Auto stehen lassen.
34450	39910	5460	"""Schweiz aktuell"" berichtet aus der grössten Polizeischule"
40020	41630	1610	der Schweiz im luzernischen Hitzkirch
41780	45870	4090	und begleitet 4 Aspirantinnen und Aspiranten
46060	47910	1850	bei ihrer knallharten Ausbildung.
49060	50710	1650	Im Tessin gab es letzte Nacht wieder heftige Regenfälle.
50870	53190	2320	Besonders stark traf es die Regionen um Bellinzona und Locarno.
53450	56230	2780	In Locarno sind in den letzten 24 Std.
56460	60030	3570	140 mm Regen pro Quadratmeter gefallen.
60290	62200	1910	Wegen starkem Regen kam auf der Bahnstrecke
62350	65319.99999999999	2970	zwischen Bellinzona und Mailand ein Hang ins Rutschen
65410	67240	1830	und beschädigte die Bahnstrecke.
69490	71720	2230	Die Bahnlinie S30 ist betroffen.
71940	74080	2140	Die Strecke zwischen Magadino-Vira und dem italienischen Luino
74220	76000	1780	bleibt darum noch bis heute Abend gesperrt.
76180	78800	2620	Es fahren Ersatzbusse.
79050	82160	3110	Auch in den verschiedenen anderen Ortschaften wie hier in Gambarogno
82380	85960.00000000001	3580	kam es wegen des Regens zu Erdrutschen.
86240	89320	3080	Grössere Verkehrsbedingungen gab es aber nirgends.
89530	92680	3150	Es regnete heute Nacht in verschie- denen Gebieten bis zu 100 l Wasser.
92850	95800	2950	Das ist auch für den Kanton Tessin viel.
95940	101200	5260	Im Verlaufe des Abends soll es noch mehr Regen geben.
101360	104440	3080	Besonders stark betroffen vom Niederschlag
104680	107410	2730	ist das Gebiet zwischen dem unteren Maggiatal und Locarno.
107620	109970	2350	Hier gilt die zweithöchste Unwetter-Gefahrenstufe.
110259.99999999999	113850	3590	Die intensivsten Regenfälle erwartet SRF Meteo im Verlaufe des Abends.
114020.00000000001	118130	4110	Auch andere Tessiner Flüsse führen gefährlich viel Wasser.
118310	123130	4820	Am Ticino in der Magadino-Ebene ist die Hochwassergefahr erheblich.
123280	127090	3810	Auch hier bleibt die Situation bis in die Nacht kritisch.
127270	130090	2820	Laut SRF Meteo bessert sich das Wetter erst gegen Morgen.
130210.00000000001	133290	3080	Dann soll es deutlich weniger regnen.
135050	136850	1800	Den Autoschlüssel abgeben
137040	141530	4490	und dafür gratis ein Bus-Abo und ein Velo-Abo erhalten.
141720	143970	2250	Mit dieser Massnahme will die Stadt Biel Autofahrer dazu bringen,
144130	147490	3360	dass sie auf den öffentlichen Verkehr umsteigen
147570	150090	2520	und so die Luftqualität verbessern.
150380	152410	2030	Ab heute können die Bewohner der Stadt Biel, die ein Auto haben,
152520	154690	2170	von dem Angebot profitieren.
154780	156690	1910	Der Bericht von Christof Schneider.
157890	159490	1600	Feinstaub und Ozonwerte in der Stadt Biel
159740	161650	1910	sind regelmässig zu hoch, die Luft ungesund.
161829.99999999997	164210	2380	Umsteigen auf die ÖV oder auf das Velo
164380	166250	1870	lautet darum ab heute die Devise in Biel.
166320	168490	2170	Wer ein Auto hat, kann die Schlüssel für einen Monat
168680	171850	3170	bei der Stadt abgeben und bekommt dafür gratis ein Bus- und Velo-Abo.
172060	174530	2470	Die Bau- und Umweltdirektorin Barbara Schwickert
174690	179130	4440	hat heute die Massnahmen und Ziele vorgestellt.
179320	181570	2250	Das Ziel ist auch eine Verbesserung der Luftqualität,
181680	184850	3170	dadurch dass man auch gerade für kürzere Distanzen
185060	188130	3070	das Velo oder den Bus nimmt und da- mit die Umwelt und die Luft schont.
188380	192010	3630	Insgesamt 50 gratis Bus- und Velo-Abos
192170	194530	2360	stellt die Stadt zur Verfügung, mehr nicht.
194610	196170.00000000003	1560	Da stellt sich die Frage,
196360	198610	2250	ob das für die Verbesserung der Luftqualität überhaupt etwas bringt.
198820	203090	4270	Es geht insbesondere um die Sensibilisierung,
203170.00000000003	205050	1880	also zu zeigen, dass es möglich ist.
205210	207490	2280	Selbstverständlich wären wir froh, wenn es dann noch mehr sind,
207740	210010	2270	"die denken: ""Aha, ich habe zwar kein solches Abo,"
210210	212890	2680	aber muss ich heute tatsächlich in die Stadt mit dem Auto
212990	217890	4900	"oder kann ich einmal die Verkehrsbetriebe nehmen?"""
217980	221130	3150	Diesen Effekt soll es ja auch haben, dass man sich einfach bewusster ist,
221250	224370	3120	welches Verkehrsmittel man wählt.
224620	226810	2190	Die Autoschlüssel abgeben für ein gratis Bus- und Velo-Abo:
227020	231890	4870	Die Idee kommt bei den Bieler- Autofahrer unterschiedlich an.
232040	236210	4170	Ich habe etwas blöde Verbindungen, daher wäre es etwas unangenehm,
236370	238530	2160	arbeiten zu gehen mit dem Bus oder dem Zug.
238710	242330	3620	Ich habe selbst ein Velo. Ich brauche das Auto nur für Transporte.
242470	246810	4340	Die könnte ich nachher nicht mehr machen.
247020	248770	1750	Das geht nicht mit dem Bus.
248940	250850	1910	Es ist natürlich eine sehr gute Idee.
250970	252450	1480	Das macht einem gerade Lust drauf.
252580	255490	2910	Sie können sich das einmonatige Verzichten aber nicht vorstellen?
255680	260250	4570	Beruflich - ich bin im ganzen Kanton unterwegs, ich fahre zu den Bauern.
260350.00000000003	264380	4030	Das ist schwierig umzusetzen.
264490	266860	2370	Ich habe auch ein Auto und ich kann mir das vorstellen.
267010	269540	2530	Gerade in der Stadt ist es sowieso besser.
269790	272740	2950	Die Stadt kontrolliert nicht, ob Autofahrer,
272820	276580	3760	die den Schlüssel abgeben, tatsächlich nicht autofahren.
276670	278420	1750	Da gehen wir vom Vertrauen aus.
278620	281020	2400	Wenn sich jemand interessiert für die Aktion und auch von der Stadt
281159.99999999994	286220	5060	diese Abos bezahlt werden, dass man auch auf das eigene Auto verzichtet.
286320	290260	3940	Die ganze Massnahme kostet die Stadt Biel knapp 4'000 Fr.
290380	291900	1520	Wenn es ein Erfolg wird, kann es gut sein,
292050	295220	3170	dass die Stadt die Tauschaktion ein 2. Mal durchführt.
298370	301460	3090	Wer in der Schweiz Polizistin oder Polizist werden möchte,
301640	304380	2740	für den gibt es 8 verschiedene Ausbildungsstandorte.
304590	307180	2590	Eine Schule für die Kantone Zürich und Glarus im Kanton Zürich,
307250	309020	1770	eine in der Ostschweiz, eine im Tessin und
309110	312420	3310	4 Schulen in der Westschweiz.
312510	316780	4270	Die grösste Polizeischule der Schweiz seht aber in Hitzkirch/LU.
316900	320540	3640	11 Kantone schicken ihre Polizei- schüler dorthin in die Ausbildung.
320740	325540	4800	"""Schweiz aktuell"" ist die ganze Woche Gast in der Polizeischule und zeigt,"
325700	328260	2560	was es braucht, um Polizist zu werden.
328380	331900	3520	Ein Jahr lang begleiteten wir 4 Aspirantinnen und Aspiranten
332050	333340.00000000006	1290	während der Ausbildung.
333470	336100	2630	Am Freitag wartet die Vereidigung,
336300	338340.00000000006	2040	wenn sie alle Bewährungsproben bestehen.
338460	340500	2040	Aber es braucht Ausdauer bis zum Schluss.
340610	342940	2330	Auch um 19 Uhr, Sabine Dahinden.
343080	347420	4340	In Hitzkirch wird nämlich immer noch trainiert.
348250	352340.00000000006	4090	Wir untertiteln live:
354130	356180	2050	es wird noch trainiert um 19:00 Uhr manchmal.
356270	358220	1950	Auch wenn es regnet.
360460	362380	1920	Hier wird eine Situation nachgestellt.
367820	371060	3240	Eine Situation ist zur Fahndung ausgeschrieben und sie wird an der
371180	372140	960	Tankstelle verhaftet.
372300	374260	1960	Sind seit 7 Monaten in der Polizeischule.
374510	376420	1910	Was ist schwierig an dieser Übung?
379300	381740	2440	Hat diese Person gefährliche Gegend stutzte dabei?
382870	384740	1870	Man muss sich selber schützen.
