start	end	duration	text
2410	5560	3150	.
5690	15080	9390	1:1-Untertitelung
15080	17280	2200	Buna sera.
17580	20320	2740	"Herzlich willkommen zu ""Schweiz aktuell"" am Donnerstag, dem 3. März."
20440	22760	2320	Das sind die Themen von heute:
23730	25760	2030	Der Zigarettenschmuggel am Flughafen Zürich
25930	28280	2350	hat sich im letzten Jahr mehr als verdoppelt.
28390	30520	2130	Die Kuriere kommen teilweise
30660	32720	2060	mit mehreren Koffern Zigaretten in die Schweiz.
33740	37160	3420	Um Hochwasserschäden zu verhindern,
37280	39840	2560	will der Kanton Luzern das Flussbett der Reuss verbreitern.
39930	43520	3590	Die Bauern wehren sich gegen das 170-Mio.-Projekt,
43620	46480	2860	das ihnen viel Land wegnehmen würde.
47440	52320	4880	Häftlinge dürfen im Gefängnis kein Internet haben.
52490	56240	3750	Um illegale Zugriffe zu verhindern und aufzudecken
56420	59160	2740	gibt's im Gefängnis Lenzburg ein neues Überwachungssystem -
59410	61840	2430	das erste dieser Art in der Schweiz.
63430	66800	3370	Heute Morgen hat die Polizei bei einer Personenkontrolle in Basel
66890	69120	2230	sechs abgewiesene Asylbewerber
69220	73160	3940	und zwei weitere Ausländer ohne gültige Papiere festgenommen.
73300	78560	5260	Die Kontrolle fand in der Matthäus- kirche mitten in Kleinbasel statt.
78650	81400	2750	Seit einem Monat haben ein Teil der Verhafteten
81500	83960.00000000001	2460	zusammen mit einer Aktivistengruppe
84120	86080	1960	das Kellergeschoss der Kirche besetzt.
86110	88200	2090	Dies mit der Begründung,
88320	91039.99999999999	2720	dass die Kirche den verfolgten Menschen Asylrecht gewähren müsse.
91130	93640	2510	Aus Basel, Michael Keller.
94490.00000000001	99280	4790	Ein Dutzend Zivilpolizisten und vier Leute vom Migrationsamt
99450	102680	3230	tauchten heute Morgen um 8.30 Uhr in den Kirchenräumen auf
102840	105520.00000000001	2680	und haben alle elf anwesenden Personen kontrolliert
105610	107520.00000000001	1910	und Fingerabdrücke genommen.
107729.99999999999	109720	1990	Acht Personen,
109880	112280	2400	die meisten davon abgewiesene Asyl- bewerber mit afrikanischen Wurzeln,
112360	114520.00000000001	2160	hat die Polizei daraufhin festgenommen,
114640	116979.99999999999	2340	weil sie alle keine gültigen Papiere hatten.
117160	120140	2980	Die mehrheitlich jungen Aktivisten, die ihre Namen nicht nennen wollen,
120200	123140	2940	wollten mit der Besetzung
123370	125620	2250	die Asylbewerber vor der Rücklieferung nach Italien schützen,
125720	127700	1980	die unmittelbar bevorstand.
127840	130100	2260	Mit diesem Ziel sind sie nach knapp einem Monat gescheitert.
130199.99999999999	132340	2140	Für uns ist es wirklich schlimm,
132500	134500	2000	dass unsere Freunde jetzt ausgeschafft werden
134700	136780	2080	und an einen Ort kommen, an dem sie nicht sein wollen.
136920.00000000003	139420.00000000003	2500	Daher ist es sicher gescheitert.
139620	141820	2200	In diesem Monat war es doch schön zu erleben,
142050	144220	2170	dass sich sehr viele Leute angeschlossen haben.
144310	146500	2190	Es gab viel Solidarität.
146650	149620	2970	Ganz viele Leute haben das Anliegen unterstützt.
149750	151780	2030	Die Aktivisten haben gehofft,
151960	154140	2180	dass sich die Kirchenleitung auf ihre Seite schlagen würde
154230	156380	2150	und die Strafverfolgungsbehörde
156520	159060	2540	nicht in die Kirchenräume eindringen würde.
159160	161860	2700	Diese Hoffnungen wurden jetzt aber zerschlagen.
162050	165060	3010	Den Auftrag zur Personenkontrolle und die Festnahme in den Kirchenräumen
165270	168660	3390	gab der Leiter vom kantonalen Migrationsamt, Michel Girard.
168890	172180	3290	Er sagt, dass seine Behörde keinen Spielraum gehabt hätte.
172280	174540	2260	Die Kirche ist ein spezieller Ort,
174770	179220	4450	aber für unseren Auftrag als Strafermittlungsbehörde
179360	181860	2500	spielt das keine Rolle.
182090	185700	3610	Bei jedem Hinweis mit konkreten Angaben
185930	188260	2330	gehen wir in jede Räumlichkeit hinein.
188490	191380	2890	Die sechs abgewiesenen Asylbewerber sind bereits zurück in den Kantonen,
191560	194380	2820	in denen sie vor der Besetzung gewohnt haben
194470	196620	2150	und werden nach Italien zurückgeschafft,
196850	198900	2050	weil sie dort schon einmal registriert wurden.
199040	201180	2140	Bei den beiden anderen Personen, die in Haft sind,
201329.99999999997	205060	3730	laufen laut dem Migrationsamt noch weitere Abklärungen.
205040	208420.00000000003	3380	Der Kirchenrat will die Kontrolle des Migrationsamtes nicht kommentieren.
208390	210860	2470	Und wie wir kurz vor der Sendung erfahren haben,
210850	213700	2850	läuft im Moment in Kleinbasel eine Demonstration mit Leuten,
