start	end	duration	text
1310	3350	2040	.
3510	7910	4400	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8090	11270	3180	Reichen knapp 1'000 Fr. im Monat, um über die Runden zu kommen?
11410	13630	2220	Das ist mehr als genug, sagen die einen.
13820	16149.999999999998	2330	Nein, das reicht nicht, sagt die SKOS,
16320	18550	2230	die Schweizerische Konferenz für Sozialhilfe.
18740	22150	3410	Sie möchte den Grundbedarf erhöhen. Ist das sinnvoll?
22260	24910	2650	Die Geschäftsführerin der SKOS Dorothee Guggisberg
24960	27190	2230	stellt sich den kritischen Fragen hier im Studio
27240	29190	1950	im Rahmen unseres Fokus.
29370	31150	1780	Guten Abend.
32710	35710	3000	Die SKOS will den Grundbedarf für Sozialhilfeempfänger erhöhen.
39300	42430	3130	Warum uns die Finnen beim Atommüllendlagerbau
42520	44430	1910	um Jahrzehnte voraus sind.
49170	52670	3500	Wie wichtig sind historische Jubiläen für die moderne Schweiz?
55210	57390	2180	Wohin mit radioaktivem Abfall?
57540	59670	2130	Über diese heisse Frage wird hierzulande
59880	61990	2110	schon seit 40 Jahren gestritten.
62160	64430.00000000001	2270	Allen ist klar: Es braucht einen Standort,
64599.99999999999	67310	2710	wo das heikle Material langfristig und sicher gelagert werden kann.
67500	71510	4010	Nur: bei sich bzw. unter sich will den giftigen Müll niemand.
71670	75390	3720	Heute ist man in diesem langwierigen Prozess einen Schritt weitergekommen.
75600	77910	2310	Die Nagra, die Nationale Genossenschaft
78130	80150	2020	für die Lagerung radioaktiver Abfälle,
80360	82630	2270	hat die möglichen Standorte reduziert.
82740	87070	4330	Von den ursprünglichen 6 Standorten,
87260	89110	1850	die gemäss Nagra die Sicherheits-auflagen erfüllen,
90320	93990.00000000001	3670	sind noch 2 Standorte im Rennen, nämlich Jura Ost und Zürich Nordost.
94120	96190	2070	Warum gerade diese 2?
96300	98430	2130	Zu den Gründen Thomas Ernst,
98650	101350	2700	er ist Vorsitzender der Geschäftsleitung bei Nagra:
101509.99999999999	103870	2360	Die undurchlässigen Gesteinsschichten,
104130	106390	2260	die die radioaktiven Abfälle sicher einschliessen,
106550	110270.00000000001	3720	liegen dort in optimaler Tiefe, sind gegen Erosion geschützt,
110390	114910	4520	langfristig stabil und bieten genügend Platz.
115130	118950	3820	Den Entscheid der Nagra, schon jetzt auf nur 2 Standorte zu fokussieren,
119170	122110	2940	verstehen die betroffenen Kantone nicht.
124060	127710	3650	Nach 7 Jahren Arbeit und über 15'000 Seiten Papier hat die Nagra
127860	130830.00000000001	2970	einen ersten Vorentscheid für die neuen Tiefenlager gefällt.
131009.99999999999	137190	6180	Und sorgt damit bei den betroffenen Kantonen für Irritation:
137380	139630	2250	Wir sind erstaunt, weil unsere Fachleute,
139730	142350	2620	die mit der Nagra in Kontakt sind, davon ausgegangen sind,
142450	145950	3500	dass es einen 4-er-Vorschlag gibt.
146170.00000000003	149310	3140	Doch weder der Kanton Zürich noch der Kanton Aargau
149450	152750	3300	wollen den radioaktiven Abfall bei sich aufnehmen:
152860	157470	4610	Wir haben immer gesagt, dass wir im Kanton Aargau kein Endlager wollen.
157600	159720	2120	Wir haben viele Lasten, die wir tragen,
159930	162680	2750	z.B. das Zwischenlager ZWILAG in Würenlingen.
162860	165200	2340	Obschon die Vorschläge nun auf dem Tisch liegen,
165300	170400	5100	will der Bundesrat frühestens 2027 definitiv entscheiden:
