start	end	duration	text
1500	3090	1590	.
3210	5890	2680	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7040	9090	2050	Guten Abend, meine Damen und Herren.
9170	11090	1920	"Hier ist die ""Tagesschau"", und das sind die Themen heute Mittwoch:"
12420	15930	3510	Eine Expertengruppe des Bundes findet keine Hinweise
16070	19770	3700	auf ein Stillhalteabkommen zwischen der Schweiz und der PLO.
22240	26170	3930	Städte und Gemeinden fordern mehr Mitsprache
26200	29970	3770	bei der Pflegefinanzierung.
31130	34130	3000	Die Amtsenthebung von Brasiliens Staatschefin Rousseff
34290	37170	2880	dürfte heute vom Senat eingeleitet werden.
39600	45290	5690	Das Filmfestival in Cannes beginnt mit dem Stadtneurotiker aus New York.
46960	50090	3130	Aber nicht immer nass.
51510	53810	2300	Hat die Schweiz
53960	57730	3770	mit der Palästinensischen Befreiungsorganisation PLO
57920	60050	2130	ein geheimes Stillhalteabkommen abgeschlossen?
60220	62730	2510	"Der ""NZZ""-Journalist Marcel Gyr kam nach Recherchen zum Schluss:"
62840	65090	2250	vermutlich Ja.
65290.00000000001	68050	2760	"""Klar Nein"", entgegnet nun eine Arbeitsgruppe des Bundes."
68130	71650	3520	Es gebe keine Hinweise auf so ein Abkommen Anfang der 70er-Jahre.
71780	74610	2830	Keine Hinweise darauf,
74710.00000000001	77170	2460	dass der damalige Bundesrat Pierre Graber
77370	79810	2440	sich mit der PLO arrangiert habe. Hans-Peter Forster.
81170	85289.99999999999	4120	Der Bombenanschlag auf eine Swissair-Maschine bei Würenlingen,
85530	88810	3280	die Entführung und Sprengung eines Swissair-Flugzeugs
89050	91170	2120	in der jordanischen Wüste - Anfang der 70er geriet die Schweiz
91400	94210.00000000001	2810	ins Visier des palästinensischen Terrors.
94450	96810	2360	Darum soll der damalige Bundesrat Pierre Graber
96960.00000000001	100330	3370	einen Geheimdeal mit den Palästinensern ausgehandelt haben:
100410	102370	1960	Die PLO verzichtet auf weitere Anschläge
102570	104890	2320	und erhält dafür eine diplomatische Vertretung in Genf -
105060	107250	2190	"das zumindest schreibt der ""NZZ""-Journalist Marcel Gyr"
107360	109490.00000000001	2130	in einem vielbeachteten Buch.
109650	112090	2440	Ein umfangreicher Bericht, den der Bundesrat in Auftrag gab
112270.00000000001	117330	5060	und der heute veröffentlicht wurde, kommt zu einem anderen Schluss.
117530	121490	3960	Die Arbeitsgruppe hat alle schriftlichen Quellen
121660	123730	2070	und Zeugen, die es noch gibt, angeschaut, studiert,
123900	127170	3270	und ist zum Schluss gekommen, dass es keine Hinweise gibt,
127340	130889.99999999999	3550	die ein solches Geheimabkommen bestätigen würden.
130970	135090	4120	Für Ex-Nationalrat Jean Ziegler,
135270	138329.99999999997	3060	der in den 70er-Jahren die Kontakte zwischen der Schweiz und der PLO
138410	140970	2560	hergestellt haben will,
141160	143290	2130	ist der Bericht der Arbeitsgruppe völlig unglaubwürdig -
143400	145010	1610	aus zwei Gründen:
145180	147329.99999999997	2150	Einerseits sind die Archive der Bundespolizei aus den 70er-Jahren
147530	150050	2520	und damit der Geheimdienste nicht geöffnet worden.
150170.00000000003	152490	2320	Und zweitens hat diese Arbeitsgruppe
152640	156610	3970	die Beteiligten an der Auseinandersetzung
156760	160250	3490	nicht vorgeladen und nicht befragt.
160430	163810	3380	Auch Buchautor Marcel Gyr betont in einer schriftlichen Stellungnahme,
164070	168170.00000000003	4100	dass weder er noch andere prominente Zeitzeugen
168290	170970	2680	von der Arbeitsgruppe vorgeladen wurden.
171050	173410	2360	"""Angesichts meiner breit abgestützten Quellenlage"
173500	175610	2110	"halte ich an meiner These fest"", schreibt Gyr."
175780	178370	2590	Das Verhalten der offiziellen Schweiz in den Jahren des Terrors
178520	180730	2210	bleibt also vorläufig strittig -
180870	183690	2820	als nächstes befasst sich nun die Geschäftsprüfungskommission
183850	185850	2000	des Parlaments mit dem heiklen Thema.
187230	189730	2500	Es wäre ein Novum in der neueren Geschichte der Schweiz:
189860	192650	2790	Das Staatssekretariat für Migration
192850	195690	2840	will einem schweizerisch- italienischen Doppelbürger
195840	198329.99999999997	2490	den Schweizer Pass entziehen, wenn dieser sich nicht
198570	201090	2520	binnen einer bestimmten Frist bei den Schweizer Behörden meldet.
201300	203570	2270	Der 19-Jährige wird verdächtigt,
203720	207130	3410	sich in Syrien einer Terror- organisation angeschlossen zu haben.
207230	210050	2820	Unklar ist, wo er sich aufhält und ob er überhaupt noch lebt.
210130	212130	2000	Joel Baumann:
214450	216810	2360	Schweizer im Kampfgebiet - den roten Pass im Sack.
216980	220130	3150	Der Nachrichtendienst geht von rund 50 Schweizer Dschihad-Reisenden aus.
220240	222690	2450	Darunter womöglich auch
222930	225530	2600	der 19-jährige schweizerisch- italienische Doppelbürger,
225730	227690	1960	geboren nahe Zürich.
227860	230450	2590	Seinen Pass könnte er aber bald los sein.
230650	233370	2720	Eine Massnahme für die Sicherheit der Schweiz, heisst es beim Bund.
233530	238530	5000	Es ist die allerletzte Massnahme. Es braucht sehr hohe Anforderungen.
238690	241170	2480	Wir sprechen hier von Gräueltaten, von Kriegsverbrechen
241390	244290	2900	und von einer akuten Bedrohung der Schweiz.
244400	246970	2570	Erst dann ziehen wir eine solche Massnahme in Betracht.
247130	249650	2520	Und das ist hier gegeben.
249920	253290	3370	Das Gerücht existiert, der junge Mann sei heute bereits tot.
253490	255930	2440	Das will der Bund allerdings weder bestätigen noch dementieren.
256089.99999999997	260450	4360	So oder so: Einem Doppelbürger den Pass zu entziehen, ist umstritten.
260649.99999999997	264850	4200	Kein Sicherheitsgewinn, ein Abschieben des Problems,
264930	266850	1920	sagt SP-Nationalrat Cedric Wermuth:
267050	271290	4240	Das politische Signal an dieser Massnahme ist problematisch,
271460	274490	3030	weil wir so sagen, dass die Schweiz mit diesem Fall nichts zu tun hat.
274600	277050	2450	Wir schieben die Verantwortung ab.
277150	280090.00000000006	2940	Diese Person ist in der Schweiz zumindest teilweise aufgewachsen.
280230	283370	3140	D.h., in ihrer Biografie ist in der Schweiz etwas schiefgelaufen.
283570	285930	2360	Wir müssen uns fragen, wie wir das in Zukunft ändern können.
286130	288970	2840	Die Richtung stimmt, heisst es bei der SVP.
289159.99999999994	291650	2490	Sie möchte sogar noch weiter gehen.
291820	295370	3550	Es ist für unsere Partei klar, dass alle Dschihadisten,
295490	299650	4160	die an Gewalttaten teilnehmen, die an Kampfhandlungen teilnehmen,
299810	302850	3040	zwingend ausgebürgert werden müssen,
303020	306180	3160	damit sie von unserem Land ferngehalten werden können.
306320	309460	3140	Extremisten die Staatsbürgerschaft entziehen:
309550	312780	3230	Der Bund hofft, dass die Massnahme abschreckend wirkt,
312970	318660	5690	für andere potenzielle Dschihad- Reisende mit Schweizer Pass.
318620	321020	2400	Wir werden älter. Das ist die gute Nachricht.
321130	323380	2250	Die weniger gute:
323580	325540	1960	Es steigen die Kosten für Betreuung und Pflege.
325710	328340	2630	Und genau deswegen schicken die Schweizer Städte und Gemeinden
328450	330740	2290	heute einen Hilferuf nach Bern.
330910	333620	2710	Per Resolution fordern sie mehr Mitspracherecht
333810	336780	2970	und eine neue Aufteilung der Kosten.
336890	339460	2570	Es sind jene Kosten, die anfallen,
339680	342420	2740	wenn die Krankenkassen und die Pflegebedürftigen
342520	344740	2220	selbst ihren Teil bezahlt haben -
344820	347220	2400	und somit die öffentliche Hand einspringen muss.
348040	350340.00000000006	2300	Er muss sich zurzeit viele Klagen von Gemeinden anhören,
350590.00000000006	353260	2670	der Präsident des Schweizerischen Gemeindeverbandes Hannes Germann.
353360	357060	3700	Für ihn und seinen Kollegen vom Städteverband ist nun das Mass voll.
357150	360460	3310	Bei den Gemeinden laufen die Kosten aus dem Ruder.
