start	end	duration	text
1210	3000	1790	.
3230	6600	3370	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7890	9680	1790	Guten Abend, meine Damen und Herren.
9780	12480	2700	"Ich begrüsse Sie zur ""Tagesschau""- Hauptausgabe und zu diesen Themen:"
13760	17640	3880	In der Ukraine gewinnen die EU-freundlichen Parteien
17760	19600	1840	die Parlamentswahlen.
20620	25280	4660	Bei der Wahl in Tunesien siegen die weltlichen Kräfte.
26650	29400	2750	Fast die halbe Schweiz erhält Tabletten
29520	32759.999999999996	3240	gegen die Folgen eines AKW-Unfalls.
33350	39440	6090	Eine Biografie über die exzentrische Aristokratin Elisabeth de Meuron.
40720	44320	3600	Nur oberhalb von 900 m sonnig.
46260	50120	3860	Die Ukrainer haben für eine Annäherung an den Westen gestimmt.
50280	53040	2760	Pro-europäische Kräfte um den Präsidenten Poroschenko
53290	55920	2630	und Ministerpräsident Jazenjuk liegen vorn.
56070	58200	2130	Rechte und Kommunisten sind abgeschlagen.
58400	60840	2440	Und so sieht das im Einzelnen aus:
61050	64200	3150	Das Parteienbündnis von Präsident Petro Poroschenko
64340	66720	2380	kommt auf über 21 %.
66850	68840	1990	Damit liegt er überraschend gleichauf
69050	71680	2630	mit der Partei von Ministerpräsident Arsenij Jazenjuk,
71830	74800	2970	der ebenfalls über 21 % gemacht hat.
75010	79039.99999999999	4030	Die neue pro-europäische Kraft Selbsthilfe von Andri Sadowi
79130	81080	1950	kommt auf rund 11 %.
81190	82840	1650	In einer möglichen Koalition
83039.99999999999	86000	2960	könnten die Vertreter der Maidan- Bewegung also vertreten sein.
86180	90320	4140	Überraschend stark schnitt auch der EU-kritische Oppositionsblock ab.
90440	92280	1840	Die Partei, die aus Anhängern
92450	94640	2190	des früheren Präsidenten Janukowytsch besteht,
94850	98320	3470	kam laut ersten Teilergebnissen auf rund 10 %.
98460.00000000001	100880	2420	Präsident Poroschenko hat bereits gestern Abend
101090	105160	4070	die Wahl als klares Signal für eine europäische Ausrichtung gelobt.
105320	108600	3280	Für sein Parteienbündnis ist das Ergebnis aber doch ein Dämpfer.
110050	112120	2070	Deutlich weniger Ukrainer als erwartet
112300	114840	2540	haben Poroschenkos Parteienblock gewählt.
114940	119960.00000000001	5020	Mit über 30 % hatte man gerechnet, nun sollen es rund 21 sein.
120140	123840	3700	Damit liegt er gleichauf mit der Partei von Premierminister Jazenjuk.
