start	end	duration	text
300380	301920	1540	Julija Tymoschenko ist frei,
302130	303680	1550	sie, die Erzfeindin von Wiktor Janukowytsch.
303870	305560	1690	Er ihr grösster Widersacher der letzten 10 Jahre.
305710	307600	1890	Immerhin hat sie 2004 massgeblich mitgeholfen,
307750	309560	1810	ihn aus dem Präsidentenamt zu drängen.
309730	312320	2590	Tymoschenko ist fraglos keine unumstrittene Figur.
312490	315400	2910	Unbestritten ist aber: Trotz Jahren der Haft
315540	318240	2700	steht sie für die ukrainische Opposition schlechthin.
318350	320200	1850	Und ihre Freilassung heute
320410	324360	3950	katapultiert sie wieder in den Fokus von so ziemlich allem in der Ukraine.
326030	330880	4850	Julija Tymoschenko im Jahr 2004 - die Gallionsfigur der Orangen Revolution.
330970	333159.99999999994	2190	Zusammen mit Wiktor Juschtschenko
333310	337200	3890	versperrt sie Erzfeind Janukowytsch den Weg ins Präsidentenamt.
337360	341120	3760	Präsident wird Wiktor Juschtschenko. Tymoschenko wird Ministerpräsidentin.
341159.99999999994	342960	1800	Doch das Team funktioniert nicht,
343070	346120	3050	Tymoschenko wird nach kurzer Zeit entlassen.
346380	349240	2860	Präsident Juschtschenko ernennt zum neuen Ministerpräsidenten:
349340.00000000006	352320	2980	Wiktor Janukowytsch. Er ist also zurück an der Macht.
352550	357360	4810	2007 gelingt Tymoschenko das Comeback an die Regierungsspitze.
357550	361120	3570	Sie wird wieder Ministerpräsidentin und wird es für 3 Jahre bleiben.
361310	364680	3370	2009 der Abschluss des Gasabkommens mit Russland.
364860	370400	5540	Doch Julija Tymoschenko will stets mehr: Sie will Präsidentin werden.
370530	375080	4550	Die Wahl indes verliert sie, der Sieger heisst Wiktor Janukowytsch.
375150	377760	2610	Hier seine Vereidigung im Jahr 2010.
377990	382000	4010	Tymoschenkos Erzfeind ist auf dem Höhepunkt der Macht.
382970	385280	2310	Und Julija Tymoschenko wird wegen Amtsmissbrauchs
385370	387440	2070	zu 7 Jahren Haft verurteilt.
387660	390800	3140	Die letzten 3 Jahre verbrachte sie im Frauengefängnis von Charkow.
391030	393960	2930	Trotz internationaler Proteste gegen den Prozess,
394159.99999999994	396480	2320	trotz ihrer schweren gesundheitlichen Probleme:
396600	399320	2720	Tymoschenko blieb in Haft.
399550	402360	2810	Im Fall Tymoschenko verweigerte Präsident Janukowytsch
402590.00000000006	405440	2850	stets jedes Entgegenkommen, jedes Einlenken.
407700	410680	2980	Jetzt kommt also mit Julija Tymoschenko jemand ins Spiel,
410820	412760	1940	der die letzten Jahre im Gefängnis sass
412900	415200	2300	und so auch keine Rolle gespielt hat bei den Ereignissen,
415360	418680	3320	die bis zur Absetzung von Janukowytsch heute geführt haben.
418790	422560	3770	Christof Franzen: Die Opposition hat derzeit durchaus Galionsfiguren,
422670	425560	2890	z.B. den Ex-Boxer Vitali Klitschko.
425740	428680	2940	Jetzt tritt Tymoschenko wieder auf den Plan.
