start	end	duration	text
860	6220	5360	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6340	9140	2800	Guten Abend, meine Damen und Herren.
9320	12340	3020	"Hier ist die ""Tagesschau"" und das sind die Themen heute Dienstag:"
13670	17740	4070	Der Ständerat will damit die Altersreform versüssen -
17880	20900	3020	ein Ausgleich für die Erhöhung des Frauenrentenalters.
24160	27620	3460	Ungarn will nun auch die Grenze zu Rumänien abriegeln.
30700	33500	2800	Am Sammeltag der Glückskette stellt Bundesrat Burkhalter
33680	36900	3220	die Aufstockung um bis zu 100 Mio. Fr. in Aussicht.
38980	42380	3400	Die erfolgreichste Krimiautorin aller Zeiten
42480	46100	3620	wäre heute 125 Jahre alt geworden.
48610	51860	3250	Im Süden und gelegentlich im Westen Regen.
54330	58500	4170	Zucker und Peitsche - das wird derzeit im Bundeshaus verteilt.
58660	61700	3040	Schön ausgeglichen. Für links und rechts.
61870	64580	2710	Im Zusammenhang mit der Altersreform 2020.
64750	68020	3270	Gestern gabs für die Linke Peitschenhiebe
68240	70539.99999999999	2300	und Zucker für die Rechte, indem man sich im Ständerat
70690	73500	2810	für eine Erhöhung des Rentenalters für Frauen aussprach
73650	77420	3770	und eine tiefere Rente in der 2. Säule, bei der Pensionskasse.
77570	79620	2050	Heute nun das Gegenteil.
79800	82020	2220	Peitsche für die Rechte, Zucker für die Linke.
82240	85060	2820	Die AHV soll aufgestockt werden. Die Taktik ist klar.
85160	88940	3780	Nur so hat diese Reform als Ganzes eine Überlebenschance.
89039.99999999999	90980	1940	Hanspeter Forster.
91950	95060	3110	Es war eine Koalition aus SP, CVP und mehreren Freisinnigen,
95200	98500	3300	die den Rentenkompromiss heute im Ständerat durchbrachte.
98550	100620	2070	Die Befürworter sind überzeugt:
100770.00000000001	102539.99999999999	1770	Ohne Verbesserungen bei den AHV-Renten
102660	104940	2280	droht die ganze Reform zu scheitern.
105100	108180	3080	Dann gibt es erhebliche Renteneinbussen.
108350	113140	4790	Und dann sind wir wieder gleich weit wie bei der letzten Abstimmung.
114220	116780	2560	Ohne diese Leistungsverbesserungen, davon bin ich überzeugt,
