start	end	duration	text
2140	5840	3700	1:1-Untertitelung
7290	8920	1630	Guten Abend, meine Damen und Herren,
9090	11520	2430	"das ist die ""Tagesschau""-Hauptausgabe vom 22. Mai -"
11700	13640	1940	und diese Themen haben wir u.a. für Sie:
15390	17880	2490	Bei den österreichischen Präsidentschaftswahlen
18030	21560	3530	liegen Rechtspopulist Hofer und der Linke Van der Bellen gleichauf.
23420	26120	2700	Die tiefen Milchpreise bringen die Bauern zur Verzweiflung -
26280	28320	2040	jetzt wollen sie sich gemeinsam wehren.
30740	34560	3820	Schweizer Museen sind gut besucht, aber der Konkurrenzdruck ist gross.
36600	39160	2560	Doch der FC Zürich kann den Ligaerhalt
39330	41680	2350	nicht mehr aus eigener Kraft schaffen.
43630	49400	5770	Morgen regnet es bei 12 °C - Schnee ab 1'300 m ü.M.
51370	52760	1390	Wahlen in Österreich
52870	55520	2650	stehen international normalerweise nicht an erster Stelle -
55750	58000	2250	an diesem Wochenende aber ist der Entscheid,
58250	61720	3470	wen die rund 6 Mio. stimmberechtigten Österreicher
61830	64640	2810	zu ihrem Präsidenten wählen, ganz entscheidend.
64800	67840	3040	Würde es nämlich Norbert Hofer von der FPÖ werden,
67950	70520	2570	dann stände zum ersten Mal ein Rechtspopulist
70660	73440	2780	an der Spitze eines EU-Staates.
73550	75480	1930	Doch Hofers Konkurrent Alexander Van der Bellen,
75620	80080	4460	der von den Grünen unterstützt wird, holt auf - und wie.
80220	82800	2580	Noch ist also alles offen.
84130	88440	4310	50,0 % der Stimmen für Norbert Hofer, 50,0 % für Alexander Van der Bellen.
88620	91080	2460	Beide Kandidaten liegen gemäss der neusten Hochrechnung
91220	93240.00000000001	2020	in Prozentpunkten gleichauf.
93410	98759.99999999999	5350	Allerdings soll Van der Bellen im Moment um 4'000 Stimmen vorne liegen.
101090	102920	1830	In einer ersten Reaktion freut sich Van der Bellen
103070	105759.99999999999	2690	über seine Aufholjagd seit dem ersten Wahlgang:
108050	111160	3110	Erinnern Sie sich daran, wie wenige Kommentatoren
111310	115160	3850	mir am 24. April eine echte Chance eingeräumt haben.
115270.00000000001	118080	2810	Damals war ich ganz klar hinter Herrn Hofer.
118190	119640	1450	Wenn ich nicht 14 Prozentpunkte ...
119870	123800	3930	Die wenigsten haben geglaubt, dass ich das noch aufholen kann.
123950	128000	4050	Vor den Wahlen galt FPÖ-Kandidat Norbert Hofer als Favorit.
128160	132200	4040	Der Rechtspopulist gibt sich am Abend betont staatsmännisch.
132380	134680	2300	Einer von beiden wird Bundespräsident,
134910	137280	2370	der andere wird nicht Bundespräsident.
137390	139720	2330	Wesentlich ist, dass der, der Präsident wird, klar macht,
139870	142680	2810	dass er ein Präsident für alle Österreicher ist,
142829.99999999997	146160	3330	also auch für diejenigen, die ihn nicht gewählt haben.
146240	149400	3160	Norbert Hofer bei der Stimmabgabe heute Morgen.
149570	153640	4070	Seit einem Gleitschirmunfall geht der 45-Jährige am Stock.
153750	157920.00000000003	4170	Er hat massgeblichen Anteil daran,
158030	159720	1690	dass die rechte FPÖ einen gemässigteren Ton anschlägt
159820	161680	1860	und salonfähiger wurde.
161840	164600	2760	Der linksliberale Wirtschaftsprofessor Van der Bellen
164760	168280	3520	ist Sohn von Einwanderern, die vor dem Stalinismus geflohen sind.
168530	171400	2870	Er steht für eine offene, multikulturelle Gesellschaft
171630	174720	3090	und punktet v.a. in den grösseren Städten.
174950	181280	6330	Wer für die nächsten sechs Jahre in der Wiener Hofburg residieren wird,
181390	183080	1690	ist aber immer noch offen.
185720	188600	2880	In Österreich hat der Bundespräsident grosse Kompetenzen.
188710	192080	3370	Er kann z.B. die Regierung entlassen, das Parlament auflösen
192280	196480	4200	und er ist auch Oberbefehlshaber des Militärs.
196710	199280	2570	Hofer, der Rechtspopulist, galt ja als klarer Favorit.
199420.00000000003	200920.00000000003	1500	Christian Vogt in Wien,
201030	204640	3610	jetzt ist Van der Bellen am Aufholen, warum diese Wende?
206940	209000	2060	Das war tatsächlich eine überraschende Aufholjagd
209110	210880	1770	von Alexander Van der Bellen.
211120	213440	2320	Aber offenbar hat die Angst vor einem Rechtsrutsch
213550	215160	1610	viele Wähler mobilisiert.
215310	217880	2570	Es gab ja eine Wahlbeteiligung von über 70 %.
218050	220360	2310	Man muss bedenken, dass Hofer nach dem ersten Wahlgang
220490	224240	3750	über eine halbe Million Stimmen mehr hatte als Van der Bellen.
224380	227840	3460	Der heutige Tag ist darum auch ein Erfolg des Lagers gegen Hofer.
227970	231120	3150	Es wird eine lange Nacht in Wien.
231280	235920.00000000003	4640	Wann weiss man denn sicher, wer neuer Bundespräsident wird?
236120	240400	4280	Das kann effektiv noch lange dauern, evtl. bis morgen früh.
240490	245120	4630	Die jetzigen Hochrechnungen lassen noch keine Aussagen zu.
245250	247160	1910	Man muss einfach warten,
247320	250320	3000	bis der letzte Wahlzettel im letzten Wahlkreis ausgezählt ist.
250420	252960	2540	Danke, Christian Vogt aus Wien.
256269.99999999997	259640	3370	Und das Interview mit Wien haben wir kurz vor der Sendung aufgezeichnet.
259870	262400	2530	Ein Beziehungsstreit wurde zu einer blutigen Tat.
262630	265560	2930	Auf einem Konzert im österreichischen Vorarlberg
265700	268960	3260	hat ein 27-jähriger Mann bei einem Open-Air-Konzert
269090	271040	1950	wahllos auf Besucher geschossen -
271190	274480	3290	zwei Menschen sterben, elf weitere werden verletzt.
274580	277800	3220	Anschließend tötet er sich selbst.
277970	280200	2230	Der Mann hatte sich zuvor mit seiner Freundin gestritten.
280470	283240	2770	Zur Tat kam es unweit der Schweizer Grenze - in der Gemeinde Nenzing,
283420	288360	4940	wo ein Motorradclub dieses Wochenende sein 30-Jahr-Jubiläum feiern wollte.
290630	294520	3890	Wo gestern noch Töff-Fans friedlich feierten, herrscht heute ein Chaos.
294690	301240	6550	Auslöser der Amoktat war offenbar ein Streit.
301470	303040	1570	Gegen 3 Uhr morgens ist es hier auf dem Parkplatz
303210	307000	3790	zu einer Auseinandersetzung zwischen einem 27-jährigen Mann,
307250	309840	2590	dem späteren Täter, und einer Frau gekommen.
310000	312560	2560	Der Streit dürfte in irgendeiner Art und Weise eskaliert sein.
312750	315560	2810	Jedenfalls hat der Mann eine Schuss- waffe aus seinem Fahrzeug geholt
315740	318160	2420	und hat hier am Konzertgelände wahllos um sich geschossen.
318330	321240	2910	Für zwei der Festbesucher kommt jede Hilfe zu spät.
321460	323800	2340	Elf Personen erleiden Schussverletzungen -
324030	327920	3890	unter ihnen auch eine Schweizerin und ein Mann aus Liechtenstein.
328970	331680	2710	Nach dem Amoklauf geht der Täter - laut Polizei ein Vorarlberger -
331910	334880	2970	zum Parkplatz zurück und richtet sich selbst.
335040	337440	2400	Gemäss Medienberichten flüchteten mehrere Konzertbesucher
337590.00000000006	340480	2890	in die umliegenden Wälder und auf die Autobahn.
340620	342960	2340	Viele werden von Care-Teams betreut.
343070	344720	1650	Über die weiteren Hintergründe der Tat
344950	347280	2330	wollen die Behörden morgen informieren.
349280	353159.99999999994	3880	Wenn von Krisengipfel die Rede ist, denkt man als Erstes an die EU.
353330	356240	2910	Ein Krisengipfel findet nächste Woche aber auch in der Schweiz statt,
356360	359560	3200	ein Krisengipfel der Milchbranche.
359670	361480	1810	Der geht es derzeit nicht gut,
361710	364200	2490	international nicht und auch in der Schweiz nicht.
364300	367320	3020	So ist etwa der Preis für ein Kilo Molkerei-Milch
367500	370480	2980	von fast 70 Rp. vor gut zwei Jahren auf rund 55 Rp. Anfang Jahr gesunken,
370590	375560	4970	und seither geht's noch weiter bergab.
375720	378600	2880	Sinkende Preise und schlechte Aussichten also.
378870	381800	2930	Milch zu produzieren, lohnt sich in der Schweiz vielfach kaum noch.
381940	383920	1980	Ein Blick auf den Zustand der Milchbranche
384110	386610	2500	vor dem Milch-Krisengipfel von Michael Steiner.
388440	392090.00000000006	3650	Das Glas ist halb leer, Pessimismus in der Milchbranche.
392220	395810	3590	Mit 50 Rp. oder weniger pro Kilogramm Milch habe der Preiszerfall
395970	400409.99999999994	4440	existenzbedrohende Ausmasse angenommen, sagen Milchproduzenten.
400550	404370	3820	Der Präsident der Branchenorganisation Milch
404530	408050	3520	ortet die Ursache für diese Misere v.a. ausserhalb der Schweiz.
410590.00000000006	413330	2740	Der Weltmarkt ist daran schuld, die Nachfrage ist eingebrochen,
413480	417610	4130	die Produktion ist wegen guten vorhergehenden Jahren angestiegen,
417690	419250	1560	und dann der Russlandboykott:
