start	end	duration	text
2690	4520	1830	.
4640	12680	8040	1:1-Untertitelung
14900	17800	2900	Das teuerste Medikament der Welt ist Soliris.
17890	22360	4470	Es wirkt gegen eine lebensbedrohliche Form von Blutarmut.
22570	27960	5390	Eine jährliche Therapie kostet rund 500'000 $ pro Patient.
28090	33320	5230	An 2. Stelle folgt Kalydeco gegen eine Form von zystischer Fibrose.
33480	43910	10430	Es kostet etwa 311'000 $. An 3. Stelle Cerezyme mit 275'000 $.
44050	47710	3660	Diese Medikamente sind sog. Orphan Drugs,
47870	51430	3560	Medikamente gegen seltene Krankheiten.
51610	54110	2500	"Guten Abend und herzlich willkommen bei ""ECO""."
56200	62590	6390	Weshalb ein Nischenmarkt der Indus- trie Milliardengewinne beschert.
63260	67830	4570	Was bisher als sicherer Wert für Pensionskassen galt,
67920	70830	2910	entwickelt sich zur Gefahr.
71610	76190	4580	Weshalb Tierarzt Martin Seewer mit seiner Praxiskette
76330	79070	2740	Frauen von heute ernst nimmt.
82050	86390	4340	Alleine in der Schweiz leiden schätzungsweise 500'000 Menschen
86500	89630	3130	an einer sog. seltenen Krankheit.
89789.99999999999	93229.99999999999	3440	Eine Krankheit gilt per Definition dann als selten,
93410	97950	4540	wenn max. 5 von 10'000 Personen davon betroffen sind.
98050	101190	3140	Für so wenige Patienten kann die Entwicklung
101360	104830	3470	eines Medikamentes nicht lukrativ sein, würde man meinen.
104970	108550	3580	Doch die Wirklichkeit sieht anders aus. Urs Bachofner:
110039.99999999999	114830	4790	Für Betroffene sind seltene Krankheiten oft das Todesurteil.
115050	118550	3500	Meist handelt es sich um chronische, fortschreitende Krankheiten,
118770.00000000001	123070	4300	etwa spezielle Formen von Krebs oder Stoffwechselstörungen.
123180	125390	2210	Medikamente dagegen gibt es wenige.
125650	128150	2500	Lange war die Forschung auf diesem Gebiet verwaist -
128330.00000000001	134190	5860	daher auch der Name für solche Medikamente: Orphan Drugs.
134350	141790	7440	Thomas Cueni vom Branchenverband Interpharma nennt dafür 2 Gründe:
142050	148310	6260	Zum einen war man bis vor rund 20 Jahren wissenschaftlich am Anschlag.
148420.00000000003	150510	2090	Man wusste nicht weiter.
150670.00000000003	153030	2360	Man hatte noch nicht die Instrumente und Erkenntnisse
153170.00000000003	155470	2300	der Bio- und Gentechnologie,
155620	158670.00000000003	3050	um den Ursachen der Krankheiten auf den Grund zu gehen.
158930	161710	2780	Das war das eine, die wissenschaftlichen Hürden.
161810	165110	3300	Und zudem fehlte ganz einfach der Markt.
165250	168510	3260	Für die Pharmaindustrie war es nicht lukrativ,
168590	172430	3840	Medikamente nur für wenige Betroffene zu entwickeln.
172550	176630	4080	Heute ist die Situation eine andere:
