start	end	duration	text
2340	12230	9890	.
14520	17350	2830	1:1-Untertitelung. Livepassagen können Fehler enthalten.
17570	20070	2500	"Guten Abend, herzlich willkommen bei ""Schweiz aktuell"" vom 12. November."
20170	22310	2140	Das sind unsere heutigen Themen:
24690	26710	2020	Ostschweizer Gemeinden wie Sulgen
26930	31590	4660	stellen Zivilschutzanlagen für Flüchtlinge zur Verfügung,
31790	33950	2160	weil die Aufnahmezentren des Bundes voll sind.
34050	35510	1460	Andere Gemeinden weigern sich.
37800	40030	2230	Bundesrätin Doris Leuthard ist auf Überzeugungstour.
40160	42710	2550	In Marthalen/ZH wirbt sie für ein Endlager für radioaktive Abfälle.
42910	45270	2360	Z.T. haben die Bauern ihre Meinung aber schon gemacht.
46420	49250	2830	In vielen Gemeinden
49420	53090	3670	hilft die öffentliche Spitex Alten und Pflegebedürftigen.
53230	55450	2220	Solothurner Gemeinden haben jetzt
55680	57450	1770	aber auch private Spitex-Organisationen beauftragt.
57620	59290	1670	Wegen der Konkurrenz gerät die öffentliche Spitex unter Druck.
59970	62170	2200	Die Zahl der Flüchtlinge, die in die Schweiz reisen,
62400	64650.00000000001	2250	bleibt trotz kälterer Temperaturen hoch.
64870.00000000001	66410	1540	Und steigt weiter an.
66640	68050	1410	Besonders gefordert, ist die Region Ostschweiz.
68190	70810	2620	Dort kommen am meisten Asylsuchende über die Grenze.
71030	73690	2660	Es sind v.a. Menschen aus Syrien und Afghanistan.
73860	76730	2870	Und es wird eng in den Aufnahmezentren,
76920	80170	3250	der Bund ist auf die Unterstützung der Gemeinden angewiesen.
80270	82210.00000000001	1940	Gemeinden, die unterschiedlich reagieren.
84220	86570	2350	Heute Morgen in Sulgen im Kanton Thurgau.
86810	90450	3640	Um die unterirdische Zivilschutz- anlage im Dorf mit 3'600 Seelen
90570	93530	2960	vertreiben sich gegen 100 junge Flüchtlinge
93660	95729.99999999999	2070	v.a. aus Afghanistan die Zeit.
95890	99210.00000000001	3320	Weil die beiden Erstaufnahmezentren in Kreuzlingen und Altstätten
99259.99999999999	101530	2270	voll belegt sind, hat der Bund in Sulgen angeklopft
101650	106050	4400	und stiess auf offene Ohren.
106170	108970	2800	Uns war es wichtig,
109050	112490.00000000001	3440	dass die Personen nicht irgendwo auf der Strasse sind,
112690	115090	2400	sondern dass der Bund die Verfahren,
115250	118130	2880	die er mit den Asylsuchenden durchführen muss,
118220	120130	1910	in einem geregelten Rahmen machen kann.
120210	122170	1960	Dafür braucht es Anlagen.
122330	125130	2800	Es ist auch eine humanitäre Sache,
125370	129650	4280	dass die Leute irgendwo ein warmes Bett bekommen.
129820	134330	4510	Eine ähnlich grosse Zivilschutzanlage gibt es auch in Wartau bei Sargans.
134480	136450	1970	Doch in dieser St. Galler Gemeinde
136620	139050	2430	bleiben die Betten in nächster Zeit leer.
139150	141170.00000000003	2020	Das Gesuch des Staatssekretariats für Migration in Bern
141350	144170.00000000003	2820	hat der Wartauer Gemeinderat gestern Abend abgelehnt.
144340	149090	4750	Und das eigentlich aus humanitären Gründen, wie er unterstreicht.
149829.99999999997	152650	2820	Der Gemeinderat hat das sehr intensiv diskutiert.
152800	154690	1890	Wir sind zum Schluss gekommen,
154840	157050	2210	dass eine unterirdische Unterbringung von Asylsuchenden
157130	160810	3680	während sechs bis acht Monaten nicht der ideale Ort ist.
160890	166170.00000000003	5280	Wir sind klar der Auffassung, dass oberirdische Anlagen sinnvoll sind.
166370	169850	3480	In Bern beim Staatssekretariat für Migration bedauert man das Nein,
169930	172170.00000000003	2240	v.a. weil in der Ostschweiz
172360	175450	3090	momentan am meisten Asylbewerber in die Schweiz einreisen.
176050	179690	3640	Die Situation in der Ostschweiz und in Basel ist sehr angespannt,
179870	182650	2780	weil vermehrt Leute aus dem deutschen Raum kommen.
182830	187610	4780	Wir versuchen da natürlich mit Hochdruck, neue Plätze zu schaffen.
187690	190050	2360	Einfach ist das aber nicht immer.
190290	192770	2480	Der Bund kann heute die Gemeinden nicht zwingen,
192850	194610	1760	Asylbewerber aufzunehmen.
194710	197210	2500	Das könnte sich aber bald ändern.
197370	201610	4240	Man diskutiert ja jetzt, ob es einen Sonderstab Asyl braucht,
201750	203730	1980	gestützt auf ein Notfallkonzept.
203890	206050	2160	Dieser Sonderstab hätte dann die Aufgabe,
206130	208250	2120	die Bereitstellung von Unterkünften
208480	212090	3610	zwischen Bund, Kantonen und Gemeinden zu koordinieren.
212329.99999999997	214530	2200	So, dass nicht jede Ebene nur für sich schaut,
214690	217090	2400	sondern so, dass man das wirklich koordinieren kann.
217270	221010	3740	Heute und morgen diskutieren Justiz- und Polizeidirektoren aus dem Kanton,
221190	223329.99999999997	2140	ob grundsätzlich und ab welchem Zeitpunkt
223530	226210	2680	ein solcher Sonderstab nötig wäre.
226290	229329.99999999997	3040	Ein Sonderstab Asyl, den der Bundesrat einsetzen kann.
230930	233130	2200	Die Aufnahmezentren sind also mehr als voll.
233360	236010	2650	Was passiert, wenn die Zahl der Flüchtlinge weiter steigt
236090	238890	2800	oder plötzlich sogar sprunghaft zunimmt?
239079.99999999997	242050	2970	Welche Massnahmen müssten Bund und Kantone treffen?
242270	244930	2660	Das ist eine der grossen Fragen, die die Sicherheitsdirektoren
245130	247330	2200	der Kantone heute gemeinsam in Davos diskutieren.
247560	251010	3450	Oliver Bono, sind heute schon konkrete Massnahmen bekannt geworden?
251120	256170.00000000003	5050	Wir untertiteln live:
256170.00000000003	262130	5960	Nein, noch nichts.
265070	270570	5500	Die Sitzung hat länger gedauert als erwartet.
270710	274650	3940	Sie wurde vor kurzem aufgelöst,
274730	280690	5960	es wurde nichts bekannt, überhaupt nichts.
282240	284970	2730	Hier haben wir Sicherheitsdirektor des Kantons ergangen,
285050	291090.00000000006	6040	Fredy Fässler.
291590.00000000006	296930	5340	Diese Massnahmen waren sicher heute Nachmittag ein Thema.
297090.00000000006	300290	3200	Ich bin kein Sprecher dieser Konferenz.
300530	304450	3920	Ich kann Ihnen dazu nicht sagen,
304630	310540	5910	das wird morgen ein Pressesprecher machen.
311000	316660	5660	Es war eine geplante Sitzung,
316890	318940	2050	aber heute wohl sicher aus Aktualitätsgründen
319070	323660	4590	dieses Thema behandelt.
323930	328620	4690	Ja, aber ich bin immer noch nicht der Mediensprecher.
328850	332540	3690	Es gibt Gemeinden, die Bedenken haben.
332690	338620	5930	Wie schätzen Sie das ein?
340270	343659.99999999994	3390	Wir verfolgen die Situation,
343820	349740	5920	wir analysieren die Lage jeden Tag.
352420	357420	5000	Wir sprechen uns auch mit den nach mit Nachrichtendiensten ab.
357540	362300	4760	Es könnte sein, dass es bald ansteigt,
362570	364820	2250	aber im Moment deutet relativ wenig darauf hin.
365050	369700	4650	Wir wissen aber nicht, was am Wochenende passiert.
369860	373420	3560	Der Druck aus Norden, aus Deutschland, ist gestiegen.
373530	378300	4770	Was genau passiert, weiss man nicht.
378520	381300	2780	Es hat schon lange, dass viele Flüchtlinge kommen,
381450	387020	5570	aber das ist bis jetzt noch nicht passiert.
387240	393100	5860	Wie sieht es im Kanton St. Gallen aus?
394560	397659.99999999994	3100	Wäre man bereit, wenn plötzlich sehr viele kommen?
397750	403620	5870	Wir sind bereit,
403820	407500	3680	wir wollen nicht solche Bilder wie am Bahnhof in Budapest.
407730	411060	3330	Die Gemeinden waren innert Kürze bereit,
411280	414460	3180	Tausende Betten vorzubereiten.
414690	418140	3450	Wenn das eintreten sollte,
418260	422500	4240	werden wir mit dem Zivilschutz unterstützen.
422730	424540	1810	Zuerst kommt der Bund, dann die Kantone.
424690	429220	4530	Vielen Dank.
429380	435300	5920	Diese Konferenz ist noch nicht fertig,
436190	438700	2510	morgen wird ein wichtiger Teil in Zürich stattfinden.
438870	441060	2190	Wo genau, dass man nicht.
441050	442820	1770	Oliver Bono, direkt aus Davos.
443570	445820	2250	Die Zollfreilager, sie wecken Misstrauen.
445920	447460	1540	Immer wieder wird gemunkelt,
447690	449300	1610	dass dort z.B. mit Kunstwerken Geld gewaschen werde.
449430	450420	990	Jetzt will das Zollfreilager Genf
450600	452260	1660	mit schärferen Kontrollen aus der juristischen Grauzone raus.
452880	455420	2540	In diesem Gebäude liegen Berge von wertvollen Gegenständen
455650	458659.99999999994	3010	und Kunstwerken, die Milliarden wert sind.
458930	461020	2090	Es ist schwer zu sagen, wie hoch der Wert wirklich ist.
461180	462900	1720	Der neue Präsident des Zollfreilagers Genf
463170	465340.00000000006	2170	will jetzt aber mehr Transparenz schaffen -
465450	466980	1530	es sei höchste Zeit für diesen Schritt.
467170	470340.00000000006	3170	Das Risiko ist einfach zu gross,
470570	473230	2660	dass wir plötzlich in eine Affäre verstrickt werden,
473350	475750	2400	in der es z.B. um Geldwäscherei geht.
475950	477150	1200	Es könnte auch sein,
477290	479909.99999999994	2620	dass wir Antiquitäten aus Syrien erhalten, ohne es zu wissen.
480020	482070	2050	Wenn wir nicht aufmerksam genug sind,
482190	485070	2880	könnte es im Zollfreilager zu mehr Hausdurchsuchungen kommen.
485150	490310	5160	Das wäre schlecht für das Image.
490410	493550	3140	Die ersten Massanahmen sollen im nächsten Jahr umgesetzt werden.
493670	497710	4040	Sie kosten 1-2 Mio. Fr.
497930	500550	2620	Das Ziel ist, den Warenverkehr besser zu kontrollieren,
500710	503870	3160	indem entsprechende Verträge mit den Mietern abgeschlossen werden.
504090	507750	3660	Jedes Inventar muss geprüft und am Zoll gezeigt werden.
507970	511670	3700	Wenn etwas nicht stimmt, muss der Zoll das Freilager informieren.
511840	514789.99999999994	2950	Dann müsste man den Vertrag kündigen - das wäre eine Möglichkeit.
514929.99999999994	517429.99999999994	2500	Die Eidg. Finanzkontrolle,
517610	520669.99999999994	3060	die einen kritischen Bericht zum Zollfreilager Genf verfasst hat,
520780	522830.00000000006	2050	begrüsst die Massnahme.
523049.99999999994	527470	4420	Es sei ein Schritt in die richtige Richtung.
527690	533230	5540	Wir haben verlangt, dass der Zoll mehr Inventarkontrollen macht.
533270	535470	2200	Das ist ein erster Schritt.
535690	538070	2380	Jetzt müssen aber die Resultate analysiert werden,
538140	543870	5730	damit je nach Fall eine Untersuchung eingeleitet werden kann.
544010	547350	3340	Allerdings sind die finanziellen Mittel des Zolls begrenzt.
547610	549430	1820	Und der Präsident des Zollfreilagers hat Angst,
549550	553830	4280	dass der Bund v.a. die Grenzübergange sichern will.
554060	558070	4010	Im Zusammenhang mit der Flüchtlingssituation
558240	561590	3350	und dem Rechtsrutsch bei den eidgenössischen Wahlen
561720	563950	2230	ist die Wahrscheinlichkeit gross,
564110	565950	1840	dass das Gewicht auf den Grenzschutz gelegt wird
566110	569670	3560	und nicht auf die Zollkontrolle - das ist für uns ein Problem.
569890	571950	2060	Darum hofft Genf, dass die Massnahmen schnell umgesetzt werden.
572160	574270	2110	Allerdings muss zuerst eine entsprechende Verordnung
574370	577230	2860	auf Bundesebene verabschiedet werden.
579370	581950	2580	Die Juso zieht den Entscheid des Zürcher Kantonsrats,
