start	end	duration	text
710	2150	1440	.
2390	6110	3720	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6840	9710	2870	"Guten Abend, meine Damen und Herren - willkommen zur ""Tagesschau""."
9890	12190	2300	Das macht an diesem Samstag Schlagzeilen:
13410	16910	3500	EU-Parlamentspräsident Schulz
17010	20550	3540	formuliert die Wünsche der EU an die Schweiz.
21750	27110	5360	Schweizer Hilfswerke wünschen sich mehr Geldüberweisungen.
28750	34630	5880	Jeremy Corbyn wird an die Spitze der britischen Labour-Partei gewählt.
35790	41950	6160	Das 200 Mio. Fr. teure Kunst- und Kulturzentrum LAC ist eröffnet.
43350	47270	3920	Im Tessin und im Jura gibts Regen.
49710	52270	2560	Einerseits als eine der letzten Parteien
52420	55950	3530	die heisse Phase des Wahlkampfs einläuten und gleichzeitig -
56030	58390	2360	einen Tag vor dem eigentlichen Gedenktermin
58530	60670	2140	für die Schlacht von Marignano -
60830	63990	3160	wahlkämpferisch auf geschichts- trächtige Daten aufspringen.
64110	66390	2280	Genau das hat die SP heute gemacht.
66550	68990	2440	Im aargauischen Turgi. Auf einer historischen Holzbrücke.
69140	71430	2290	Christoph Nufer war mit auf der Brücke.
72650	76590	3940	Diese Brücke wurde gebaut, als die Schweiz genau vor 167 Jahren
76730	79390	2660	ihre erste demokratische Verfassung erhielt.
79520	82910	3390	Und genau auf dieser Holzbrücke präsentierte sich heute die SP
83050	86390	3340	symbolisch als einzige verbleibende weltoffene Partei,
86630	89590	2960	der Öffnung, des Fortschritts und des sozialen Ausgleichs.
89860	94789.99999999999	4930	Diese erste Verfassung von 1848 sei bis heute Vorbild für die SP.
94950	98950	4000	Das ist der genaue Gegenentwurf von dem,
99030	101630	2600	was die Bürgerlichen, die Rechtskonservativen,
101870	104430	2560	morgen in Norditalien zelebrieren wollen.
104590	106910	2320	Gemeint ist die Marignano-Gedenkfeier.
107009.99999999999	109590	2580	Pikantes, heute unerwähntes Detail:
109789.99999999999	113350	3560	In Marignano wird auch Bundes- präsidentin Sommaruga dabei sein.
113479.99999999999	115310	1830	EU-Parlamentspräsident Schulz
115550	118430	2880	prangerte in seiner Rede die neuen Zäune in Osteuropa
118610	121150	2540	als Antwort auf die Flüchtlingskrise an
121320	124150	2830	und warb auch hier für Offenheit und Solidarität:
124350	126470	2120	Die 28 Mitgliedstaaten der Europäischen Union
126590	129030	2440	haben 507 Mio. Einwohner.
129220	132470	3250	Wenn wir 500'000 Menschen, ich nehme mal diese Zahl,
132700	136960	4260	unter 507 Mio. verteilen, dann ist das kein Problem.
137040	140480	3440	Auch die Schweiz sei in der Pflicht.
140579.99999999997	142960	2380	Ich bin überzeugt,
143130	146400	3270	dass man Europa und auch die Schweiz daran messen wird,
146570	149640	3070	wie wir mit dieser Flüchtlingskrise umgehen.
149780	152760	2980	Diese offene Schweiz verteidigen könne nur die SP,
152930	156000	3070	beschwor Parteipräsident Levrat seine Genossen.
156160	158040	1880	Es gelte jetzt einen Rechtsrutsch
158190	161040	2850	und eine rechte Mehrheit im Parlament zu verhindern.
161190	163160	1970	Es sind genau diese sieben Stimmen,
163329.99999999997	165400	2070	die im Nationalrat darüber entscheiden werden,
165600	168280	2680	wer die Mehrheiten hat und wo die Lösungen liegen.
168720	174200	5480	Ganz bewusst haben sich die Sozial- demokraten heute hier versammelt,
174370	177000	2630	um eine offene Schweiz zu zelebrieren.
177050	180080	3030	Morgen sind die Rechten an der Reihe in und um Marignano.
180200	183800	3600	Wahlkampf ist eben auch ein Wettstreit um den richtigen Blick
183960	186720	2760	auf die historische Vergangenheit der Schweiz.
187910	190400	2490	Die EU-Kommission hat diese Woche beschlossen,
190640	194160	3520	120'000 Flüchtlinge auf alle Mitgliedstaaten zu verteilen.
194360	196960	2600	Langfristig soll dann ein verbindlicher Verteilschlüssel
197130	200840	3710	bei Flüchtlingen in Notlagen für alle Dublin-Staaten gelten.
200920.00000000003	202520	1600	Nach diesem Schlüssel
202690	205400	2710	würden rund 4'500 dieser Flüchtlinge in die Schweiz kommen.
205530	207760	2230	Am Rande des SP-Wahlfestes in Turgi
207930	210120	2190	hat EU-Parlamentspräsident Schulz erklärt,
210260	212480	2220	wie die Erwartungen an die Schweiz aussehen:
213770	216720	2950	Ich möchte mich zunächst mal bedanken.
216890	219320	2430	Die Schweiz hat, ohne dass wir Regelungen haben,
219450	221079.99999999997	1630	mehr Flüchtlinge aufgenommen
221140	223200	2060	als viele Mitgliedsländer der Europäischen Union.
223340	226800	3460	Und wenn wir im Rahmen der wirt- schaftlichen Leistungsfähigkeit
226990	230640	3650	im Verhältnis zur Einwohnerzahl zu einer Zahl von 4'000 kommen,
230840	233320	2480	dann hoffe ich, dass das für die Schweiz verkraftbar ist.
234579.99999999997	237360	2780	Ein Europäischer Aktionstag für Flüchtlinge -
237530	240320	2790	so waren die Kundgebungen für heute angekündigt.
240560	243320	2760	Und in vielen europäischen Städten, wie hier in London,
243490	246040	2550	sind denn auch Tausende Demonstranten zusammengekommen,
246120	248880	2760	um ihre Solidarität auszudrücken mit den Menschen,
248990	252960	3970	die sich derzeit auf ihrer Flucht nach Europa befinden.
253020	254960	1940	Weniger solidarisch beseelt
255130	258040.00000000003	2910	klingt da der ungarische Ministerpräsident Orban:
258070	259959.99999999997	1890	Entweder würden die Flüchtlinge
260079.99999999997	262960	2880	bei der illegalen Einreise in Ungarn ab nächster Woche verhaftet,
263120	266080	2960	oder sie würden konsequent in ihre Heimatländer zurückgeschickt.
266270	271240	4970	Unterdessen wird der 175 km lange Grenzzaun zwischen Ungarn und Serbien
271330	273520	2190	unter Hochdruck ausgebaut.
273640	275280	1640	Auch Häftlinge müssen mithelfen.
276560	278440	1880	Die rund 100 Häftlinge
278620	281960	3340	eines nahe gelegenen Gefängnisses an der ungarisch-serbischen Grenze:
282040	284840.00000000006	2800	Hier sollen sie einen Abschnitt des Grenzzauns errichten.
285040	287520	2480	Noch gibt es eine Lücke im Zaunsystem.
287640	290240	2600	Dabei begegnen sie den immer noch zahlreichen Flüchtlingen,
290460	293800	3340	die im Moment noch über die Gleise nach Ungarn gelangen können.
293880	296840.00000000006	2960	Bald soll damit aber Schluss sein, heisst es aus Ungarn:
296990	299400	2410	Der Zaun stehe kurz vor der Fertigstellung.
