start	end	duration	text
3200	4880	1680	.
5040	8200	3160	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8390	14240	5850	Solidarität und Halt
14380	22800	8420	"bei der ""Marseillaise"" im Kongress von Versailles."
22990	29160	6170	Trauer, Schock und irgendwo sicher auch Wut auf die perfiden Täter.
29310	33520	4210	Frankreich am dritten Tag nach den Anschlägen.
34860	39880	5020	Am schlimmsten ist für viele wohl das Gefühl der Hilflosigkeit.
40100	42800	2700	Wenn aus dem Nichts ein Angriff gegen Zivilpersonen
42900	46200	3300	im öffentlichen Raum erfolgt, wie soll man sich davor schützen,
46330	48160	1830	wie dagegen wehren?
48300	51170	2870	Frankreich hat als Zeichen der Gegenwehr in der Nacht auf heute
51380	54690	3310	Angriffe gegen IS-Stellungen im syrischen Raqqa geflogen.
54810	56850	2040	Massive Angriffe.
57070	59410	2340	Solche Luftangriffe setzen dem IS zu,
59540	62730	3190	doch kann man die Organisation aus der Luft in die Knie zwingen
62820	65250	2430	oder braucht man Bodentruppen -
65349.99999999999	67730	2380	oder in erster Linie einen kühlen Kopf
67820	70570	2750	in diesen Tagen des brennenden Schmerzes?
70670	72690	2020	Die Meinungen gehen auseinander.
72890	75010	2120	Vereint sind die Menschen in ihrer Trauer.
75140	77050	1910	Pirmin Roos berichtet.
78360	80690	2330	Frankreich steht still.
80789.99999999999	85610	4820	Millionen Menschen gedenken heute Mittag der 132 Todesopfer von Paris.
85750	87690	1940	Aber nicht nur in Frankreich,
87910	93009.99999999999	5100	weltweit gedenken die Menschen der Opfer, etwa in Berlin oder in London.
93110	98250	5140	"Innehalten, um danach mit voller Kraft die ""Marseillaise"" zu singen."
98370	102170	3800	(Im Chor) # Formez vos bataillons!
102240.00000000001	110090	7850	# Marchons, marchons qu'un sang impur ...
110300	113410	3110	Später am Nachmittag hält der französische Präsident Hollande
113670	117210.00000000001	3540	in Versailles eine Rede vor den vereinten Parlamentskammern,
117360	120250	2890	was nur in ausserordentlichen Fällen vorkommt.
120360	122770	2410	Frankreich werde die Luftangriffe gegen den IS
122860	125010	2150	mit Entschlossenheit fortsetzen.
125200	131250	6050	Frankreich wird die militärischen Operationen in Syrien intensivieren.
131510	134570	3060	Gestern Abend habe ich zehn Kampfjets beauftragt,
134830	138410	3580	die IS-Hochburg Raqqa zu bombardieren.
138540	140490	1950	Diese französischen Kampfjets
