start	end	duration	text
2150	4290	2140	.
4480	6930	2450	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7030	8640	1610	Guten Abend, meine Damen und Herren,
8730	11720	2990	"das ist die ""Tagesschau""-Hauptausgabe vom 12. Februar - mit diesen Themen:"
13990	16840	2850	Ob die Waffen ruhen werden, ist jedoch ungewiss.
19380	22520	3140	Aber die Fremdenfeindlichkeit am Arbeitsplatz nimmt zu.
25830	28850	3020	Heute beginnt vielerorts die Fasnacht.
31750	36290	4540	Zwar löst sich der Nebel auf, es wird aber nicht mehr so sonnig.
37260	41210	3950	Die Verhandlungen waren lang - der Kompromiss hingegen ist bescheiden.
41430	44010	2580	Aber immerhin: Ab übermorgen Samstag 24 Uhr -
44110	47050	2940	oder Sonntag 0 Uhr, wie man will -
47200	49570	2370	sollen die Waffen im Donbas schweigen:
49670	52090	2420	Zudem verständigt man sich auf folgende Punkte:
52220	54090	1870	den Abzug schwerer Waffen,
54240	56170	1930	die Freilassung sämtlicher Gefangener,
56420	58450	2030	ein milliardenschweres Ukraine-Aufbauprogramm
58540	60660	2120	des Internationalen Währungsfonds
60760	62860	2100	und die weitere politische Unterstützung
63060	67020	3960	durch die EU-Staats- und Regierungs- chefs bei der Konfliktlösung.
68150	71820	3670	Es war eine lange Nacht im Palast der Unabhängigkeit zu Minsk.
71990	73940	1950	Immer wieder wechselten die Akteure
74120	76260	2140	im Ukraine-Poker die Verhandlungsräume,
76380	78820	2440	bis dann heute Morgen Russlands Präsident Putin
78910	82660	3750	als Erster vor die Medien trat und die Einigung bestätigte.
82870	87380	4510	Es sei eine harte Nacht gewesen, aber nun sei man sich einig.
87630	90980	3350	Er erwarte nun eine rasche Verfassungsreform,
91180	95180	4000	damit auch die Rechte der Menschen im Osten der Ukraine respektiert würden.
95330	99380	4050	Und: Für die Separatisten gelte die Frontlinie vom letzten September.
99590	104780	5190	Die hier rot-schraffierten Gebiete
104970	108460.00000000001	3490	sind derzeit unter Kontrolle der Separatisten.
108670	111259.99999999999	2590	Sie müssten sich nun auf die Frontlinie zurückziehen,
111460.00000000001	115539.99999999999	4080	die im Minsker Abkommen vom letzten Herbst festgeschrieben wurde.
115750	119300	3550	Aber auch dies verlangte vom ukrainischen Präsidenten,
119500	121700	2200	Poroschenko, viel Kompromissbereitschaft ab,
121810	124060	2250	denn letztlich musste er den ukrainischen Kontrollverlust
124100	127060	2960	im Donbas anerkennen.
127200	130060	2860	So betonte er nach dem Treffen auch ausdrücklich,
130229.99999999999	133660	3430	dass den Separatisten keinerlei Autonomie zugestanden worden sei.
133750	138420.00000000003	4670	Auch stehe eine föderalistische Struktur nicht im Vordergrund.
139430	142740	3310	Trotzdem zeigten sich die beiden Vermittler Merkel und Hollande
142910	145980	3070	zum Schluss vorsichtig optimistisch.
146130	148700	2570	Wir haben jetzt einen Hoffnungsschimmer.
148880	152900	4020	Wir haben eine umfassende Imple- mentierung von Minsk vereinbart.
153130	156260	3130	Aber die konkreten Schritte müssen natürlich gegangen werden
156470	159260	2790	und es werden noch grosse Hürden vor uns liegen.
159400	161579.99999999997	2180	Aber in der Abwägung kann ich sagen,
161750	163900	2150	dass das, was wir jetzt erreicht haben,
164070	167380	3310	deutlich mehr Hoffnung gibt, als wenn wir nichts erreicht hätten.
167560	171980	4420	Und deshalb lobten Deutschland und Frankreich die lange Nacht von Minsk
172190	175780	3590	als eine Erleichterung für Europa, speziell für die Ukraine.
177280	179940	2660	16 lange Std. wurde da verhandelt -
180100	182260	2160	die ganze Nacht durch, bis heute Mittag.
182510	186100	3590	Peter Gysling in Moskau, was hat denn letztendlich zum Durchbruch geführt?
186190	194660	8470	Wir untertiteln live:
194870	200620	5750	Neben Poroschenko, Putin, sagt Hollande und Merkel
202300	204700	2400	haben parallel dazu die Mitglieder der so genannten
204860	208980	4120	Ukraine-Kontaktgruppe
209220	215060	5840	getagt unter der Führung der Schweizer Botschafterin.
