start	end	duration	text
3530	4290	760	.
10920	12850	1930	MIT TELETEXT-UNTERTITELUNG
16270	19810	3540	In den 80er-Jahren erschütterte die Fichenaffäre die Schweiz.
20050	20810	760	Polizei und Behörden hatten illegal Hunderttausende Karteikarten angelegt
25100	26970	1870	über Leute und Organisationen,
27110	29930	2820	die ihnen potentiell verdächtig erschienen.
30100	32890	2790	Vielleicht haben ja auch Sie Ihre Fiche gehabt
33100	35810	2710	und sie später einsehen können, als das Ganze aufflog?
37180	38810	1630	Es reichte z.T. schon,
38980	42410	3430	wenn man mal Kontakt zu einer anderen fichierten Person hatte.
42540	44570	2030	Es war ein grosser Skandal.
44760	47890	3130	Und das Wort Schnüffelstaat machte die Runde.
48960	50810	1850	Die Möglichkeiten, Daten über Bürger zu erheben, sind seither explodiert.
53740	56610	2870	Was ich wo kaufe, mit wem ich kommuniziere
56820	59890	3070	und über welchen Inhalt, per E-Mail und Telefon,
60100	63610	3510	wohin ich mit dem Auto fahre, sogar was in meinem Kühlschrank ist:
63760	65810	2050	All das kann man heute oder in naher Zukunft aufzeichnen.
68060	71050	2990	Selbst wenn ich im Internet ein falsches Alter angebe:
71190	73730	2540	Google kennt aufgrund meines Nutzerverhaltens
73860	76410	2550	mein mutmassliches Alter trotzdem.
76539.99999999999	78130	1590	Diesen Preis zahlen alle,
78310	80810	2500	die die Vorteile von Google und Co. nutzen wollen.
81070	84289.99999999999	3220	Immerhin: Die grossen Online-Dienstleister
84390	86490	2100	halten ihre Daten unter Verschluss,
86600	89210.00000000001	2610	da ihr Geschäftsmodell auf ihnen basiert.
90070	93890	3820	Sie schützen die Daten insbesondere auch vor staatlicher Überwachung.
94060	95810	1750	Darum muss in den USA die NSA in ähn- lichem Umfang massiv Daten sammeln,
98830	101250	2420	speichern und mit Such-Algorithmen auswerten,
101400	103729.99999999999	2330	auf der Suche nach Verdächtigem.
105310	108410	3100	Wie weit soll bei uns der Nachrichtendienst gehen dürfen,
108539.99999999999	110410	1870	um zu Daten zu kommen?
110570	110850	280	Wie viel Ausleuchtung braucht der Bürger zu seinem eigenen Schutz
115310	118410	3100	in einer Zeit, in der man unvergleichlich viel weiter
118560	121050	2490	in die Privatsphäre der Leute eindringen kann?
121710	123450	1740	Vertrauliches Wissen über mich
123620	125930	2310	kann mich unter Umständen angreifbar und verwundbar machen.
127070	129250	2180	Es verleiht anderen Macht.
129500	133010	3510	Darum möchte ich selbst bestimmen, wer es bekommt.
133840	136210	2370	Das ist das Grundanliegen des Datenschutzes:
136360	140329.99999999997	3970	dass ich die Kontrolle über meine Daten behalten kann.
140430	140850	420	Ich weiss, auch der Staat ist gefährdet, Gefahren bestehen.
144270	146050	1780	Er ist auch verletzlich.
146230	151130	4900	Also ist Abwägen angesagt: Datenschutz gegen Sicherheit.
152520	155850	3330	Im Netz ist alles potentiell verfügbar, jederzeit und überall.
157590	160610	3020	Allwissenheit und Allgegenwart sind Eigenschaften,
160750	163530	2780	die man früher nur Gott zuschrieb.
163720	169850	6130	Bedeutet das, dass das Internet jetzt göttliche Möglichkeiten auftut?
170990	176730	5740	Gott kommen allerdings noch vollkommene Güte und Freiheit zu.
176820	178820	2000	Diese Mischung macht aus,
178920.00000000003	181660	2740	dass er seine Position nie missbrauchen würde.
181890	185780	3890	Die Bibel sieht menschliche Versuche, auf die göttliche Ebene zu kommen,
185800	185940	140	skeptisch.
187150	190460	3310	Wunderschön: die alte Geschichte über den Turmbau zu Babel,
190680	195020	4340	der grandios scheitert. Man wollte buchstäblich zu hoch hinaus.
195100	197579.99999999997	2480	Erfahrungswissen, nicht nur in der Bibel:
197710	200060	2350	Es menschelt allenthalben.
201780	204900	3120	Der Nachrichtendienst bekommt nach dem Willen des Nationalrats
205070	209060	3990	jetzt grosse Macht - Macht, die Versuchungen mit sich bringt.
209230	214100	4870	Es ist genau diese alte Geschichte. Hier ist Vorsicht angebracht.
214270	215940	1670	Auch Dr. Frankenstein meinte es gut, als er sein Wesen erschuf.
220270	223300	3030	Mir ist Sicherheit auch ein hohes Gut -
223480	227300	3820	aber ich lebe auch sehr gerne in einer offenen Gesellschaft.
227480	230460	2980	Und da kann sich ein Gegensatz auftun,
230560	230900	340	den wir nicht unterschätzen sollten.
233079.99999999997	235660	2580	Ich wünsche Ihnen einen schönen Sonntag.
238310	242100	3790	SWISS TXT / UT-Redaktion Zürich Jillian Steinhauser - 2015
