start	end	duration	text
1540	4730	3190	.
4820	12770	7950	1:1-Untertitelung. Livepassagen können Fehler enthalten.
12870	16290	3420	"Guten Abend. Das ist ""Schweiz aktuell"" und das sind unsere Themen:"
16530	21450	4920	Der Bundesrat macht aus dem heutigen Militärflugplatz Dübendorf
21700	27050	5350	einen Zivilflugplatz inklusive Helikopterbasis der Armee.
28680	31130	2450	Der Erziehungsdirektor von Nidwalden
31280	33730	2450	steht im Westschweizer Fernsehen im Kreuzfeuer,
33940	36410	2470	weil sein Kanton kein Frühfranzösisch mehr will.
38080	41010	2930	Die Walliserin Marguerite Monnet aus Beuson
41170	43610	2440	macht aus der orange-roten Frucht so ziemlich alles:
43820	46330	2510	von Konfitüre über Pommade bis zu Sirup und Schnaps.
48160	52810	4650	In Dübendorf fliegen in Zukunft Privatjets und Kleinflugzeuge.
53000	56330	3330	Der Militärflugplatz Dübendorf im Osten der Stadt Zürich wird
56410	61250	4840	nämlich zu einem zivilen Flugfeld mit einer Bundesbasis für Helikopter.
61460	63850	2390	Das gab der Bundesrat heute Nachmittag bekannt.
64050	66690	2640	Damit fiel nach jahrelangem Kampf
66810	70330	3520	ein wegweisender Entscheid über die Zukunft dieser riesigen Landreserve.
72620	75250	2630	Das ist er, der Zankapfel.
75420	78450	3030	Ein Areal so gross wie 400 Fussballfelder.
78539.99999999999	82250	3710	Genug Platz, um zu forschen und zu fliegen, findet der Bundesrat.
82500	85210.00000000001	2710	Neben dem geplanten nationalen Innovationspark
85330	87810	2480	soll auch die zivile Luftfahrt Platz finden.
88020	91330	3310	Die Flugplatz Dübendorf AG bekam den Zuschlag,
91410	96009.99999999999	4600	ein Konsortium bestehend aus der Fliegerei und der Rega.
96150	98130	1980	Es ist eine sehr grosse Freude, nicht nur
98289.99999999999	102170	3880	für die Flugplatz Dübendorf AG,
102410	105009.99999999999	2600	auch für Schweizer Aviatik und für den Wirtschaftraum Zürich,
105210.00000000001	109090	3880	da wir künftig neben der Geschäfts- fliegerei, auch weitere Flugsegmente
109180	112650	3470	wie Rettungsflüge der Rega, z.B.,
112820	116450	3630	Luftwaffe und Leichtaviatik fliegen lassen können.
116570	118850	2280	So soll der Flugplatz Dübendorf bis in ein paar Jahren aussehen:
119000	121490	2490	Auf der Hauptpiste sollen Kleinflieger und Privatjets
121580	126290	4710	landen und starten.
126380	128330.00000000001	1950	Auch die Armee wird die Piste nicht mehr betreiben,
128539.99999999999	131570	3030	bleibt aber weiterhin mit der Helikopterbasis präsent.
131820	134050	2230	Rund 70 ha Land reserviert der Bundesrat
134080	138050	3970	für den nationalen Innovationspark.
138220	141210	2990	Eine Katastrophe, findet Patrick Walder,
141350	143610	2260	Präsident des Forums Flughafen Dübendorf.
143780	146130	2350	Er wehrt sich vehement gegen die private Fliegerei
146260	149070	2810	und den Innovationspark.
149200	153070	3870	Für Dübendorf und die Anrainergemeinden
153220	156470	3250	ist es das Worst-Case-Szenario, schlimmer geht es fast nicht mehr.
156630	158630	2000	Wir haben jetzt doppelt so viele Flugbewegungen
158760	160710	1950	und die Ausdehnung der Betriebszeiten und
160940	163270	2330	durch den Innovationspark eine massive Mehrbelastung
163430	168829.99999999997	5400	auf Strasse und Schiene oder sonstiger Infrastrukturen.
168990	173510	4520	Der Entscheid des Bundesrates sei ein Fehler, sagt auch Lothar Ziörjen.
173690	175630	1940	Der Dübendorfer Stadtpräsident befürchtet,
175790	177950	2160	dass der Flugplatz Dübendorf zum Auf- fangbecken für Flieger werden wird,
178090	180070	1980	die der Flughafen Zürich nicht mehr will.
180170	184630	4460	Mit dem Innovationspark sei das eindeutig zu viel Belastung.
184740	187030	2290	Wir haben schon heute eine sehr hohe Dichte
187110	189830	2720	und werden in den nächsten 30 Jahren weitere Verdichtungen haben.
190050	192230	2180	Gleichzeitig müssen wir Wohnqualität und Freiraumgestaltung
192350	195470	3120	anbieten müssen,
195610	199550	3940	und da liegt im gleichen Flugraum ein zweiter Flughafen nicht drin.
