start	end	duration	text
14810	16780	1970	MIT TELETEXT-UNTERTITELUNG
18150	20460	2310	Guten Abend miteinander, vielen Dank.
20570	24260	3690	Guten Abend, liebes Publikum, guten Abend, sehr verehrte Gäste,
24330	27420	3090	und herzlichen willkommen, liebe Zuschauerinnen und Zuschauer
27740	29700	1960	"in dieser Abstimmungs-""Arena""."
30780	34820	4040	Kinder zu haben ist das Schönste und Wichtigste für jene, die sie haben.
35040	38180	3140	Jene, die keine haben, sehen das vielleicht etwas anders.
38340	41100	2760	Aber ich glaube, objektiv gesehen, kann man sagen:
41250	42540	1290	Kinder zu haben ist ruinös teuer: Man schätzt, dass ein Kind
45250	47940	2690	rund 450'000 Fr. kostet, bis es gross ist.
48040	52180	4140	Man bekommt immerhin auch einen schönen Betrag an Kinderzulagen,
52340	54980	2640	zusammengezählt vielleicht etwa 55'000 Fr.
55130	57460	2330	Aber von diesen 55'000 Fr. an Familienzulagen
58130	60660	2530	muss man etwa 1/5, also rund 11'000 Fr.,
60790	63060	2270	gleich wieder an Steuern bezahlen.
63690	66740	3050	Ist es fair, dass man Familienzulagen besteuern muss?
66900	70220	3320	Die CVP möchte das mit ihrer Familieninitiative ändern.
70289.99999999999	72460.00000000001	2170	Sie stimmen am 8. März darüber ab und wir diskutieren darüber
73760	77060	3300	"in dieser Abstimmungs-""Arena"". Und zwar mit folgenden Gästen:"
77160	80660	3500	Christophe Darbellay findet, dass Familien Unterstützung brauchen,
80770	84020	3250	besonders jene aus dem Mittelstand - er ist Präsident der CVP,
84220	87300	3080	den Initiativ-Initianten, und Nationalrat aus dem Wallis.
87590	90860	3270	Eveline Widmer-Schlumpf, Bundesrätin und Finanzministerin warnt,
91010	93979.99999999999	2970	dass diese Initiative ein Loch in die Staatskasse reisse,
94190	97660	3470	das wir alle bezahlen müssen - ob mit oder ohne Kinder.
97820	100660	2840	Darum lehnt der Bundesrat diese Initiative ab.
100759.99999999999	102460.00000000001	1700	Bei den Befürwortern steht Nadja Pieren.
102900	105539.99999999999	2640	Sie findet, die Initiative stärke Familien
105700	108539.99999999999	2840	und der Staat könne locker noch etwas sparen.
108710.00000000001	112180	3470	Sie ist SVP-Nationalrätin aus dem Kanton Bern.
113280	116539.99999999999	3260	Bei den Gegnern, neben der Bundesrätin, steht Ruedi Noser,
116720	117460.00000000001	740	der die Initiative unsinnig findet.
119140	122540	3400	Sie würde jenen Familien helfen, die es gar nicht nötig hätten.
122690	126060	3370	Er ist Unternehmer und FDP- Nationalrat aus dem Kanton Zürich.
126150	129860.00000000001	3710	Frau Bundesrätin, Frau Pieren, meine Herren, guten Abend.
137329.99999999997	140140	2810	Herr Darbellay, vor 70 Jahren lancierte die CVP,
140390	144260	3870	oder genauer genommen ihre Vorgän- gerpartei, zuletzt diese Initiative.
144410	147540	3130	Ausgerechnet zu diesem Thema, zu den Familien- oder Kinderzulagen.
148840	151340	2500	Wieso braucht es jetzt noch einmal eine?
152220	155420.00000000003	3200	Wir haben im Parlament versucht, diese Sache durchzubringen.
155530	158420.00000000003	2890	Wir finden es sehr ungerecht, dass von den 5 Mrd.,
158630	162260	3630	die von der Wirtschaft kommen, die Familienzulagen für die Familien,
162410	162500	90	einfach 1 Mrd. vom Staat abgezockt wird.
165750	169180	3430	Das ist ungerecht, das ist kein Lohnbestandteil -
169390	172860	3470	das ist einfach ein Ausgleich. Sie sagten es zu Beginn:
173070	177500	4430	Eine Familie zu haben ist es nicht nur schön, sondern auch kostspielig.
177780	181020	3240	Das ist eigentlich ein Ausgleich für den Kaufkraftverlust.
181180	184900	3720	Wenn das erste Kind kommt, verschwindet 40 % der Kaufkraft.
