start	end	duration	text
1590	6110	4520	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7780	10070	2290	"Guten Abend, meine Damen und Herren. Willkommen zur ""Tagesschau""."
10210	24430	14220	Das macht an diesem Donnerstag Schlagzeilen:
26790	29390	2600	Die EZB senkt den Leitzins und be- schliesst einen Strafzins für Banken.
29600	31910	2310	Der Nationalrat bleibt bei hohen Hürden für den Schweizer Pass.
32009.999999999996	34590	2580	Die Alliierten gedenken des D-Days in Frankreich vor 70 Jahren.
34760	38870	4110	Schweizerinnen und Schweizer sind körperlich aktiv wie nie zuvor.
40750	45150	4400	Abgesehen von vorbeiziehenden Wolkenfeldern schön.
46980	49950	2970	Die Europäische Zentralbank führt ihre lockere Geldpolitik weiter
50150	53030	2880	und lotet dabei neue, unbekannte Tiefen aus:
53240	57190	3950	Der Leitzins wird auf das Rekordtief von 0,15 % gesenkt.
57310	59750	2440	Und es gibt weitere Massnahmen
59840	62190	2350	zur Ankurbelung der europäischen Wirtschaft:
62250	67190	4940	u.a. einen Strafzins von minus 0,1 % für Bankeinlagen bei der EZB
67420	71030	3610	und noch mehr Geld für die Banken zur Kreditvergabe.
71130	73350	2220	Das hat Mario Draghi in Frankfurt
73430	75789.99999999999	2360	mit einem klaren Ziel vor Augen angekündigt.
77770	81910	4140	Um unser Mandat zur Aufrecht- erhaltung der Preisstabilität
82130	85150	3020	in der Eurozone auch weiterhin erfüllen zu können,
85289.99999999999	87470	2180	haben wir heute ein Bündel von Massnahmen
87720	89550	1830	zur weiteren Lockerung der Geldpolitik
89700	92789.99999999999	3090	und zur Förderung der Kreditvergabe an die Realwirtschaft beschlossen.
92880	95870	2990	Denn seit Jahren schon senkt die EZB die Zinsen mit dem Ziel,
95960.00000000001	98509.99999999999	2550	dass die Geschäftsbanken das Geld an die Unternehmen weitergeben
98650	101430	2780	und dass es so zu Wachstum kommt.
101520.00000000001	106470	4950	Doch einen grossen Teil des Geldes, das die Europäische Zentralbank
106680	110390	3710	den Geschäftsbanken ausleiht, geben diese gar nicht an die Firmen weiter.
110560	115270.00000000001	4710	Sie brauchen es selber oder parkieren es wieder bei der EZB.
115410	119950	4540	Für das Parken des Geldes bei der EZB
120130	123910	3780	müssen die Banken nun erstmals einen Strafzins bezahlen.
124000	127150	3150	Damit wird das Parken unattraktiver, das Geld soll wieder fliessen,
127280	129830.00000000001	2550	was die Konjunktur anschieben würde.
129960.00000000001	131990	2030	Allerdings weiss Mario Draghi auch,
132090	134430	2340	dass es mit all diesen geldpolitischen Massnahmen alleine
134560	136630	2070	nicht getan ist.
136770	138790	2020	Auch die Krisenstaaten in der Eurozone
138880	141110	2230	müssen ihre Hausaufgaben machen:
141250	144070	2820	Im Hinblick auf all die wirtschaftlichen Reformbemühungen
144240	147230	2990	sind wichtige Schritte bezüglich Wettbewerbsfähigkeit der Staaten
147329.99999999997	149910	2580	und Arbeitsmarktreformen unternommen worden.
149990	152310	2320	Allerdings sind die Fortschritte nicht überall gleich
152550	156590	4040	und v.a. ist der Prozess bei Weitem noch nicht abgeschlossen.
158160	159910	1750	Mit allergrösster Spannung
160010	162110	2100	wurde die EZB-Pressekonferenz in Europa erwartet.
162270	164350	2080	Und, Christian Kolbe, wurde wirklich Schmiermittel
164460	167630	3170	für den europäischen Wirtschaftsmotor in Umlauf gebracht?
167740	178190	10450	Wir untertiteln live:
178250	180190	1940	Wenn das tatsächlich das Schmiermittel sein soll,
183300	185270	1970	ist es kein gutes, und es wird bald verpuffen.
186850	188750	1900	Das hat man zum Beispiel beim Euro gesehen,
191290	193230	1940	er hat zuerst etwas an Wert verloren,
197510	200270	2760	aber nur einige Std. später hat er das minus schon wieder wettgemacht,
200390	202350	1960	erneut an Wert zugelegt.
203860	205870	2010	Damit war die Massnahme schon verpufft.
208329.99999999997	210910	2580	Die europäische Wirtschaft braucht nicht noch mehr Schmiermittel,
211030	213070	2040	sondern Reformen.
213410	215829.99999999997	2420	Der Strafzins ist aber doch eine Premiere. Bringt der denn gar
215970	217910	1940	nichts?
220490	222430	1940	Der Strafzins wird nicht viel bringen,
223630	225630	2000	und auch das neue Geld nicht.
226190	228070	1880	Das Problem ist,
230660	232590	1930	dass im Herbst ein Stresstest ansteht.
233240	235270	2030	Für die europäischen Banken.
236120	238070	1950	Um dort besser auszusehen,
245350	247350	2000	parken die Banken das Geld lieber wieder bei der EZB.
250300	252350	2050	Und am billigen Geld sind sie gar nicht interessiert,
254380	256230.00000000003	1850	denn vor dem Stresstest werden sie sich hüten,
262130	264270	2140	weiter eventuelle risikobelastete Kredite zu vergeben.
264820	267550	2730	Wenn das alles so lauwarm ist, warum ist der deutsche Leitindex DAX
267750	269990	2240	ausgerechnet heute über die Rekordmarke von 10'000 Punkten
270080	271190	1110	geschossen?
271340	273270	1930	Es gibt schon noch Institutionen,
276860	279030	2170	die sich über das billige Geld freuen, und das sind die
279270	281110	1840	Aktienmärkte.
283880	285790	1910	Das Geld wird dann unter anderem dafür genutzt,
286230	288190	1960	um Aktien zu kaufen,
288330	290870	2540	darum steigen die Kurse.
293020	294590.00000000006	1570	Die Entscheidungen der EZB bieten natürlich
294850	296430	1580	auch am Swiss Economic Forum SEF in Interlaken Gesprächsstoff.
296570	298110	1540	"Die ""Tagesschau"" hat sich unter den Schweizer Wirtschaftsführern,"
298350	301030	2680	Politikern und Wissenschaftlern umgehört,
301110	303750	2640	gewissermassen den EZB-Zinspuls am Wirtschaftsforum genommen.
305030	307230	2200	Ich denke, diese Ankündigung der EZB
307330	309270	1940	ist grundsätzlich positiv für die Schweiz.
309390	311190	1800	Es ist sehr wichtig,
311300	313630	2330	dass die Unternehmen in Europa wieder investieren können.
