start	end	duration	text
1630	6640	5010	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6910	9680	2770	"Die ""Tagesschau"", meine Damen und Herren, guten Abend."
9830	13480	3650	Jetzt wird es konkreter mit der Masseneinwanderungs-Initiative:
14780	19440	4660	Der Bundesrat will die Masseneinwanderungs-Initiative
19540	21480	1940	wortgetreu umsetzen.
23460	26360	2900	Der ukrainische Präsident Poroschenko
26540	28920	2380	will den Weg für den Friedensplan freimachen.
30260	35680	5420	Die Schweizer Mannschaft geht zuver- sichtlich ins Spiel gegen Frankreich.
36820	41480	4660	Meist wolkenlos bei 24-28 C°.
42750	46240	3490	Wie würde sie umgesetzt werden, die Masseneinwanderungs-Initiative?
46390	48520	2130	Das war eigentlich d i e Frage
48700	51600	2900	nachdem die Vorlage im Februar vom Volk angenommen wurde.
51760	55920	4160	Heute hat der Bundesrat seine Vorschläge dargelegt,
56030	58140	2110	wie er gedenkt, die Vorlage umzusetzen:
58340	61380	3040	Das Modell sieht vor, dass der Bundesrat
61480	63860	2380	die Kontingente und Höchstzahlen festlegt.
64019.99999999999	67700	3680	Wie strikt sich der Bundesrat nun an den Initiativ-Text hält -
67840	69900	2060	Hans Bärenbold berichtet aus Bern:
71590	75420	3830	"""Die Schweiz regelt die Zuwanderung selbständig""."
75650	79340	3690	Das haben wir uns am 9. Februar in die Verfassung geschrieben.
79430	81500	2070	Und dem gehorcht der Bundesrat
81700	85060	3360	mit dem heute präsentierten neuen Zuwanderungskonzept.
85250	88700	3450	Sie können nicht beliebig mit der Verfassung umgehen.
88870	90940	2070	Wenn wir die Verfassung nicht mehr als Autorität verstehen,
91110	93700	2590	woran können wir uns dann noch halten in unserem Staat,
93840	95780	1940	und was gilt dann überhaupt noch?
95900	98340	2440	Wie vorgeschrieben, will der Bundesrat deshalb
98420	100580	2160	in Zukunft Kontingente festlegen
100729.99999999999	104020.00000000001	3290	für alle Kategorien von Aufenthaltsbewilligungen.
104240.00000000001	108460.00000000001	4220	Ausgenommen sind nur Kurzaufenthalter bis 4 Monate.
108670	111539.99999999999	2870	Dabei sind die Bedürfnisse der Wirtschaft in den Kantonen
111630	114380	2750	für den Bundesrat ausschlaggebend.
114580	119180	4600	Sie ergeben zusammen ein nationales Jahreskontingent.
119340	125660	6320	Der Bundesrat lässt sich von einem Gremium beraten.
134140	136620	2480	Dass dieses Kontingentssystem
136780	139540	2760	dem freien Personenverkehr mit der Europäischen Union widerspricht,
139650	141780	2130	weiss auch der Bundesrat.
141980	143980	2000	Trotzdem will er Kontingente einführen
144110	147579.99999999997	3470	und es in Brüssel damit versuchen.
147690	149660	1970	Können Sie sich vorstellen, dass der Bundesrat sagt,
149780	152700	2920	nur weil wir spekulieren oder vielleicht damit rechnen müssen,
152860	155460	2600	dass es europapolitisch nicht ganz einfach wird,
155710	159300	3590	lassen wir jetzt einfach diese Verfassungsbestimmung bei Seite?
159420.00000000003	161020	1600	Das geht doch nicht.
161240	163980	2740	Der EU wird das Dilemma, in dem sich die Schweiz befindet,
164070	167300	3230	demnächst mitgeteilt und der Entwurf zum neuen Gesetz
167450	169620	2170	soll noch dieses Jahr vorliegen.
171420.00000000003	172780	1360	Der Bundesrat
172990	176060	3070	will und muss also die Zuwanderung wieder mit Kontingenten steuern.
176190	178180	1990	Diese Kontingente sollen variieren -
178320	181020	2700	je nachdem, wie viele Arbeitskräfte die Wirtschaft benötigt.
181250	182500	1250	Was das bedeutet,
182660	186620	3960	erklärt Bundesrätin Sommaruga im Gespräch mit Hanspeter Forster.
188090	191180	3090	Wenn man zurückschaut, früher in den 60er Jahren,
191460	193140	1680	als man auch Kontingente hatte, da gab es Jahre,
193370	195820	2450	wo tatsächlich die Zuwanderung höher war
195970	198579.99999999997	2610	als jetzt im Rahmen der Personenfreizügigkeit.
198740	201579.99999999997	2840	Weil einfach damals der Wirtschaftsmotor brummte.
201829.99999999997	212020	10190	Das können wir heute nicht ausschliessen
212130	215220	3090	Aber die Bevölkerung hat gesagt, dass sie eine Reduktion der
215380	217340	1960	Zuwanderung will.
218560	222100	3540	Da hat der Bundesrat mit einem Umsetzungskonzept genau aufgezeigt,
222210	224180	1970	was zu tun ist.
226660	229460	2800	Sie verzichten auf die Regelung des Familiennachzugs.
229829.99999999997	231740	1910	Das wird Widerstand geben.
242110	245820	3710	Ich hoffe, niemand will Zustände wie wir sie mit dem Saisonnier-Status
245960	247940	1980	hatten.
248430	252340	3910	Der Bundesrat und die Expertengruppe haben gesagt, sie das nicht wollen.
252460	254380	1920	Wie geht es mit der EU weiter?
257010	260060	3050	Das ist der nicht mit der Personenfreizügigkeit vereinbar,
260200	262180	1980	was Sie vorschlagen.
263450	265700	2250	Riskieren wir einen grossen Scherbenhaufen?
266990	268940	1950	Der Verfassungsartikel
272150	274700	2550	ist mit dem Freizügigkeitsabkommen nicht vereinbar.
275490	277380	1890	Aber er wurde vom Volk angenommen.
280170	283020	2850	Der Bundesrat will die Verfassungsbestimmung umsetzen.
283180	284580	1400	Es braucht ein Gesetz.
284760	287100	2340	Gleichzeitig hat der Bundesrat entschieden,
289950	292740	2790	dass er mit einem Revisionsbegehren an die EU gelangt.
294870	297860	2990	Anbietet neue Ausgangslage mit der EU neu verhandeln.
300580	302660	2080	Die Reaktionen auf die Pläne des Bundesrats
302780	304380	1600	fallen sehr unterschiedlich aus.
304480	306460	1980	Die SVP kritisiert v.a. den Fahrplan des Bundesrates
306600	308980	2380	und schreibt in ihrer Medien- mitteilung, dieser sei inakzeptabel.
309130	310980	1850	Man müsse nicht zuerst mit der EU verhandeln
311220	313340	2120	und dann eine Schweizer Lösung suchen, sondern umgekehrt:
380100	381900	1800	Die Vorschläge des Bundesrats
382110	384300	2190	stossen in der Wirtschaft auf gemischte Reaktionen.
384450	386940	2490	Für die einen sind sie zu streng, zu rigide.
387060	388980	1920	Anderen gehen sie zu wenig weit.
389180	393380	4200	Erwartungsgemäss kritisch reagiert EU-Gegner Christoph Blocher.
395070	398060	2990	Die Kontingente alleine bringen noch nicht eine kleinere Zuwanderung.
398260	400659.99999999994	2400	Man kann die Kontingente so hoch machen,
400750	404020	3270	dass es trotzdem eine grosse Zuwanderung gibt.
404150	406300	2150	Der Inlandvorrang ist wichtig
406530	412020	5490	und er macht erklärtermassen im Familiennachzug nichts.
412120	414060	1940	Das ist ein grosses Problem.
414630	416940	2310	Das Umsetzungskonzept des Bundesrates
417030	418840.00000000006	1810	respektiert den Volkswillen.
419070	422300	3230	Aus Sicht der Wirtschaft hat man den grösstmöglichen Spielraum
422440	426780	4340	im Bezug auf die Beibehaltung des flexiblen Arbeitsmarktes erreicht.
427030	430590	3560	Mit Ausnahme der Kurzaufenthaltsbewilligungen.
430780	436230	5450	Wir bevorzugen eine Ausnahme von den Kontingenten bis zu einem Jahr.
436360	440310	3950	Das jetzige Vorgehen ist rigide.
