start	end	duration	text
110	2890	2780	.
3000	8170	5170	1:1-Untertitelung
12020	15570	3550	"Grüezi, das ist ""Schweiz aktuell"" - heute mit diesen Themen:"
18880	21370	2490	Heerscharen von Kirschessigfliegen
21500	24730	3230	vernichten die Ernte der Winzer im Kanton Schaffhausen.
27400	29570	2170	Von einer seltenen Schafrasse
29730	32170	2440	sind im Oberwallis über 100 Tiere einfach verschwunden -
32290	34250	1960	die Ermittler tappen im Dunkeln.
36710	38770	2060	In Bern messen sich an den SwissSkills
38980	41490	2510	die besten der besten Lehrlinge und Frischausgebildeten.
43420	47660	4240	Sie heisst Drosophila suzukii, kommt - wie der Name schon verrät -
47820	51390	3570	ursprünglich aus Südostasien und ist für Menschen völlig harmlos.
51640	54910	3270	Schlaflose Nächte aber bringt die sog. Kirschessigfliege
54960	59150	4190	den Obst- und Weinbauern.
59300	62230	2930	Wenn sich die Fliegen nämlich über die Früchte, Kirschen, Pflaumen
62320	65030	2710	oder Trauben hermacht, dann schmecken sie nicht mehr nach feinen Früchten,
65170	67390	2220	sondern nach Essig.
67590	69830	2240	Die Fliegen verbreiten sich wahnsinnig schnell.
70000	71990	1990	Eine Notsituation in der ganzen Schweiz -
72160	74030	1870	auch für die Winzer im Kanton Schaffhausen,
74280	76390	2110	die zum ersten Mal gegen die neuen Feinde ankämpfen müssen.
76480	78270	1790	Raphael Amrein berichtet.
78890	81070	2180	Um eine optimale Reife zu bekommen,
81230	83470	2240	würden die Trauben am städtischen Rebberg in Schaffhausen
83580	85630	2050	noch 2 Wochen hängen bleiben.
85720	88550	2830	Doch Rebmeister Martin Graf hat kurz- fristig eine Notablese organisiert,
88750	91350	2600	um zu retten, was es noch zu retten gibt.
91440	93800	2360	Es wird eine schwierige Arbeit,
93970	96640	2670	denn wir haben hier drin die Kirschessigfliege.
96850	101000	4150	Diese hat schon sehr viele Trauben befallen.
101190	105680	4490	Wir müssen all die Trauben, die verletzt sind, wegnehmen.
105820	109600	3780	Hier können wir auch den Spitz wegnehmen, hier müssen wir schauen.
109800	112240.00000000001	2440	Man sieht, dass es spritzt, wenn man es anfasst.
112320	115720	3400	Diese sind alles angestochen.
115850	117920	2070	Viel bleibt nicht mehr übrig -
118150	121760	3610	die Kirschessigfliege hat 3/4 der Ernte zerstört.
121940	126480	4540	Die meisten Trauben sind voller Fliegenlarven.
126710	129160	2450	Die Population hat sich enorm entwickelt,
129360.00000000001	132440	3080	die kantonalen Stellen haben schon länger darauf hingewiesen,
132520	134640	2120	dass diese Fliege sich immer stärker vermehrt.
134870	137480	2610	Aber dass es gerade so kommt, das hätte niemand gedacht.
137620	141000	3380	Wir wurden schon total überrumpelt.
141160	144160	3000	Das Insekt zielt auf alle Arten von Weinobst ab.
144250	148920.00000000003	4670	Doch weil die Weintrauben spät reifen,
149120	152440	3320	haben die Fliegen dort besonders viel Zeit, um sich zu vermehren.
152540	155480	2940	Die Kirschessigfliege legt ihre Eier in die Traube,
155680	158380	2700	darauf hin schmeckt die Frucht nach Essig und ist nicht mehr geniessbar.
158480	160860	2380	Die Fliege ist das erste Mal vor 3 Jahren in der Schweiz aufgetaucht,
160950	162860	1910	allerdings nur ganz vereinzelt.
162910	165579.99999999997	2670	Wegen des milden Winters und sehr feuchten Sommers dieses Jahr
165680	167900	2220	haben sich die Schädlinge jetzt stark vermehrt
168000	170380	2380	und treiben flächendeckend in der ganzen Schweiz ihr Unwesen.
170510	172500	1990	So auch in den Rebbergen von Hallau,
172620	175579.99999999997	2960	wo v.a. Blauburgundertrauben wachsen.
175710	177980	2270	Einer der Winzer ist Christian Roth.
178150	180500	2350	Seit über 30 Jahren pflegt er hier seine Trauben.
180600	183100	2500	Die Kirschessigfliegen brächten Probleme in einem Ausmass,
183360	186740	3380	die die Weinbauern bis jetzt nicht gehabt hätten, sagt er.
186870	189300	2430	Das sorgt für schlaflose Nächte.
189450	192900	3450	Es gibt einige Rebbauern, die nahe an der Hysterie sind.
192950	195700	2750	Wir müssen es aber doch sachlich betrachten,
195890	199540	3650	wir müssen schauen, dass wir etwas dagegen machen können.
199700	203180	3480	10 % seiner Trauben sind bereits zerstört.
203270	205500	2230	Und die Zeit drängt.
205680	207900	2220	Doch weil sie zum Pflücken noch zu wenig reif sind,
208070	210620	2550	greift Christian Roth zu aussergewöhnlichen Massnahmen.
210770	212980	2210	Er bespritzt seine Reben 2 Wochen vor der Ernte
213079.99999999997	215300	2220	mit einem abbaubaren Insektizid,
215490	218180	2690	etwas, was ein Winzer sonst nie machen würde.
218329.99999999997	220540	2210	Der Bund hat jetzt wegen der Notsituation
220620	222620	2000	aber eine Sonderbewilligung gegeben.
222720	224780	2060	So hofft der Hallauer,
224910	228140	3230	dass die Fliegen nicht mehr als 1/4 seiner Ernte vernichten können.
228290	230300	2010	Der Winzer könne sich glücklich schätzen,
230390	232500	2110	dass er noch Insektizid habe,
232720	235300	2580	sagt Markus Leumann, Leiter vom Landwirtschaftsamt Schaffhausen.
235490	238620	3130	Wegen der Fliegenplage seien die Mittel europaweit ausverkauft.
238720	242100	3380	Zusammen mit dem Bund, den Kantonen, Rebbau- und Pflanzenschutzexperten
