start	end	duration	text
11440	13780	2340	MIT TELETEXT-UNTERTITELUNG
14450	16740	2290	Liebe Zuschauerinnen und Zuschauer,
16880	21380	4500	Winterthur ist zwischen 7 Hügeln gebaut - wie das antike Rom.
21640	24420	2780	Im Moment wohnen hier über 100'000 Menschen,
24560	25300	740	es ist die sechstgrösste Stadt der Schweiz.
27960	32940	4980	Und morgen feiert Winterthur das 750-Jahr-Jubiläum des Stadtrechts.
34410	38380	3970	Wenn ich auf diese Stadt hinunterschaue, frage ich mich:
39240	40300	1060	Haben Städte wohl eine besondere Bedeutung
41960	44380	2420	im Rahmen der menschlichen Evolution?
45940	47820	1880	Immerhin lebt zurzeit
48000	51020	3020	über die Hälfte der Weltbevölkerung in Städten.
51120	53140	2020	Tendenz rasant steigend.
54070	55220	1150	Ich selber bin ein urbaner Mensch und fühle mich in einer Stadt wohl.
59530	63580	4050	Seit einigen Jahren - noch nicht 750 - hier in Winterthur.
64400.00000000001	68620	4220	Deshalb singe ich jetzt ein Loblied auf den Lebensraum Stadt.
68720	70300	1580	Andere würden wahrscheinlich das Dorf als idealen Ort anpreisen.
74030	77940	3910	Auch in der Bibel gibt es die unterschiedlichsten Bewertungen
78170	80020	1850	des Phänomens Stadt.
80360	83220	2860	Von der Hure Babylon bis zum himmlischen Jerusalem.
84470	85220	750	Ich als Stadtmensch nehme mir jetzt einfach das Recht,
88080	90580	2500	einige markante Vorteile des Städtischen
90750	95060	4310	für die Entwicklung und Entfaltung von uns Menschen hervorzuheben.
95160	97300	2140	Hier der erste, der mir einfällt:
97430	100300	2870	Das nahe Zusammenleben in der Stadt erlaubt es,
100660	102860	2200	dass wir uns stark spezialisieren.
103080	105460.00000000001	2380	Tiere sind in der Regel Alleskönner.
106030	110259.99999999999	4230	Nahrungsbeschaffung, Nestbau, Aufzucht der Nachkommenschaft,
110440	113420	2980	Verteidigung - jedes Tier kann praktisch alles.
113920	115340	1420	Bei uns Menschen ist die Tendenz,
116350	120700	4350	dass jeder von uns nur einen Teil von allem kann, den dafür viel besser.
120920	123740	2820	Für den Rest sind wir auf andere angewiesen.
123830	126860	3030	Und in der Stadt gibt es Spezialisten für alles.
127030	130259.99999999999	3230	Dank dieser hohen Spezialisierung sind wir Menschen fähig
130830.00000000001	135140	4310	zu einem unglaublichen Fortschritt - in Wissen, Technik und Kultur.
136880	140820	3940	Der zweite positive Aspekt, den Städte tendenziell begünstigen,
141010	143740	2730	ist die demokratische Entscheidungsfindung.
143870	145260	1390	Schon die Händler und Handwerker im Mittelalter wollten selber sagen,
148470	150660	2190	was mit ihrem Geld geschehen soll.
150840	154620	3780	Der Wunsch nach Selbstorganisation und Selbstbestimmung
154880	158180	3300	wächst natürlich dort, wo man dicht zusammen wohnt.
158550	160300	1750	Und die Demokratie ist für mich bis heute die politische Form,
162780	166040	3260	die der Menschenwürde am meisten entspricht.
171390	175280	3890	In einer Stadt mit vielen Menschen, die total verschieden sind,
175660	178600	2940	können Minderheiten einigermassen gut mitleben.
178710	180680	1970	Es fällt nicht so auf,
180900	183840	2940	wenn man anders aussieht und anders ist.
185350	189320	3970	Deshalb ist das urbane Zusammensein eine Einladung zur Toleranz.
189470	190280	810	Und das ist eine wesentliche Voraus- setzung für unsere Gesellschaft,
193890	197440	3550	die aus unterschiedlichen Kulturen zusammengesetzt ist
197430	199880	2450	und in Zukunft noch viel mehr sein wird.
201040	203320	2280	Wenn man so über die Stadt schaut,
203550	205320	1770	sieht man im Zentrum und in den meisten Quartieren Kirchen.
207740	211560	3820	Sie unterbrechen das geschäftige Treiben mit einem Freiraum,
211800	214440	2640	der eine andere Dimension ins Spiel bringt.
215230	219560	4330	So berühren sich mittendrin Himmel und Erde ein wenig.
220270	220360	90	Bei uns hier in Winterthur, aber natürlich auch an jedem andern Ort.
225390	229280	3890	Ihnen allen einen guten Sonntag, wo immer Sie zu Hause sind.
232630	235360	2730	SWISS TXT / UT-Redaktion Zürich Claudia Burri - 2014
