start	end	duration	text
3420	5690	2270	.
6260	11330	5070	1:1-Untertitelung
12050	14930	2880	"Das ist der ""Club"" - heute mit Karin Frei."
15670	17690	2020	Guten Abend, es freut mich, sind Sie mit dabei.
18410	21130	2720	Nie gehen so viele Beziehungen auseinander wie in den Ferien.
21830	24370	2540	Das, was zurückbleibt, ist nicht selten der Liebeskummer -
25110	28970	3860	ein Phänomen, mit dem sich aktuell auch die Forschung befasst.
29660	33300	3640	Ein Phänomen, das häufig unterschätzt wird - und tabuisiert.
34000	37960	3960	"Meine Gäste heute Abend im ""Club"" sind nicht nur Betroffene,"
38730	42680	3950	auch Experten sprechen hier über ihren Liebeskummer.
43400	47280	3880	Es freut mich, ist Sandra Koch dabei, kaufmännische Angestellte,
47920	50600	2680	20 Jahre lang in einer sehr harmonischen Beziehung -
51310	53920	2610	ihr Freund hat sie für eine jüngere Frau verlassen.
54640	57000	2360	Dabei ist auch Francis Schnyder, IT-Fachmann,
57650	59840	2190	er hat in seinem Leben immer wieder grossen Liebeskummer
60570	63000	2430	und entwickelte selbst Überlebensstrategien.
63780	66920	3140	Marco Caimi ist bei uns, Arzt mit einer Praxis speziell für Männer.
67660	70120	2460	Seine Beziehung ist in die Brüche,
70940	72800	1860	weil sich die Frau in einen anderen Mann verliebt hat.
73450	75240	1790	Wut war seine erste Reaktion.
75930	78760	2830	Mona Gross-Pfeiffer ist bei uns,
79470	81680	2210	Schmerztherapeutin und Lifecoach, also Lebensberaterin.
82410	84920	2510	Sie war die Frau des Fussballtrainers Christian Gross
85640	88200	2560	und litt schwer, als diese Beziehung auseinanderging.
88970	92000	3030	Und dann ist mit bei uns auch
92690	95160	2470	der Psychologe und Paartherapeut Henri Guttmann.
95810	97720	1910	Auf einer Reise in Amerika vor vielen Jahren
98440	100360	1920	hat er die Liebe seines Lebens kennengelernt -
101020.00000000001	103000	1980	diese hat aber einen noch besseren getroffen.
103759.99999999999	104880	1120	Ich begrüsse Sie ganz herzlich.
105560	107479.99999999999	1920	Jeder kennt ihn, keiner mag ihn - den Liebeskummer.
108220	112000	3780	Und wenn es passiert, dann sind die Gefühle, die aufkommen, gewaltig.
112729.99999999999	115759.99999999999	3030	Sandra Koch, bei Ihnen ist es ein paar Jahre her.
116470	118640	2170	Dreieinhalb.
119370	124040	4670	Können Sie sich noch an den Moment erinnern, können Sie die Gefühle,
124740	126920	2180	die Sie da hatten, beschreiben?
127660	130160	2500	Schock.
130830.00000000001	134840	4010	Absoluter Schock, sprachlos. Genau so.
135570	141120	5550	Aus allen Wolken gefallen. - Ja, in diesem Moment definitiv.
141860	146800	4940	Es gab Diskussionen zu Hause, man merkte, man hat Hoch und Tiefs.
147540	150280	2740	Man denkt sich, es war auch schon besser,
150970	154320	3350	man versucht zusammen zu sprechen, versucht zu diskutieren,
155010	156160	1150	wie soll es weitergehen -
156900	160440	3540	und dann die Eröffnung, er habe jemanden kennengelernt.
161180	163560	2380	Der erste Moment ...
164290	167400	3110	Ich konnte nicht mehr sprechen, ich musste gehen,
168020	171800	3780	musste die Wohnung verlassen.
172530	180480	7950	Schock, betäubt sein, nicht reagieren können -
181170	183120	1950	Mona Gross, wie war es bei Ihnen?
183860	186040	2180	Bei mir ist es eine andere Geschichte gewesen.
186620	188960	2340	Es gab immer Ups and Downs.
189660	192200	2540	Das war eine Geschichte, die schon einmal war,
192930	195480	2550	man hat sich wieder zusammen getan, weil man sich doch liebte.
196240	200200	3960	Bei mir war es so, dass sehr viel Hoffnung vorhanden war.
200920.00000000003	205680	4760	Aber auch sehr viel Wissen, dass es wieder passieren kann.
206410	212600	6190	Und wenn es mehrmals passiert - die Hoffnung im Herzen tragen,
213290	216600	3310	die Beziehung soll halten,
217329.99999999997	219480	2150	aber doch hat man ein Männlein auf der Schulter, das sagt,
220270	225079.99999999997	4810	es wird wieder einmal etwas passieren.
225750	228320	2570	Das letzte Mal, als die Beziehung endgültig auseinander ging,
229140	232079.99999999997	2940	da muss ich sagen, habe ich kurz und heftig gelitten.
232810	234320	1510	Ich war ohnmächtig.
235040	237360	2320	Ich hatte alle körperlichen Symptome, die man haben kann.
237980	239200	1220	Welche?
239940	244440	4500	Ich habe neun Kilo abgenommen, ich konnte nicht essen, nicht schlafen,
245180	250680	5500	hatte Herzschmerzen. Ich war einfach am Boden.
251450	254290	2840	Es ist spannend: Sie sagen, es war mit dem gleichen Mann
255060	257810	2750	nicht das erste Mal, dass es auseinanderging.
258510	260690	2180	Man könnte meinen, wenn es wiederholt passiert,
261329.99999999997	263620	2290	das es dann nicht mehr so sehr wehtut. Henri Guttmann?
264300	265900	1600	Das trifft offenbar nicht du.
