start	end	duration	text
400	3200	2800	.
3360	6400	3040	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7680	9320	1640	Guten Abend, meine Damen und Herren,
9530	11080	1550	"ich begrüsse Sie zur ""Tagesschau""- Hauptausgabe"
11300	13200	1900	an diesem Donnerstagabend - u.a. mit diesen Themen:
14880	17720	2840	Die Emme richtet im Kanton Bern grosse Schäden an.
19700	23480	3780	Die EU verhandelt definitiv nicht über die Personenfreizügigkeit.
26280	29680	3400	Die ukrainische Regierung tritt geschlossen zurück.
31970	34320	2350	Mit Platzregen v.a. in den Bergen und im Süden.
37290	39480	2190	Und bevor wir zu den Überschwemmungen in der Schweiz kommen,
39620	41080	1460	schauen wir in die Ukraine,
41310	44360	3050	wo die Regierung vor gut 2 Std. zurückgetreten ist.
44510	47760	3250	Und das Mitten im bewaffneten Konflikt um die Ost-Ukraine.
47930	51520	3590	Ministerpräsident Arsenij Jazenjuk hat seinen Rücktritt bekannt gegeben,
51700	55680	3980	nachdem 2 Parteien aus dem Regierungsbündnis ausgetreten sind.
57910	60040	2130	Wenn es keine handlungsfähige Koalition mehr gibt,
60160	62440	2280	dann sind die Regierung und der Ministerpräsident
62570	64959.99999999999	2390	gezwungen, zurückzutreten.
65060	66560	1500	Ich erkläre meinen Rücktritt
66710	68720	2010	angesichts des Zusammenbruchs der Koalition
68890	78680	9790	und der anhaltenden Blockade von Vorstössen der Regierung.
78850	82320	3470	Seit Wochen schon ist im Parlament mehr oder weniger alles blockiert,
82510	84280	1770	es gibt kaum mehr Mehrheiten für die Regierung.
84480	88120	3640	Aus Frustration verlassen nun 2 Parteien die Koalition:
88210.00000000001	92080	3870	die Rechtsnationalen und die EU-freundliche UDAR.
92340	96120	3780	Die austretenden Parteien verlangen Neuwahlen innerhalb von 30 Tagen.
96289.99999999999	99520.00000000001	3230	Präsident Poroschenko hat die Auflösung der Regierung
99630	101240.00000000001	1610	bereits angenommen.
103190	104720	1530	In der äusserst angespannten Situation ist jetzt also
104800	106800	2000	auch noch die Regierung in der Ukraine weg.
106940	108720	1780	Peter Gysling in Moskau, was heisst das denn jetzt für das Land?
108800	117720	8920	Wir untertiteln live:
117820	119960.00000000001	2140	Die beiden Parteien, die die Koalition verlassen haben,
121700	123640	1940	taten es nicht aus Protest,
127460	129360.00000000001	1900	sondern um Parlamentswahlen hervorzurufen.
135060	137360	2300	Sie laufen auf neuere nach Westen akzentuierte Mehrheiten.
145620	148480	2860	Aber bei Ministerpräsidenten gab es einen Frust, er ist zurückgetreten.
153480	155720	2240	Vor 15 Min. wurde im Parlament bekannt, dass es eine der
155800	157760	1960	Vizepremiers
158860	160760	1900	zum neuen geschäftsführenden wählen könnte.
163450	165360	1910	Kann der neue Mann die immensen Probleme lösen?
166860	168800	1940	Er wird es schwer haben.
171530	173440	1910	Er wird eine Mannschaft zusammensetzen müssen.
179670.00000000003	182440	2770	Ein solch neuer Ministerpräsident verfügt nicht mehr über die nötigen
182550	184600	2050	Mehrheiten im Parlament.
191780	194200	2420	Ukrainer ist gefordert durch wirtschaftliche Probleme und den
194330	196320	1990	Krieg.
199900	202320	2420	Da ist es nötig, unbeliebte entscheidet zu treffen, die nicht
202430	203800	1370	von allen getragen werden könnten.
204060	205960	1900	Die neue Regierung dürfte es äusserst schwer haben.
209370	211800	2430	Die Ukrainer hat sich selbst in einer weiteren schweren Krise
211930	213760	1830	gestürzt.
216900	218680	1780	In den Niederlanden sind heute
218790	221520	2730	weitere Opfer des Flugzeugabsturzes in der Ost-Ukraine angekommen.
221640	224200	2560	Die beiden Maschinen landeten am Nachmittag in Eindhoven.
224370	226560	2190	Nach dem gestrigen nationalen Tag der Trauer steht nun aber
226730	228600	1870	wieder die Untersuchung des Unglücks im Vordergrund.
