start	end	duration	text
110	1430	1320	.
1660	4790	3130	1:1-Untertitelung
6150	8590	2440	Guten Abend, guten Weihnachtsabend, meine Damen und Herren.
8670	11310	2640	"Hier ist die ""Tagesschau"", und das sind unsere Schlagzeilen:"
13370	15310	1940	Papst Franziskus
15490	18670	3180	geisselt in der Weihnachtspredigt die Konsumgesellschaft.
20870	23990	3120	Die Repräsentanten der griechischen und der türkischen Bevölkerung
24110	26990	2880	wollen die Teilung überwinden.
28690	32990	4300	Das milde Wetter zog heute Massen nach draussen.
35230	40710	5480	"Der erste Teil des ""Tageschau""-Rückblicks 2015."
42300	45670	3370	Mit viel Sonne, im Mittelland gebietsweise Nebel.
47630	53230	5600	Urbi et Orbi - den päpstlichen Segen gibt's nur zweimal im Jahr.
53400	58550	5150	An Ostern und an Weihnachten, also heute.
58630	69150	10520	Patris et Filii et Spiritus Sancti
69310	74950	5640	descendat super vos et maneat semper.
75090	79310	4220	Der Papst beliess es aber an diesen heiligen Tagen nicht nur beim Segnen.
79539.99999999999	83910	4370	Er mahnte auch an und kritisierte den Materialismus -
83990	87230	3240	insbesondere gestern in der Mitternachtsmesse.
89000	98070	9070	# Nativitas Domini nostri Jesu Christi ...
98150	99750	1600	Die Mitternachtsmesse -
99950	104830	4880	sie dreht sich traditionell um die frohe Botschaft der Geburt Jesu.
104910	107670	2760	Symbolisch küsst Papst Franziskus zu Beginn der Feierlichkeiten
107780	110390	2610	eine Christkindfigur.
110580	113190	2610	Mit Symbolik begnügt sich Papst Franziskus jedoch nicht.
113420	117070	3650	Er wird auch konkret und spricht den Gläubigen ins Gewissen.
117180	120150	2970	Und kritisiert Konsumrausch und Narzissmus,
120280	122430	2150	die die Gesellschaft prägten.
124840	128150	3310	In einer Kultur der Gleichgültigkeit,
128259.99999999999	131190	2930	die nicht selten in Rücksichtslosigkeit mündet,
131360	134750	3390	sollte unser Lebensstil demütig sein,
134920	141150	6230	geprägt von Mitgefühl, Barmherzigkeit und Gnade.
141329.99999999997	147190	5860	Rund 10'000 Gläubige verfolgen die Messe im Petersdom.
147390	149270	1880	Wegen Terrorgefahr
149420.00000000003	152270	2850	sind die Sicherheitsvorkehrungen grösser als üblich.
154790	157910	3120	Eine Weihnachtsbotschaft der etwas anderen Art gab's in Zypern.
158120	161390	3270	Die politischen Führer der beiden getrennten Landesteile
161560	164590	3030	haben ihren Bürgern frohe Weihnachten gewünscht -
164750	167430	2680	und das erstmals seit 41 Jahren gemeinsam.
167550	169390	1840	Damals, vor 41 Jahren,
169560	172430	2870	hatte die griechische Junta die Regierung geputscht,
172670.00000000003	175400	2730	worauf türkische Truppen einen Teil der Insel besetzten.
175579.99999999997	180480	4900	Seither ist Zypern faktisch geteilt - in einen nördlichen Teil,
180590	185200	4610	der nur von der Türkei anerkannt ist und dem griechisch geprägten Süden.
185360	187920	2560	Die Chancen für eine Wiedervereinigung der Insel
188050	190280	2230	stehen also besser als auch schon.
191830	194080	2250	Es hat ein paar Versuche gebraucht, denn die zwei
194230	197960	3730	haben ihre Botschaft auch jeweils in der Sprache des anderen verkündet.
198120	202840	4720	So gelöst die Stimmung, so positiv die Botschaft der beiden Präsidenten:
204010	206040	2030	Ich hoffe, das neue Jahr erlaubt
206210	209360	3150	uns griechischen Zyprioten und türkischen Zyprioten,
209590	213440	3850	endlich friedlich in unserem wieder- vereinten Heimatland zu leben.
213590	217480	3890	Frohes neues Jahr!
217590	220560	2970	Möge uns das neue Jahr einen bleibenden Frieden,
220740	225320	4580	Entspannung und Wohlstand für alle Zyprioten bringen.
225470	228280	2810	Dieser Handschlag, dieser Auftritt lässt hoffen -
228510	231600	3090	darauf, dass die Wiedervereinigung der gespalteten Insel
231700	233840	2140	kommendes Jahr gelingen könnte.
233950	236400	2450	Denn seit 41 Jahren
236630	239400	2770	trennt eine von der UNO überwachte Pufferzone die Insel.
239500	241600	2100	Nikosia ist eine geteilte Stadt.
241870	244000	2130	Handel und Personenverkehr sind eingeschränkt,
244190	249920	5730	der türkische Teil der Insel ist international isoliert.
250080	252680	2600	Der letzte Vereinigungsversuch scheiterte im Jahr 2004,
252820	257450	4630	als die griechischen Zyprioten das Vorhaben an der Urne ablehnten.
257560	261450	3890	Danach lief lange Jahre nichts mehr.
261620	265130	3510	Erst seit letztem Frühling, nachdem Akinci - hier links -
265390	269570	4180	zum neuen Präsidenten Nordzyperns gewählt wurde, gibt es neue Hoffnung.
269720	273770	4050	Beide Seiten zeigen seither echten Willen, Fortschritte zu erzielen.
273970	278530	4560	Der gemeinsame Auftritt zu Weihnachten
278620	280730	2110	ist dabei die symbolträchtigste Geste dafür,
280950	283930	2980	dass eine Wiedervereinigung tatsächlich möglich ist.
288100	291650	3550	Weihnachten feiern - mit Kerzen, Tannenbaum, Liedern
291870	294810	2940	und allem drum und dran, das ist für die meisten hierzulande
294970	298570	3600	fester Bestandteil ihres Lebens von Kindsbeinen an.
298750	301170	2420	Für jene jedoch, die zu uns geflüchtet sind,
301320	303410	2090	ist der Weihnachtsbrauch völlig fremd -
303500	305370	1870	weil sie muslimischen Glaubens sind.
305460	307250	1790	In Ballaigues im Kanton Waadt
307410	310170	2760	hat man den Flüchtlingen dennoch angeboten, mitzufeiern.
310320	313090	2770	Und gerade minderjährige Asylsuchende,
313160	315770	2610	die ohne Familie, ohne Vater und Mutter hier sind,
315950	318610	2660	haben das Angebot dankbar angenommen.
320510	322410	1900	Es könnte mitten in der Nacht sein.
322520	324570	2050	Tatsächlich aber ist es 10 Uhr morgens
324710	326690	1980	im grossen Saal des Asylzentrums.
326790	329170	2380	In vollen Zügen geniessen diese minderjährigen Flüchtlinge
329270	331290	2020	die ersten Weihnachten ihres Lebens.
331540	334290	2750	Z.B. Hadi, 15-jährig, aus Afghanistan,
334400	336409.99999999994	2010	seit zwei Monaten in der Schweiz.
337030	338970	1940	Ich habe eine schwere Zeit hinter mir.
339110	340930	1820	Es war schwierig, hierherzugelangen,
341100	344010	2910	aber jetzt, heute, habe ich einen super Tag gehabt.
344170	346770	2600	Einen Glücksmoment in schwierigen Zeiten -
346940	349730	2790	das will man den 50 Asylsuchenden bieten,
349870	352850	2980	die hier im Wallis seit einem Monat in einer Ferienkolonie wohnen.
353010	357530	4520	Die meisten von ihnen sind Minderjährige ohne Familie.
357710	360210	2500	Es ist so wichtig, dass sie lachen, tanzen und spielen können,
360380	362210	1830	und nicht immer ihren Sorgen nachsinnen müssen.
362340	364170	1830	Und das ist uns heute gelungen.
364280	366330	2050	Zwar sind die meisten Flüchtlinge Muslime,
366500	369210	2710	aber heute ist eine evangelische Schulklasse gekommen,
369360	372370	3010	um den Gästen Weihnachtslieder vorzusingen.
372500	374490	1990	Klar ist jedoch: Es geht nicht darum,
374640	376930	2290	die Flüchtlinge vom Christentum zu überzeugen,
377030	379610	2580	sondern um das gemeinsame Feiern.
379700	383290	3590	Dieser Mix von Religionen und Kulturen gefällt den Asylsuchenden.
384990	387490	2500	Ich kann es kaum glauben, was heute hier passiert:
387640	390010	2370	Christen und Muslime feiern zusammen -
390100	393370	3270	das ist wirklich unglaublich schön.
393470	397090.00000000006	3620	Und egal welcher Religion sie angehören:
397230	400130	2900	Alle Kinder lieben Geschenke - immer.
402580	405810	3230	Zu weiteren Meldungen des Tages in Kürze.
406020	408290	2270	In Nigeria sind bei einer Explosion in einer Gasanlage
408409.99999999994	410409.99999999994	2000	Dutzende Menschen ums Leben gekommen.
412390	414810	2420	Noch stehen Teile der Anlage in Flammen.
414900	416650	1750	Das Unglück soll sich ereignet haben,
416820	419010	2190	als Kunden ihre Gasflaschen auffüllten.
419150	421050	1900	Ein Lastwagen habe seine Ladung
421260	423850	2590	ohne die vorgeschriebene Abkühlphase entladen wollen,
424090	425970	1880	berichtet eine lokale Zeitung.
426110	433290	7180	Die Explosion hat Häuser
433410	434570	1160	beschädigt.
435620	437490	1870	Indiens Premier Narendra Modi
437660	440250	2590	ist überraschend zu einem Besuch in Pakistan eingetroffen.
440400	443370	2970	In Lahore traf er seinen Amtskollegen Nawaz Sharif zu Gesprächen.
443460	446570	3110	Die beiden einigten sich,
446670	448170	1500	die Kontakte zwischen ihren Ländern zu vertiefen.
448260	449970	1710	Es ist der erste Besuch eines indischen Regierungschefs
450070	451690	1620	in Pakistan seit 2004.
452670	456210	3540	Es sind Weihnachtstage,
456470	458170	1700	an denen Frühlingsgefühle herrschen - wettermässig.
458370	460450	2080	So blühen - wie hier im Tessin - die Magnolien.
460590.00000000006	464890	4300	Solche Kapriolen sind nicht nur in unseren Breitengraden zu beobachten.
464990	467250	2260	Weltweit tut sich Aussergewöhnliches.
467420	472050	4630	Ein Teil davon ist auf das Klima- phänomen El Nino zurückzuführen.
472270	474810	2540	Das Phänomen tritt alle paar Jahre auf
474950	476650	1700	und hat im Winter seinen Höhepunkt,
476870	479330	2460	deshalb auch der Name: El Nino - spanisch für Christkind.
481800	487050	5250	El Nino: In Teilen der Welt bringt das Christkind Tod und Verwüstung.
487140	490730	3590	Über den Südosten der USA sind gestern mehrere Tornados gefegt.
490820	494490	3670	Mind. 14 Menschen haben ihr Leben verloren.
494680	497460	2780	Ungewöhnlich milde Temperaturen an der amerikanischen Ostküste
497610	499980	2370	haben die Unwetter ausgelöst.
500150	504060	3910	In Washington etwa gab es gestern rekordverdächtige 22 °C.
506050	508820	2770	Der Grund für die Wetterextreme liegt im Pazifik.
509010	512020	3010	Normalerweise gibt es bei einer Strömung von Ost nach West
512159.99999999994	517620	5460	kaltes Wasser vor Südamerika, warmes vor Asien und Australien.
517770	520020	2250	In einem El-Nino-Jahr verändern sich die Wassertemperaturen
520169.99999999994	523580.00000000006	3410	und die Strömung dreht sich.
525420	528540	3120	Besonders stark sind die Auswirkungen in Südamerika.
528780	532300	3520	Mehrere Länder kämpfen derzeit mit Überschwemmungen, wie hier Paraguay.
532410	535380	2970	Andernorts herrscht dagegen Trockenheit.
535560	538460	2900	Aussergewöhnlich trocken und warm ist es auch in Europa.
538670	543310	4640	In Moskau etwa spriessen bei 8 °C die Schneeglöckchen.
543460	546150	2690	Ob das Frühlingswetter hier allerdings mit El Nino zu tun hat,
546270	548830	2560	ist unklar.
549030	551150	2120	Im Moment haben wir noch keine Kenntnis davon, dass El Nino
551300	553830	2530	einen Effekt hat - das heisst aber nicht, dass er keinen haben muss.
553910	555470	1560	Wir wissen es einfach noch nicht.
555580	557350	1770	In der Vergangenheit hat sich jedenfalls gezeigt,
557550	559750	2200	dass man keine Rückschlüsse ziehen kann auf das Wetter bei uns,
559830	561590	1760	wenn El Nino kommt.
561760	564910	3150	Das heisst also: Es könnte auch ganz andere Ursachen haben,
564990	567000	2010	dass wir es so mild haben.
567110	569480	2370	Der Dezember 2016:
569620	572240	2620	In vielen Teilen der Welt - wie auch hier in Rumänien -
572450	576840	4390	wird er wegen seiner Wetterkapriolen in Erinnerung bleiben.
579300	583000	3700	Ob El Nino auch unser Wetter beeinflusst, das ist nicht klar.
583170	586960	3790	Klar ist aber: Skifahren und Schlitteln
587090	589600	2510	und alle anderen Wintersportarten sind für uns im Flachland
589810	593600	3790	fast so weit weg wie für die Pinguine der Südpol.
593710	595440	1730	Susy Schär und Claudio Agustoni.
597340	600840	3500	Pinguinparade im Zoo Zürich - bei knapp 10 °C.
601070	603440	2370	So warm, dass der Ausflug der Königspinguine
603550	606320	2770	gerade noch stattfinden kann.
606550	611360	4810	Allerdings auf verkürzter Strecke - wegen der hohen Temperaturen.
611470	613680	2210	Ähnlich wie den Pinguinen geht es den Besuchern.
613800	617880	4080	Auch sie mussten ein Alternativ- programm zum Winterausflug finden.
618710	620960	2250	Früher gingen wir am 25. immer Skifahren.
621130	624170	3040	Da hatte es nie Leute auf der Piste, wie heute, weil kein Schnee liegt.
624380	628810	4430	Die Stimmung ist bei diesem Wetter anders, als wenn es kälter wäre.
629070	632090	3020	Wir gehen regelmässig zur Weihnachtszeit in den Zoo -
632180	633650	1470	v.a. ich mit den Kindern.
633870	635530	1660	Dann kann meine Frau zu Hause kochen und alles vorbereiten,
635660	636810	1150	bis die Gäste kommen.
636980	639650	2670	Nur ist man es sich sonst gewohnt, Mützen und Handschuhe zu tragen.
639860	642530	2670	Nach dem Spaziergang geht's zurück ins Gehege.
642790	646610	3820	Der kühlende Sprung ins Wasser muss dann aber doch nicht sein.
646800	650970	4170	Irgendwie geniessen selbst die Pinguine den Frühling zu Weihnachten.
654400	656930	2530	Besonderes Weihnachtsprogramm auch auf dem Atzmännig.
657030	659850	2820	Statt Skifahren ist heute die Rodelbahn in Betrieb.
660030	663890	3860	Sie wurde kurz vor Weihnachten extra wieder aufgebaut.
666520	668450	1930	Leider ist an Schneesport nicht zu denken.
668600	670570	1970	Aber wir haben zum Glück als Alternative
670700	673060	2360	die Sommerrodelbahn geöffnet - ein Novum für uns.
673190	676500	3310	Aber die Gäste kommen.
676680	680580	3900	Das Skilift-Abonnement ist jetzt einfach für die Rodelbahn gültig.
680730	686140	5410	Viele Familien nutzen dieses Angebot, auch Maggy Gübeli und Ladina.
687810	690740	2930	Was machen Sie normalerweise an einem 25. Dezember?
690880	694500	3620	Skifahren am Atzmännig - mit der ganzen Familie.
694650	698580	3930	Und schon geht's wieder hoch - zum fünften Mal an diesem Nachmittag.
702790	705260	2470	Er schrieb über Immigration,
705430	708540	3110	über schlechte Wirtschafts- und schlechte Lebensbedingungen -
708740	712660	3920	Themen die auch heute, 150 Jahre später, noch aktuell sind:
712800	714900	2100	der Brite Charles Dickens.
714980	717140	2160	In seiner Heimat ist Dickens aber v.a. auch
717310	720380	3070	wegen seiner Weihnachtsgeschichten bekannt und beliebt.
720580	723620	3040	Das zeigt sich im Londoner Dickens- Museum. Aus London, Urs Gredig.
725040	727300	2260	Armut, soziale Ungerechtigkeit,
727500	731580	4080	das Elend in den Strassen Londons des 19. Jh.
731730	736260	4530	Niemand beschrieb dies besser und eindrücklicher als Charles Dickens,
736410	739220	2810	"Autor von ""Oliver Twist"" und ""David Copperfield"""
739370	742020	2650	und von zahlreichen Weihnachtsgeschichten.
742150	744060	1910	Ganz auf die Festtage eingestellt
744210	747020	2810	ist man deshalb auch in Dickens' erstem Wohnhaus in London,
747140	750060	2920	das heute ein Museum beherbergt.
750140	754060	3920	An keinem anderen Tag wird dieses öfter besucht als am 24.12.
754210	756140	1930	Und das hat seine Gründe.
756780	758420	1640	Mit seinen Büchern
758500	761380	2880	hat Dickens das Weihnachtsfest erst richtig populär gemacht.
761540	763900	2360	Er selber war ein grosser Weihnachtsfan.
764000	767180	3180	Er dekorierte jeweils das Haus, organisierte grosse Einladungen
767290	772940	5650	und veranstaltete Partys.
773080	775900	2820	Dickens lebte sehr gut von seiner Arbeit.
776080	779180	3100	Er war, was man heute einen Bestsellerautor nennen würde.
779330	782540	3210	Und doch vergass er nie, in seinen Werken
782740	784900	2160	auf das Schicksal der sozial Geächteten aufmerksam zu machen.
784980	788300	3320	Gerade in seinen Weihnachtsbüchern.
788470	791540	3070	Diese wurden jedes Jahr radikaler, was Dickens' Botschaft betrifft.
791620	794620	3000	Sich um die Armen zu kümmern, Mitgefühl zu zeigen -
794770	799780	5010	das waren in dieser Beziehung fast schon politische Werke.
800020	801980	1960	Die Festtage ohne Charles Dickens -
802140	804980	2840	für viele Briten schlicht unvorstellbar.
805140	808580	3440	"Sein Werk ""A Christmas Carol"", auf deutsch ""Ein Weihnachtslied"","
808750	812940	4190	ist seit der Veröffentlichung 1843 ein Klassiker -
813130	815100	1970	in Buch-, aber auch in Filmform.
819260	820540	1280	God save you!
823240	828220	4980	Das Buch war damals an Weihnachten binnen weniger Tage ausverkauft,
828320	833300	4980	ebenso wie die weiteren Auflagen.
833470	836620	3150	Und es hat Spuren hinterlassen - auch im Sprachgebrauch.
836710	839300	2590	"Der Ausdruck ""Merry Christmas"" z.B."
839380	842820	3440	wurde erst durch Dickens so richtig populär.
845060	846860	1800	An Weihnachten gibt's an dieser Stelle
847050	849100	2050	"eine ""Tagessschau""-spezifische Tradition:"
849250	851220	1970	der Blick zurück aufs Jahr.
851390	854580	3190	Der Start in unsere mehrteilige Serie, in der wir noch einmal
854780	857900	3120	die spannendsten, wichtigsten und eindrücklichsten Bilder
858090	860740	2650	aus dem In- und Ausland zusammengestellt haben.
860940	864580	3640	In diesem Jahr haben das Beat Giger und Noemi Abraham gemacht.
864660	867010	2350	Das Jahr beginnt düster.
867100	870170	3070	Frankreich wird von einer Terrorwelle erschüttert:
870380	873730	3350	"das Attentat auf das Satiremagazin ""Charlie Hebdo""."
876310	880450	4140	Das Wahrzeichen von Paris, der Eiffelturm,
880540	883770	3230	verschwindet in der Dunkelheit.
883860	886330	2470	Auf dem Arc de Triomphe und auf Abertausenden von Protestschildern
886480	889370	2890	"dominiert ein Schriftzug: ""Je suis Charlie""."
889570	891290	1720	(Laut rufend) Je suis Charlie. - Nous sommes Charlie.
892020	894450	2430	(Laut rufend) Je suis Charlie. - Nous sommes Charlie.
894620	897250	2630	Heute ist die ganze Republik angegriffen worden.
897370	899330	1960	Die Republik bedeutet:
899470	901330	1860	Meinungsfreiheit, Kultur,
901510	905010	3500	Kreativität, Vielseitigkeit, Demokratie.
905160	908210	3050	Die Freiheit ist immer stärker als die Barbarei.
908300	911090	2790	* Rufe, Schüsse *
911260	913530	2270	Am Morgen des 7. Januar stürmen zwei islamistische Terroristen
913740	917170	3430	"die Redaktionsräume von ""Charlie Hebdo"" in Paris."
917380	921330	3950	Gezielt ermorden sie zwölf Menschen, darunter vier Karikaturisten.
921580	924090	2510	Der Anschlag hat grosse Symbolkraft, denn das Satireblatt
924170	928970	4800	liess sich den Mund - oder besser gesagt den Stift - nie verbieten.
929050	930770	1720	Die Solidarität mit den Journalisten,
930960	934330	3370	die für ihren Mut mit dem Leben bezahlen mussten, ist gross.
935620	938210	2590	Dass man für einen Witz ermordet werden kann,
938360	941690	3330	ist ein grauenhafter Schlag gegen Menschen, die Satire machen.
941900	946690	4790	Die Satire versucht ja immer grundsätzlich, anders zu denken.
946860	950450	3590	Sie ist ein Ausdruck der Freiheit - und deshalb ist ein solches Attentat
950600	954290	3690	auch ein Anschlag auf die Freiheit des Denkens.
954500	957850	3350	Nach einer zweitägigen, intensiven Suche gelingt es der Polizei,
958070	961810	3740	die Terroristen aufzuspüren. Sie werden erschossen.
962580	965810	3230	Fast zeitgleich stürmen Elitetruppen einen koscheren Supermarkt,
965950	968250	2300	"in dem ein Komplize der ""Charlie Hebdo""-Terroristen"
968410	970690	2280	mehrere Menschen als Geiseln genommen hat.
970820	974730	3910	Der Geiselnehmer wird getötet, vier Geiseln sterben ebenfalls.
978740	981330	2590	Mit einer Kundgebung einzigartigen Ausmasses
981440	986290	4850	gedenken 1,5 Mio. Menschen der Opfer der Anschläge.
986470	990090	3620	"Mit dabei auch Überlebende der ""Charlie Hebdo""-Redaktion."
990940	993850	2910	Nur eine Woche später produzieren sie bereits wieder eine Zeitung -
993940	996170	2230	Humor als stärkste Waffe gegen das Grauen.
998540	1001610	3070	Nur einen Monat später: ähnliches Szenario, anderer Ort.
1001820	1003610	1790	In der dänischen Hauptstadt Kopenhagen
1003820	1006370	2550	schlägt erneut ein islamistischer Täter zu.
1006540	1009650	3110	Ziel auch hier: Satiriker und jüdische Mitbürger.
1009780	1011450	1670	Zwei Menschen sterben.
1011660	1014530	2870	Es werden nicht die letzten Terror- opfer im zu Ende gehenden Jahr sein.
1017090	1018730	1640	Die Überraschung ist perfekt:
1018820	1021210	2390	Am 15. Januar lässt Nationalbank- Präsident Thomas Jordan
