start	end	duration	text
3550	5010	1460	.
5170	9700	4530	1:1-Untertitelung. Livepassagen können Fehler enthalten.
9950	12020	2070	Es ist 10 vor 10, guten Abend, meine Damen und Herren.
12110	13860	1750	Wunsch und Wirklichkeit
14020	15900	1880	prallen bei der Verteilung und Integration
15990	18420	2430	der vielen Flüchtlinge in Europa erbarmungslos aufeinander.
18510	20140	1630	Auch in Deutschland.
20290	24180	3890	Während die Bevölkerung wie hier in Frankfurt an der Oder
24280	26990	2710	Solidaritätsläufe veranstaltet, kommt die Integration,
27170	31230	4060	etwa mit Sprachkursen oder Arbeitsangeboten, nicht vom Fleck.
31430	34750	3320	Und an den Grenzen stehen noch Zehntausende,
34830	38190	3360	die meisten mit dem klaren Ziel Deutschland.
40700	42550	1850	In der Flüchtlingskrise
42750	45470	2720	führen viele europäische Staaten wieder Grenzkontrollen ein.
49420	51270	1850	Wie vier Ständeräte Bewegung
51440	53470	2030	in die verfahrene Rentendiskussion bringen.
56750	60950	4200	Bundesanwalt Lauber will den umstrittenen Vertrag untersuchen.
65340	67150	1810	Der Zustrom von Flüchtlingen
67320	70670	3350	bringt das Grenz- und Asylsystem der EU an den Rand des Kollapses.
70870	73150	2280	Während heute in Brüssel die Innenminister der EU-Staaten
73280	77390	4110	ohne Ergebnis um einen permanenten Verteilschlüssel gerungen haben,
77550	81630	4080	hat an den Grenzen der EU-Länder ein Domino eingesetzt.
81730	84110	2380	Nachdem Deutschland am Wochenende
84320	86350	2030	notfallmässig vorübergehende Grenzkontrollen eingeführt hat,
86530	89030	2500	weil es dem Zulauf nicht mehr gewachsen ist,
89200	92150	2950	ziehen immer mehr Staaten nach. Franziska Ramser.
94030	95770.00000000001	1740	Bis hierher und nicht weiter.
96009.99999999999	97770.00000000001	1760	Die Politik der offenen Grenzen ist vorbei.
97880	99610	1730	Deutschland hat die Notbremse gezogen
99720	101850	2130	und Grenzkontrollen eingeführt.
102050	103810	1760	Auf der Balkanroute waren in den letzten Wochen
103950	106970	3020	über 100'000 Flüchtlinge nach Deutschland gereist.
107070	110050	2980	Seit gestern kontrolliert die Regierung die Grenze zu Österreich.
110250	115130	4880	In Österreich warten noch Tausende Migranten
115229.99999999999	117130	1900	auf die Weiterreise nach Deutschland.
117340	120650	3310	Allein im Grenzort Nickelsdorf harren 7'000 Menschen aus -
120770	123060	2290	und es werden immer mehr.
126040	129660	3620	Der Flüchtlingsstrom hält hier ungebrochen an.
129880	133500	3620	Es kommen nach wie vor Flüchtlinge über die Grenze,
133760	136740	2980	die teilweise mit Sonderzügen in Hegyeshalom Endstation haben.
136960	138900	1940	Die kommen dann zu Fuss zu uns weiter.
139120	141860	2740	Nun macht auch Österreich gegen Süden dicht.
142010	145300	3290	Die Regierung hat mit Deutschland gleichgezogen.
145560	149260	3700	Am Nachmittag hat sie Grenzkontrollen zu Ungarn eingeführt,
149460	151700	2240	um den Flüchtlingszustrom zu begrenzen.
151800	153500	1700	Die Schweiz habe keine solchen Pläne,
153720	157740	4020	sagte Bundespräsidentin Simonetta Sommaruga heute in Brüssel.
159350	161780	2430	Die Schweiz befindet sich nicht in einer ausserordentlichen Situation.
161880	164220	2340	Wir haben deshalb im Moment keinen Anlass,
164400	166860	2460	solche ausserordentlichen Massnahmen zu ergreifen.
166980	168860	1880	Ich gehe aber davon aus,
169040	170740	1700	dass man einfach für die heutige Sitzung den Druck erhöhen wollte,
170890	173660	2770	um alle Mitgliedsstaaten ins Boot zu holen und zu sagen,
173850	177260	3410	dass sich alle an die Dublin- Verpflichtungen halten müssen.
177410	179140	1730	Das fordern wir auch.
179310	182140	2830	Denn während immer mehr EU-Staaten die Grenzen kontrollieren,
182250	183700	1450	haben ihre Innenminister
183870	186620	2750	erneut um die Verteilung der Flüchtlinge gerungen -
186760	187900	1140	allerdings erfolglos.
188070	190620	2550	Den Entscheid über einen permanenten Verteilschlüssel
190830	193660	2830	haben die Minister auf Oktober vertagt.
193760	196140	2380	Zur Enttäuschung von Simonetta Sommaruga.
197320	199380	2060	Ich bedaure das sehr, denn es ist allen klar:
199600	201300	1700	Wenn wir in dieser Frage vorwärtskommen
201470	204340	2870	und in der Flüchtlingsfrage ein solidarisches Europa haben wollen,
204470	207860	3390	brauchen wir einen festen Verteilmechanismus.
208020	210140	2120	Wo sie Zuflucht finden werden, ist unklar.
210310	214140	3830	Tausende Flüchtlinge sind auch heute in Ungarn gestrandet.
214210	217620	3410	Sie sind über die grüne Grenze von Serbien her ins Land gelangt.
217750	219420.00000000003	1670	Es war die letzte Gelegenheit,
219600	223780	4180	denn Ungarn versucht, seine Grenze zu Serbien dichtzumachen
223880	226620	2740	und die Balkanroute so zu schliessen.
227560	229900	2340	Armeeangehörige haben am Nachmittag damit begonnen,
230070	232300	2230	die letzte Lücke im Grenzzaun zu schliessen.
232500	235340	2840	Ab morgen gilt der illegale Grenz- übertritt nach Ungarn als Straftat.
235440	241340	5900	Die EU macht gegen Süden dicht.
244390	247020	2630	Wer die Flüchtlingspolitik der EU kennt, hat auch kaum erwartet,
247190	251900	4710	dass den Innenministern heute der grosse Durchbruch gelingt.
252010	255740	3730	Aber viele haben gehofft,
255920	259700	3780	dass wenigstens eine erste Gruppe von 160'000 Flüchtlingen
259800	262180	2380	auf die Mitgliedsstaaten verteilt werden kann.
262310	263980	1670	Das sind Flüchtlinge,
264100	266140	2040	die momentan in Italien, Griechenland und Ungarn warten.
266330	268820	2490	Sebastian Ramspeck in Brüssel, wie weit ist wenigstens dies gelungen?
268930	270980	2050	Wir untertiteln live:
280840.00000000006	286180	5340	Die Sitzung ist in diesen Min. zu Ende gegangen.
286350	289580	3230	Es gibt einen formellen Entscheid für eine erst pauschal von 40'000
289800	295670	5870	Flüchtlingen die umverteilt werden sollten.
297420	303350	5930	Für die 120'000 restlichen gibt es keinen verbindlichen Entscheid.
308600	314510	5910	Er verteilt Schlüssel bleibt umstritten.
316210	319030	2820	Das Glas ist einmal mehr halb leer der verteilt Schlüssel
319120	320750	1630	aufgeschoben.
320900	323590	2690	Von einem Verteilschlüssel würde gerade jetzt auch Ungarn
323780	329670	5890	profitieren. Warum stellt sich denn die Regierung Orban dermassen quer?
330400	335590.00000000006	5190	Die Regierung Orban argumentiert streng juristisch.
335850	338800	2950	Zunächst einmal sollen sich alle Staaten an das geltende Recht,
338930	341640	2710	an die Dublin Regeln halten.
341840.00000000006	344080	2240	Die Flüchtlinge, die in Griechenland ankommen,
344250	348800	4550	werden dort nicht nur registriert,
348930	354800	5870	sondern Griechenland soll sich allgemein um sie kümmern.
360010	364740	4730	Das ist das Asylprinzip gemäss Dublin.
364960	367940	2980	Das ist eine streng juristischer Argumentation von der Regierung
368060	368300	240	Orban.
368500	370700	2200	Das würde aber bedeuten,
370820	372820	2000	dass bei Staaten, Griechenland und Italien,
373040	377100	4060	wo die Flüchtlinge standen,
377380	380460	3080	dass sie sich alleine um die ganze Flüchtlingsproblematik kümmern
380580	380940	360	müssten.
380990	383620	2630	Das ist ein Ding der Unmöglichkeit.
383730	385420	1690	Noch gestern sind 5'000 Flüchtlinge
385590	386940	1350	auf den Bahngleisen von Serbien nach Ungarn gelaufen.
387810	389820	2010	Wir schalten nach Röszke
390020	392700	2680	zu unserem Sonderkorrespondenten Marcel Anderwert. Guten Abend.
392880	395540	2660	Ungarn hat angekündigt, seine Grenzen dichtzumachen. Ist dies geschehen?
395690	397020	1330	Wir untertiteln live:
408500	410620	2120	Ja.
410840.00000000006	416700	5860	Wenigstens teilweise.
422120	425420	3300	Hier sind Spezialeinheiten der Polizei damit beschäftigt,
425600	431500	5900	die Lücke des Zauns dicht zu machen.
434470	439380	4910	Die ungarischen Behörden haben den offiziellen Grenzübergang,
439570	444820	5250	ein Kilometer von hier entfernt, hat geöffnet.
444980	448030	3050	Dort werden die Flüchtlinge in Empfang genommen und zum nächsten
448170	448950	780	Bahnhof gebracht.
449120	454430	5310	Was soll denn diese demonstravie Grenzschliessung?
454520	460280	5760	Das hat sehr viel mit Show zu tun.
460470	464440	3970	Die rechtsgerichtete Regierung von Orban zeigt,
464570	469640	5070	dass sie haben sind, dass sie etwas tun.
469800	473040	3240	Sie will ein Zeichen in die Welt senden,
473180	479080	5900	in den Nahen Osten, nach Afghanistan.
479240	483920	4680	Es gibt aber immer noch sehr viele Wege über diesen Zaun,
484030	489960	5930	der offene Grenzübergang in Röszke.
500880	504440	3560	An der rumänischen Grenze ist der Zaun fertig.
504650	507320	2670	Der Flüchtlingsstrom läuft weiter.
507430	509520	2090	Es werden nicht 800'000 sein.
509650	510520	870	Deutschland rechnet mit einer Million Flüchtlinge bis Ende Jahr.
512120	514640	2520	Vizekanzler Sigmar Gabriel hat die Prognosen nach oben korrigiert.
514850	516960.00000000006	2110	Die Mehrheit dieser Menschen will wohl in Deutschland bleiben.
517080.00000000006	518880	1800	Kanzlerin Merkel hat erklärt,
519090.00000000006	521039.99999999994	1950	die Flüchtlinge sollen schnellstmöglich integriert werden.
521220	523559.99999999994	2340	Doch Gemeinden und Städte stossen schon jetzt an ihre Grenzen.
523650	525560	1910	Die grossen Willkommenseuphorie
525760	527520	1760	ist vielerorts der Ernüchterung gewichen.
527660	530200	2540	Adrian Arnold zeigt am Beispiel von Frankfurt an der Oder,
530390	532960	2570	wo der gute Wille an der Realität scheitert.
535090	537960	2870	Wir fahren über die Oder hinein in die Stadt,
538090	540280	2190	die seit der Wende eigentlich nur Abwanderung kennt.
540410	545200	4790	Von 8'400 auf 5'800 Einwohner geschrumpft,
545310	548880	3570	kommen jetzt erstmals wieder welche.
549050	551800	2750	Fremde. Syrer, Afghanen, Afrikaner, Pakistani.
551960	556120	4160	In der Kaserne, wo die meisten wohnen, ist abends Deutschkurs.
556290	560280	3990	Gerade mal 9 Flüchtlinge finden den Weg dorthin.
560450	564360	3910	Der Lehrer ist Informatiker, ein Freiwilliger.
564530	566640	2110	Bund und auch die Stadtverwaltung sind so sehr überlastet,
566850	569440	2590	dass der Deutschkurs hier nur dank Bürgerhilfe stattfindet.
569630	572080	2450	Der Unterricht wird in keiner Art und Weise gefördert.
572310	574480	2170	Das machen wir alles ehrenamtlich, in unserer Freizeit.
574650	578160	3510	Da wäre noch ein wenig schnellere, unbürokratische Hilfe notwendig,
578320	581760	3440	denn es muss ja Konzepte geben, wie man mit dem Thema umgeht,
